Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-01-01,01:00,0.5,4,14,,50,7.2
2018-01-01,02:00,0.7,5,9,,62,3.3
2018-01-01,03:00,0.6,5,7,,14,2.5
2018-01-01,04:00,0.6,4,6,,10,2.8
2018-01-01,05:00,0.5,3,7,,12,3.3
2018-01-01,06:00,0.6,3,7,,16,2.7
2018-01-01,07:00,0.5,2,7,,15,2.8
2018-01-01,08:00,0.4,2,7,,15,2.8
2018-01-01,09:00,0.4,4,8,,13,2.8
2018-01-01,10:00,0.4,6,9,,12,2.5
2018-01-01,11:00,0.6,14,14,,12,2.8
2018-01-01,12:00,0.6,12,11,,11,2.7
2018-01-01,13:00,0.6,11,7,,6,1.3
2018-01-01,14:00,0.4,14,13,,5,1.1
2018-01-01,15:00,0.8,15,11,,8,1.6
2018-01-01,16:00,0.5,18,13,,4,1.0
2018-01-01,17:00,0.8,25,27,,5,1.0
2018-01-01,18:00,0.9,28,26,,8,1.2
2018-01-01,19:00,1.2,18,21,,7,1.6
2018-01-01,20:00,1.1,13,13,,9,2.0
2018-01-01,21:00,1.0,7,10,,6,2.0
2018-01-01,22:00,0.6,5,9,,5,2.7
2018-01-01,23:00,0.7,4,11,,7,3.7
2018-01-02,00:00,0.7,2,7,,9,2.2
2018-01-02,01:00,0.7,3,12,,9,2.2
2018-01-02,02:00,0.8,2,11,,8,1.9
2018-01-02,03:00,0.7,3,14,,6,5.4
2018-01-02,04:00,0.6,3,9,,5,6.3
2018-01-02,05:00,0.6,3,11,,7,7.3
2018-01-02,06:00,0.7,14,12,,6,2.2
2018-01-02,07:00,1.0,15,12,,8,2.5
2018-01-02,08:00,1.0,21,17,,7,2.6
2018-01-02,09:00,1.0,29,21,,7,2.5
2018-01-02,10:00,1.1,41,25,,7,1.8
2018-01-02,11:00,0.6,30,17,,4,1.2
2018-01-02,12:00,0.6,38,19,,2,0.5
2018-01-02,13:00,0.9,38,19,,4,0.5
2018-01-02,14:00,0.7,36,19,,3,0.5
2018-01-02,15:00,0.9,45,24,,5,1.0
2018-01-02,16:00,1.5,45,28,,7,1.1
2018-01-02,17:00,1.3,37,24,,8,1.0
2018-01-02,18:00,1.3,27,22,,8,1.1
2018-01-02,19:00,1.0,44,28,,8,1.2
2018-01-02,20:00,1.3,24,22,,9,1.3
2018-01-02,21:00,0.9,10,13,,9,1.1
2018-01-02,22:00,1.0,19,25,,8,0.5
2018-01-02,23:00,1.2,32,31,,8,0.5
2018-01-03,00:00,1.3,4,14,,7,0.5
2018-01-03,01:00,0.7,7,9,,7,1.1
2018-01-03,02:00,0.7,2,7,,8,1.7
2018-01-03,03:00,0.7,1,6,,9,1.9
2018-01-03,04:00,,2,8,,8,2.7
2018-01-03,05:00,,2,10,,9,2.0
2018-01-03,06:00,,6,9,,8,1.7
2018-01-03,07:00,,8,9,,6,1.4
2018-01-03,08:00,,14,12,,4,1.2
2018-01-03,09:00,0.7,11,12,,4,0.5
2018-01-03,10:00,0.7,12,12,,1,0.5
2018-01-03,11:00,0.6,16,16,,1,1.5
2018-01-03,12:00,0.7,21,18,,0,5.9
2018-01-03,13:00,0.7,23,18,,0,2.9
2018-01-03,14:00,0.9,25,16,,0,1.3
2018-01-03,15:00,1.1,32,22,,4,1.6
2018-01-03,16:00,1.8,75,46,,8,1.6
2018-01-03,17:00,2.2,48,41,,9,1.3
2018-01-03,18:00,2.1,22,20,,6,1.2
2018-01-03,19:00,0.9,17,14,,4,1.1
2018-01-03,20:00,0.7,12,10,,3,1.2
2018-01-03,21:00,0.5,5,7,,4,0.5
2018-01-03,22:00,0.5,9,9,,1,0.5
2018-01-03,23:00,0.6,11,7,,2,0.5
2018-01-04,00:00,0.6,2,3,,4,0.5
2018-01-04,01:00,0.3,1,2,,3,0.5
2018-01-04,02:00,0.3,1,2,,2,0.5
2018-01-04,03:00,0.3,1,2,,3,0.5
2018-01-04,04:00,0.3,2,2,,2,0.5
2018-01-04,05:00,0.3,3,3,,2,0.5
2018-01-04,06:00,0.3,10,7,,3,0.5
2018-01-04,07:00,0.6,10,9,,5,0.5
2018-01-04,08:00,0.7,20,14,,6,0.5
2018-01-04,09:00,0.5,21,15,,7,0.5
2018-01-04,10:00,0.9,39,25,,6,0.5
2018-01-04,11:00,0.9,41,27,,8,1.0
2018-01-04,12:00,0.8,40,27,,10,0.5
2018-01-04,13:00,1.0,40,25,,14,0.5
2018-01-04,14:00,0.9,55,38,,16,2.0
2018-01-04,15:00,1.7,86,45,,22,2.9
2018-01-04,16:00,2.5,44,32,,21,2.7
2018-01-04,17:00,1.8,42,30,,17,2.3
2018-01-04,18:00,1.4,30,25,,14,2.4
2018-01-04,19:00,1.0,19,19,,14,3.4
2018-01-04,20:00,1.0,11,15,,12,3.1
2018-01-04,21:00,1.1,9,13,,11,2.1
2018-01-04,22:00,1.1,6,12,,10,1.8
2018-01-04,23:00,0.9,11,11,,8,1.7
2018-01-05,00:00,0.8,3,11,,4,8.1
2018-01-05,01:00,0.7,2,5,,3,1.2
2018-01-05,02:00,0.7,1,5,,5,1.1
2018-01-05,03:00,0.6,2,7,,7,1.5
2018-01-05,04:00,0.6,4,9,,6,1.7
2018-01-05,05:00,0.5,5,11,,6,1.9
2018-01-05,06:00,0.5,19,20,,7,1.4
2018-01-05,07:00,1.1,31,28,,9,1.3
2018-01-05,08:00,1.0,38,30,,9,2.3
2018-01-05,09:00,1.6,28,24,,10,2.3
2018-01-05,10:00,1.0,29,21,,12,1.8
2018-01-05,11:00,1.0,32,19,,14,2.0
2018-01-05,12:00,1.2,37,22,,20,2.2
2018-01-05,13:00,1.0,38,23,,17,2.1
2018-01-05,14:00,1.4,27,19,,17,2.2
2018-01-05,15:00,1.2,39,25,,17,2.0
2018-01-05,16:00,1.7,44,29,,14,2.0
2018-01-05,17:00,1.7,33,25,,11,1.9
2018-01-05,18:00,1.2,24,24,,7,1.3
2018-01-05,19:00,1.3,29,27,,9,1.8
2018-01-05,20:00,1.3,22,24,,9,2.3
2018-01-05,21:00,0.9,21,26,,8,2.3
2018-01-05,22:00,1.4,29,29,,12,2.4
2018-01-05,23:00,1.3,9,20,,9,2.4
2018-01-06,00:00,1.1,5,14,,9,1.8
2018-01-06,01:00,0.9,3,8,,8,1.8
2018-01-06,02:00,0.6,2,5,,6,1.6
2018-01-06,03:00,0.6,2,7,,7,2.2
2018-01-06,04:00,0.7,6,14,,9,2.3
2018-01-06,05:00,0.8,6,13,,10,2.2
2018-01-06,06:00,0.7,16,18,,11,2.2
2018-01-06,07:00,0.9,21,22,,12,2.2
2018-01-06,08:00,1.2,16,18,,11,2.2
