Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-02-01,01:00,,1,12,42,9,
2018-02-01,02:00,,1,11,43,6,
2018-02-01,03:00,,1,7,45,3,
2018-02-01,04:00,,1,7,42,2,
2018-02-01,05:00,,1,12,32,5,
2018-02-01,06:00,,6,16,45,8,
2018-02-01,07:00,,7,23,53,5,
2018-02-01,08:00,,14,30,52,5,
2018-02-01,09:00,,6,27,58,7,
2018-02-01,10:00,,6,20,64,4,
2018-02-01,11:00,,9,21,63,4,
2018-02-01,12:00,,10,20,62,6,
2018-02-01,13:00,,9,19,62,9,
2018-02-01,14:00,,9,22,59,9,
2018-02-01,15:00,,9,25,55,10,
2018-02-01,16:00,,7,31,46,11,
2018-02-01,17:00,,2,24,48,14,
2018-02-01,18:00,,3,25,42,10,
2018-02-01,19:00,,4,23,42,16,
2018-02-01,20:00,,3,22,42,14,
2018-02-01,21:00,,2,17,50,11,
2018-02-01,22:00,,3,16,51,7,
2018-02-01,23:00,,1,13,51,8,
2018-02-02,00:00,,1,9,50,8,
2018-02-02,01:00,,1,12,41,10,
2018-02-02,02:00,,1,14,39,15,
2018-02-02,03:00,,1,13,42,13,
2018-02-02,04:00,,1,13,43,11,
2018-02-02,05:00,,1,12,45,10,
