Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-02-01,01:00,,1,11,,,
2018-02-01,02:00,,1,8,,,
2018-02-01,03:00,,1,6,,,
2018-02-01,04:00,,1,5,,,
2018-02-01,05:00,,1,6,,,
2018-02-01,06:00,,2,9,,,
2018-02-01,07:00,,38,43,,,
2018-02-01,08:00,,58,59,,,
2018-02-01,09:00,,48,55,,,
2018-02-01,10:00,,50,53,,,
2018-02-01,11:00,,48,45,,,
2018-02-01,12:00,,44,40,,,
2018-02-01,13:00,,34,34,,,
2018-02-01,14:00,,23,25,,,
2018-02-01,15:00,,30,33,,,
2018-02-01,16:00,,38,38,,,
2018-02-01,17:00,,59,52,,,
2018-02-01,18:00,,51,45,,,
2018-02-01,19:00,,17,29,,,
2018-02-01,20:00,,8,21,,,
2018-02-01,21:00,,7,19,,,
2018-02-01,22:00,,7,17,,,
2018-02-01,23:00,,3,15,,,
2018-02-02,00:00,,1,13,,,
2018-02-02,01:00,,1,12,,,
2018-02-02,02:00,,1,17,,,
2018-02-02,03:00,,2,14,,,
2018-02-02,04:00,,3,19,,,
2018-02-02,05:00,,3,15,,,
2018-02-02,06:00,,16,22,,,
2018-02-02,07:00,,25,26,,,
2018-02-02,08:00,,41,35,,,
2018-02-02,09:00,,29,28,,,
2018-02-02,10:00,,26,22,,,
2018-02-02,11:00,,25,19,,,
