Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-02-01,01:00,,3,9,,,
2018-02-01,02:00,,3,8,,,
2018-02-01,03:00,,3,8,,,
2018-02-01,04:00,,3,9,,,
2018-02-01,05:00,,4,10,,,
2018-02-01,06:00,,2,9,,,
2018-02-01,07:00,,6,15,,,
2018-02-01,08:00,,43,56,,,
2018-02-01,09:00,,42,55,,,
2018-02-01,10:00,,47,58,,,
2018-02-01,11:00,,24,38,,,
2018-02-01,12:00,,18,31,,,
2018-02-01,13:00,,29,38,,,
2018-02-01,14:00,,35,42,,,
2018-02-01,15:00,,37,45,,,
2018-02-01,16:00,,47,44,,,
2018-02-01,17:00,,60,60,,,
2018-02-01,18:00,,51,55,,,
2018-02-01,19:00,,32,39,,,
2018-02-01,20:00,,18,29,,,
2018-02-01,21:00,,14,26,,,
2018-02-01,22:00,,10,20,,,
2018-02-01,23:00,,10,21,,,
2018-02-02,00:00,,4,14,,,
2018-02-02,01:00,,5,16,,,
2018-02-02,02:00,,3,10,,,
2018-02-02,03:00,,4,13,,,
2018-02-02,04:00,,6,12,,,
2018-02-02,05:00,,11,16,,,
