Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-02-01,,,,,,8.25,,
2018-02-01,01:00,,1,6,,,2,
2018-02-01,02:00,,2,8,,,0,
2018-02-01,03:00,,2,6,,,0,
2018-02-01,04:00,,2,5,,,1,
2018-02-01,05:00,,7,13,,,2,
2018-02-01,06:00,,15,27,,,0,
2018-02-01,07:00,,53,48,,,2,
2018-02-01,08:00,,75,64,,,5,
2018-02-01,09:00,,55,54,,,5,
2018-02-01,10:00,,66,53,,,6,
2018-02-01,11:00,,45,44,,,8,
2018-02-01,12:00,,14,24,,,6,
2018-02-01,13:00,,22,27,,,12,
2018-02-01,14:00,,17,25,,,12,
2018-02-01,15:00,,19,24,,,12,
2018-02-01,16:00,,24,27,,,11,
2018-02-01,17:00,,43,50,,,15,
2018-02-01,18:00,,77,63,,,22,
2018-02-01,19:00,,40,45,,,20,
2018-02-01,20:00,,15,35,,,13,
2018-02-01,21:00,,23,31,,,11,
2018-02-01,22:00,,3,15,,,8,
2018-02-01,23:00,,4,13,,,8,
2018-02-02,00:00,,2,12,,,9,
2018-02-02,01:00,,1,11,,,8,
2018-02-02,02:00,,1,11,,,8,
2018-02-02,03:00,,1,9,,,5,
2018-02-02,04:00,,2,7,,,2,
2018-02-02,05:00,,10,21,,,3,
2018-02-02,06:00,,20,30,,,5,
2018-02-02,07:00,,66,47,,,6,
2018-02-02,08:00,,59,47,,,8,
2018-02-02,09:00,,27,29,,,8,
2018-02-02,10:00,,32,29,,,8,
2018-02-02,11:00,,25,23,,,11,
2018-02-02,12:00,,19,20,,,17,
2018-02-02,13:00,,20,23,,,19,
2018-02-02,14:00,,22,26,,,13,
2018-02-02,15:00,,28,29,,,15,
2018-02-02,16:00,,24,27,,,12,
2018-02-02,17:00,,22,28,,,7,
2018-02-02,18:00,,23,31,,,8,
2018-02-02,19:00,,23,29,,,7,
2018-02-02,20:00,,14,23,,,7,
2018-02-02,21:00,,12,21,,,8,
2018-02-02,22:00,,5,17,,,9,
2018-02-02,23:00,,7,17,,,9,
2018-02-03,00:00,,3,12,,,8,
2018-02-03,01:00,,2,11,,,6,
2018-02-03,02:00,,3,12,,,6,
2018-02-03,03:00,,1,9,,,9,
2018-02-03,04:00,,2,11,,,8,
2018-02-03,05:00,,2,13,,,7,
2018-02-03,06:00,,7,18,,,8,
2018-02-03,07:00,,51,34,,,9,
2018-02-03,08:00,,39,36,,,9,
2018-02-03,09:00,,27,31,,,8,
2018-02-03,10:00,,37,40,,,9,
2018-02-03,11:00,,30,35,,,9,
2018-02-03,12:00,,37,37,,,11,
2018-02-03,13:00,,36,34,,,10,
2018-02-03,14:00,,20,25,,,10,
2018-02-03,15:00,,18,24,,,8,
2018-02-03,16:00,,29,34,,,9,
2018-02-03,17:00,,2,10,,,8,
2018-02-03,18:00,,56,48,,,8,
2018-02-03,19:00,,53,46,,,13,
2018-02-03,20:00,,48,39,,,11,
2018-02-03,21:00,,29,29,,,12,
2018-02-03,22:00,,10,23,,,13,
2018-02-03,23:00,,11,26,,,14,
2018-02-04,00:00,,3,19,,,11,
2018-02-04,01:00,,4,14,,,10,
2018-02-04,02:00,,2,13,,,9,
2018-02-04,03:00,,7,20,,,9,
2018-02-04,04:00,,4,17,,,8,
2018-02-04,05:00,,1,11,,,8,
2018-02-04,06:00,,17,23,,,8,
2018-02-04,07:00,,16,27,,,9,
2018-02-04,08:00,,17,22,,,9,
2018-02-04,09:00,,16,22,,,9,
2018-02-04,10:00,,3,15,,,13,
2018-02-04,11:00,,11,16,,,14,
2018-02-04,12:00,,23,24,,,16,
2018-02-04,13:00,,33,25,,,20,
2018-02-04,14:00,,28,19,,,14,
2018-02-04,15:00,,19,20,,,13,
2018-02-04,16:00,,22,19,,,13,
2018-02-04,17:00,,23,21,,,11,
2018-02-04,18:00,,26,25,,,13,
2018-02-04,19:00,,14,19,,,18,
2018-02-04,20:00,,14,18,,,16,
2018-02-04,21:00,,8,17,,,14,
2018-02-04,22:00,,4,14,,,14,
2018-02-04,23:00,,10,16,,,15,
2018-02-05,00:00,,5,13,,,15,
2018-02-05,01:00,,10,16,,,15,
2018-02-05,02:00,,2,14,,,16,
2018-02-05,03:00,,4,17,,,17,
2018-02-05,04:00,,14,24,,,19,
2018-02-05,05:00,,19,24,,,18,
2018-02-05,06:00,,24,26,,,21,
2018-02-05,07:00,,89,40,,,23,
2018-02-05,08:00,,87,42,,,23,
2018-02-05,09:00,,78,40,,,23,
2018-02-05,10:00,,109,46,,,30,
2018-02-05,11:00,,75,39,,,31,
2018-02-05,12:00,,79,45,,,27,
2018-02-05,13:00,,57,40,,,23,
2018-02-05,14:00,,71,44,,,20,
2018-02-05,15:00,,66,47,,,46,
2018-02-05,16:00,,60,43,,,75,
2018-02-05,17:00,,85,48,,,49,
2018-02-05,18:00,,53,44,,,50,
2018-02-05,19:00,,36,37,,,35,
2018-02-05,20:00,,24,34,,,24,
2018-02-05,21:00,,28,33,,,22,
2018-02-05,22:00,,13,29,,,19,
2018-02-05,23:00,,17,30,,,19,
2018-02-06,00:00,,9,22,,,17,
2018-02-06,01:00,,2,20,,,17,
2018-02-06,02:00,,5,24,,,17,
2018-02-06,03:00,,8,19,,,14,
2018-02-06,04:00,,4,17,,,16,
2018-02-06,05:00,,31,26,,,17,
2018-02-06,06:00,,77,35,,,21,
2018-02-06,07:00,,136,45,,,26,
2018-02-06,08:00,,195,54,,,31,
2018-02-06,09:00,,163,46,,,36,
2018-02-06,10:00,,63,36,,,48,
2018-02-06,11:00,,109,51,,,49,
2018-02-06,12:00,,34,35,,,45,
2018-02-06,13:00,,34,25,,,45,
2018-02-06,14:00,,25,24,,,50,
2018-02-06,15:00,,35,29,,,53,
2018-02-06,16:00,,61,44,,,99,
2018-02-06,17:00,,50,46,,,51,
2018-02-06,18:00,,62,48,,,47,
2018-02-06,19:00,,59,51,,,48,
2018-02-06,20:00,,26,38,,,38,
2018-02-06,21:00,,13,30,,,35,
2018-02-06,22:00,,11,32,,,34,
2018-02-06,23:00,,36,34,,,32,
2018-02-07,00:00,,15,25,,,29,
2018-02-07,01:00,,12,23,,,28,
2018-02-07,02:00,,20,21,,,28,
2018-02-07,03:00,,6,23,,,27,
2018-02-07,04:00,,5,21,,,26,
2018-02-07,05:00,,24,22,,,27,
2018-02-07,06:00,,72,29,,,29,
2018-02-07,07:00,,156,42,,,35,
2018-02-07,08:00,,217,49,,,39,
2018-02-07,09:00,,174,47,,,40,
2018-02-07,10:00,,68,37,,,42,
2018-02-07,11:00,,54,38,,,45,
2018-02-07,12:00,,34,30,,,43,
2018-02-07,13:00,,31,29,,,57,
2018-02-07,14:00,,57,35,,,76,
2018-02-07,15:00,,46,37,,,78,
2018-02-07,16:00,,42,44,,,71,
2018-02-07,17:00,,86,54,,,74,
2018-02-07,18:00,,99,58,,,72,
2018-02-07,19:00,,80,55,,,64,
2018-02-07,20:00,,41,53,,,62,
2018-02-07,21:00,,48,53,,,60,
2018-02-07,22:00,,20,41,,,56,
2018-02-07,23:00,,22,35,,,51,
2018-02-08,00:00,,7,27,,,49,
2018-02-08,01:00,,6,21,,,50,
2018-02-08,02:00,,1,14,,,46,
2018-02-08,03:00,,5,18,,,44,
2018-02-08,04:00,,2,26,,,49,
2018-02-08,05:00,,2,23,,,57,
2018-02-08,06:00,,29,31,,,59,
2018-02-08,07:00,,87,44,,,62,
2018-02-08,08:00,,57,42,,,65,
2018-02-08,09:00,,95,46,,,63,
2018-02-08,10:00,,72,43,,,68,
2018-02-08,11:00,,95,46,,,73,
2018-02-08,12:00,,74,39,,,103,
2018-02-08,13:00,,49,36,,,117,
2018-02-08,14:00,,34,30,,,105,
2018-02-08,15:00,,41,36,,,84,
2018-02-08,16:00,,62,44,,,79,
2018-02-08,17:00,,100,55,,,92,
2018-02-08,18:00,,86,55,,,98,
2018-02-08,19:00,,74,54,,,100,
2018-02-08,20:00,,56,49,,,98,
2018-02-08,21:00,,51,36,,,92,
2018-02-08,22:00,,37,33,,,89,
2018-02-08,23:00,,30,30,,,90,
2018-02-09,00:00,,27,29,,,89,
2018-02-09,01:00,,16,31,,,87,
2018-02-09,02:00,,15,32,,,85,
2018-02-09,03:00,,9,36,,,84,
2018-02-09,04:00,,10,36,,,84,
2018-02-09,05:00,,7,34,,,82,
2018-02-09,06:00,,19,34,,,79,
2018-02-09,07:00,,66,41,,,73,
2018-02-09,08:00,,57,41,,,54,
2018-02-09,09:00,,41,36,,,53,
2018-02-09,10:00,,41,34,,,53,
2018-02-09,11:00,,25,27,,,54,
2018-02-09,12:00,,28,28,,,58,
2018-02-09,13:00,,28,31,,,64,
2018-02-09,14:00,,38,38,,,68,
2018-02-09,15:00,,31,38,,,69,
2018-02-09,16:00,,37,39,,,60,
2018-02-09,17:00,,40,38,,,57,
2018-02-09,18:00,,36,40,,,50,
2018-02-09,19:00,,33,40,,,48,
2018-02-09,20:00,,10,29,,,42,
2018-02-09,21:00,,10,27,,,40,
2018-02-09,22:00,,6,21,,,37,
2018-02-09,23:00,,4,17,,,30,
2018-02-10,00:00,,4,13,,,27,
2018-02-10,01:00,,1,11,,,26,
2018-02-10,02:00,,1,10,,,26,
2018-02-10,03:00,,3,12,,,27,
2018-02-10,04:00,,3,13,,,26,
2018-02-10,05:00,,2,15,,,25,
2018-02-10,06:00,,10,22,,,27,
2018-02-10,07:00,,10,24,,,26,
2018-02-10,08:00,,20,35,,,28,
2018-02-10,09:00,,8,24,,,27,
2018-02-10,10:00,,12,25,,,26,
2018-02-10,11:00,,22,28,,,28,
2018-02-10,12:00,,29,35,,,41,
2018-02-10,13:00,,25,32,,,57,
2018-02-10,14:00,,25,29,,,66,
2018-02-10,15:00,,27,32,,,55,
2018-02-10,16:00,,21,32,,,45,
2018-02-10,17:00,,22,32,,,43,
2018-02-10,18:00,,29,41,,,37,
2018-02-10,19:00,,17,33,,,43,
2018-02-10,20:00,,17,34,,,46,
2018-02-10,21:00,,8,25,,,42,
2018-02-10,22:00,,3,20,,,37,
2018-02-10,23:00,,2,17,,,29,
2018-02-11,00:00,,1,11,,,23,
2018-02-11,01:00,,2,12,,,16,
2018-02-11,02:00,,1,11,,,12,
2018-02-11,03:00,,2,11,,,12,
2018-02-11,04:00,,1,7,,,10,
2018-02-11,05:00,,1,8,,,8,
2018-02-11,06:00,,3,9,,,9,
2018-02-11,07:00,,1,9,,,10,
2018-02-11,08:00,,3,9,,,15,
