Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-03-01,01:00,,1,17,,31,
2018-03-01,02:00,,1,16,,29,
2018-03-01,03:00,,1,17,,25,
2018-03-01,04:00,,1,17,,25,
2018-03-01,05:00,,1,15,,28,
2018-03-01,06:00,,1,18,,29,
2018-03-01,07:00,,1,23,,28,
2018-03-01,08:00,,1,22,,29,
2018-03-01,09:00,,3,18,,30,
2018-03-01,10:00,,3,13,,28,
2018-03-01,11:00,,3,12,,22,
2018-03-01,12:00,,3,11,,28,
2018-03-01,13:00,,2,10,,31,
2018-03-01,14:00,,1,9,,28,
2018-03-01,15:00,,2,10,,28,
2018-03-01,16:00,,1,11,,30,
2018-03-01,17:00,,1,15,,32,
2018-03-01,18:00,,1,18,,39,
2018-03-01,19:00,,1,19,,43,
2018-03-01,20:00,,1,20,,46,
2018-03-01,21:00,,1,22,,48,
2018-03-01,22:00,,1,21,,49,
2018-03-01,23:00,,1,25,,50,
2018-03-02,00:00,,1,22,,52,
2018-03-02,01:00,,1,22,,51,
2018-03-02,02:00,,1,24,,54,
2018-03-02,03:00,,1,25,,55,
2018-03-02,04:00,,1,21,,54,
2018-03-02,05:00,,1,21,,54,
2018-03-02,06:00,,1,24,,55,
2018-03-02,07:00,,1,28,,57,
2018-03-02,08:00,,3,33,,59,
2018-03-02,09:00,,6,33,,62,
2018-03-02,10:00,,6,27,,59,
2018-03-02,11:00,,4,20,,57,
2018-03-02,12:00,,3,15,,45,
2018-03-02,13:00,,2,14,,40,
2018-03-02,14:00,,2,14,,41,
2018-03-02,15:00,,1,14,,42,
2018-03-02,16:00,,1,14,,43,
2018-03-02,17:00,,1,15,,41,
2018-03-02,18:00,,1,18,,47,
2018-03-02,19:00,,1,19,,43,
2018-03-02,20:00,,1,20,,47,
2018-03-02,21:00,,1,18,,41,
2018-03-02,22:00,,1,21,,41,
2018-03-02,23:00,,1,19,,45,
2018-03-03,00:00,,1,23,,49,
2018-03-03,01:00,,1,24,,51,
2018-03-03,02:00,,1,23,,52,
2018-03-03,03:00,,1,21,,50,
2018-03-03,04:00,,1,20,,50,
2018-03-03,05:00,,1,19,,56,
2018-03-03,06:00,,1,20,,52,
2018-03-03,07:00,,1,22,,59,
2018-03-03,08:00,,1,25,,64,
2018-03-03,09:00,,2,26,,67,
2018-03-03,10:00,,3,22,,66,
2018-03-03,11:00,,2,19,,58,
2018-03-03,12:00,,2,15,,52,
2018-03-03,13:00,,1,14,,48,
2018-03-03,14:00,,2,18,,51,
2018-03-03,15:00,,2,16,,55,
2018-03-03,16:00,,2,22,,52,
2018-03-03,17:00,,2,27,,58,
2018-03-03,18:00,,1,28,,63,
2018-03-03,19:00,,1,26,,62,
2018-03-03,20:00,,1,26,,65,
2018-03-03,21:00,,1,27,,65,
2018-03-03,22:00,,1,27,,67,
2018-03-03,23:00,,1,30,,73,
2018-03-04,00:00,,1,29,,77,
2018-03-04,01:00,,1,30,,77,
2018-03-04,02:00,,1,21,,69,
2018-03-04,03:00,,1,15,,59,
2018-03-04,04:00,,1,14,,53,
2018-03-04,05:00,,1,13,,51,
2018-03-04,06:00,,1,13,,53,
2018-03-04,07:00,,1,15,,55,
2018-03-04,08:00,,1,15,,54,
2018-03-04,09:00,,1,16,,55,
2018-03-04,10:00,,1,16,,57,
2018-03-04,11:00,,1,15,,58,
2018-03-04,12:00,,1,12,,54,
2018-03-04,13:00,,1,11,,48,
2018-03-04,14:00,,1,11,,40,
2018-03-04,15:00,,1,11,,35,
2018-03-04,16:00,,1,11,,33,
2018-03-04,17:00,,1,13,,31,
2018-03-04,18:00,,1,17,,34,
2018-03-04,19:00,,1,18,,36,
2018-03-04,20:00,,1,17,,40,
2018-03-04,21:00,,1,17,,47,
2018-03-04,22:00,,1,14,,42,
2018-03-04,23:00,,1,12,,39,
2018-03-05,00:00,,1,12,,39,
2018-03-05,01:00,,1,13,,42,
2018-03-05,02:00,,1,13,,42,
2018-03-05,03:00,,1,15,,41,
2018-03-05,04:00,,1,16,,40,
2018-03-05,05:00,,1,17,,44,
2018-03-05,06:00,,1,20,,47,
2018-03-05,07:00,,1,21,,46,
2018-03-05,08:00,,1,22,,51,
2018-03-05,09:00,,1,23,,54,
2018-03-05,10:00,,2,21,,56,
2018-03-05,11:00,,3,18,,58,
2018-03-05,12:00,,3,19,,60,
2018-03-05,13:00,,2,16,,59,
2018-03-05,14:00,,2,12,,50,
2018-03-05,15:00,,1,13,,43,
2018-03-05,16:00,,2,18,,47,
2018-03-05,17:00,,1,14,,47,
2018-03-05,18:00,,1,15,,43,
2018-03-05,19:00,,1,13,,48,
2018-03-05,20:00,,1,14,,53,
2018-03-05,21:00,,1,16,,67,
2018-03-05,22:00,,1,18,,72,
2018-03-05,23:00,,1,18,,65,
2018-03-06,00:00,,1,18,,54,
2018-03-06,01:00,,1,18,,49,
2018-03-06,02:00,,1,18,,48,
2018-03-06,03:00,,1,13,,45,
2018-03-06,04:00,,1,12,,40,
2018-03-06,05:00,,1,11,,40,
2018-03-06,06:00,,1,11,,40,
2018-03-06,07:00,,1,12,,40,
2018-03-06,08:00,,1,14,,39,
2018-03-06,09:00,,1,13,,38,
2018-03-06,10:00,,1,13,,37,
2018-03-06,11:00,,1,13,,38,
2018-03-06,12:00,,1,11,,38,
2018-03-06,13:00,,1,11,,39,
2018-03-06,14:00,,1,12,,41,
2018-03-06,15:00,,1,13,,45,
2018-03-06,16:00,,1,15,,48,
2018-03-06,17:00,,1,14,,50,
2018-03-06,18:00,,1,15,,51,
2018-03-06,19:00,,1,15,,52,
2018-03-06,20:00,,1,17,,53,
2018-03-06,21:00,,1,21,,51,
2018-03-06,22:00,,1,21,,52,
2018-03-06,23:00,,1,18,,53,
2018-03-07,00:00,,1,24,,47,
2018-03-07,01:00,,1,23,,40,
2018-03-07,02:00,,1,23,,38,
2018-03-07,03:00,,1,20,,35,
2018-03-07,04:00,,1,27,,37,
2018-03-07,05:00,,1,23,,44,
2018-03-07,06:00,,1,27,,48,
2018-03-07,07:00,,2,27,,49,
2018-03-07,08:00,,4,27,,53,
2018-03-07,09:00,,9,24,,60,
2018-03-07,10:00,,,,,61,
2018-03-07,11:00,,,,,58,
2018-03-07,12:00,,,,,38,
2018-03-07,13:00,,,,,27,
2018-03-07,14:00,,,,,24,
2018-03-07,15:00,,,,,21,
2018-03-07,16:00,,,,,16,
2018-03-07,17:00,,,,,13,
2018-03-07,18:00,,,,,12,
2018-03-07,19:00,,,,,11,
2018-03-07,20:00,,,,,9,
2018-03-07,21:00,,1,17,,9,
2018-03-07,22:00,,1,15,,8,
2018-03-07,23:00,,1,14,,8,
2018-03-08,00:00,,1,14,,7,
2018-03-08,01:00,,1,9,,6,
2018-03-08,02:00,,1,7,,4,
2018-03-08,03:00,,1,6,,5,
2018-03-08,04:00,,1,5,,7,
