Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-06-01,01:00,,1,12,41,,40,2.1
2018-06-01,02:00,,1,11,38,,33,2.2
2018-06-01,03:00,,1,11,35,,35,2.1
2018-06-01,04:00,,3,16,28,,26,1.9
2018-06-01,05:00,,10,31,14,,14,1.7
2018-06-01,06:00,,19,31,25,,21,2.4
2018-06-01,07:00,,10,20,61,,23,2.6
2018-06-01,08:00,,7,16,76,,18,2.1
2018-06-01,09:00,,3,10,77,,15,1.9
2018-06-01,10:00,,6,22,73,,15,1.8
2018-06-01,11:00,,8,21,93,,18,2.6
2018-06-01,12:00,,5,15,95,,13,1.9
2018-06-01,13:00,,7,17,90,,12,1.6
2018-06-01,14:00,,10,18,72,,17,1.6
2018-06-01,15:00,,7,18,68,,9,1.4
2018-06-01,16:00,,13,32,50,,17,1.5
2018-06-01,17:00,,7,30,38,,14,1.3
2018-06-01,18:00,,8,26,37,,9,1.2
2018-06-01,19:00,,6,26,66,,9,1.7
2018-06-01,20:00,,5,35,54,,12,1.5
2018-06-01,21:00,,5,34,40,,7,1.5
2018-06-01,22:00,,5,27,36,,4,1.5
2018-06-01,23:00,,5,21,37,,10,1.4
2018-06-02,00:00,,2,15,36,,10,1.1
2018-06-02,01:00,,1,9,35,,10,1.2
2018-06-02,02:00,,1,7,36,,8,1.2
2018-06-02,03:00,,1,6,35,,8,1.0
2018-06-02,04:00,,1,7,29,,9,0.5
2018-06-02,05:00,,1,13,22,,10,0.5
2018-06-02,06:00,,4,13,25,,10,0.5
2018-06-02,07:00,,3,10,57,,9,1.2
2018-06-02,08:00,,3,7,82,,8,1.5
2018-06-02,09:00,,2,8,93,,4,1.7
2018-06-02,10:00,,3,8,95,,5,1.5
2018-06-02,11:00,,3,12,82,,6,1.2
2018-06-02,12:00,,2,7,89,,5,1.5
2018-06-02,13:00,,3,7,87,,5,1.4
2018-06-02,14:00,,3,7,89,,5,1.6
2018-06-02,15:00,,2,8,84,,5,1.3
2018-06-02,16:00,,2,8,70,,8,1.1
2018-06-02,17:00,,2,9,77,,8,1.4
2018-06-02,18:00,,2,8,86,,6,1.4
2018-06-02,19:00,,1,8,92,,6,1.4
2018-06-02,20:00,,3,15,80,,7,1.4
2018-06-02,21:00,,2,16,68,,8,1.3
2018-06-02,22:00,,5,30,49,,11,1.3
2018-06-02,23:00,,2,20,51,,11,1.4
2018-06-03,00:00,,2,23,36,,11,1.2
2018-06-03,01:00,,2,11,49,,14,1.3
2018-06-03,02:00,,1,10,36,,13,1.3
2018-06-03,03:00,,1,8,38,,12,1.4
2018-06-03,04:00,,1,7,38,,15,1.2
2018-06-03,05:00,,2,9,33,,15,1.2
2018-06-03,06:00,,1,9,48,,16,2.7
2018-06-03,07:00,,1,7,73,,19,4.0
2018-06-03,08:00,,1,6,79,,21,2.5
2018-06-03,09:00,,1,7,82,,17,3.2
2018-06-03,10:00,,2,7,83,,17,4.3
2018-06-03,11:00,,2,7,85,,16,2.9
2018-06-03,12:00,,2,7,86,,12,2.6
2018-06-03,13:00,,1,6,90,,11,3.1
2018-06-03,14:00,,2,7,89,,9,1.7
2018-06-03,15:00,,3,9,89,,12,1.9
2018-06-03,16:00,,2,9,93,,12,2.1
2018-06-03,17:00,,3,11,93,,12,2.1
2018-06-03,18:00,,3,9,97,,9,2.0
2018-06-03,19:00,,4,14,88,,11,2.9
2018-06-03,20:00,,2,22,75,,14,2.7
2018-06-03,21:00,,2,23,53,,13,2.0
2018-06-03,22:00,,2,20,44,,16,1.7
2018-06-03,23:00,,2,14,38,,15,1.3
2018-06-04,00:00,,1,11,36,,13,1.2
2018-06-04,01:00,,1,6,35,,14,1.2
2018-06-04,02:00,,1,7,27,,14,1.2
2018-06-04,03:00,,1,10,20,,16,1.5
2018-06-04,04:00,,4,17,10,,19,1.3
2018-06-04,05:00,,18,21,6,,19,0.5
2018-06-04,06:00,,31,24,9,,21,1.0
2018-06-04,07:00,,26,28,20,,17,1.1
2018-06-04,08:00,,15,34,42,,18,2.7
2018-06-04,09:00,,6,19,79,,15,2.7
2018-06-04,10:00,,6,15,90,,17,2.1
2018-06-04,11:00,,3,12,95,,15,2.9
2018-06-04,12:00,,5,14,96,,12,1.9
2018-06-04,13:00,,5,15,95,,11,2.0
2018-06-04,14:00,,5,16,103,,12,2.6
2018-06-04,15:00,,4,15,110,,15,2.9
2018-06-04,16:00,,5,19,111,,14,3.5
2018-06-04,17:00,,2,10,115,,7,2.1
2018-06-04,18:00,,3,13,109,,13,1.3
2018-06-04,19:00,,4,14,109,,14,1.9
2018-06-04,20:00,,2,19,95,,15,1.6
2018-06-04,21:00,,2,31,64,,14,1.5
2018-06-04,22:00,,3,23,56,,15,1.6
2018-06-04,23:00,,4,14,51,,17,1.3
2018-06-05,00:00,,1,9,49,,18,1.5
2018-06-05,01:00,,1,7,46,,16,0.5
2018-06-05,02:00,,1,6,42,,14,1.2
2018-06-05,03:00,,1,7,37,,15,0.5
2018-06-05,04:00,,2,14,26,,15,0.5
2018-06-05,05:00,,12,25,14,,17,0.5
2018-06-05,06:00,,18,26,14,,19,0.5
2018-06-05,07:00,,37,42,19,,23,2.0
2018-06-05,08:00,,42,35,64,,25,1.8
2018-06-05,09:00,,4,19,73,,23,2.8
2018-06-05,10:00,,6,18,66,,25,1.7
2018-06-05,11:00,,12,22,60,,28,2.9
2018-06-05,12:00,,6,16,79,,25,3.2
2018-06-05,13:00,,6,16,82,,19,2.9
2018-06-05,14:00,,6,14,79,,21,2.4
2018-06-05,15:00,,7,17,80,,27,1.9
2018-06-05,16:00,,6,16,90,,32,2.0
2018-06-05,17:00,,3,11,90,,32,1.7
2018-06-05,18:00,,5,14,85,,31,3.3
2018-06-05,19:00,,3,12,85,,32,3.1
2018-06-05,20:00,,2,11,75,,28,1.5
2018-06-05,21:00,,3,23,50,,24,1.7
2018-06-05,22:00,,4,20,34,,22,0.5
2018-06-05,23:00,,3,13,29,,21,1.2
2018-06-06,00:00,,1,18,19,,19,0.5
2018-06-06,01:00,,1,6,27,,18,0.5
2018-06-06,02:00,,1,6,26,,17,0.5
2018-06-06,03:00,,1,7,22,,18,0.5
2018-06-06,04:00,,2,13,13,,18,0.5
2018-06-06,05:00,,14,19,7,,18,0.5
2018-06-06,06:00,,32,22,7,,20,0.5
2018-06-06,07:00,,48,34,16,,21,1.2
2018-06-06,08:00,,12,23,71,,21,4.6
2018-06-06,09:00,,8,19,78,,21,5.2
2018-06-06,10:00,,7,18,89,,24,5.4
2018-06-06,11:00,,7,16,93,,23,3.8
2018-06-06,12:00,,8,17,94,,24,5.6
2018-06-06,13:00,,7,17,100,,24,5.1
2018-06-06,14:00,,7,17,110,,22,4.1
2018-06-06,15:00,,9,22,107,,21,3.5
2018-06-06,16:00,,8,22,111,,18,3.3
2018-06-06,17:00,,7,28,105,,19,3.3
2018-06-06,18:00,,6,23,113,,17,4.5
2018-06-06,19:00,,4,18,113,,18,3.5
2018-06-06,20:00,,2,16,108,,16,3.9
2018-06-06,21:00,,1,18,96,,17,3.1
2018-06-06,22:00,,2,15,95,,18,4.0
2018-06-06,23:00,,1,10,95,,16,5.1
2018-06-07,00:00,,1,8,94,,15,4.7
2018-06-07,01:00,,1,9,89,,13,7.2
2018-06-07,02:00,,1,10,83,,12,8.1
2018-06-07,03:00,,1,11,82,,16,9.2
2018-06-07,04:00,,1,15,76,,15,11.9
2018-06-07,05:00,,8,29,65,,14,13.3
2018-06-07,06:00,,13,35,59,,14,12.7
2018-06-07,07:00,,17,39,61,,16,11.7
2018-06-07,08:00,,15,29,81,,20,6.8
2018-06-07,09:00,,8,22,95,,18,5.3
2018-06-07,10:00,,7,24,100,,20,6.4
2018-06-07,11:00,,6,21,107,,19,8.6
2018-06-07,12:00,,7,20,110,,17,9.7
2018-06-07,13:00,,10,25,107,,17,7.3
2018-06-07,14:00,,9,23,116,,16,4.5
2018-06-07,15:00,,6,22,123,,14,11.5
2018-06-07,16:00,,8,25,127,,17,8.2
2018-06-07,17:00,,5,23,129,,19,9.8
2018-06-07,18:00,,5,28,122,,20,5.4
2018-06-07,19:00,,4,27,127,,17,6.6
2018-06-07,20:00,,8,44,89,,17,5.6
2018-06-07,21:00,,2,29,84,,20,6.3
2018-06-07,22:00,,3,25,76,,17,9.9
2018-06-07,23:00,,2,19,72,,22,9.0
2018-06-08,00:00,,1,17,67,,19,5.9
2018-06-08,01:00,,1,10,69,,16,4.2
2018-06-08,02:00,,1,9,64,,15,3.8
2018-06-08,03:00,,1,11,57,,15,3.6
2018-06-08,04:00,,1,16,45,,18,3.5
2018-06-08,05:00,,10,29,30,,21,3.7
2018-06-08,06:00,,23,41,20,,22,4.7
2018-06-08,07:00,,29,52,26,,28,14.3
2018-06-08,08:00,,15,35,70,,24,9.2
2018-06-08,09:00,,5,18,99,,17,5.0
2018-06-08,10:00,,6,17,112,,19,5.8
2018-06-08,11:00,,10,23,110,,14,5.9
2018-06-08,12:00,,6,18,114,,17,5.4
2018-06-08,13:00,,7,23,111,,23,3.2
2018-06-08,14:00,,9,23,119,,24,3.7
2018-06-08,15:00,,6,22,122,,17,3.3
2018-06-08,16:00,,5,21,125,,17,3.0
2018-06-08,17:00,,5,18,128,,23,3.1
2018-06-08,18:00,,5,26,116,,18,3.2
2018-06-08,19:00,,4,24,112,,14,3.3
2018-06-08,20:00,,2,24,108,,17,4.2
2018-06-08,21:00,,3,45,75,,15,3.8
2018-06-08,22:00,,4,30,67,,17,6.6
2018-06-08,23:00,,4,26,59,,16,5.6
2018-06-09,00:00,,2,22,53,,19,3.4
2018-06-09,01:00,,1,13,52,,20,2.8
2018-06-09,02:00,,1,13,44,,21,3.1
2018-06-09,03:00,,1,12,39,,18,2.5
2018-06-09,04:00,,1,13,40,,18,2.6
2018-06-09,05:00,,2,21,31,,17,2.1
2018-06-09,06:00,,5,22,28,,17,2.3
2018-06-09,07:00,,7,21,39,,23,3.4
2018-06-09,08:00,,3,18,56,,23,4.9
2018-06-09,09:00,,4,16,93,,23,7.1
2018-06-09,10:00,,3,14,98,,16,4.9
2018-06-09,11:00,,6,21,86,,22,3.7
2018-06-09,12:00,,4,17,79,,25,3.9
2018-06-09,13:00,,2,10,87,,14,2.7
2018-06-09,14:00,,6,22,61,,18,2.4
2018-06-09,15:00,,6,22,45,,17,1.7
2018-06-09,16:00,,10,23,46,,16,1.8
2018-06-09,17:00,,5,16,54,,16,1.9
2018-06-09,18:00,,8,25,36,,16,1.9
2018-06-09,19:00,,4,16,71,,21,2.8
2018-06-09,20:00,,5,17,85,,26,4.1
2018-06-09,21:00,,5,23,76,,27,6.3
2018-06-09,22:00,,5,32,59,,20,10.7
2018-06-09,23:00,,11,45,36,,19,7.7
2018-06-10,00:00,,4,36,33,,21,3.9
2018-06-10,01:00,,3,21,37,,17,3.2
2018-06-10,02:00,,1,14,32,,17,1.9
2018-06-10,03:00,,1,7,33,,18,1.9
2018-06-10,04:00,,1,7,29,,13,1.2
2018-06-10,05:00,,1,14,23,,14,1.3
2018-06-10,06:00,,2,11,26,,13,1.2
2018-06-10,07:00,,1,6,39,,15,1.7
2018-06-10,08:00,,5,13,32,,13,1.6
2018-06-10,09:00,,2,7,62,,14,2.1
2018-06-10,10:00,,2,4,83,,16,2.1
2018-06-10,11:00,,2,6,81,,20,1.6
2018-06-10,12:00,,1,4,81,,17,2.3
2018-06-10,13:00,,1,6,87,,16,1.4
2018-06-10,14:00,,4,8,70,,21,1.2
2018-06-10,15:00,,4,12,62,,20,1.3
2018-06-10,16:00,,5,9,57,,13,1.6
2018-06-10,17:00,,4,9,66,,15,1.3
2018-06-10,18:00,,4,10,71,,15,0.5
2018-06-10,19:00,,10,16,51,,15,1.4
2018-06-10,20:00,,2,12,88,,15,2.2
2018-06-10,21:00,,1,12,74,,14,2.3
2018-06-10,22:00,,3,18,44,,18,2.2
2018-06-10,23:00,,1,11,36,,19,1.4
2018-06-11,00:00,,1,13,26,,17,1.7
2018-06-11,01:00,,1,7,23,,21,1.1
2018-06-11,02:00,,1,8,17,,21,1.3
2018-06-11,03:00,,2,13,11,,21,0.5
2018-06-11,04:00,,7,19,6,,22,0.5
2018-06-11,05:00,,30,27,2,,23,1.1
2018-06-11,06:00,,31,36,15,,26,1.3
2018-06-11,07:00,,7,24,56,,31,2.4
2018-06-11,08:00,,9,23,64,,32,3.0
2018-06-11,09:00,,3,14,84,,32,2.6
2018-06-11,10:00,,4,15,95,,28,2.2
2018-06-11,11:00,,4,17,88,,27,2.2
2018-06-11,12:00,,6,18,87,,28,1.9
2018-06-11,13:00,,4,12,98,,27,1.5
2018-06-11,14:00,,3,11,101,,26,1.6
2018-06-11,15:00,,6,18,95,,23,1.5
2018-06-11,16:00,,5,15,94,,22,1.2
2018-06-11,17:00,,3,12,100,,22,1.7
2018-06-11,18:00,,1,8,100,,25,1.4
2018-06-11,19:00,,2,9,95,,24,1.7
2018-06-11,20:00,,1,8,93,,25,2.1
2018-06-11,21:00,,1,8,93,,26,1.9
2018-06-11,22:00,,1,9,96,,29,2.2
2018-06-11,23:00,,1,8,77,,29,2.0
2018-06-12,00:00,,1,7,78,,26,1.9
2018-06-12,01:00,,1,5,81,,19,2.3
2018-06-12,02:00,,1,4,77,,12,1.6
2018-06-12,03:00,,1,4,75,,10,1.8
2018-06-12,04:00,,1,9,68,,10,1.7
2018-06-12,05:00,,2,14,59,,12,1.6
2018-06-12,06:00,,9,32,38,,12,1.0
2018-06-12,07:00,,9,27,41,,12,1.4
2018-06-12,08:00,,7,20,48,,15,1.2
2018-06-12,09:00,,6,18,47,,17,1.9
2018-06-12,10:00,,8,18,52,,18,2.4
2018-06-12,11:00,,7,15,60,,20,2.6
2018-06-12,12:00,,8,15,63,,19,2.7
2018-06-12,13:00,,7,16,65,,21,2.8
2018-06-12,14:00,,5,14,65,,21,1.7
2018-06-12,15:00,,5,14,65,,21,1.5
2018-06-12,16:00,,5,13,68,,21,1.8
2018-06-12,17:00,,5,17,67,,24,1.8
2018-06-12,18:00,,4,19,67,,26,5.4
2018-06-12,19:00,,4,19,64,,24,5.4
2018-06-12,20:00,,2,15,72,,19,4.1
2018-06-12,21:00,,1,10,75,,17,3.5
2018-06-12,22:00,,1,10,69,,16,2.1
2018-06-12,23:00,,1,9,63,,15,2.3
2018-06-13,00:00,,1,7,56,,13,1.3
2018-06-13,01:00,,1,6,54,,12,1.7
2018-06-13,02:00,,1,5,60,,11,1.3
2018-06-13,03:00,,1,6,59,,11,1.5
2018-06-13,04:00,,2,10,58,,12,2.8
2018-06-13,05:00,,3,17,50,,13,4.7
2018-06-13,06:00,,7,19,47,,16,3.9
2018-06-13,07:00,,6,19,49,,13,3.3
2018-06-13,08:00,,6,18,49,,10,2.5
2018-06-13,09:00,,7,19,46,,10,3.8
2018-06-13,10:00,,9,16,52,,14,3.5
2018-06-13,11:00,,6,14,52,,12,2.6
2018-06-13,12:00,,9,16,52,,9,1.8
2018-06-13,13:00,,7,15,56,,13,2.2
2018-06-13,14:00,,3,12,56,,15,2.3
2018-06-13,15:00,,9,16,55,,16,2.1
2018-06-13,16:00,,3,12,58,,13,2.7
2018-06-13,17:00,,3,11,58,,11,2.2
2018-06-13,18:00,,3,10,58,,12,2.8
2018-06-13,19:00,,1,9,56,,10,2.3
2018-06-13,20:00,,1,9,50,,10,1.6
2018-06-13,21:00,,1,10,46,,11,2.0
2018-06-13,22:00,,1,9,47,,12,2.1
2018-06-13,23:00,,1,7,50,,16,2.6
2018-06-14,00:00,,1,7,50,,14,2.3
2018-06-14,01:00,,1,6,49,,14,2.3
2018-06-14,02:00,,1,7,47,,16,3.0
2018-06-14,03:00,,1,7,44,,15,2.7
2018-06-14,04:00,,1,8,45,,15,2.4
2018-06-14,05:00,,5,14,37,,16,2.4
2018-06-14,06:00,,8,24,28,,18,2.5
2018-06-14,07:00,,14,24,30,,17,1.9
2018-06-14,08:00,,12,21,31,,16,1.7
2018-06-14,09:00,,5,14,56,,14,3.0
2018-06-14,10:00,,8,14,62,,18,2.1
2018-06-14,11:00,,7,14,64,,15,1.4
2018-06-14,12:00,,5,13,67,,13,1.3
2018-06-14,13:00,,9,13,71,,14,1.3
2018-06-14,14:00,,7,12,74,,13,1.4
2018-06-14,15:00,,6,12,75,,12,1.3
2018-06-14,16:00,,7,12,77,,12,1.1
2018-06-14,17:00,,5,9,73,,13,1.3
2018-06-14,18:00,,5,9,73,,10,1.3
2018-06-14,19:00,,7,13,66,,7,1.2
2018-06-14,20:00,,2,13,61,,8,1.3
2018-06-14,21:00,,3,22,33,,11,0.5
2018-06-14,22:00,,6,20,25,,10,0.5
2018-06-14,23:00,,5,12,24,,11,0.5
2018-06-15,00:00,,1,10,26,,12,0.5
2018-06-15,01:00,,1,6,28,,12,0.5
2018-06-15,02:00,,1,6,31,,11,0.5
2018-06-15,03:00,,1,10,27,,10,0.5
2018-06-15,04:00,,2,14,20,,9,0.5
2018-06-15,05:00,,15,21,12,,10,0.5
2018-06-15,06:00,,24,26,13,,14,0.5
2018-06-15,07:00,,43,41,18,,19,1.3
2018-06-15,08:00,,5,19,84,,21,2.9
2018-06-15,09:00,,3,14,94,,23,2.6
2018-06-15,10:00,,4,15,94,,19,2.8
2018-06-15,11:00,,3,14,95,,18,2.5
2018-06-15,12:00,,4,13,94,,16,2.1
2018-06-15,13:00,,5,16,99,,18,2.4
2018-06-15,14:00,,5,20,103,,15,2.1
2018-06-15,15:00,,3,11,112,,16,2.2
2018-06-15,16:00,,2,10,114,,16,1.4
2018-06-15,17:00,,2,11,109,,18,1.7
2018-06-15,18:00,,2,10,108,,18,1.7
2018-06-15,19:00,,4,14,106,,18,2.0
2018-06-15,20:00,,3,15,95,,17,2.9
2018-06-15,21:00,,3,28,73,,20,1.9
2018-06-15,22:00,,3,22,59,,22,1.9
2018-06-15,23:00,,4,16,48,,23,1.3
2018-06-16,00:00,,1,9,49,,17,1.6
2018-06-16,01:00,,1,7,42,,17,0.5
2018-06-16,02:00,,1,7,35,,17,1.2
2018-06-16,03:00,,1,7,33,,14,0.5
2018-06-16,04:00,,1,7,32,,14,1.1
2018-06-16,05:00,,2,19,28,,15,1.5
2018-06-16,06:00,,7,29,21,,17,3.1
2018-06-16,07:00,,10,41,25,,18,9.6
2018-06-16,08:00,,8,31,58,,21,11.7
2018-06-16,09:00,,6,23,94,,22,10.6
2018-06-16,10:00,,5,24,96,,18,8.3
2018-06-16,11:00,,5,24,92,,21,8.7
2018-06-16,12:00,,11,32,72,,19,6.0
2018-06-16,13:00,,3,19,98,,17,6.1
2018-06-16,14:00,,3,16,105,,17,3.9
2018-06-16,15:00,,3,14,108,,17,3.3
2018-06-16,16:00,,3,14,108,,16,2.6
2018-06-16,17:00,,8,21,94,,13,2.1
2018-06-16,18:00,,6,27,76,,17,2.1
2018-06-16,19:00,,6,29,68,,18,1.9
2018-06-16,20:00,,3,27,62,,22,2.1
2018-06-16,21:00,,3,27,49,,28,2.4
2018-06-16,22:00,,3,24,45,,33,2.1
2018-06-16,23:00,,5,17,49,,32,2.3
2018-06-17,00:00,,2,14,55,,26,1.6
2018-06-17,01:00,,1,9,58,,26,1.7
2018-06-17,02:00,,1,8,58,,21,1.3
2018-06-17,03:00,,1,8,63,,18,1.5
2018-06-17,04:00,,1,8,65,,16,1.3
2018-06-17,05:00,,1,13,58,,14,1.5
2018-06-17,06:00,,4,13,54,,16,1.5
2018-06-17,07:00,,1,6,69,,16,1.3
2018-06-17,08:00,,2,12,86,,16,2.3
2018-06-17,09:00,,1,8,110,,18,2.0
2018-06-17,10:00,,1,6,124,,15,2.1
2018-06-17,11:00,,1,10,111,,13,1.3
2018-06-17,12:00,,1,5,116,,15,1.8
2018-06-17,13:00,,1,7,113,,11,1.8
2018-06-17,14:00,,2,9,95,,12,1.4
2018-06-17,15:00,,3,11,86,,14,2.2
2018-06-17,16:00,,1,7,88,,13,1.8
2018-06-17,17:00,,3,9,71,,13,1.7
2018-06-17,18:00,,2,9,56,,8,1.5
2018-06-17,19:00,,5,11,48,,8,1.3
2018-06-17,20:00,,1,7,54,,11,1.7
2018-06-17,21:00,,1,9,52,,12,1.2
2018-06-17,22:00,,3,12,28,,13,1.3
2018-06-17,23:00,,2,10,18,,14,0.5
2018-06-18,00:00,,1,10,12,,13,0.5
2018-06-18,01:00,,1,7,16,,14,0.5
2018-06-18,02:00,,1,5,19,,13,0.5
2018-06-18,03:00,,2,5,17,,10,0.5
2018-06-18,04:00,,3,8,16,,12,0.5
2018-06-18,05:00,,14,19,11,,13,0.5
2018-06-18,06:00,,23,20,15,,10,0.5
2018-06-18,07:00,,31,28,23,,13,1.1
2018-06-18,08:00,,9,18,49,,16,1.8
2018-06-18,09:00,,5,15,61,,18,3.7
2018-06-18,10:00,,7,18,59,,19,2.5
2018-06-18,11:00,,5,13,69,,18,1.7
2018-06-18,12:00,,7,18,68,,16,2.1
2018-06-18,13:00,,7,16,73,,18,2.0
2018-06-18,14:00,,4,10,80,,13,1.8
2018-06-18,15:00,,3,10,76,,8,1.2
2018-06-18,16:00,,4,12,77,,5,1.2
2018-06-18,17:00,,3,10,80,,6,1.6
2018-06-18,18:00,,4,14,72,,10,1.1
2018-06-18,19:00,,1,7,77,,8,1.6
2018-06-18,20:00,,2,11,65,,11,1.3
2018-06-18,21:00,,4,25,33,,12,1.0
2018-06-18,22:00,,4,16,28,,10,1.2
2018-06-18,23:00,,3,9,26,,11,0.5
2018-06-19,00:00,,1,9,26,,9,0.5
2018-06-19,01:00,,1,6,27,,9,0.5
2018-06-19,02:00,,1,5,23,,9,0.5
2018-06-19,03:00,,1,6,23,,9,0.5
2018-06-19,04:00,,2,9,24,,10,0.5
2018-06-19,05:00,,9,18,19,,11,0.5
2018-06-19,06:00,,26,29,14,,10,0.5
2018-06-19,07:00,,23,34,12,,13,0.5
2018-06-19,08:00,,18,23,32,,12,1.3
2018-06-19,09:00,,6,13,50,,9,1.1
2018-06-19,10:00,,6,12,52,,10,1.4
2018-06-19,11:00,,4,11,62,,13,1.3
2018-06-19,12:00,,4,9,70,,14,1.4
2018-06-19,13:00,,3,10,71,,10,1.5
2018-06-19,14:00,,4,9,72,,10,1.3
2018-06-19,15:00,,3,11,72,,14,1.6
2018-06-19,16:00,,4,12,74,,10,1.5
