Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-06-01,01:00,,5,29,,23,
2018-06-01,02:00,,8,26,,23,
2018-06-01,03:00,,9,26,,25,
2018-06-01,04:00,,23,32,,26,
2018-06-01,05:00,,48,42,,29,
2018-06-01,06:00,,,,,31,
2018-06-01,07:00,,96,65,,40,
2018-06-01,08:00,,62,54,,,
2018-06-01,09:00,,40,39,,,
2018-06-01,10:00,,33,49,,,
2018-06-01,11:00,,33,51,,21,
2018-06-01,12:00,,24,47,,23,
2018-06-01,13:00,,34,59,,20,
2018-06-01,14:00,,39,63,,13,
2018-06-01,15:00,,43,62,,12,
2018-06-01,16:00,,51,75,,15,
2018-06-01,17:00,,47,83,,18,
2018-06-01,18:00,,38,64,,18,
2018-06-01,19:00,,20,45,,20,
2018-06-01,20:00,,18,48,,14,
2018-06-01,21:00,,13,46,,16,
2018-06-01,22:00,,17,48,,16,
2018-06-01,23:00,,14,39,,13,
2018-06-02,00:00,,7,28,,10,
2018-06-02,01:00,,7,27,,14,
2018-06-02,02:00,,4,19,,11,
2018-06-02,03:00,,3,14,,10,
2018-06-02,04:00,,7,18,,8,
