Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,,,,,,,,8.23,,,,,,,
2018-09-01,01:00,0.2,1022,76.5,1,8,55,,13,,1.5,0,9.9,2.3,2
2018-09-01,02:00,0.2,1022,79.2,1,8,49,,13,,1.4,0,9.4,2.4,352
2018-09-01,03:00,0.2,1022,80.1,1,9,47,,13,,1.3,0,9.2,2.6,355
2018-09-01,04:00,0.2,1022,82.6,1,10,42,,13,,1.2,0,8.7,2.4,13
2018-09-01,05:00,0.2,1022,87.8,1,10,40,,12,,1.0,0,8.0,2.5,11
2018-09-01,06:00,0.2,1022,87.6,1,9,43,,13,,1.0,5,8.2,2.8,13
2018-09-01,07:00,0.2,1022,85.3,1,9,45,,13,,1.4,40,8.5,2.5,3
2018-09-01,08:00,0.2,1022,91.0,1,10,43,,12,,1.0,98,8.7,2.8,6
2018-09-01,09:00,0.2,1023,91.5,1,9,49,,11,,1.3,117,9.0,2.9,360
2018-09-01,10:00,0.2,1023,89.9,1,8,53,,11,,1.2,54,9.1,3.3,357
2018-09-01,11:00,0.2,1023,88.2,1,10,54,,10,,1.4,40,9.1,3.1,352
2018-09-01,12:00,0.2,1023,96.2,1,11,52,,12,,1.9,50,8.6,3.4,348
2018-09-01,13:00,0.2,1024,99.6,1,11,52,,9,,1.6,47,8.4,3.3,337
2018-09-01,14:00,0.2,1024,99.6,1,10,53,,7,,1.4,60,8.8,3.2,340
2018-09-01,15:00,0.2,1024,99.6,1,11,54,,7,,1.4,51,9.0,3.7,340
2018-09-01,16:00,0.2,1024,99.6,1,13,49,,7,,1.5,34,9.1,3.1,339
2018-09-01,17:00,0.3,1024,99.6,1,10,52,,7,,1.3,22,9.6,3.0,5
2018-09-01,18:00,0.3,1024,99.6,1,6,64,,6,,1.3,16,9.9,4.1,20
2018-09-01,19:00,0.3,1024,99.6,1,5,69,,5,,1.3,1,9.7,3.9,18
2018-09-01,20:00,0.2,1024,99.6,1,4,72,,6,,1.4,0,9.5,4.4,16
2018-09-01,21:00,0.2,1024,99.6,1,6,68,,6,,1.7,0,9.6,4.4,18
2018-09-01,22:00,0.2,1024,99.6,1,7,62,,5,,1.9,0,9.8,3.8,19
2018-09-01,23:00,0.3,1024,99.6,1,5,61,,3,,1.3,0,10.1,3.2,20
2018-09-02,,,,,,,,6.59,,,,,,,
2018-09-02,00:00,0.3,1023,99.6,1,5,64,,2,,1.3,0,10.2,4.2,21
2018-09-02,01:00,,1023,99.6,1,4,66,,0,,1.3,0,10.3,4.7,22
2018-09-02,02:00,,1023,99.6,1,4,69,,1,,1.3,0,10.5,4.5,24
2018-09-02,03:00,,1023,99.6,1,4,70,,2,,1.4,0,10.6,3.7,22
2018-09-02,04:00,,1022,99.6,1,4,66,,2,,1.3,0,10.5,2.9,12
2018-09-02,05:00,,1022,99.6,1,4,70,,2,,1.3,0,10.6,4.5,19
2018-09-02,06:00,0.3,1022,99.6,1,5,63,,4,,1.2,1,10.3,4.0,17
2018-09-02,07:00,0.3,1022,99.6,1,5,66,,4,,1.2,11,10.0,5.2,23
2018-09-02,08:00,0.3,1022,99.6,1,4,67,,3,,1.3,21,10.1,5.7,26
2018-09-02,09:00,0.3,1022,99.6,1,4,66,,4,,1.3,26,10.2,5.0,29
2018-09-02,10:00,0.3,1022,99.6,1,4,61,,4,,1.2,80,10.6,4.1,31
2018-09-02,11:00,0.3,1022,99.6,1,4,56,,4,,1.1,248,12.1,2.7,31
2018-09-02,12:00,0.3,1022,99.6,1,4,54,,5,,0.5,148,12.8,1.9,22
2018-09-02,13:00,0.4,1022,99.6,1,4,53,,7,,1.0,123,13.4,1.5,41
2018-09-02,14:00,0.4,1022,99.6,1,5,47,,9,,0.5,150,13.4,1.6,1
2018-09-02,15:00,0.4,1022,99.6,1,4,46,,8,,0.5,132,13.3,2.3,12
2018-09-02,16:00,0.3,1022,99.6,1,5,46,,9,,0.5,100,13.2,2.2,14
2018-09-02,17:00,0.4,1021,99.6,1,5,48,,9,,0.5,54,13.3,2.3,13
2018-09-02,18:00,0.4,1021,99.6,1,5,46,,9,,0.5,28,13.1,2.9,24
2018-09-02,19:00,0.4,1021,99.6,1,5,50,,8,,0.5,12,12.8,3.9,27
2018-09-02,20:00,0.3,1021,99.6,1,5,55,,6,,1.1,0,12.7,3.2,31
2018-09-02,21:00,0.4,1021,99.6,1,4,68,,11,,1.3,0,13.5,1.7,47
2018-09-02,22:00,0.5,1021,99.6,1,5,56,,16,,1.1,0,13.4,2.3,24
2018-09-02,23:00,0.5,1020,99.6,1,5,48,,10,,0.5,0,13.7,1.0,15
2018-09-03,00:00,0.5,1019,99.6,1,5,56,,9,,1.1,0,13.8,1.8,23
2018-09-03,01:00,0.5,1019,99.5,1,5,61,,9,,1.3,0,13.5,1.6,52
2018-09-03,02:00,0.5,1019,99.6,1,4,67,,12,,1.5,0,13.8,1.9,79
2018-09-03,03:00,0.5,1019,99.6,1,4,76,,19,,1.8,0,14.1,1.8,115
2018-09-03,04:00,0.5,1018,99.6,1,4,84,,18,,2.3,0,14.1,3.2,112
2018-09-03,05:00,0.4,1018,93.1,1,4,85,,18,,2.3,0,14.4,3.6,110
2018-09-03,06:00,0.4,1017,90.4,1,5,81,,16,,2.9,5,14.4,5.3,113
2018-09-03,07:00,0.4,1017,94.9,1,8,71,,16,,4.0,45,14.1,5.0,122
2018-09-03,08:00,0.4,1017,98.8,1,12,63,,18,,5.0,53,13.8,4.8,131
2018-09-03,09:00,0.4,1018,99.6,1,10,64,,17,,2.9,51,13.5,3.9,121
2018-09-03,10:00,0.4,1018,99.6,1,7,75,,9,,2.0,67,13.5,3.9,129
2018-09-03,11:00,0.3,1017,99.6,1,12,56,,7,,2.0,117,14.4,1.5,19
2018-09-03,12:00,0.3,1017,95.0,1,6,71,,9,,1.5,129,15.4,1.5,96
2018-09-03,13:00,0.2,1017,92.5,1,5,76,,6,,1.9,238,15.2,2.8,120
2018-09-03,14:00,0.3,1017,85.9,1,7,80,,11,,3.1,176,15.7,3.7,115
2018-09-03,15:00,0.4,1017,89.4,1,8,74,,15,,3.7,133,15.8,2.8,117
2018-09-03,16:00,0.3,1017,84.1,1,7,84,,14,,3.3,165,16.1,3.5,116
2018-09-03,17:00,0.3,1017,82.1,1,8,85,,11,,3.8,149,16.4,2.3,111
2018-09-03,18:00,0.3,1016,83.7,1,7,82,,11,,3.2,71,16.1,1.8,120
2018-09-03,19:00,0.3,1016,89.1,1,7,73,,12,,2.9,11,15.5,2.2,48
2018-09-03,20:00,0.3,1016,95.4,1,7,69,,15,,2.1,0,15.2,2.3,56
2018-09-03,21:00,0.4,1016,89.6,1,6,77,,18,,2.3,0,15.4,2.3,71
2018-09-03,22:00,0.4,1016,72.7,1,4,91,,16,,2.5,0,15.8,2.4,68
2018-09-03,23:00,0.3,1016,84.8,1,5,77,,17,,2.0,0,14.6,2.8,36
2018-09-04,00:00,0.4,1016,89.0,1,5,89,,16,,2.4,0,14.1,3.0,31
2018-09-04,01:00,0.3,1016,89.3,1,5,91,,17,,2.5,0,14.2,3.0,33
2018-09-04,02:00,0.3,1015,94.6,1,5,82,,18,,2.1,0,13.4,2.3,12
2018-09-04,03:00,0.3,1015,96.8,1,5,85,,19,,2.4,0,13.3,2.3,17
2018-09-04,04:00,0.3,1015,99.1,1,5,70,,21,,1.9,0,12.8,1.5,331
2018-09-04,05:00,0.3,1015,99.6,1,6,51,,15,,1.3,0,12.3,2.2,314
2018-09-04,06:00,0.4,1015,99.6,1,6,53,,11,,1.4,6,12.1,2.0,1
2018-09-04,07:00,0.4,1016,99.6,1,6,53,,20,,1.5,62,12.5,1.8,4
2018-09-04,08:00,0.4,1016,99.5,1,6,51,,23,,1.4,182,13.0,1.0,332
2018-09-04,09:00,0.4,1016,99.2,1,7,55,,19,,1.5,427,14.8,1.8,13
2018-09-04,10:00,0.4,1016,82.7,1,6,55,,21,,1.6,548,17.0,1.9,342
2018-09-04,11:00,0.4,1016,75.5,1,6,69,,20,,1.9,507,18.1,2.5,347
2018-09-04,12:00,0.3,1016,63.3,1,4,101,,21,,2.4,473,19.2,3.4,5
2018-09-04,13:00,0.3,1016,57.4,1,4,106,,20,,2.2,649,20.3,3.7,17
2018-09-04,14:00,0.3,1016,50.0,1,4,113,,18,,2.1,701,21.6,3.3,7
2018-09-04,15:00,0.3,1016,52.6,1,6,114,,18,,2.8,583,20.9,3.7,3
2018-09-04,16:00,0.3,1016,56.4,1,6,117,,24,,3.1,312,19.7,3.8,358
2018-09-04,17:00,0.3,1016,56.1,1,5,115,,21,,2.8,294,19.7,3.0,2
2018-09-04,18:00,0.3,1016,56.0,1,6,114,,19,,2.9,130,19.0,2.5,351
2018-09-04,19:00,0.3,1016,60.3,1,6,113,,18,,2.7,7,17.1,2.3,352
2018-09-04,20:00,0.3,1017,67.4,1,6,109,,18,,2.6,0,15.9,2.7,10
2018-09-04,21:00,0.3,1017,73.5,1,7,107,,18,,2.5,0,15.4,2.4,20
2018-09-04,22:00,0.3,1018,73.9,1,6,107,,20,,2.7,0,15.6,2.6,41
2018-09-04,23:00,0.3,1018,72.2,1,5,110,,17,,3.0,0,15.5,2.4,55
2018-09-05,00:00,0.3,1018,71.5,1,5,112,,15,,3.1,0,15.7,2.5,43
2018-09-05,01:00,0.2,1018,73.6,1,5,109,,18,,2.8,0,15.1,1.9,24
2018-09-05,02:00,0.3,1018,77.3,1,5,104,,18,,2.8,0,14.5,1.0,306
2018-09-05,03:00,0.3,1018,77.5,1,5,107,,18,,3.1,0,14.7,0.6,103
2018-09-05,04:00,0.2,1018,71.5,1,3,114,,15,,2.6,0,15.4,0.7,141
2018-09-05,05:00,0.2,1018,71.2,1,3,112,,14,,2.7,0,15.3,0.6,284
2018-09-05,06:00,0.3,1018,78.8,1,6,100,,17,,2.7,5,14.3,1.1,298
2018-09-05,07:00,0.3,1018,78.2,1,5,103,,19,,2.8,82,14.9,1.1,276
2018-09-05,08:00,0.3,1018,72.3,1,5,94,,17,,2.4,196,16.5,1.1,310
2018-09-05,09:00,0.3,1019,74.2,1,6,84,,18,,2.1,256,16.5,1.3,323
