Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,01:00,,1021,75.4,1,19,19,16,0.5,0,15.6,0.1,262
2018-09-01,02:00,,1021,78.7,1,20,9,13,0.5,0,15.7,0.0,25
2018-09-01,03:00,,1021,79.6,1,20,9,12,0.5,0,15.6,0.0,271
2018-09-01,04:00,,1021,77.7,1,19,14,12,0.5,0,15.5,0.0,290
2018-09-01,05:00,,1021,78.8,1,17,13,12,0.5,0,15.4,0.0,280
2018-09-01,06:00,,1021,72.2,2,17,30,26,0.5,1,15.4,0.1,321
2018-09-01,07:00,,1021,73.9,1,13,39,15,0.5,4,15.1,0.6,326
2018-09-01,08:00,,1021,83.2,1,16,37,11,0.5,9,14.2,0.7,320
2018-09-01,09:00,,1022,86.8,2,19,31,15,0.5,26,14.1,0.5,319
2018-09-01,10:00,,1022,87.8,2,15,34,12,0.5,40,14.5,0.5,346
2018-09-01,11:00,,1022,87.9,2,15,35,13,0.5,79,14.9,0.6,355
2018-09-01,12:00,,1022,86.6,1,10,53,14,0.5,67,15.5,0.6,13
2018-09-01,13:00,,1022,87.7,1,9,57,13,0.5,32,15.4,0.6,4
2018-09-01,14:00,,1022,87.2,1,7,62,10,0.5,66,15.5,0.6,16
2018-09-01,15:00,,1022,86.6,1,8,63,9,0.5,47,15.7,0.5,10
2018-09-01,16:00,,1022,87.6,1,6,61,10,0.5,38,15.8,0.5,18
2018-09-01,17:00,,1022,88.6,1,7,60,11,0.5,21,15.6,0.5,12
2018-09-01,18:00,,1022,90.5,1,10,56,11,0.5,8,15.2,0.7,359
2018-09-01,19:00,,1022,91.6,1,7,55,10,0.5,1,14.8,0.9,356
2018-09-01,20:00,,1023,93.7,1,5,56,9,0.5,0,14.1,1.2,342
2018-09-01,21:00,,1023,93.8,1,6,57,9,0.5,0,14.1,1.0,357
2018-09-01,22:00,,1023,94.3,1,7,59,7,0.5,0,14.1,1.1,9
2018-09-01,23:00,,1023,94.3,1,8,57,11,0.5,0,14.1,0.9,9
2018-09-02,00:00,,1023,93.5,1,6,59,14,0.5,0,14.2,0.9,9
2018-09-02,01:00,,1023,92.9,1,8,55,14,0.5,0,14.4,0.7,2
2018-09-02,02:00,,1023,93.1,1,6,59,12,0.5,0,14.5,0.7,4
2018-09-02,03:00,,1023,92.6,1,5,62,9,0.5,0,14.6,0.7,1
2018-09-02,04:00,,1023,92.4,1,4,66,7,0.5,0,14.7,0.8,16
2018-09-02,05:00,,1022,93.1,1,5,62,8,0.5,0,14.5,0.8,13
2018-09-02,06:00,,1022,93.0,1,5,62,6,0.5,0,14.4,0.8,18
2018-09-02,07:00,,1022,92.3,1,5,61,9,0.5,8,14.4,0.8,17
2018-09-02,08:00,,1022,92.1,1,7,54,10,0.5,13,14.5,0.6,19
2018-09-02,09:00,,1022,91.0,1,6,49,15,0.5,26,15.1,0.3,7
2018-09-02,10:00,,1022,90.2,2,10,41,12,0.5,53,15.5,0.3,358
2018-09-02,11:00,,1022,85.7,1,7,44,15,0.5,179,16.8,0.5,1
2018-09-02,12:00,,1022,82.6,2,9,45,17,0.5,186,17.6,0.6,349
2018-09-02,13:00,,1022,82.1,1,6,50,21,0.5,149,18.2,0.5,356
2018-09-02,14:00,,1022,77.7,1,5,58,22,0.5,177,19.7,0.6,357
2018-09-02,15:00,,1021,77.0,1,6,65,23,0.5,155,20.3,0.8,2
2018-09-02,16:00,,1021,74.9,1,7,71,24,0.5,131,21.0,0.7,352
2018-09-02,17:00,,1021,73.2,1,6,80,26,0.5,129,21.7,0.7,352
2018-09-02,18:00,,1021,70.1,1,10,81,29,0.5,78,22.7,0.3,2
2018-09-02,19:00,,1020,75.4,1,10,83,30,0.5,21,21.5,0.5,326
2018-09-02,20:00,,1020,80.5,1,15,66,30,0.5,0,20.3,0.5,308
2018-09-02,21:00,,1020,85.0,1,15,50,32,0.5,0,19.3,0.5,253
2018-09-02,22:00,,1020,87.2,1,13,45,31,0.5,0,18.7,0.7,256
2018-09-02,23:00,,1020,89.3,1,10,41,30,0.5,0,18.2,0.6,259
2018-09-03,00:00,,1019,90.0,1,13,29,28,0.5,0,17.8,0.4,243
2018-09-03,01:00,,1019,90.6,1,11,24,28,0.5,0,17.5,0.4,237
2018-09-03,02:00,,1019,90.5,1,14,11,31,0.5,0,17.0,0.2,229
2018-09-03,03:00,,1019,91.3,5,13,3,28,0.5,0,16.4,0.1,183
2018-09-03,04:00,,1018,91.0,4,12,2,24,0.5,0,16.5,0.0,191
2018-09-03,05:00,,1018,91.3,7,11,1,22,0.5,0,15.7,0.1,170
2018-09-03,06:00,,1018,92.8,13,14,1,26,0.5,4,15.7,0.1,191
2018-09-03,07:00,,1017,92.4,21,15,2,22,0.5,42,16.2,0.0,85
2018-09-03,08:00,,1017,87.6,42,25,3,29,0.5,96,17.9,0.1,193
2018-09-03,09:00,,1017,80.8,20,25,15,32,0.5,114,19.6,0.2,343
2018-09-03,10:00,,1017,73.9,5,17,42,30,1.1,206,21.1,0.7,245
2018-09-03,11:00,,1017,64.6,2,12,67,30,2.2,310,23.5,0.8,257
2018-09-03,12:00,,1017,57.3,1,9,86,25,2.4,199,25.0,0.3,192
2018-09-03,13:00,,1016,58.5,1,13,82,24,2.3,110,24.6,0.4,194
2018-09-03,14:00,,1016,57.8,1,12,84,20,1.9,91,24.5,0.2,114
2018-09-03,15:00,,1016,78.0,2,19,58,27,0.5,122,22.2,0.2,293
2018-09-03,16:00,,1016,71.7,2,24,53,27,0.5,75,22.8,0.0,164
2018-09-03,17:00,,1016,69.4,1,14,63,24,0.5,59,23.0,0.0,61
2018-09-03,18:00,,1015,68.3,1,13,82,31,0.5,31,22.3,0.2,58
2018-09-03,19:00,,1015,77.0,1,24,44,27,0.5,3,21.0,0.0,290
2018-09-03,20:00,,1015,84.9,1,30,20,26,0.5,0,19.6,0.0,150
2018-09-03,21:00,,1015,87.8,1,33,10,26,0.5,0,18.4,0.0,164
