Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-11-01,01:00,1.9,1015,98.4,11,16,,17,,0.5,0,,0.1,
2018-11-01,02:00,1.8,1015,98.3,28,12,,15,,0.5,0,,0.2,
2018-11-01,03:00,1.5,1015,97.4,9,11,,13,,0.5,0,,0.2,
2018-11-01,04:00,1.0,1014,98.2,6,8,,8,,0.5,0,,0.1,
2018-11-01,05:00,0.9,1014,98.7,17,9,,7,,0.5,0,,0.2,
2018-11-01,06:00,1.0,1014,98.5,23,9,,10,,0.5,0,,0.1,
2018-11-01,07:00,0.8,1013,99.0,45,10,,9,,0.5,0,,0.1,
2018-11-01,08:00,1.4,1013,98.6,88,15,,14,,0.5,25,,0.2,
2018-11-01,09:00,3.6,1012,95.4,107,20,,28,,1.3,64,0.5,0.1,
2018-11-01,10:00,5.3,1012,91.5,67,16,,31,,1.1,119,2.8,0.2,
2018-11-01,11:00,5.6,1012,87.9,60,22,,27,,1.7,127,6.1,0.3,
2018-11-01,12:00,2.6,1011,78.8,6,20,,23,,3.2,94,8.7,0.7,
2018-11-01,13:00,0.7,1011,71.7,2,14,,12,,3.5,98,9.4,0.8,
2018-11-01,14:00,0.7,1010,68.7,4,17,,10,,2.6,90,9.8,0.7,
2018-11-01,15:00,1.1,1010,68.5,3,13,,13,,2.9,80,9.5,1.3,
2018-11-01,16:00,0.5,1010,72.5,6,19,,9,,3.2,42,8.9,0.9,
2018-11-01,17:00,0.8,1011,77.1,10,30,,13,,2.7,10,8.0,0.4,
2018-11-01,18:00,1.4,1012,83.9,33,40,,17,,1.4,0,6.4,0.0,
2018-11-01,19:00,1.3,1012,91.1,24,27,,18,,0.5,0,4.6,0.1,
2018-11-01,20:00,1.8,1013,95.2,43,27,,22,,0.5,0,2.8,0.1,
2018-11-01,21:00,5.7,1014,97.1,40,22,,44,,0.5,0,1.8,0.3,
2018-11-01,22:00,3.8,1015,97.3,33,15,,38,,0.5,0,0.9,0.2,
2018-11-01,23:00,3.1,1015,97.6,25,12,,31,,0.5,0,0.2,0.3,
2018-11-02,00:00,2.5,1016,97.5,19,9,,27,,0.5,0,,0.3,
2018-11-02,01:00,2.7,1017,97.2,16,7,,21,,0.5,0,,0.3,
2018-11-02,02:00,1.5,1017,97.9,15,5,,15,,0.5,0,,0.1,
2018-11-02,03:00,1.2,1017,98.4,11,4,,12,,0.5,0,,0.1,
2018-11-02,04:00,1.5,1018,98.5,12,6,,17,,0.5,0,,0.1,
2018-11-02,05:00,1.5,1018,98.5,12,6,,17,,0.5,0,,0.0,
2018-11-02,06:00,1.5,1019,98.6,21,7,,16,,0.5,0,,0.1,
2018-11-02,07:00,1.5,1019,99.4,36,8,,14,,0.5,0,,0.4,
2018-11-02,08:00,1.7,1021,99.5,37,7,,14,,0.5,19,,0.1,
2018-11-02,09:00,1.8,1021,99.1,44,8,,17,,0.5,49,,0.1,
2018-11-02,10:00,2.5,1022,96.3,68,14,,23,,0.5,140,1.3,0.2,
2018-11-02,11:00,3.6,1022,87.9,20,11,,21,,0.5,224,5.0,0.7,
2018-11-02,12:00,1.5,1022,80.5,15,25,,18,,1.3,162,8.4,0.5,
2018-11-02,13:00,1.4,1022,73.5,5,18,,15,,1.6,163,9.9,0.4,
2018-11-02,14:00,0.7,1021,70.0,5,16,,8,,1.4,156,10.6,0.3,
2018-11-02,15:00,0.8,1021,68.4,6,18,,9,,1.2,109,10.8,0.7,
2018-11-02,16:00,0.8,1022,72.3,15,29,,10,,1.2,40,10.0,0.8,
2018-11-02,17:00,1.9,1022,80.8,16,28,,13,,0.5,6,8.6,0.2,
