Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-11-01,,,,,,,,20.81,,,,,,,,
2018-11-01,01:00,,1017,94.1,1,19,7,,19,,,,0,5.0,0.4,170
2018-11-01,02:00,,1016,93.1,1,19,7,,22,,,,0,5.1,0.4,92
2018-11-01,03:00,,1016,93.4,1,17,6,,21,,,,0,4.8,0.4,120
2018-11-01,04:00,,1015,94.3,1,19,7,,20,,,,0,5.0,0.7,144
2018-11-01,05:00,,1015,96.5,1,19,9,,23,,,,0,4.6,1.0,156
2018-11-01,06:00,,1015,94.1,1,19,6,,21,,,,0,5.1,0.4,148
2018-11-01,07:00,,1015,94.5,6,17,3,,19,,,,1,4.4,0.6,115
2018-11-01,08:00,,1014,94.5,19,18,4,,20,,,,35,5.0,0.5,147
2018-11-01,09:00,,1014,82.4,9,18,18,,19,,,,121,9.2,1.1,109
2018-11-01,10:00,,1013,72.1,3,14,44,,14,,,,201,12.0,3.0,124
2018-11-01,11:00,,1013,62.2,2,12,57,,13,,,,247,14.4,2.0,135
2018-11-01,12:00,,1013,55.2,1,8,67,,16,,,,189,15.9,1.5,153
2018-11-01,13:00,,1012,53.2,1,6,73,,14,,,,158,16.4,1.7,162
2018-11-01,14:00,,1012,52.9,1,6,73,,15,,,,129,16.3,1.1,169
2018-11-01,15:00,,1011,57.0,1,7,65,,16,,,,86,16.0,0.7,126
2018-11-01,16:00,,1011,64.7,1,11,54,,18,,,,31,14.6,0.8,126
2018-11-01,17:00,,1011,65.1,1,12,59,,18,,,,3,14.0,1.8,131
2018-11-01,18:00,,1011,67.4,1,16,51,,20,,,,0,13.6,1.1,146
2018-11-01,19:00,,1011,62.2,1,8,63,,22,,,,0,14.7,0.9,163
2018-11-01,20:00,,1011,61.0,1,6,65,,22,,,,0,15.2,1.0,189
2018-11-01,21:00,,1012,62.4,1,7,64,,22,,,,0,15.0,1.2,188
2018-11-01,22:00,,1013,65.3,1,7,58,,24,,,,0,14.5,0.4,190
2018-11-01,23:00,,1014,71.4,1,8,50,,26,,,,0,13.1,0.5,224
2018-11-02,,,,,,,,13.48,,,,,,,,
2018-11-02,00:00,,1015,83.1,1,9,32,,23,,,,0,10.5,0.3,174
2018-11-02,01:00,,1015,90.1,1,9,26,,24,,,,0,9.2,0.5,147
2018-11-02,02:00,,1016,90.7,1,9,12,,20,,,,0,8.0,0.2,34
2018-11-02,03:00,,1017,93.6,1,9,13,,16,,,,0,7.5,0.5,118
2018-11-02,04:00,,1017,93.9,1,9,25,,19,,,,0,8.2,0.8,142
2018-11-02,05:00,,1018,92.5,1,10,27,,21,,,,0,8.1,0.7,142
2018-11-02,06:00,,1018,93.0,1,9,19,,20,,,,0,7.6,0.7,145
2018-11-02,07:00,,1019,92.3,2,12,11,,18,,,,1,7.1,0.4,137
2018-11-02,08:00,,1020,91.8,2,12,16,,16,,,,48,7.4,0.8,140
2018-11-02,09:00,,1021,86.8,4,17,17,,16,,,,73,8.3,0.9,130
2018-11-02,10:00,,1021,83.0,7,17,17,,16,,,,154,10.1,0.6,128
2018-11-02,11:00,,1022,68.2,4,14,36,,16,,,,227,13.6,0.7,252
2018-11-02,12:00,,1022,63.4,3,15,44,,17,,,,149,14.2,1.3,263
2018-11-02,13:00,,1022,61.8,1,9,55,,14,,,,146,14.2,1.3,264
2018-11-02,14:00,,1022,60.3,1,6,64,,6,,,,119,14.0,0.9,251
2018-11-02,15:00,,1022,62.4,1,9,57,,3,,,,81,13.9,0.6,270
2018-11-02,16:00,,1023,67.5,1,13,43,,6,,,,40,13.4,0.3,279
2018-11-02,17:00,,1023,76.1,1,17,27,,9,,,,3,12.2,0.2,290
2018-11-02,18:00,,1024,83.4,1,19,15,,11,,,,0,11.0,0.2,120
2018-11-02,19:00,,1024,86.9,1,12,20,,8,,,,0,10.3,0.3,152
2018-11-02,20:00,,1025,87.6,2,18,8,,8,,,,0,10.1,0.2,3
2018-11-02,21:00,,1026,88.1,1,14,10,,10,,,,0,9.8,0.3,314
2018-11-02,22:00,,1026,88.2,1,10,14,,8,,,,0,10.0,0.2,303
2018-11-02,23:00,,1026,90.5,1,11,13,,8,,,,0,9.9,0.1,148
2018-11-03,,,,,,,,15.43,,,,,,,,
2018-11-03,00:00,,1026,91.6,1,9,16,,10,,,,0,10.0,0.2,132
2018-11-03,01:00,,1026,91.9,1,10,10,,11,,,,0,10.0,0.2,303
2018-11-03,02:00,,1027,91.3,1,8,12,,9,,,,0,10.1,0.1,275
2018-11-03,03:00,,1027,92.4,1,8,12,,8,,,,0,9.7,0.3,125
2018-11-03,04:00,,1027,92.9,1,10,12,,9,,,,0,9.6,0.2,276
2018-11-03,05:00,,1027,93.9,1,7,8,,9,,,,0,9.3,0.3,289
2018-11-03,06:00,,1027,95.0,1,8,8,,10,,,,0,9.0,0.5,314
2018-11-03,07:00,,1028,95.7,1,10,10,,10,,,,0,8.7,0.8,318
2018-11-03,08:00,,1028,92.8,1,10,12,,16,,,,11,9.1,0.2,304
2018-11-03,09:00,,1028,91.2,3,13,12,,18,,,,55,9.5,0.4,336
2018-11-03,10:00,,1028,90.3,2,9,20,,18,,,,97,9.8,0.6,349
2018-11-03,11:00,,1028,87.9,2,8,25,,16,,,,132,10.9,0.5,0
2018-11-03,12:00,,1028,82.3,2,8,33,,17,,,,160,12.2,0.6,44
2018-11-03,13:00,,1028,80.2,1,6,39,,17,,,,122,12.5,1.0,71
2018-11-03,14:00,,1028,80.8,1,6,42,,15,,,,80,12.1,1.1,62
2018-11-03,15:00,,1028,82.0,1,6,43,,14,,,,58,11.9,1.0,60
2018-11-03,16:00,,1027,83.4,1,7,41,,11,,,,24,11.6,0.8,46
2018-11-03,17:00,,1028,85.7,1,9,35,,12,,,,2,11.2,0.7,49
2018-11-03,18:00,,1028,88.3,1,7,34,,14,,,,0,10.9,1.5,76
2018-11-03,19:00,,1027,89.9,1,8,34,,13,,,,0,10.4,2.6,85
2018-11-03,20:00,,1027,90.5,1,11,29,,16,,,,0,10.3,2.4,90
2018-11-03,21:00,,1027,90.3,1,9,31,,17,,,,0,10.1,3.0,93
2018-11-03,22:00,,1027,90.3,1,9,29,,18,,,,0,10.1,2.9,90
2018-11-03,23:00,,1026,89.8,1,7,38,,21,,,,0,10.0,2.8,100
2018-11-04,,,,,,,,25.58,,,,,,,,
2018-11-04,00:00,,1025,90.0,1,6,39,,20,,,,0,10.1,2.4,99
2018-11-04,01:00,,1025,90.9,1,6,38,,21,,,,0,10.1,2.7,98
2018-11-04,02:00,,1024,91.4,1,6,38,,21,,,,0,9.9,3.0,101
2018-11-04,03:00,,1023,91.5,1,7,35,,21,,,,0,9.9,2.8,104
2018-11-04,04:00,,1023,90.9,1,6,34,,18,,,,0,10.1,2.3,101
2018-11-04,05:00,,1022,92.1,1,5,34,,16,,,,0,10.0,2.4,103
2018-11-04,06:00,,1022,92.1,1,5,32,,16,,,,0,10.0,2.4,102
2018-11-04,07:00,,1021,94.0,1,5,29,,17,,,,0,9.7,2.4,113
2018-11-04,08:00,,1021,93.8,1,5,27,,17,,,,4,9.9,2.2,111
2018-11-04,09:00,,1021,93.7,1,5,26,,16,,,,18,10.0,2.2,107
2018-11-04,10:00,,1021,90.9,1,5,26,,17,,,,44,10.6,2.0,100
2018-11-04,11:00,,1021,89.8,1,5,28,,18,,,,74,11.0,2.0,106
2018-11-04,12:00,,1020,87.1,1,5,31,,21,,,,131,11.7,2.3,103
2018-11-04,13:00,,1019,87.6,1,6,32,,22,,,,100,11.9,2.4,103
2018-11-04,14:00,,1018,86.0,1,7,30,,21,,,,80,12.5,2.3,83
2018-11-04,15:00,,1018,88.8,1,8,29,,24,,,,53,12.0,2.4,89
2018-11-04,16:00,,1018,91.3,1,8,29,,27,,,,14,11.5,2.3,83
2018-11-04,17:00,,1017,92.8,1,9,30,,28,,,,2,11.5,2.0,96
2018-11-04,18:00,,1017,94.8,1,8,31,,30,,,,0,11.2,2.4,109
2018-11-04,19:00,,1017,96.4,1,8,30,,32,,,,0,10.7,2.6,107
2018-11-04,20:00,,1017,98.0,1,8,28,,27,,,,0,10.2,2.5,113
2018-11-04,21:00,,1017,98.4,1,9,25,,27,,,,0,10.1,2.7,118
2018-11-04,22:00,,1016,98.6,1,9,25,,27,,,,0,9.8,2.9,111
2018-11-04,23:00,,1016,99.1,1,9,23,,26,,,,0,9.8,2.3,111
2018-11-05,,,,,,,,25.94,,,,,,,,
2018-11-05,00:00,,1016,98.0,1,8,23,,27,,,,0,10.0,1.9,105
2018-11-05,01:00,,1016,98.8,1,8,25,,29,,,,0,9.8,2.1,106
2018-11-05,02:00,,1015,98.9,1,7,24,,28,,,,0,9.6,2.1,111
2018-11-05,03:00,,1015,98.7,1,8,23,,27,,,,0,9.4,2.3,99
2018-11-05,04:00,,1014,99.0,1,7,22,,28,,,,0,9.0,2.3,109
2018-11-05,05:00,,1014,99.3,1,7,20,,25,,,,0,8.8,2.0,111
2018-11-05,06:00,,1014,98.3,1,9,18,,26,,,,0,8.8,1.5,99
2018-11-05,07:00,,1014,98.9,1,9,20,,25,,,,0,8.5,1.9,117
2018-11-05,08:00,,1014,99.7,1,8,19,,22,,,,11,8.2,2.0,117
2018-11-05,09:00,,1014,99.7,1,7,19,,23,,,,36,8.1,2.1,118
2018-11-05,10:00,,1014,97.7,2,6,19,,23,,,,115,9.0,1.4,121
2018-11-05,11:00,,1014,91.0,6,10,16,,23,,,,154,10.8,0.9,85
2018-11-05,12:00,,1014,84.4,6,12,16,,27,,,,168,12.3,0.6,92
2018-11-05,13:00,,1013,75.3,4,10,26,,31,,,,165,14.5,1.1,87
2018-11-05,14:00,,1012,67.6,2,9,42,,29,,,,151,15.7,2.8,104
2018-11-05,15:00,,1012,61.8,1,12,49,,28,,,,81,16.3,2.2,115
2018-11-05,16:00,,1012,76.9,2,20,19,,29,,,,23,14.4,1.3,79
2018-11-05,17:00,,1011,84.2,3,24,9,,30,,,,2,12.8,0.3,29
2018-11-05,18:00,,1011,87.0,3,20,12,,29,,,,0,11.5,0.8,107
2018-11-05,19:00,,1012,81.3,1,20,23,,31,,,,0,11.5,0.9,103
2018-11-05,20:00,,1012,51.0,1,7,71,,26,,,,0,15.2,2.0,161
2018-11-05,21:00,,1012,53.4,1,6,71,,18,,,,0,14.9,2.9,156
2018-11-05,22:00,,1012,56.2,1,6,70,,18,,,,0,14.5,3.1,172
2018-11-05,23:00,,1011,59.3,1,6,68,,17,,,,0,14.1,3.7,179
2018-11-06,00:00,,1011,62.4,1,7,65,,17,,,,0,13.5,3.1,178
