Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-11-01,01:00,,1015,71.0,,,17,,,,,,1,7.1,1.9,77
2018-11-01,02:00,,1015,76.0,,,5,,,,,,1,6.2,1.1,63
2018-11-01,03:00,,1015,79.8,,,4,,,,,,1,5.4,0.9,45
2018-11-01,04:00,,1014,80.7,,,3,,,,,,1,5.5,0.5,356
2018-11-01,05:00,,1014,83.9,,,3,,,,,,1,4.8,1.3,55
2018-11-01,06:00,,1014,85.4,,,1,,,,,,1,4.5,0.7,90
2018-11-01,07:00,,1013,87.8,,,1,,,,,,1,4.0,1.0,67
2018-11-01,08:00,,1013,89.8,,,2,,,,,,25,3.6,1.3,120
2018-11-01,09:00,,1012,86.2,,,5,,,,,,83,5.2,0.7,139
2018-11-01,10:00,,1012,78.9,,,9,,,,,,252,7.5,1.2,134
2018-11-01,11:00,,1012,71.4,,,10,,,,,,252,9.7,0.7,89
2018-11-01,12:00,,1011,66.7,,,14,,,,,,179,11.0,0.7,126
2018-11-01,13:00,,1011,68.1,,,,,,,,,106,11.2,0.8,169
2018-11-01,14:00,,1010,68.3,,,,,,,,,78,11.7,0.4,41
2018-11-01,15:00,,1009,73.7,,,,,,,,,57,11.4,1.3,73
2018-11-01,16:00,,1009,78.4,,,,,,,,,51,11.3,0.8,126
2018-11-01,17:00,,1009,75.4,,,2,,,,,,15,11.6,0.7,175
2018-11-01,18:00,,1010,82.2,,,2,,,,,,1,9.9,1.5,127
2018-11-01,19:00,,1010,81.7,,,1,,,,,,1,9.9,1.5,178
2018-11-01,20:00,,1011,81.7,,,1,,,,,,1,9.2,1.4,223
2018-11-01,21:00,,1011,83.1,,,1,,,,,,1,8.8,1.2,199
2018-11-01,22:00,,1012,84.2,,,1,,,,,,1,8.2,1.2,184
2018-11-01,23:00,,1013,84.4,,,1,,,,,,1,7.8,1.6,224
2018-11-02,00:00,,1014,84.1,,,5,,,,,,1,7.5,1.8,216
2018-11-02,01:00,,1014,80.3,,,16,,,,,,1,8.1,1.6,198
2018-11-02,02:00,,1014,82.6,,,17,,,,,,1,7.5,1.3,159
2018-11-02,03:00,,1015,83.7,,,18,,,,,,1,7.3,1.2,153
2018-11-02,04:00,,1016,82.0,,,22,,,,,,1,7.8,1.0,172
2018-11-02,05:00,,1016,81.7,,,24,,,,,,1,7.9,1.0,177
2018-11-02,06:00,,1017,83.0,,,23,,,,,,1,7.6,0.8,181
2018-11-02,07:00,,1017,85.4,,,21,,,,,,1,7.0,1.0,169
2018-11-02,08:00,,1019,86.0,,,17,,,,,,17,6.9,1.2,149
2018-11-02,09:00,,1019,82.0,,,26,,,,,,90,8.3,1.2,184
2018-11-02,10:00,,1020,76.7,,,32,,,,,,187,10.2,1.5,197
2018-11-02,11:00,,1021,74.1,,,36,,,,,,244,11.2,2.1,217
2018-11-02,12:00,,1021,68.9,,,44,,,,,,282,12.5,2.6,204
2018-11-02,13:00,,1021,63.9,,,55,,,,,,352,13.3,2.8,202
2018-11-02,14:00,,1021,60.1,,,60,,,,,,345,14.0,3.0,218
2018-11-02,15:00,,1022,57.0,,,59,,,,,,278,14.9,2.4,224
2018-11-02,16:00,,1022,58.4,,,57,,,,,,75,14.1,1.8,221
2018-11-02,17:00,,1023,62.3,,,32,,,,,,9,12.9,0.9,254
2018-11-02,18:00,,1023,69.1,,,18,,,,,,1,11.3,0.5,194
2018-11-02,19:00,,1024,74.0,,,4,,,,,,1,10.1,0.6,262
2018-11-02,20:00,,1025,75.5,,,2,,,,,,1,9.8,0.8,275
2018-11-02,21:00,,1025,75.2,,,2,,,,,,1,9.9,0.3,234
2018-11-02,22:00,,1026,76.4,,,2,,,,,,1,9.4,0.4,9
2018-11-02,23:00,,1027,74.6,,,3,,,,,,1,9.2,0.9,353
2018-11-03,00:00,,1027,77.1,,,11,,,,,,1,8.8,2.1,352
2018-11-03,01:00,,1027,78.3,,,19,,,,,,1,8.7,2.2,342
2018-11-03,02:00,,1027,79.3,,,17,,,,,,1,8.4,1.5,343
2018-11-03,03:00,,1027,80.3,,,14,,,,,,1,8.4,1.0,347
2018-11-03,04:00,,1027,83.9,,,11,,,,,,1,7.7,2.2,331
2018-11-03,05:00,,1027,83.2,,,10,,,,,,1,7.8,1.7,342
2018-11-03,06:00,,1028,84.5,,,10,,,,,,1,7.5,2.3,327
2018-11-03,07:00,,1028,84.4,,,15,,,,,,1,7.4,1.5,332
2018-11-03,08:00,,1028,83.8,,,12,,,,,,8,7.6,1.2,342
2018-11-03,09:00,,1029,83.7,,,10,,,,,,58,7.9,1.1,337
2018-11-03,10:00,,1029,81.9,,,17,,,,,,89,8.4,1.3,338
