Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-01-01,01:00,,1027,99.8,1,10,26,12,,,0,6.3,1.8,250
2019-01-01,02:00,,1026,100.0,1,8,31,13,,,0,6.6,2.2,255
2019-01-01,03:00,,1025,99.2,1,6,38,15,,,0,7.0,2.3,258
2019-01-01,04:00,,1024,96.9,1,7,38,17,,,0,7.1,1.8,252
2019-01-01,05:00,,1023,94.2,1,7,42,20,,,0,7.1,2.3,252
2019-01-01,06:00,,1022,90.4,1,6,48,17,,,0,7.1,2.3,251
2019-01-01,07:00,,1021,86.1,1,5,55,14,,,0,7.2,3.3,255
2019-01-01,08:00,,1020,87.7,1,4,54,10,,,0,7.0,3.7,261
2019-01-01,09:00,,1019,86.8,1,4,52,11,,,1,7.0,4.2,261
2019-01-01,10:00,,1018,88.4,1,5,50,12,,,20,6.9,4.9,265
2019-01-01,11:00,,1018,89.6,1,5,48,10,,,30,6.8,4.8,264
2019-01-01,12:00,,1017,85.4,1,6,49,8,,,28,7.1,5.0,266
2019-01-01,13:00,,1015,94.2,1,6,46,7,,,28,6.4,5.2,267
2019-01-01,14:00,,1014,95.7,1,5,46,6,,,28,6.4,5.1,266
2019-01-01,15:00,,1014,93.9,1,5,49,3,,,18,6.5,4.8,271
2019-01-01,16:00,,1014,84.1,1,3,60,3,,,16,6.6,4.4,282
2019-01-01,17:00,,1014,78.2,1,3,68,5,,,0,5.8,4.3,280
2019-01-01,18:00,,1013,74.2,1,3,71,7,,,0,5.4,5.0,268
2019-01-01,19:00,,1013,73.4,1,3,71,7,,,0,5.7,5.2,271
2019-01-01,20:00,,1013,79.8,1,2,72,7,,,0,4.6,6.0,272
2019-01-01,21:00,,1013,78.7,1,2,77,5,,,0,3.3,5.0,280
2019-01-01,22:00,,1013,86.0,1,2,73,3,,,0,2.9,4.2,274
2019-01-01,23:00,,1013,75.4,1,2,74,6,,,0,3.4,5.3,276
