Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-03-01,01:00,1.0,1011,80.9,2,18,,59,,1.5,0,5.2,1.4,292
2019-03-01,02:00,0.6,1011,84.2,4,18,,61,,1.0,0,4.3,0.4,254
2019-03-01,03:00,0.6,1011,86.7,12,26,,61,,0.5,0,3.9,0.2,269
2019-03-01,04:00,0.7,1010,88.7,11,23,,65,,0.5,0,3.6,0.3,269
2019-03-01,05:00,0.8,1010,89.4,9,24,,67,,0.5,0,4.2,0.5,274
2019-03-01,06:00,,1010,93.6,53,36,,66,,0.5,0,4.1,0.5,261
2019-03-01,07:00,,1009,95.6,38,34,,69,,0.5,0,4.5,1.0,263
2019-03-01,08:00,,1009,96.7,59,43,,66,,1.1,2,5.0,1.2,266
2019-03-01,09:00,,1009,97.3,79,44,,59,,1.2,16,5.3,0.8,255
2019-03-01,10:00,,1009,97.1,78,44,,43,,1.4,36,6.1,1.1,256
2019-03-01,11:00,1.5,1009,95.9,64,36,,37,,1.4,39,6.6,1.5,268
2019-03-01,12:00,1.0,1009,92.9,48,35,,31,,1.4,47,7.1,1.8,277
2019-03-01,13:00,0.9,1009,90.7,56,34,,24,,1.5,69,7.6,2.0,284
2019-03-01,14:00,1.2,1009,93.8,53,35,,24,,1.3,58,6.9,1.6,324
2019-03-01,15:00,1.2,1009,95.1,26,28,,30,,0.5,29,6.2,1.2,354
2019-03-01,16:00,1.8,1010,96.3,38,29,,28,,0.5,19,5.4,1.3,327
2019-03-01,17:00,1.9,1010,96.5,31,28,,23,,0.5,6,4.9,1.3,349
2019-03-01,18:00,1.3,1011,96.5,27,28,,30,,0.5,0,4.2,1.5,332
2019-03-01,19:00,1.1,1012,96.7,16,21,,36,,0.5,0,3.6,1.3,343
2019-03-01,20:00,0.9,1013,96.2,21,21,,33,,0.5,0,3.3,1.4,322
2019-03-01,21:00,0.9,1013,95.5,12,19,,38,,0.5,0,3.0,1.4,319
2019-03-01,22:00,1.4,1014,94.6,13,18,,35,,0.5,0,2.7,1.4,294
2019-03-01,23:00,1.1,1014,93.6,17,17,,32,,0.5,0,2.3,1.5,291
2019-03-02,00:00,0.7,1015,94.3,8,12,,31,,0.5,0,2.0,2.0,282
2019-03-02,01:00,0.5,1015,92.7,2,10,,27,,0.5,0,1.9,1.9,278
2019-03-02,02:00,0.5,1015,90.6,5,11,,24,,0.5,0,1.7,1.6,272
2019-03-02,03:00,0.6,1015,91.1,8,12,,22,,0.5,0,1.7,1.3,284
2019-03-02,04:00,0.4,1015,90.7,3,10,,21,,0.5,0,1.5,1.8,291
2019-03-02,05:00,0.4,1015,89.2,1,8,,18,,0.5,0,1.2,1.5,279
2019-03-02,06:00,0.4,1015,87.6,11,15,,15,,0.5,0,1.0,0.8,268
2019-03-02,07:00,0.7,1015,88.8,15,18,,16,,0.5,0,1.0,0.6,249
2019-03-02,08:00,0.7,1016,91.2,25,26,,15,,0.5,5,1.2,0.5,238
2019-03-02,09:00,0.9,1016,91.1,33,27,,16,,0.5,22,1.5,0.8,203
2019-03-02,10:00,1.1,1016,88.9,43,31,,20,,0.5,41,2.1,1.0,248
2019-03-02,11:00,1.6,1016,84.6,33,21,,22,,0.5,109,2.8,2.0,269
2019-03-02,12:00,1.1,1016,78.1,24,18,,27,,0.5,205,4.0,2.6,279
2019-03-02,13:00,0.8,1016,74.1,25,18,,26,,0.5,156,4.3,2.4,277
2019-03-02,14:00,0.9,1015,69.5,19,15,,24,,0.5,127,4.3,2.2,281
2019-03-02,15:00,1.1,1015,68.9,26,20,,21,,0.5,93,4.2,1.8,271
2019-03-02,16:00,1.1,1015,69.7,34,26,,22,,0.5,53,4.3,1.4,254
2019-03-02,17:00,1.0,1015,73.8,38,31,,20,,0.5,20,3.9,1.5,231
2019-03-02,18:00,1.1,1015,79.1,31,29,,25,,0.5,2,3.5,1.2,214
2019-03-02,19:00,1.3,1015,80.7,25,26,,26,,0.5,0,3.4,1.4,220
2019-03-02,20:00,1.4,1015,81.0,24,23,,26,,0.5,0,3.4,1.4,218
2019-03-02,21:00,1.2,1014,82.1,14,18,,25,,0.5,0,3.4,1.8,212
2019-03-02,22:00,1.1,1014,83.5,7,15,,29,,0.5,0,3.5,1.6,218
2019-03-02,23:00,1.2,1014,83.7,9,16,,27,,0.5,0,3.6,1.8,215
2019-03-03,00:00,0.9,1014,84.8,12,16,,25,,1.2,0,3.5,1.5,207
2019-03-03,01:00,0.9,1013,83.8,4,13,,23,,1.2,0,3.7,1.9,206
