Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-03-01,01:00,,1011,75.5,2,33,,33,,,,9.8,1.3,293
2019-03-01,02:00,,1011,81.1,1,12,,19,,,,10.1,1.5,293
2019-03-01,03:00,,1011,80.3,1,15,,14,,,,9.8,1.3,295
2019-03-01,04:00,,1010,76.9,1,15,,12,,,,9.7,1.7,296
2019-03-01,05:00,,1010,76.0,2,17,,10,,,,9.6,2.0,295
2019-03-01,06:00,,1010,78.9,3,18,,7,,,,9.2,2.0,293
2019-03-01,07:00,,1009,82.6,4,22,,7,,,,9.0,1.7,293
2019-03-01,08:00,,1009,84.2,8,30,,13,,,,9.0,1.5,291
2019-03-01,09:00,,1009,88.7,9,28,,13,,,,8.8,1.8,293
2019-03-01,10:00,,1009,89.1,9,23,,11,,,,9.2,1.7,293
2019-03-01,11:00,,1009,83.3,11,22,,13,,,,10.2,1.9,293
2019-03-01,12:00,,1009,78.0,8,19,,12,,,,10.8,1.8,289
2019-03-01,13:00,,1009,70.9,18,27,,15,,,,11.3,1.7,284
2019-03-01,14:00,,1010,87.7,24,37,,18,,,,9.7,1.3,285
2019-03-01,15:00,,1010,85.7,28,37,,11,,,,10.2,1.1,274
2019-03-01,16:00,,1011,90.2,34,41,,17,,,,9.2,0.8,270
2019-03-01,17:00,,1011,88.4,33,37,,20,,,,8.8,1.0,266
2019-03-01,18:00,,1012,90.0,21,28,,27,,,,7.6,1.2,264
2019-03-01,19:00,,1013,94.6,21,26,,17,,,,6.4,1.3,266
2019-03-01,20:00,,1014,91.6,17,27,,13,,,,5.6,1.0,266
2019-03-01,21:00,,1015,81.6,15,24,,6,,,,5.1,1.3,268
2019-03-01,22:00,,1016,78.6,7,15,,9,,,,4.1,1.7,261
2019-03-01,23:00,,1016,75.3,10,23,,15,,,,4.1,0.9,261
