Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-03-01,01:00,,1011,77.8,1,13,43,54,,1.5,1,5.8,0.5,219
2019-03-01,02:00,,1011,76.6,1,18,43,51,,3.6,1,6.3,0.2,237
2019-03-01,03:00,,1010,78.5,1,16,31,55,,2.0,1,5.9,0.0,230
2019-03-01,04:00,,1010,80.3,1,19,31,57,,2.5,1,6.3,0.5,244
2019-03-01,05:00,,1010,89.5,1,17,41,59,,1.4,1,6.6,0.8,231
2019-03-01,06:00,,1009,90.7,1,17,36,53,,1.1,1,7.0,0.2,217
2019-03-01,07:00,,1009,91.0,2,25,26,45,,0.5,1,7.1,0.2,206
2019-03-01,08:00,,1009,92.1,7,31,15,43,,1.5,4,6.9,0.0,175
2019-03-01,09:00,,1009,91.8,12,32,9,52,,1.4,25,7.1,0.0,252
2019-03-01,10:00,,1009,92.2,5,26,24,47,,1.4,41,7.5,0.6,275
2019-03-01,11:00,,1009,84.7,2,15,49,27,,2.0,41,8.4,2.0,262
2019-03-01,12:00,,1008,83.0,2,13,51,18,,2.3,145,9.0,2.3,271
2019-03-01,13:00,,1008,82.9,2,13,50,17,,2.1,70,9.0,2.1,266
2019-03-01,14:00,,1008,86.0,1,13,54,18,,2.2,66,8.6,2.1,252
2019-03-01,15:00,,1008,87.4,2,15,52,12,,1.8,82,8.6,1.5,259
2019-03-01,16:00,,1009,88.9,1,15,52,9,,1.5,21,7.7,2.3,314
2019-03-01,17:00,,1009,90.5,1,18,35,7,,1.3,9,7.4,1.7,329
2019-03-01,18:00,,1010,92.6,2,18,27,19,,1.0,1,6.5,2.2,347
2019-03-01,19:00,,1011,92.6,2,21,26,26,,0.5,1,5.5,2.0,357
2019-03-01,20:00,,1012,91.6,1,19,29,30,,0.5,1,4.9,2.1,355
2019-03-01,21:00,,1013,88.9,1,11,41,28,,0.5,1,4.4,2.0,343
2019-03-01,22:00,,1013,83.3,1,10,48,26,,1.4,1,4.0,1.9,342
2019-03-01,23:00,,1014,81.4,1,9,52,23,,0.5,1,3.6,2.4,315
2019-03-02,00:00,,1014,83.8,1,8,51,20,,0.5,1,3.1,2.4,308
2019-03-02,01:00,,1015,80.9,1,9,53,18,,1.0,1,3.1,1.9,299
2019-03-02,02:00,,1015,82.7,1,11,46,17,,0.5,1,3.1,1.2,287
2019-03-02,03:00,,1015,83.9,1,10,42,21,,0.5,1,3.3,0.4,243
2019-03-02,04:00,,1015,80.1,1,6,55,19,,1.0,1,3.0,1.9,301
2019-03-02,05:00,,1015,77.5,1,7,57,14,,1.2,1,3.1,0.6,318
2019-03-02,06:00,,1015,79.0,1,7,54,14,,0.5,1,3.0,0.7,326
2019-03-02,07:00,,1015,79.5,1,9,52,12,,1.0,1,2.9,0.6,282
2019-03-02,08:00,,1015,82.8,1,9,43,12,,1.2,11,2.8,0.6,180
2019-03-02,09:00,,1015,81.9,1,11,42,13,,1.3,26,3.1,0.5,216
2019-03-02,10:00,,1015,78.9,1,11,51,19,,1.9,66,3.4,1.6,262
2019-03-02,11:00,,1015,76.8,1,10,54,22,,1.3,137,4.1,1.8,267
2019-03-02,12:00,,1015,74.2,1,8,58,22,,1.1,118,4.5,1.8,253
2019-03-02,13:00,,1015,71.7,1,9,59,23,,1.0,92,4.8,1.4,241
2019-03-02,14:00,,1015,69.6,1,9,61,18,,1.0,101,5.1,1.6,242
2019-03-02,15:00,,1015,69.6,1,8,62,18,,0.5,68,5.0,1.8,240
2019-03-02,16:00,,1014,73.9,1,12,56,17,,0.5,52,4.8,1.3,224
2019-03-02,17:00,,1014,74.7,1,12,54,19,,0.5,19,4.9,1.1,194
2019-03-02,18:00,,1014,76.7,1,15,49,19,,1.4,3,4.6,1.4,193
2019-03-02,19:00,,1014,78.9,1,10,50,24,,1.3,1,4.3,1.2,189
2019-03-02,20:00,,1014,80.4,1,10,48,23,,1.6,1,4.3,1.2,196
2019-03-02,21:00,,1014,80.6,1,11,45,22,,2.1,1,4.5,1.6,203
2019-03-02,22:00,,1014,81.8,1,16,35,19,,2.7,1,4.5,1.7,203
2019-03-02,23:00,,1014,82.8,1,16,32,23,,2.3,1,4.6,2.3,191
2019-03-03,00:00,,1013,83.9,1,17,29,26,,2.3,1,4.5,2.2,191
2019-03-03,01:00,,1013,83.8,1,17,30,26,,2.7,1,4.8,2.2,194
2019-03-03,02:00,,1012,83.7,1,14,34,26,,2.7,1,5.0,2.1,196
2019-03-03,03:00,,1012,83.7,1,13,33,30,,2.2,1,5.5,2.1,201
2019-03-03,04:00,,1012,84.6,1,14,30,31,,1.7,1,5.7,1.7,210
2019-03-03,05:00,,1011,87.1,1,13,30,28,,1.4,1,5.6,2.2,199
