Datum Zeit,Goerlitz O3
,µg/m³
01-02-00 00:00,34
31-01-00 23:00,41
31-01-00 22:00,57
31-01-00 21:00,64
31-01-00 20:00,66
31-01-00 19:00,62
31-01-00 18:00,64
31-01-00 17:00,66
31-01-00 16:00,63
31-01-00 15:00,66
31-01-00 14:00,66
31-01-00 13:00,63
31-01-00 12:00,65
31-01-00 11:00,68
31-01-00 10:00,71
31-01-00 09:00,63
31-01-00 08:00,58
31-01-00 07:00,
31-01-00 06:00,66
31-01-00 05:00,67
31-01-00 04:00,52
31-01-00 03:00,60
31-01-00 02:00,63
31-01-00 01:00,55
31-01-00 00:00,48
30-01-00 23:00,46
30-01-00 22:00,35
30-01-00 21:00,58
30-01-00 20:00,63
30-01-00 19:00,63
30-01-00 18:00,66
30-01-00 17:00,64
30-01-00 16:00,69
30-01-00 15:00,74
30-01-00 14:00,73
30-01-00 13:00,74
30-01-00 12:00,73
30-01-00 11:00,73
30-01-00 10:00,73
30-01-00 09:00,75
30-01-00 08:00,
30-01-00 07:00,74
30-01-00 06:00,74
30-01-00 05:00,73
30-01-00 04:00,70
30-01-00 03:00,75
30-01-00 02:00,57
30-01-00 01:00,60
30-01-00 00:00,46
29-01-00 23:00,50
29-01-00 22:00,50
29-01-00 21:00,49
29-01-00 20:00,46
29-01-00 19:00,50
29-01-00 18:00,49
29-01-00 17:00,51
29-01-00 16:00,54
29-01-00 15:00,59
29-01-00 14:00,59
29-01-00 13:00,57
29-01-00 12:00,55
29-01-00 11:00,54
29-01-00 10:00,51
29-01-00 09:00,47
29-01-00 08:00,
29-01-00 07:00,44
29-01-00 06:00,42
29-01-00 05:00,43
29-01-00 04:00,45
29-01-00 03:00,45
29-01-00 02:00,42
29-01-00 01:00,45
29-01-00 00:00,40
28-01-00 23:00,37
28-01-00 22:00,44
28-01-00 21:00,46
28-01-00 20:00,54
28-01-00 19:00,52
28-01-00 18:00,48
28-01-00 17:00,50
28-01-00 16:00,35
28-01-00 15:00,24
28-01-00 14:00,31
28-01-00 13:00,28
28-01-00 12:00,36
28-01-00 11:00,38
28-01-00 10:00,36
28-01-00 09:00,
28-01-00 08:00,38
28-01-00 07:00,45
28-01-00 06:00,50
28-01-00 05:00,50
28-01-00 04:00,43
28-01-00 03:00,39
28-01-00 02:00,38
28-01-00 01:00,37
28-01-00 00:00,33
27-01-00 23:00,33
27-01-00 22:00,33
27-01-00 21:00,31
27-01-00 20:00,28
27-01-00 19:00,21
27-01-00 18:00,16
27-01-00 17:00,16
27-01-00 16:00,21
27-01-00 15:00,24
27-01-00 14:00,31
27-01-00 13:00,38
27-01-00 12:00,31
27-01-00 11:00,27
27-01-00 10:00,22
27-01-00 09:00,
27-01-00 08:00,30
27-01-00 07:00,24
27-01-00 06:00,25
27-01-00 05:00,17
27-01-00 04:00,18
27-01-00 03:00,20
27-01-00 02:00,17
27-01-00 01:00,16
27-01-00 00:00,17
26-01-00 23:00,15
26-01-00 22:00,14
26-01-00 21:00,13
26-01-00 20:00,14
26-01-00 19:00,16
26-01-00 18:00,17
26-01-00 17:00,
26-01-00 16:00,
26-01-00 15:00,
26-01-00 14:00,
26-01-00 13:00,
26-01-00 12:00,25
26-01-00 11:00,24
26-01-00 10:00,22
26-01-00 09:00,21
26-01-00 08:00,18
26-01-00 07:00,25
26-01-00 06:00,38
26-01-00 05:00,45
26-01-00 04:00,49
26-01-00 03:00,50
26-01-00 02:00,39
26-01-00 01:00,34
26-01-00 00:00,37
25-01-00 23:00,37
25-01-00 22:00,26
25-01-00 21:00,29
25-01-00 20:00,20
25-01-00 19:00,18
25-01-00 18:00,13
25-01-00 17:00,13
25-01-00 16:00,33
25-01-00 15:00,39
25-01-00 14:00,43
25-01-00 13:00,
25-01-00 12:00,
25-01-00 11:00,26
25-01-00 10:00,
25-01-00 09:00,5
25-01-00 08:00,3
25-01-00 07:00,12
25-01-00 06:00,21
25-01-00 05:00,27
25-01-00 04:00,27
25-01-00 03:00,31
25-01-00 02:00,34
25-01-00 01:00,33
25-01-00 00:00,33
24-01-00 23:00,28
24-01-00 22:00,27
24-01-00 21:00,19
24-01-00 20:00,17
24-01-00 19:00,17
24-01-00 18:00,15
24-01-00 17:00,16
24-01-00 16:00,22
24-01-00 15:00,27
24-01-00 14:00,26
24-01-00 13:00,36
24-01-00 12:00,34
24-01-00 11:00,22
24-01-00 10:00,
24-01-00 09:00,4
24-01-00 08:00,3
24-01-00 07:00,7
24-01-00 06:00,26
24-01-00 05:00,23
24-01-00 04:00,11
24-01-00 03:00,2
24-01-00 02:00,13
24-01-00 01:00,17
24-01-00 00:00,5
23-01-00 23:00,9
23-01-00 22:00,8
23-01-00 21:00,17
23-01-00 20:00,16
23-01-00 19:00,24
23-01-00 18:00,44
23-01-00 17:00,60
23-01-00 16:00,66
23-01-00 15:00,67
23-01-00 14:00,64
23-01-00 13:00,59
23-01-00 12:00,47
23-01-00 11:00,
23-01-00 10:00,36
23-01-00 09:00,43
23-01-00 08:00,50
23-01-00 07:00,58
23-01-00 06:00,55
23-01-00 05:00,49
23-01-00 04:00,45
23-01-00 03:00,41
23-01-00 02:00,42
23-01-00 01:00,34
23-01-00 00:00,25
22-01-00 23:00,25
22-01-00 22:00,32
22-01-00 21:00,37
22-01-00 20:00,39
22-01-00 19:00,40
22-01-00 18:00,40
22-01-00 17:00,40
22-01-00 16:00,40
22-01-00 15:00,44
22-01-00 14:00,40
22-01-00 13:00,33
22-01-00 12:00,27
22-01-00 11:00,
22-01-00 10:00,36
22-01-00 09:00,42
22-01-00 08:00,36
22-01-00 07:00,28
22-01-00 06:00,23
22-01-00 05:00,29
22-01-00 04:00,39
22-01-00 03:00,48
22-01-00 02:00,48
22-01-00 01:00,50
22-01-00 00:00,46
21-01-00 23:00,38
21-01-00 22:00,43
21-01-00 21:00,51
21-01-00 20:00,39
21-01-00 19:00,32
21-01-00 18:00,52
21-01-00 17:00,59
21-01-00 16:00,55
21-01-00 15:00,53
21-01-00 14:00,52
21-01-00 13:00,55
21-01-00 12:00,
21-01-00 11:00,44
21-01-00 10:00,43
21-01-00 09:00,38
21-01-00 08:00,64
21-01-00 07:00,69
21-01-00 06:00,62
21-01-00 05:00,56
21-01-00 04:00,56
21-01-00 03:00,52
21-01-00 02:00,48
21-01-00 01:00,37
21-01-00 00:00,36
20-01-00 23:00,35
20-01-00 22:00,39
20-01-00 21:00,44
20-01-00 20:00,43
20-01-00 19:00,41
20-01-00 18:00,38
20-01-00 17:00,39
20-01-00 16:00,35
20-01-00 15:00,33
20-01-00 14:00,36
20-01-00 13:00,41
20-01-00 12:00,
20-01-00 11:00,37
20-01-00 10:00,37
20-01-00 09:00,39
20-01-00 08:00,33
20-01-00 07:00,25
20-01-00 06:00,28
20-01-00 05:00,39
20-01-00 04:00,42
20-01-00 03:00,43
