Datum Zeit,Zittau-Ost BEN
,µg/m³
01-04-00 00:00,1.8
31-03-00 23:00,1.8
31-03-00 22:00,2.0
31-03-00 21:00,1.7
31-03-00 20:00,2.1
31-03-00 19:00,1.8
31-03-00 18:00,1.9
31-03-00 17:00,1.4
31-03-00 16:00,1.7
31-03-00 15:00,2.1
31-03-00 14:00,1.6
31-03-00 13:00,1.6
31-03-00 12:00,1.6
31-03-00 11:00,2.1
31-03-00 10:00,2.0
31-03-00 09:00,2.8
31-03-00 08:00,2.2
31-03-00 07:00,1.9
31-03-00 06:00,1.6
31-03-00 05:00,1.5
31-03-00 04:00,1.5
31-03-00 03:00,1.4
31-03-00 02:00,1.5
31-03-00 01:00,1.3
31-03-00 00:00,1.7
30-03-00 23:00,1.3
30-03-00 22:00,2.1
30-03-00 21:00,2.6
30-03-00 20:00,3.0
30-03-00 19:00,2.5
30-03-00 18:00,1.9
30-03-00 17:00,2.2
30-03-00 16:00,
30-03-00 15:00,
30-03-00 14:00,
30-03-00 13:00,
30-03-00 12:00,
30-03-00 11:00,1.2
30-03-00 10:00,1.1
30-03-00 09:00,1.0
30-03-00 08:00,0.9
30-03-00 07:00,1.0
30-03-00 06:00,1.0
30-03-00 05:00,1.0
30-03-00 04:00,1.1
30-03-00 03:00,1.3
30-03-00 02:00,1.3
30-03-00 01:00,1.3
30-03-00 00:00,1.5
29-03-00 23:00,1.7
29-03-00 22:00,2.0
29-03-00 21:00,2.3
29-03-00 20:00,2.1
29-03-00 19:00,1.7
29-03-00 18:00,2.0
29-03-00 17:00,1.9
29-03-00 16:00,1.7
29-03-00 15:00,2.0
29-03-00 14:00,2.4
29-03-00 13:00,2.2
29-03-00 12:00,1.8
29-03-00 11:00,1.6
29-03-00 10:00,2.0
29-03-00 09:00,1.3
29-03-00 08:00,1.2
29-03-00 07:00,2.8
29-03-00 06:00,1.2
29-03-00 05:00,1.1
29-03-00 04:00,1.3
29-03-00 03:00,1.1
29-03-00 02:00,1.2
29-03-00 01:00,1.1
29-03-00 00:00,1.2
28-03-00 23:00,1.3
28-03-00 22:00,1.3
28-03-00 21:00,1.6
28-03-00 20:00,1.5
28-03-00 19:00,1.6
28-03-00 18:00,1.8
28-03-00 17:00,1.8
28-03-00 16:00,1.8
28-03-00 15:00,1.7
28-03-00 14:00,2.0
28-03-00 13:00,2.2
28-03-00 12:00,2.5
28-03-00 11:00,2.4
28-03-00 10:00,1.8
28-03-00 09:00,3.3
28-03-00 08:00,2.7
28-03-00 07:00,2.7
28-03-00 06:00,1.4
28-03-00 05:00,0.8
28-03-00 04:00,0.6
28-03-00 03:00,0.7
28-03-00 02:00,0.9
28-03-00 01:00,1.0
28-03-00 00:00,1.1
27-03-00 23:00,1.0
27-03-00 22:00,1.0
27-03-00 21:00,1.2
27-03-00 20:00,1.2
27-03-00 19:00,1.4
27-03-00 18:00,1.9
27-03-00 17:00,1.5
27-03-00 16:00,1.5
27-03-00 15:00,1.4
27-03-00 14:00,1.1
27-03-00 13:00,1.5
27-03-00 12:00,1.1
27-03-00 11:00,1.4
27-03-00 10:00,1.6
27-03-00 09:00,1.5
27-03-00 08:00,2.7
27-03-00 07:00,1.3
27-03-00 06:00,0.8
27-03-00 05:00,0.7
27-03-00 04:00,0.6
27-03-00 03:00,0.6
27-03-00 02:00,0.6
27-03-00 01:00,0.7
27-03-00 00:00,0.7
26-03-00 23:00,0.7
26-03-00 22:00,1.1
26-03-00 21:00,
26-03-00 20:00,
26-03-00 19:00,
26-03-00 18:00,
26-03-00 17:00,
26-03-00 16:00,1.3
26-03-00 15:00,1.2
26-03-00 14:00,1.1
26-03-00 13:00,1.1
26-03-00 12:00,1.1
26-03-00 11:00,1.1
26-03-00 10:00,1.2
26-03-00 09:00,1.1
26-03-00 08:00,1.0
26-03-00 07:00,2.2
26-03-00 06:00,1.8
26-03-00 05:00,2.0
26-03-00 04:00,1.8
26-03-00 03:00,1.9
26-03-00 02:00,2.8
26-03-00 01:00,2.6
26-03-00 00:00,2.7
25-03-00 23:00,2.5
25-03-00 22:00,2.8
25-03-00 21:00,5.3
25-03-00 20:00,4.8
25-03-00 19:00,1.3
25-03-00 18:00,0.8
25-03-00 17:00,0.9
25-03-00 16:00,1.1
25-03-00 15:00,2.0
25-03-00 14:00,3.1
25-03-00 13:00,2.4
25-03-00 12:00,2.6
25-03-00 11:00,2.8
25-03-00 10:00,3.6
25-03-00 09:00,2.6
25-03-00 08:00,2.4
25-03-00 07:00,2.3
25-03-00 06:00,2.2
25-03-00 05:00,2.2
25-03-00 04:00,2.0
25-03-00 03:00,1.8
25-03-00 02:00,1.8
25-03-00 01:00,2.2
25-03-00 00:00,2.5
24-03-00 23:00,5.4
24-03-00 22:00,6.8
24-03-00 21:00,6.8
24-03-00 20:00,3.5
24-03-00 19:00,2.9
24-03-00 18:00,2.9
24-03-00 17:00,3.3
24-03-00 16:00,3.6
24-03-00 15:00,2.2
24-03-00 14:00,2.6
24-03-00 13:00,2.3
24-03-00 12:00,2.9
24-03-00 11:00,4.0
24-03-00 10:00,5.7
24-03-00 09:00,6.2
24-03-00 08:00,7.4
24-03-00 07:00,6.8
24-03-00 06:00,2.6
24-03-00 05:00,3.3
24-03-00 04:00,2.9
24-03-00 03:00,3.7
24-03-00 02:00,5.5
24-03-00 01:00,4.9
24-03-00 00:00,3.1
23-03-00 23:00,5.3
23-03-00 22:00,4.9
23-03-00 21:00,4.6
23-03-00 20:00,1.6
23-03-00 19:00,1.8
23-03-00 18:00,1.5
23-03-00 17:00,1.4
23-03-00 16:00,1.4
23-03-00 15:00,1.3
23-03-00 14:00,1.8
23-03-00 13:00,2.0
23-03-00 12:00,2.0
23-03-00 11:00,2.1
23-03-00 10:00,1.8
23-03-00 09:00,2.2
23-03-00 08:00,5.1
23-03-00 07:00,5.3
23-03-00 06:00,3.5
23-03-00 05:00,3.8
23-03-00 04:00,4.5
23-03-00 03:00,3.7
23-03-00 02:00,
23-03-00 01:00,
23-03-00 00:00,
22-03-00 23:00,
22-03-00 22:00,
22-03-00 21:00,4.4
22-03-00 20:00,2.2
22-03-00 19:00,1.4
22-03-00 18:00,2.0
22-03-00 17:00,1.8
22-03-00 16:00,1.6
22-03-00 15:00,1.4
22-03-00 14:00,1.1
22-03-00 13:00,0.9
22-03-00 12:00,1.1
22-03-00 11:00,1.5
22-03-00 10:00,1.2
22-03-00 09:00,1.4
22-03-00 08:00,1.3
22-03-00 07:00,1.8
22-03-00 06:00,1.2
22-03-00 05:00,1.2
22-03-00 04:00,1.2
22-03-00 03:00,1.5
22-03-00 02:00,3.1
22-03-00 01:00,6.0
22-03-00 00:00,1.8
21-03-00 23:00,1.9
21-03-00 22:00,2.6
21-03-00 21:00,1.7
21-03-00 20:00,1.3
21-03-00 19:00,1.4
21-03-00 18:00,1.3
21-03-00 17:00,1.4
21-03-00 16:00,1.2
21-03-00 15:00,1.0
21-03-00 14:00,1.2
21-03-00 13:00,1.4
21-03-00 12:00,1.4
21-03-00 11:00,2.3
21-03-00 10:00,3.5
21-03-00 09:00,2.5
21-03-00 08:00,1.1
21-03-00 07:00,0.6
21-03-00 06:00,0.5
21-03-00 05:00,0.5
21-03-00 04:00,0.5
21-03-00 03:00,0.6
21-03-00 02:00,0.5
21-03-00 01:00,0.5
21-03-00 00:00,0.6
20-03-00 23:00,0.8
20-03-00 22:00,0.9
20-03-00 21:00,1.0
20-03-00 20:00,2.2
20-03-00 19:00,2.4
20-03-00 18:00,1.8
20-03-00 17:00,1.6
20-03-00 16:00,1.5
20-03-00 15:00,1.4
20-03-00 14:00,1.2
20-03-00 13:00,1.5
20-03-00 12:00,2.5
20-03-00 11:00,4.5
20-03-00 10:00,5.3
20-03-00 09:00,6.1
20-03-00 08:00,4.9
20-03-00 07:00,4.4
20-03-00 06:00,1.6
20-03-00 05:00,1.6
20-03-00 04:00,1.7
20-03-00 03:00,1.6
20-03-00 02:00,1.9
20-03-00 01:00,1.6
20-03-00 00:00,1.4
19-03-00 23:00,1.1
19-03-00 22:00,1.2
19-03-00 21:00,0.9
19-03-00 20:00,0.9
19-03-00 19:00,1.0
19-03-00 18:00,1.1
19-03-00 17:00,0.9
19-03-00 16:00,1.0
19-03-00 15:00,0.8
19-03-00 14:00,0.8
19-03-00 13:00,0.9
19-03-00 12:00,1.0
19-03-00 11:00,1.1
19-03-00 10:00,1.3
19-03-00 09:00,1.5
19-03-00 08:00,1.5
19-03-00 07:00,
19-03-00 06:00,
19-03-00 05:00,
