Datum Zeit,Schwartenberg O3
,µg/m³
01-05-00 00:00,90
30-04-00 23:00,96
30-04-00 22:00,100
30-04-00 21:00,100
30-04-00 20:00,119
30-04-00 19:00,123
30-04-00 18:00,122
30-04-00 17:00,126
30-04-00 16:00,128
30-04-00 15:00,131
30-04-00 14:00,131
30-04-00 13:00,134
30-04-00 12:00,127
30-04-00 11:00,117
30-04-00 10:00,111
30-04-00 09:00,108
30-04-00 08:00,98
30-04-00 07:00,78
30-04-00 06:00,
30-04-00 05:00,87
30-04-00 04:00,95
30-04-00 03:00,99
30-04-00 02:00,101
30-04-00 01:00,98
30-04-00 00:00,91
29-04-00 23:00,88
29-04-00 22:00,86
29-04-00 21:00,86
29-04-00 20:00,81
29-04-00 19:00,90
29-04-00 18:00,99
29-04-00 17:00,105
29-04-00 16:00,107
29-04-00 15:00,107
29-04-00 14:00,104
29-04-00 13:00,99
29-04-00 12:00,95
29-04-00 11:00,89
29-04-00 10:00,89
29-04-00 09:00,87
29-04-00 08:00,86
29-04-00 07:00,
29-04-00 06:00,74
29-04-00 05:00,83
29-04-00 04:00,87
29-04-00 03:00,90
29-04-00 02:00,96
29-04-00 01:00,101
29-04-00 00:00,102
28-04-00 23:00,106
28-04-00 22:00,109
28-04-00 21:00,115
28-04-00 20:00,116
28-04-00 19:00,121
28-04-00 18:00,120
28-04-00 17:00,126
28-04-00 16:00,131
28-04-00 15:00,129
28-04-00 14:00,122
28-04-00 13:00,120
28-04-00 12:00,113
28-04-00 11:00,101
28-04-00 10:00,95
28-04-00 09:00,88
28-04-00 08:00,89
28-04-00 07:00,
28-04-00 06:00,96
28-04-00 05:00,100
28-04-00 04:00,103
28-04-00 03:00,105
28-04-00 02:00,106
28-04-00 01:00,112
28-04-00 00:00,115
27-04-00 23:00,118
27-04-00 22:00,112
27-04-00 21:00,106
27-04-00 20:00,111
27-04-00 19:00,120
27-04-00 18:00,122
27-04-00 17:00,122
27-04-00 16:00,132
27-04-00 15:00,136
27-04-00 14:00,
27-04-00 13:00,
27-04-00 12:00,113
27-04-00 11:00,98
27-04-00 10:00,94
27-04-00 09:00,92
27-04-00 08:00,
27-04-00 07:00,70
27-04-00 06:00,63
27-04-00 05:00,76
27-04-00 04:00,83
27-04-00 03:00,79
27-04-00 02:00,81
27-04-00 01:00,79
27-04-00 00:00,66
26-04-00 23:00,83
26-04-00 22:00,88
26-04-00 21:00,98
26-04-00 20:00,106
26-04-00 19:00,114
26-04-00 18:00,121
26-04-00 17:00,123
26-04-00 16:00,121
26-04-00 15:00,107
26-04-00 14:00,82
26-04-00 13:00,79
26-04-00 12:00,83
26-04-00 11:00,67
26-04-00 10:00,58
26-04-00 09:00,43
