Datum Zeit,Schwartenberg NO
,µg/m³
01-08-00 00:00,1
31-07-00 23:00,1
31-07-00 22:00,1
31-07-00 21:00,1
31-07-00 20:00,1
31-07-00 19:00,1
31-07-00 18:00,1
31-07-00 17:00,1
31-07-00 16:00,1
31-07-00 15:00,1
31-07-00 14:00,1
31-07-00 13:00,1
31-07-00 12:00,1
31-07-00 11:00,1
31-07-00 10:00,1
31-07-00 09:00,1
31-07-00 08:00,1
31-07-00 07:00,1
31-07-00 06:00,1
31-07-00 05:00,1
31-07-00 04:00,1
31-07-00 03:00,
31-07-00 02:00,1
31-07-00 01:00,1
31-07-00 00:00,1
30-07-00 23:00,1
30-07-00 22:00,1
30-07-00 21:00,1
30-07-00 20:00,1
30-07-00 19:00,1
30-07-00 18:00,1
30-07-00 17:00,1
30-07-00 16:00,1
30-07-00 15:00,1
30-07-00 14:00,1
30-07-00 13:00,1
30-07-00 12:00,1
30-07-00 11:00,1
30-07-00 10:00,1
30-07-00 09:00,1
30-07-00 08:00,1
30-07-00 07:00,1
30-07-00 06:00,1
30-07-00 05:00,1
30-07-00 04:00,1
30-07-00 03:00,
30-07-00 02:00,1
30-07-00 01:00,1
30-07-00 00:00,1
29-07-00 23:00,1
29-07-00 22:00,1
29-07-00 21:00,1
29-07-00 20:00,1
29-07-00 19:00,1
29-07-00 18:00,1
29-07-00 17:00,1
29-07-00 16:00,1
29-07-00 15:00,1
29-07-00 14:00,1
29-07-00 13:00,1
29-07-00 12:00,1
29-07-00 11:00,1
29-07-00 10:00,1
29-07-00 09:00,1
29-07-00 08:00,1
29-07-00 07:00,1
29-07-00 06:00,1
29-07-00 05:00,1
29-07-00 04:00,
29-07-00 03:00,1
29-07-00 02:00,1
29-07-00 01:00,1
29-07-00 00:00,1
28-07-00 23:00,1
28-07-00 22:00,1
28-07-00 21:00,1
28-07-00 20:00,1
28-07-00 19:00,1
28-07-00 18:00,1
28-07-00 17:00,1
28-07-00 16:00,1
28-07-00 15:00,1
28-07-00 14:00,1
28-07-00 13:00,1
28-07-00 12:00,1
28-07-00 11:00,1
28-07-00 10:00,1
28-07-00 09:00,1
28-07-00 08:00,1
28-07-00 07:00,1
28-07-00 06:00,1
28-07-00 05:00,1
28-07-00 04:00,
28-07-00 03:00,1
28-07-00 02:00,1
28-07-00 01:00,1
28-07-00 00:00,1
27-07-00 23:00,1
27-07-00 22:00,1
27-07-00 21:00,1
27-07-00 20:00,1
27-07-00 19:00,1
27-07-00 18:00,1
27-07-00 17:00,1
27-07-00 16:00,1
27-07-00 15:00,1
27-07-00 14:00,1
27-07-00 13:00,1
27-07-00 12:00,1
27-07-00 11:00,1
27-07-00 10:00,1
27-07-00 09:00,1
27-07-00 08:00,1
27-07-00 07:00,1
27-07-00 06:00,1
27-07-00 05:00,
27-07-00 04:00,1
27-07-00 03:00,1
27-07-00 02:00,1
27-07-00 01:00,1
27-07-00 00:00,1
26-07-00 23:00,1
26-07-00 22:00,1
26-07-00 21:00,1
26-07-00 20:00,1
26-07-00 19:00,1
26-07-00 18:00,1
26-07-00 17:00,1
26-07-00 16:00,1
26-07-00 15:00,1
26-07-00 14:00,1
26-07-00 13:00,1
26-07-00 12:00,1
26-07-00 11:00,1
26-07-00 10:00,1
26-07-00 09:00,1
26-07-00 08:00,1
26-07-00 07:00,1
26-07-00 06:00,1
26-07-00 05:00,
26-07-00 04:00,1
26-07-00 03:00,1
26-07-00 02:00,1
26-07-00 01:00,1
26-07-00 00:00,1
25-07-00 23:00,1
25-07-00 22:00,1
25-07-00 21:00,1
25-07-00 20:00,1
25-07-00 19:00,1
25-07-00 18:00,1
25-07-00 17:00,1
25-07-00 16:00,1
25-07-00 15:00,1
25-07-00 14:00,1
25-07-00 13:00,1
25-07-00 12:00,1
25-07-00 11:00,1
25-07-00 10:00,1
25-07-00 09:00,1
25-07-00 08:00,1
25-07-00 07:00,1
25-07-00 06:00,
25-07-00 05:00,1
25-07-00 04:00,1
25-07-00 03:00,1
25-07-00 02:00,1
25-07-00 01:00,1
25-07-00 00:00,1
