Datum Zeit,Plauen-Sued NO2
,µg/m³
01-10-00 00:00,16
30-09-00 23:00,18
30-09-00 22:00,23
30-09-00 21:00,29
30-09-00 20:00,38
30-09-00 19:00,44
30-09-00 18:00,56
30-09-00 17:00,34
30-09-00 16:00,33
30-09-00 15:00,30
30-09-00 14:00,33
30-09-00 13:00,39
30-09-00 12:00,38
30-09-00 11:00,34
30-09-00 10:00,32
30-09-00 09:00,42
30-09-00 08:00,39
30-09-00 07:00,50
30-09-00 06:00,47
30-09-00 05:00,
30-09-00 04:00,31
30-09-00 03:00,32
30-09-00 02:00,48
30-09-00 01:00,27
30-09-00 00:00,44
29-09-00 23:00,33
29-09-00 22:00,72
29-09-00 21:00,79
29-09-00 20:00,64
29-09-00 19:00,89
29-09-00 18:00,91
29-09-00 17:00,56
29-09-00 16:00,54
29-09-00 15:00,42
29-09-00 14:00,44
29-09-00 13:00,52
29-09-00 12:00,43
29-09-00 11:00,39
29-09-00 10:00,52
29-09-00 09:00,42
29-09-00 08:00,58
29-09-00 07:00,58
29-09-00 06:00,64
29-09-00 05:00,
29-09-00 04:00,40
29-09-00 03:00,20
29-09-00 02:00,27
29-09-00 01:00,25
29-09-00 00:00,28
28-09-00 23:00,34
28-09-00 22:00,38
28-09-00 21:00,30
28-09-00 20:00,36
28-09-00 19:00,40
28-09-00 18:00,58
28-09-00 17:00,66
28-09-00 16:00,48
28-09-00 15:00,38
28-09-00 14:00,36
28-09-00 13:00,30
28-09-00 12:00,28
28-09-00 11:00,23
28-09-00 10:00,23
28-09-00 09:00,28
28-09-00 08:00,31
28-09-00 07:00,35
28-09-00 06:00,
28-09-00 05:00,27
28-09-00 04:00,22
28-09-00 03:00,20
28-09-00 02:00,20
28-09-00 01:00,19
28-09-00 00:00,19
27-09-00 23:00,30
27-09-00 22:00,26
27-09-00 21:00,24
27-09-00 20:00,28
27-09-00 19:00,41
27-09-00 18:00,59
27-09-00 17:00,67
27-09-00 16:00,54
27-09-00 15:00,48
27-09-00 14:00,43
27-09-00 13:00,35
27-09-00 12:00,38
27-09-00 11:00,34
27-09-00 10:00,29
27-09-00 09:00,33
27-09-00 08:00,43
27-09-00 07:00,25
27-09-00 06:00,
27-09-00 05:00,17
27-09-00 04:00,14
