Datum Zeit,Plauen-Sued SO2
,µg/m³
01-10-00 00:00,1.0
30-09-00 23:00,1.0
30-09-00 22:00,1.0
30-09-00 21:00,1.5
30-09-00 20:00,2.9
30-09-00 19:00,4.4
30-09-00 18:00,11.2
30-09-00 17:00,15.7
30-09-00 16:00,9.5
30-09-00 15:00,7.3
30-09-00 14:00,12.1
30-09-00 13:00,19.8
30-09-00 12:00,17.8
30-09-00 11:00,11.5
30-09-00 10:00,11.6
30-09-00 09:00,13.9
30-09-00 08:00,10.0
30-09-00 07:00,5.9
30-09-00 06:00,6.9
30-09-00 05:00,5.2
30-09-00 04:00,4.8
30-09-00 03:00,3.3
30-09-00 02:00,4.8
30-09-00 01:00,
30-09-00 00:00,
29-09-00 23:00,9.1
29-09-00 22:00,6.5
29-09-00 21:00,6.0
29-09-00 20:00,4.7
29-09-00 19:00,6.6
29-09-00 18:00,10.1
29-09-00 17:00,15.2
29-09-00 16:00,10.5
29-09-00 15:00,19.7
29-09-00 14:00,26.6
29-09-00 13:00,17.6
29-09-00 12:00,11.9
29-09-00 11:00,15.6
29-09-00 10:00,21.4
29-09-00 09:00,19.6
29-09-00 08:00,11.2
29-09-00 07:00,5.8
29-09-00 06:00,7.7
29-09-00 05:00,5.9
29-09-00 04:00,4.1
29-09-00 03:00,5.5
29-09-00 02:00,4.2
29-09-00 01:00,
29-09-00 00:00,
28-09-00 23:00,4.2
28-09-00 22:00,3.9
28-09-00 21:00,4.3
28-09-00 20:00,3.4
28-09-00 19:00,3.3
28-09-00 18:00,3.2
28-09-00 17:00,4.2
28-09-00 16:00,2.9
28-09-00 15:00,4.6
28-09-00 14:00,4.2
28-09-00 13:00,4.3
28-09-00 12:00,4.8
28-09-00 11:00,4.5
28-09-00 10:00,4.6
28-09-00 09:00,4.6
28-09-00 08:00,4.6
28-09-00 07:00,3.6
28-09-00 06:00,3.6
28-09-00 05:00,3.4
28-09-00 04:00,2.9
28-09-00 03:00,3.1
28-09-00 02:00,3.6
28-09-00 01:00,
28-09-00 00:00,1.3
27-09-00 23:00,1.4
27-09-00 22:00,1.6
27-09-00 21:00,1.5
27-09-00 20:00,1.7
27-09-00 19:00,2.0
27-09-00 18:00,3.3
27-09-00 17:00,2.6
27-09-00 16:00,3.0
27-09-00 15:00,3.4
27-09-00 14:00,3.5
27-09-00 13:00,3.4
27-09-00 12:00,3.8
27-09-00 11:00,2.8
27-09-00 10:00,4.1
27-09-00 09:00,4.8
27-09-00 08:00,4.0
27-09-00 07:00,2.7
27-09-00 06:00,2.0
27-09-00 05:00,1.9
27-09-00 04:00,1.0
27-09-00 03:00,1.0
