Datum Zeit,Radebeul-Wahnsdorf SO2
,µg/m³
01-10-00 00:00,
30-09-00 23:00,8.0
30-09-00 22:00,7.7
30-09-00 21:00,7.7
30-09-00 20:00,8.4
30-09-00 19:00,9.1
30-09-00 18:00,8.8
30-09-00 17:00,8.0
30-09-00 16:00,8.1
30-09-00 15:00,9.3
30-09-00 14:00,
30-09-00 13:00,12.1
30-09-00 12:00,14.6
30-09-00 11:00,16.9
30-09-00 10:00,21.1
30-09-00 09:00,21.9
30-09-00 08:00,18.5
30-09-00 07:00,16.8
30-09-00 06:00,17.6
30-09-00 05:00,15.7
30-09-00 04:00,13.9
30-09-00 03:00,12.8
30-09-00 02:00,12.6
30-09-00 01:00,10.6
30-09-00 00:00,
29-09-00 23:00,10.5
29-09-00 22:00,10.1
29-09-00 21:00,9.7
29-09-00 20:00,8.2
29-09-00 19:00,7.9
29-09-00 18:00,9.8
29-09-00 17:00,13.9
29-09-00 16:00,14.7
29-09-00 15:00,
29-09-00 14:00,12.0
29-09-00 13:00,13.5
29-09-00 12:00,13.6
29-09-00 11:00,14.9
29-09-00 10:00,16.3
29-09-00 09:00,16.1
29-09-00 08:00,18.0
29-09-00 07:00,18.2
29-09-00 06:00,19.0
29-09-00 05:00,18.4
29-09-00 04:00,15.1
29-09-00 03:00,13.5
29-09-00 02:00,14.9
29-09-00 01:00,16.9
29-09-00 00:00,
28-09-00 23:00,13.9
28-09-00 22:00,11.0
28-09-00 21:00,7.9
28-09-00 20:00,9.4
28-09-00 19:00,17.1
28-09-00 18:00,15.5
28-09-00 17:00,12.0
28-09-00 16:00,11.4
28-09-00 15:00,
28-09-00 14:00,
28-09-00 13:00,12.4
28-09-00 12:00,13.2
28-09-00 11:00,10.1
28-09-00 10:00,12.3
28-09-00 09:00,12.1
28-09-00 08:00,16.0
28-09-00 07:00,
28-09-00 06:00,20.9
28-09-00 05:00,23.9
28-09-00 04:00,27.8
28-09-00 03:00,32.8
28-09-00 02:00,22.0
28-09-00 01:00,18.3
28-09-00 00:00,18.0
27-09-00 23:00,19.5
27-09-00 22:00,19.7
27-09-00 21:00,18.1
27-09-00 20:00,16.5
27-09-00 19:00,17.5
27-09-00 18:00,15.5
27-09-00 17:00,12.2
27-09-00 16:00,12.6
27-09-00 15:00,13.6
27-09-00 14:00,9.7
27-09-00 13:00,10.0
27-09-00 12:00,13.7
27-09-00 11:00,11.2
27-09-00 10:00,16.0
27-09-00 09:00,11.2
27-09-00 08:00,11.4
27-09-00 07:00,
27-09-00 06:00,8.3
27-09-00 05:00,7.2
27-09-00 04:00,6.8
27-09-00 03:00,7.9
27-09-00 02:00,8.6
27-09-00 01:00,11.9
27-09-00 00:00,13.8
26-09-00 23:00,12.0
26-09-00 22:00,11.9
26-09-00 21:00,13.5
26-09-00 20:00,19.4
26-09-00 19:00,24.0
26-09-00 18:00,20.6
26-09-00 17:00,22.7
26-09-00 16:00,23.2
26-09-00 15:00,24.2
26-09-00 14:00,29.7
26-09-00 13:00,25.6
26-09-00 12:00,25.2
26-09-00 11:00,23.2
26-09-00 10:00,27.5
26-09-00 09:00,12.9
26-09-00 08:00,
26-09-00 07:00,9.7
26-09-00 06:00,11.5
26-09-00 05:00,10.0
26-09-00 04:00,9.6
26-09-00 03:00,8.8
26-09-00 02:00,9.7
26-09-00 01:00,6.8
26-09-00 00:00,6.3
25-09-00 23:00,7.9
25-09-00 22:00,12.1
25-09-00 21:00,22.3
25-09-00 20:00,20.3
25-09-00 19:00,18.0
25-09-00 18:00,17.8
25-09-00 17:00,26.2
25-09-00 16:00,24.8
25-09-00 15:00,17.7
25-09-00 14:00,18.9
25-09-00 13:00,17.2
25-09-00 12:00,11.9
25-09-00 11:00,10.9
25-09-00 10:00,
25-09-00 09:00,13.6
25-09-00 08:00,9.1
25-09-00 07:00,6.9
25-09-00 06:00,6.8
25-09-00 05:00,4.9
25-09-00 04:00,4.9
25-09-00 03:00,5.5
25-09-00 02:00,5.8
25-09-00 01:00,6.0
25-09-00 00:00,5.9
24-09-00 23:00,5.8
24-09-00 22:00,5.3
24-09-00 21:00,6.0
24-09-00 20:00,5.9
24-09-00 19:00,6.5
24-09-00 18:00,7.5
24-09-00 17:00,4.7
24-09-00 16:00,6.4
24-09-00 15:00,7.3
24-09-00 14:00,7.0
24-09-00 13:00,7.3
24-09-00 12:00,8.3
24-09-00 11:00,10.7
24-09-00 10:00,
24-09-00 09:00,7.9
24-09-00 08:00,5.5
24-09-00 07:00,5.0
24-09-00 06:00,5.1
24-09-00 05:00,5.0
24-09-00 04:00,4.9
24-09-00 03:00,4.6
24-09-00 02:00,5.2
24-09-00 01:00,5.3
24-09-00 00:00,5.4
23-09-00 23:00,7.9
23-09-00 22:00,8.9
23-09-00 21:00,5.8
23-09-00 20:00,5.1
23-09-00 19:00,6.3
23-09-00 18:00,6.0
23-09-00 17:00,6.4
23-09-00 16:00,6.3
23-09-00 15:00,6.1
23-09-00 14:00,5.1
23-09-00 13:00,5.6
23-09-00 12:00,8.1
23-09-00 11:00,
23-09-00 10:00,5.1
23-09-00 09:00,6.8
23-09-00 08:00,8.7
23-09-00 07:00,7.6
23-09-00 06:00,6.4
23-09-00 05:00,11.3
23-09-00 04:00,9.9
23-09-00 03:00,8.8
23-09-00 02:00,11.5
23-09-00 01:00,11.8
23-09-00 00:00,13.6
22-09-00 23:00,11.1
22-09-00 22:00,9.0
22-09-00 21:00,8.8
22-09-00 20:00,8.8
22-09-00 19:00,7.4
22-09-00 18:00,6.9
22-09-00 17:00,5.4
22-09-00 16:00,5.1
22-09-00 15:00,3.9
22-09-00 14:00,6.4
22-09-00 13:00,7.1
22-09-00 12:00,13.4
22-09-00 11:00,
22-09-00 10:00,7.0
22-09-00 09:00,3.8
22-09-00 08:00,3.7
22-09-00 07:00,4.1
22-09-00 06:00,3.5
22-09-00 05:00,3.6
22-09-00 04:00,3.9
22-09-00 03:00,4.4
22-09-00 02:00,4.9
22-09-00 01:00,6.5
22-09-00 00:00,9.3
21-09-00 23:00,8.6
21-09-00 22:00,6.3
21-09-00 21:00,5.2
21-09-00 20:00,5.5
21-09-00 19:00,6.0
21-09-00 18:00,5.3
21-09-00 17:00,3.2
21-09-00 16:00,2.7
21-09-00 15:00,2.4
21-09-00 14:00,2.9
21-09-00 13:00,1.8
21-09-00 12:00,
21-09-00 11:00,7.1
21-09-00 10:00,8.1
21-09-00 09:00,7.8
21-09-00 08:00,6.7
21-09-00 07:00,4.7
21-09-00 06:00,5.1
21-09-00 05:00,4.5
21-09-00 04:00,4.4
21-09-00 03:00,2.9
21-09-00 02:00,5.0
21-09-00 01:00,4.8
21-09-00 00:00,3.9
20-09-00 23:00,3.5
20-09-00 22:00,3.9
20-09-00 21:00,4.9
20-09-00 20:00,5.1
20-09-00 19:00,6.7
20-09-00 18:00,8.4
20-09-00 17:00,7.8
20-09-00 16:00,8.1
20-09-00 15:00,7.5
20-09-00 14:00,10.4
20-09-00 13:00,12.0
20-09-00 12:00,
20-09-00 11:00,10.1
20-09-00 10:00,7.4
20-09-00 09:00,5.4
20-09-00 08:00,4.4
20-09-00 07:00,4.1
20-09-00 06:00,3.2
20-09-00 05:00,4.0
20-09-00 04:00,3.3
20-09-00 03:00,4.5
20-09-00 02:00,4.3
20-09-00 01:00,5.3
20-09-00 00:00,5.9
19-09-00 23:00,4.3
19-09-00 22:00,2.6
19-09-00 21:00,3.6
19-09-00 20:00,4.1
19-09-00 19:00,9.5
19-09-00 18:00,10.0
19-09-00 17:00,4.5
19-09-00 16:00,4.5
