Datum Zeit,Radebeul-Wahnsdorf NO2
,µg/m³
01-11-00 00:00,
31-10-00 23:00,10
31-10-00 22:00,9
31-10-00 21:00,9
31-10-00 20:00,10
31-10-00 19:00,10
31-10-00 18:00,9
31-10-00 17:00,9
31-10-00 16:00,10
31-10-00 15:00,14
31-10-00 14:00,10
31-10-00 13:00,9
31-10-00 12:00,11
31-10-00 11:00,17
31-10-00 10:00,33
31-10-00 09:00,35
31-10-00 08:00,29
31-10-00 07:00,36
31-10-00 06:00,23
31-10-00 05:00,9
31-10-00 04:00,12
31-10-00 03:00,22
31-10-00 02:00,29
31-10-00 01:00,24
31-10-00 00:00,
30-10-00 23:00,23
30-10-00 22:00,24
30-10-00 21:00,26
30-10-00 20:00,35
30-10-00 19:00,25
30-10-00 18:00,36
30-10-00 17:00,41
30-10-00 16:00,24
30-10-00 15:00,24
30-10-00 14:00,24
30-10-00 13:00,22
30-10-00 12:00,28
30-10-00 11:00,22
30-10-00 10:00,20
30-10-00 09:00,15
30-10-00 08:00,16
30-10-00 07:00,20
30-10-00 06:00,23
30-10-00 05:00,21
30-10-00 04:00,15
30-10-00 03:00,13
30-10-00 02:00,17
30-10-00 01:00,
30-10-00 00:00,25
29-10-00 23:00,19
29-10-00 22:00,18
29-10-00 21:00,13
29-10-00 20:00,15
29-10-00 19:00,11
29-10-00 18:00,7
29-10-00 17:00,8
29-10-00 16:00,10
29-10-00 15:00,9
29-10-00 14:00,8
29-10-00 13:00,9
29-10-00 12:00,10
29-10-00 11:00,13
29-10-00 10:00,20
29-10-00 09:00,22
29-10-00 08:00,19
29-10-00 07:00,20
29-10-00 06:00,21
29-10-00 05:00,17
29-10-00 04:00,15
29-10-00 03:00,16
29-10-00 02:00,17
29-10-00 01:00,
29-10-00 00:00,17
28-10-00 23:00,17
28-10-00 22:00,27
28-10-00 21:00,27
28-10-00 20:00,39
28-10-00 19:00,39
28-10-00 18:00,46
28-10-00 17:00,40
28-10-00 16:00,29
28-10-00 15:00,16
28-10-00 14:00,13
28-10-00 13:00,11
28-10-00 12:00,14
28-10-00 11:00,15
28-10-00 10:00,16
28-10-00 09:00,18
28-10-00 08:00,16
28-10-00 07:00,14
