Datum Zeit,Borna CO
,mg/m3
01-01-01 00:00,0.2
31-12-00 23:00,0.2
31-12-00 22:00,0.2
31-12-00 21:00,0.3
31-12-00 20:00,0.4
31-12-00 19:00,1.4
31-12-00 18:00,1.8
31-12-00 17:00,1.0
31-12-00 16:00,0.7
31-12-00 15:00,0.6
31-12-00 14:00,0.5
31-12-00 13:00,0.2
31-12-00 12:00,0.4
31-12-00 11:00,0.4
31-12-00 10:00,0.2
31-12-00 09:00,0.1
31-12-00 08:00,0.1
31-12-00 07:00,0.1
31-12-00 06:00,0.1
31-12-00 05:00,0.1
31-12-00 04:00,0.1
31-12-00 03:00,0.1
31-12-00 02:00,0.1
31-12-00 01:00,0.2
31-12-00 00:00,0.2
30-12-00 23:00,0.4
30-12-00 22:00,0.2
30-12-00 21:00,0.4
30-12-00 20:00,0.4
30-12-00 19:00,0.3
30-12-00 18:00,0.7
30-12-00 17:00,1.8
30-12-00 16:00,1.8
30-12-00 15:00,1.0
30-12-00 14:00,0.5
30-12-00 13:00,0.7
30-12-00 12:00,1.4
30-12-00 11:00,2.0
30-12-00 10:00,1.9
30-12-00 09:00,0.9
30-12-00 08:00,0.4
30-12-00 07:00,0.6
30-12-00 06:00,0.3
30-12-00 05:00,0.3
30-12-00 04:00,0.2
30-12-00 03:00,0.3
30-12-00 02:00,
30-12-00 01:00,0.8
30-12-00 00:00,1.0
29-12-00 23:00,1.2
29-12-00 22:00,1.1
29-12-00 21:00,1.1
29-12-00 20:00,1.5
29-12-00 19:00,1.7
29-12-00 18:00,1.5
29-12-00 17:00,1.4
29-12-00 16:00,1.2
29-12-00 15:00,1.8
29-12-00 14:00,1.7
29-12-00 13:00,1.5
29-12-00 12:00,1.3
29-12-00 11:00,1.5
29-12-00 10:00,1.4
29-12-00 09:00,1.1
29-12-00 08:00,0.4
29-12-00 07:00,0.4
29-12-00 06:00,0.2
29-12-00 05:00,0.1
29-12-00 04:00,0.1
29-12-00 03:00,0.1
29-12-00 02:00,0.1
29-12-00 01:00,0.2
29-12-00 00:00,0.2
28-12-00 23:00,0.2
28-12-00 22:00,0.6
28-12-00 21:00,0.9
28-12-00 20:00,0.9
28-12-00 19:00,1.3
28-12-00 18:00,1.0
