Datum Zeit,Goerlitz SO2
,µg/m³
01-02-01 00:00,3.4
31-01-01 23:00,1.7
31-01-01 22:00,1.0
31-01-01 21:00,1.4
31-01-01 20:00,2.3
31-01-01 19:00,2.6
31-01-01 18:00,2.6
31-01-01 17:00,2.9
31-01-01 16:00,3.1
31-01-01 15:00,3.4
31-01-01 14:00,5.0
31-01-01 13:00,3.1
31-01-01 12:00,2.7
31-01-01 11:00,3.2
31-01-01 10:00,3.2
31-01-01 09:00,
31-01-01 08:00,2.5
31-01-01 07:00,2.2
31-01-01 06:00,1.7
31-01-01 05:00,1.3
31-01-01 04:00,1.3
31-01-01 03:00,1.4
31-01-01 02:00,2.1
31-01-01 01:00,1.6
31-01-01 00:00,2.9
30-01-01 23:00,3.0
30-01-01 22:00,3.0
30-01-01 21:00,3.1
30-01-01 20:00,4.1
30-01-01 19:00,4.4
30-01-01 18:00,5.3
30-01-01 17:00,6.0
30-01-01 16:00,6.8
30-01-01 15:00,7.2
30-01-01 14:00,6.6
30-01-01 13:00,6.3
30-01-01 12:00,4.5
30-01-01 11:00,4.3
30-01-01 10:00,5.0
30-01-01 09:00,
30-01-01 08:00,3.5
30-01-01 07:00,3.4
30-01-01 06:00,2.9
30-01-01 05:00,2.7
30-01-01 04:00,2.7
30-01-01 03:00,2.5
30-01-01 02:00,2.3
30-01-01 01:00,
30-01-01 00:00,2.2
29-01-01 23:00,2.1
29-01-01 22:00,2.0
29-01-01 21:00,2.1
29-01-01 20:00,2.5
29-01-01 19:00,3.0
29-01-01 18:00,2.7
29-01-01 17:00,3.1
29-01-01 16:00,3.4
29-01-01 15:00,3.9
29-01-01 14:00,4.8
29-01-01 13:00,5.1
29-01-01 12:00,4.0
29-01-01 11:00,3.3
29-01-01 10:00,3.9
29-01-01 09:00,3.8
29-01-01 08:00,3.7
29-01-01 07:00,3.4
29-01-01 06:00,3.6
29-01-01 05:00,4.5
29-01-01 04:00,4.8
29-01-01 03:00,5.0
29-01-01 02:00,6.4
29-01-01 01:00,
29-01-01 00:00,11.4
28-01-01 23:00,9.6
28-01-01 22:00,7.0
28-01-01 21:00,6.7
28-01-01 20:00,3.9
28-01-01 19:00,3.6
28-01-01 18:00,3.7
28-01-01 17:00,5.2
28-01-01 16:00,6.4
28-01-01 15:00,8.4
28-01-01 14:00,7.3
28-01-01 13:00,6.8
28-01-01 12:00,7.3
28-01-01 11:00,8.6
28-01-01 10:00,6.5
28-01-01 09:00,4.9
28-01-01 08:00,3.4
28-01-01 07:00,3.6
28-01-01 06:00,3.9
28-01-01 05:00,3.6
28-01-01 04:00,4.2
28-01-01 03:00,5.3
28-01-01 02:00,
28-01-01 01:00,4.4
28-01-01 00:00,5.2
27-01-01 23:00,6.6
27-01-01 22:00,7.1
27-01-01 21:00,8.5
27-01-01 20:00,10.4
27-01-01 19:00,19.8
27-01-01 18:00,17.4
27-01-01 17:00,9.2
27-01-01 16:00,14.9
27-01-01 15:00,8.7
27-01-01 14:00,9.4
27-01-01 13:00,11.2
27-01-01 12:00,18.0
27-01-01 11:00,53.3
27-01-01 10:00,73.1
27-01-01 09:00,38.8
27-01-01 08:00,10.2
27-01-01 07:00,5.4
27-01-01 06:00,6.7
27-01-01 05:00,9.1
27-01-01 04:00,6.6
27-01-01 03:00,5.6
27-01-01 02:00,
27-01-01 01:00,6.1
27-01-01 00:00,7.0
26-01-01 23:00,7.5
26-01-01 22:00,8.2
26-01-01 21:00,9.1
26-01-01 20:00,10.1
26-01-01 19:00,13.5
26-01-01 18:00,8.4
26-01-01 17:00,10.1
26-01-01 16:00,12.6
26-01-01 15:00,14.3
26-01-01 14:00,14.8
26-01-01 13:00,15.0
26-01-01 12:00,12.7
26-01-01 11:00,9.2
26-01-01 10:00,8.3
26-01-01 09:00,8.0
26-01-01 08:00,8.7
26-01-01 07:00,8.2
26-01-01 06:00,7.7
26-01-01 05:00,10.8
26-01-01 04:00,15.1
26-01-01 03:00,
26-01-01 02:00,79.3
26-01-01 01:00,66.3
26-01-01 00:00,73.4
25-01-01 23:00,51.7
25-01-01 22:00,49.6
25-01-01 21:00,47.0
25-01-01 20:00,15.3
25-01-01 19:00,26.1
25-01-01 18:00,87.9
25-01-01 17:00,22.6
25-01-01 16:00,13.6
25-01-01 15:00,14.4
25-01-01 14:00,13.0
25-01-01 13:00,14.6
25-01-01 12:00,15.4
25-01-01 11:00,20.0
25-01-01 10:00,21.9
25-01-01 09:00,21.2
25-01-01 08:00,19.4
25-01-01 07:00,18.4
25-01-01 06:00,16.7
25-01-01 05:00,16.1
25-01-01 04:00,16.9
25-01-01 03:00,
25-01-01 02:00,20.7
25-01-01 01:00,23.5
25-01-01 00:00,23.7
24-01-01 23:00,79.3
24-01-01 22:00,82.7
24-01-01 21:00,71.8
24-01-01 20:00,28.7
24-01-01 19:00,62.3
24-01-01 18:00,99.2
24-01-01 17:00,71.8
24-01-01 16:00,123.3
24-01-01 15:00,136.4
24-01-01 14:00,62.4
24-01-01 13:00,42.8
24-01-01 12:00,70.4
24-01-01 11:00,119.7
24-01-01 10:00,134.5
24-01-01 09:00,79.9
24-01-01 08:00,175.9
24-01-01 07:00,74.4
24-01-01 06:00,36.9
24-01-01 05:00,46.4
24-01-01 04:00,
24-01-01 03:00,35.1
24-01-01 02:00,25.1
24-01-01 01:00,32.8
24-01-01 00:00,35.3
23-01-01 23:00,45.0
23-01-01 22:00,70.4
23-01-01 21:00,53.8
23-01-01 20:00,124.9
23-01-01 19:00,104.0
23-01-01 18:00,77.5
23-01-01 17:00,79.8
23-01-01 16:00,100.2
23-01-01 15:00,72.7
23-01-01 14:00,36.6
23-01-01 13:00,98.4
23-01-01 12:00,96.9
23-01-01 11:00,154.3
23-01-01 10:00,30.3
23-01-01 09:00,38.5
23-01-01 08:00,104.3
23-01-01 07:00,98.1
23-01-01 06:00,58.5
23-01-01 05:00,36.1
23-01-01 04:00,
23-01-01 03:00,36.2
23-01-01 02:00,67.1
23-01-01 01:00,38.9
23-01-01 00:00,31.9
22-01-01 23:00,28.9
