Datum Zeit,Radebeul-Wahnsdorf NO
,µg/m³
01-02-01 00:00,1
31-01-01 23:00,1
31-01-01 22:00,1
31-01-01 21:00,1
31-01-01 20:00,1
31-01-01 19:00,1
31-01-01 18:00,1
31-01-01 17:00,2
31-01-01 16:00,1
31-01-01 15:00,
31-01-01 14:00,
31-01-01 13:00,
31-01-01 12:00,
31-01-01 11:00,
31-01-01 10:00,5
31-01-01 09:00,
31-01-01 08:00,2
31-01-01 07:00,1
31-01-01 06:00,1
31-01-01 05:00,1
31-01-01 04:00,1
31-01-01 03:00,1
31-01-01 02:00,1
31-01-01 01:00,1
31-01-01 00:00,1
30-01-01 23:00,1
30-01-01 22:00,1
30-01-01 21:00,1
30-01-01 20:00,1
30-01-01 19:00,1
30-01-01 18:00,1
30-01-01 17:00,1
30-01-01 16:00,4
30-01-01 15:00,1
30-01-01 14:00,3
30-01-01 13:00,5
30-01-01 12:00,3
30-01-01 11:00,3
30-01-01 10:00,14
30-01-01 09:00,
30-01-01 08:00,5
30-01-01 07:00,1
30-01-01 06:00,1
30-01-01 05:00,1
30-01-01 04:00,1
30-01-01 03:00,1
30-01-01 02:00,1
30-01-01 01:00,1
30-01-01 00:00,1
29-01-01 23:00,1
29-01-01 22:00,1
29-01-01 21:00,1
29-01-01 20:00,1
29-01-01 19:00,1
29-01-01 18:00,1
29-01-01 17:00,1
29-01-01 16:00,2
29-01-01 15:00,2
29-01-01 14:00,3
29-01-01 13:00,2
29-01-01 12:00,
29-01-01 11:00,2
29-01-01 10:00,4
29-01-01 09:00,
29-01-01 08:00,
29-01-01 07:00,1
29-01-01 06:00,1
29-01-01 05:00,1
29-01-01 04:00,1
29-01-01 03:00,1
29-01-01 02:00,1
29-01-01 01:00,1
29-01-01 00:00,1
28-01-01 23:00,1
28-01-01 22:00,1
28-01-01 21:00,1
28-01-01 20:00,1
28-01-01 19:00,1
28-01-01 18:00,1
28-01-01 17:00,1
28-01-01 16:00,1
28-01-01 15:00,1
28-01-01 14:00,1
28-01-01 13:00,1
28-01-01 12:00,
28-01-01 11:00,1
28-01-01 10:00,1
28-01-01 09:00,1
28-01-01 08:00,1
28-01-01 07:00,1
28-01-01 06:00,1
28-01-01 05:00,1
28-01-01 04:00,1
28-01-01 03:00,1
28-01-01 02:00,1
28-01-01 01:00,1
28-01-01 00:00,1
27-01-01 23:00,1
27-01-01 22:00,1
27-01-01 21:00,1
27-01-01 20:00,1
27-01-01 19:00,1
27-01-01 18:00,1
27-01-01 17:00,1
27-01-01 16:00,3
27-01-01 15:00,2
27-01-01 14:00,1
27-01-01 13:00,2
27-01-01 12:00,
27-01-01 11:00,1
27-01-01 10:00,1
27-01-01 09:00,1
27-01-01 08:00,1
27-01-01 07:00,1
27-01-01 06:00,1
27-01-01 05:00,1
27-01-01 04:00,1
27-01-01 03:00,1
27-01-01 02:00,1
27-01-01 01:00,1
27-01-01 00:00,1
26-01-01 23:00,1
26-01-01 22:00,1
26-01-01 21:00,1
26-01-01 20:00,1
26-01-01 19:00,1
26-01-01 18:00,1
26-01-01 17:00,1
26-01-01 16:00,2
26-01-01 15:00,2
26-01-01 14:00,3
26-01-01 13:00,
26-01-01 12:00,
26-01-01 11:00,
26-01-01 10:00,
26-01-01 09:00,
26-01-01 08:00,1
26-01-01 07:00,1
26-01-01 06:00,1
26-01-01 05:00,1
26-01-01 04:00,1
26-01-01 03:00,1
26-01-01 02:00,1
26-01-01 01:00,1
26-01-01 00:00,
25-01-01 23:00,1
25-01-01 22:00,1
25-01-01 21:00,1
25-01-01 20:00,1
25-01-01 19:00,1
25-01-01 18:00,1
25-01-01 17:00,2
25-01-01 16:00,6
25-01-01 15:00,8
25-01-01 14:00,9
25-01-01 13:00,15
25-01-01 12:00,17
25-01-01 11:00,18
25-01-01 10:00,26
25-01-01 09:00,28
25-01-01 08:00,21
25-01-01 07:00,10
25-01-01 06:00,2
25-01-01 05:00,1
25-01-01 04:00,1
25-01-01 03:00,1
25-01-01 02:00,1
25-01-01 01:00,1
25-01-01 00:00,
24-01-01 23:00,1
24-01-01 22:00,1
24-01-01 21:00,1
24-01-01 20:00,1
24-01-01 19:00,1
24-01-01 18:00,1
24-01-01 17:00,1
24-01-01 16:00,2
24-01-01 15:00,2
24-01-01 14:00,2
24-01-01 13:00,3
24-01-01 12:00,4
24-01-01 11:00,4
24-01-01 10:00,3
24-01-01 09:00,1
24-01-01 08:00,1
24-01-01 07:00,1
24-01-01 06:00,1
24-01-01 05:00,1
24-01-01 04:00,1
24-01-01 03:00,1
24-01-01 02:00,1
24-01-01 01:00,
24-01-01 00:00,1
23-01-01 23:00,1
23-01-01 22:00,1
23-01-01 21:00,1
23-01-01 20:00,1
23-01-01 19:00,2
23-01-01 18:00,3
23-01-01 17:00,3
23-01-01 16:00,5
23-01-01 15:00,7
23-01-01 14:00,7
23-01-01 13:00,7
23-01-01 12:00,6
23-01-01 11:00,3
23-01-01 10:00,3
23-01-01 09:00,2
23-01-01 08:00,1
23-01-01 07:00,1
23-01-01 06:00,1
23-01-01 05:00,1
23-01-01 04:00,1
23-01-01 03:00,1
23-01-01 02:00,1
23-01-01 01:00,
23-01-01 00:00,1
22-01-01 23:00,1
22-01-01 22:00,1
22-01-01 21:00,1
22-01-01 20:00,1
22-01-01 19:00,1
22-01-01 18:00,1
22-01-01 17:00,1
22-01-01 16:00,1
22-01-01 15:00,2
22-01-01 14:00,3
22-01-01 13:00,3
22-01-01 12:00,3
22-01-01 11:00,2
22-01-01 10:00,1
22-01-01 09:00,1
22-01-01 08:00,1
22-01-01 07:00,1
22-01-01 06:00,1
22-01-01 05:00,1
22-01-01 04:00,1
22-01-01 03:00,1
22-01-01 02:00,
22-01-01 01:00,1
22-01-01 00:00,1
21-01-01 23:00,1
21-01-01 22:00,1
21-01-01 21:00,1
21-01-01 20:00,1
21-01-01 19:00,1
21-01-01 18:00,1
21-01-01 17:00,1
21-01-01 16:00,1
21-01-01 15:00,2
21-01-01 14:00,2
21-01-01 13:00,3
21-01-01 12:00,3
21-01-01 11:00,3
21-01-01 10:00,2
21-01-01 09:00,1
21-01-01 08:00,1
21-01-01 07:00,1
21-01-01 06:00,1
21-01-01 05:00,1
21-01-01 04:00,1
21-01-01 03:00,1
21-01-01 02:00,
21-01-01 01:00,1
21-01-01 00:00,1
20-01-01 23:00,1
20-01-01 22:00,1
20-01-01 21:00,1
20-01-01 20:00,1
20-01-01 19:00,1
20-01-01 18:00,1
20-01-01 17:00,1
20-01-01 16:00,2
20-01-01 15:00,2
20-01-01 14:00,2
20-01-01 13:00,2
20-01-01 12:00,2
20-01-01 11:00,3
20-01-01 10:00,2
20-01-01 09:00,1
20-01-01 08:00,1
20-01-01 07:00,1
20-01-01 06:00,1
20-01-01 05:00,1
20-01-01 04:00,1
20-01-01 03:00,
20-01-01 02:00,1
20-01-01 01:00,1
20-01-01 00:00,1
19-01-01 23:00,1
19-01-01 22:00,1
19-01-01 21:00,2
19-01-01 20:00,2
19-01-01 19:00,2
19-01-01 18:00,2
19-01-01 17:00,2
19-01-01 16:00,4
19-01-01 15:00,8
19-01-01 14:00,25
19-01-01 13:00,34
19-01-01 12:00,47
19-01-01 11:00,51
19-01-01 10:00,46
19-01-01 09:00,49
19-01-01 08:00,14
19-01-01 07:00,2
19-01-01 06:00,2
19-01-01 05:00,2
19-01-01 04:00,1
19-01-01 03:00,
19-01-01 02:00,1
19-01-01 01:00,1
19-01-01 00:00,1
18-01-01 23:00,1
18-01-01 22:00,1
18-01-01 21:00,1
18-01-01 20:00,1
18-01-01 19:00,1
18-01-01 18:00,1
18-01-01 17:00,2
18-01-01 16:00,2
18-01-01 15:00,3
18-01-01 14:00,6
18-01-01 13:00,7
18-01-01 12:00,8
18-01-01 11:00,6
18-01-01 10:00,6
18-01-01 09:00,3
18-01-01 08:00,2
18-01-01 07:00,1
18-01-01 06:00,1
18-01-01 05:00,1
18-01-01 04:00,
18-01-01 03:00,1
18-01-01 02:00,1
18-01-01 01:00,1
18-01-01 00:00,1
17-01-01 23:00,1
17-01-01 22:00,1
17-01-01 21:00,1
17-01-01 20:00,1
17-01-01 19:00,1
17-01-01 18:00,1
17-01-01 17:00,2
17-01-01 16:00,4
17-01-01 15:00,6
17-01-01 14:00,7
17-01-01 13:00,7
17-01-01 12:00,6
17-01-01 11:00,5
17-01-01 10:00,4
17-01-01 09:00,2
17-01-01 08:00,1
17-01-01 07:00,1
17-01-01 06:00,1
17-01-01 05:00,1
17-01-01 04:00,
17-01-01 03:00,1
17-01-01 02:00,1
17-01-01 01:00,1
17-01-01 00:00,1
16-01-01 23:00,1
16-01-01 22:00,1
16-01-01 21:00,1
16-01-01 20:00,1
16-01-01 19:00,3
16-01-01 18:00,2
16-01-01 17:00,1
16-01-01 16:00,2
16-01-01 15:00,4
16-01-01 14:00,6
