Datum Zeit,Dresden-Nord SO2
,µg/m³
01-03-01 00:00,
28-02-01 23:00,14.2
28-02-01 22:00,13.7
28-02-01 21:00,13.7
28-02-01 20:00,13.5
28-02-01 19:00,11.7
28-02-01 18:00,11.1
28-02-01 17:00,11.3
28-02-01 16:00,9.8
28-02-01 15:00,11.5
28-02-01 14:00,18.6
28-02-01 13:00,20.6
28-02-01 12:00,18.0
28-02-01 11:00,19.0
28-02-01 10:00,16.3
28-02-01 09:00,13.8
28-02-01 08:00,
28-02-01 07:00,9.3
28-02-01 06:00,9.3
28-02-01 05:00,10.9
28-02-01 04:00,13.0
28-02-01 03:00,12.7
28-02-01 02:00,12.6
28-02-01 01:00,11.5
28-02-01 00:00,
27-02-01 23:00,12.3
27-02-01 22:00,12.4
27-02-01 21:00,9.3
27-02-01 20:00,9.8
27-02-01 19:00,9.6
27-02-01 18:00,10.4
27-02-01 17:00,15.3
27-02-01 16:00,22.4
27-02-01 15:00,29.0
27-02-01 14:00,34.1
27-02-01 13:00,25.8
27-02-01 12:00,26.6
27-02-01 11:00,22.4
27-02-01 10:00,17.8
27-02-01 09:00,11.3
27-02-01 08:00,
27-02-01 07:00,5.2
27-02-01 06:00,5.0
27-02-01 05:00,4.9
27-02-01 04:00,6.4
27-02-01 03:00,5.4
27-02-01 02:00,
27-02-01 01:00,6.0
27-02-01 00:00,
26-02-01 23:00,7.1
26-02-01 22:00,5.9
26-02-01 21:00,6.8
26-02-01 20:00,7.0
26-02-01 19:00,6.1
26-02-01 18:00,6.1
26-02-01 17:00,5.7
26-02-01 16:00,7.8
26-02-01 15:00,8.6
26-02-01 14:00,8.0
26-02-01 13:00,8.7
26-02-01 12:00,8.5
26-02-01 11:00,9.6
26-02-01 10:00,10.9
26-02-01 09:00,18.5
26-02-01 08:00,21.7
26-02-01 07:00,21.8
26-02-01 06:00,18.8
26-02-01 05:00,19.7
26-02-01 04:00,25.9
26-02-01 03:00,
26-02-01 02:00,36.5
26-02-01 01:00,39.7
26-02-01 00:00,
25-02-01 23:00,38.9
25-02-01 22:00,40.5
25-02-01 21:00,43.3
25-02-01 20:00,27.5
25-02-01 19:00,7.9
25-02-01 18:00,8.4
25-02-01 17:00,8.1
25-02-01 16:00,7.3
25-02-01 15:00,6.9
25-02-01 14:00,19.2
25-02-01 13:00,26.3
25-02-01 12:00,17.7
25-02-01 11:00,14.1
25-02-01 10:00,11.5
25-02-01 09:00,9.0
25-02-01 08:00,6.3
25-02-01 07:00,4.5
25-02-01 06:00,4.0
25-02-01 05:00,3.8
25-02-01 04:00,4.2
25-02-01 03:00,
25-02-01 02:00,5.7
25-02-01 01:00,6.2
25-02-01 00:00,
24-02-01 23:00,9.6
24-02-01 22:00,7.5
24-02-01 21:00,8.1
24-02-01 20:00,8.0
24-02-01 19:00,5.8
24-02-01 18:00,4.4
24-02-01 17:00,5.5
24-02-01 16:00,4.8
24-02-01 15:00,5.1
24-02-01 14:00,4.9
24-02-01 13:00,4.6
24-02-01 12:00,5.0
24-02-01 11:00,4.6
24-02-01 10:00,4.9
24-02-01 09:00,5.6
24-02-01 08:00,4.4
24-02-01 07:00,3.5
24-02-01 06:00,3.5
24-02-01 05:00,3.2
24-02-01 04:00,
24-02-01 03:00,4.2
24-02-01 02:00,4.0
24-02-01 01:00,4.0
24-02-01 00:00,
23-02-01 23:00,6.4
23-02-01 22:00,6.6
23-02-01 21:00,4.1
23-02-01 20:00,4.0
23-02-01 19:00,7.9
23-02-01 18:00,7.1
23-02-01 17:00,7.2
23-02-01 16:00,2.8
23-02-01 15:00,3.3
23-02-01 14:00,4.5
23-02-01 13:00,5.3
23-02-01 12:00,4.5
23-02-01 11:00,5.1
23-02-01 10:00,4.7
23-02-01 09:00,4.7
23-02-01 08:00,5.6
23-02-01 07:00,3.5
23-02-01 06:00,2.0
23-02-01 05:00,3.2
23-02-01 04:00,
23-02-01 03:00,4.8
23-02-01 02:00,1.9
23-02-01 01:00,1.3
23-02-01 00:00,
22-02-01 23:00,2.4
22-02-01 22:00,2.2
22-02-01 21:00,2.5
22-02-01 20:00,2.8
22-02-01 19:00,2.9
22-02-01 18:00,3.2
22-02-01 17:00,2.7
22-02-01 16:00,2.9
22-02-01 15:00,2.9
22-02-01 14:00,3.1
22-02-01 13:00,4.4
22-02-01 12:00,3.5
22-02-01 11:00,2.9
22-02-01 10:00,2.8
22-02-01 09:00,3.4
22-02-01 08:00,3.8
22-02-01 07:00,3.0
22-02-01 06:00,2.0
22-02-01 05:00,
22-02-01 04:00,1.6
22-02-01 03:00,1.7
22-02-01 02:00,1.3
22-02-01 01:00,2.0
22-02-01 00:00,
21-02-01 23:00,1.6
21-02-01 22:00,1.6
21-02-01 21:00,2.1
21-02-01 20:00,2.2
21-02-01 19:00,3.2
21-02-01 18:00,4.1
21-02-01 17:00,4.3
21-02-01 16:00,4.7
21-02-01 15:00,5.2
21-02-01 14:00,6.1
21-02-01 13:00,5.8
21-02-01 12:00,6.1
21-02-01 11:00,5.1
21-02-01 10:00,4.4
