Datum Zeit,Bautzen CO
,mg/m3
01-04-01 00:00,0.5
31-03-01 23:00,0.8
31-03-01 22:00,1.1
31-03-01 21:00,1.7
31-03-01 20:00,1.3
31-03-01 19:00,0.7
31-03-01 18:00,0.5
31-03-01 17:00,
31-03-01 16:00,0.4
31-03-01 15:00,0.4
31-03-01 14:00,0.5
31-03-01 13:00,0.5
31-03-01 12:00,0.5
31-03-01 11:00,0.6
31-03-01 10:00,0.6
31-03-01 09:00,0.7
31-03-01 08:00,0.7
31-03-01 07:00,0.6
31-03-01 06:00,0.4
31-03-01 05:00,0.5
31-03-01 04:00,0.5
31-03-01 03:00,0.5
31-03-01 02:00,0.5
31-03-01 01:00,0.5
31-03-01 00:00,0.7
30-03-01 23:00,0.6
30-03-01 22:00,0.9
30-03-01 21:00,1.0
30-03-01 20:00,1.0
30-03-01 19:00,1.0
30-03-01 18:00,1.0
30-03-01 17:00,0.8
30-03-01 16:00,0.5
30-03-01 15:00,0.5
30-03-01 14:00,0.5
30-03-01 13:00,0.5
30-03-01 12:00,0.5
30-03-01 11:00,0.5
30-03-01 10:00,0.5
30-03-01 09:00,0.6
30-03-01 08:00,0.6
30-03-01 07:00,0.7
30-03-01 06:00,0.5
30-03-01 05:00,0.4
30-03-01 04:00,0.4
30-03-01 03:00,0.4
30-03-01 02:00,0.4
30-03-01 01:00,0.4
30-03-01 00:00,0.4
29-03-01 23:00,0.4
29-03-01 22:00,0.4
29-03-01 21:00,0.4
29-03-01 20:00,0.4
29-03-01 19:00,0.5
29-03-01 18:00,0.4
29-03-01 17:00,
29-03-01 16:00,0.4
29-03-01 15:00,0.4
29-03-01 14:00,0.4
29-03-01 13:00,0.5
29-03-01 12:00,0.4
29-03-01 11:00,0.5
29-03-01 10:00,0.5
29-03-01 09:00,0.5
29-03-01 08:00,0.4
29-03-01 07:00,0.4
29-03-01 06:00,0.4
29-03-01 05:00,0.3
29-03-01 04:00,0.4
29-03-01 03:00,0.4
29-03-01 02:00,0.4
29-03-01 01:00,0.4
29-03-01 00:00,0.5
28-03-01 23:00,0.5
28-03-01 22:00,0.5
28-03-01 21:00,0.6
28-03-01 20:00,0.6
28-03-01 19:00,0.6
28-03-01 18:00,0.6
28-03-01 17:00,0.6
28-03-01 16:00,0.6
28-03-01 15:00,0.5
28-03-01 14:00,0.5
28-03-01 13:00,0.4
28-03-01 12:00,0.4
28-03-01 11:00,0.4
28-03-01 10:00,0.4
28-03-01 09:00,0.5
28-03-01 08:00,0.5
28-03-01 07:00,0.5
28-03-01 06:00,0.6
28-03-01 05:00,0.7
28-03-01 04:00,0.4
28-03-01 03:00,0.4
28-03-01 02:00,0.4
28-03-01 01:00,0.4
28-03-01 00:00,0.5
27-03-01 23:00,0.6
27-03-01 22:00,0.7
27-03-01 21:00,0.6
27-03-01 20:00,0.7
27-03-01 19:00,0.7
27-03-01 18:00,
27-03-01 17:00,0.8
27-03-01 16:00,0.9
27-03-01 15:00,0.7
27-03-01 14:00,0.7
27-03-01 13:00,0.7
27-03-01 12:00,0.6
27-03-01 11:00,0.7
27-03-01 10:00,0.7
27-03-01 09:00,0.9
27-03-01 08:00,0.9
27-03-01 07:00,1.2
27-03-01 06:00,1.3
27-03-01 05:00,0.7
27-03-01 04:00,0.5
27-03-01 03:00,0.5
27-03-01 02:00,0.5
27-03-01 01:00,0.4
27-03-01 00:00,0.4
26-03-01 23:00,0.3
26-03-01 22:00,0.3
26-03-01 21:00,0.4
26-03-01 20:00,0.4
26-03-01 19:00,0.7
26-03-01 18:00,0.6
