Datum Zeit,Leipzig-Mitte O3
,µg/m³
01-04-01 00:00,40
31-03-01 23:00,50
31-03-01 22:00,59
31-03-01 21:00,73
31-03-01 20:00,80
31-03-01 19:00,82
31-03-01 18:00,84
31-03-01 17:00,97
31-03-01 16:00,84
31-03-01 15:00,89
31-03-01 14:00,76
31-03-01 13:00,72
31-03-01 12:00,56
31-03-01 11:00,48
31-03-01 10:00,35
31-03-01 09:00,31
31-03-01 08:00,23
31-03-01 07:00,9
31-03-01 06:00,5
31-03-01 05:00,10
31-03-01 04:00,26
31-03-01 03:00,30
31-03-01 02:00,
31-03-01 01:00,26
31-03-01 00:00,24
30-03-01 23:00,31
30-03-01 22:00,20
30-03-01 21:00,18
30-03-01 20:00,28
30-03-01 19:00,17
30-03-01 18:00,24
30-03-01 17:00,29
30-03-01 16:00,29
30-03-01 15:00,22
30-03-01 14:00,27
30-03-01 13:00,11
30-03-01 12:00,8
30-03-01 11:00,4
30-03-01 10:00,3
30-03-01 09:00,2
30-03-01 08:00,4
30-03-01 07:00,4
30-03-01 06:00,9
30-03-01 05:00,16
30-03-01 04:00,23
30-03-01 03:00,28
30-03-01 02:00,
30-03-01 01:00,19
30-03-01 00:00,19
29-03-01 23:00,16
29-03-01 22:00,14
29-03-01 21:00,16
29-03-01 20:00,18
29-03-01 19:00,17
29-03-01 18:00,21
29-03-01 17:00,20
29-03-01 16:00,26
29-03-01 15:00,28
29-03-01 14:00,24
29-03-01 13:00,27
29-03-01 12:00,19
29-03-01 11:00,19
29-03-01 10:00,15
29-03-01 09:00,21
29-03-01 08:00,22
29-03-01 07:00,22
29-03-01 06:00,25
29-03-01 05:00,30
29-03-01 04:00,34
29-03-01 03:00,
29-03-01 02:00,47
29-03-01 01:00,44
29-03-01 00:00,44
28-03-01 23:00,33
28-03-01 22:00,37
28-03-01 21:00,42
28-03-01 20:00,52
28-03-01 19:00,51
28-03-01 18:00,48
28-03-01 17:00,48
28-03-01 16:00,59
28-03-01 15:00,65
28-03-01 14:00,69
28-03-01 13:00,64
28-03-01 12:00,63
28-03-01 11:00,65
28-03-01 10:00,54
28-03-01 09:00,46
28-03-01 08:00,41
28-03-01 07:00,22
28-03-01 06:00,33
28-03-01 05:00,50
28-03-01 04:00,61
28-03-01 03:00,
28-03-01 02:00,79
28-03-01 01:00,81
28-03-01 00:00,78
27-03-01 23:00,72
27-03-01 22:00,67
27-03-01 21:00,66
27-03-01 20:00,69
27-03-01 19:00,63
27-03-01 18:00,65
27-03-01 17:00,60
27-03-01 16:00,62
27-03-01 15:00,66
27-03-01 14:00,64
27-03-01 13:00,56
27-03-01 12:00,56
27-03-01 11:00,56
27-03-01 10:00,39
27-03-01 09:00,34
27-03-01 08:00,25
27-03-01 07:00,14
27-03-01 06:00,19
27-03-01 05:00,28
27-03-01 04:00,
27-03-01 03:00,42
27-03-01 02:00,56
27-03-01 01:00,52
27-03-01 00:00,42
26-03-01 23:00,32
26-03-01 22:00,16
26-03-01 21:00,15
26-03-01 20:00,17
26-03-01 19:00,34
26-03-01 18:00,61
26-03-01 17:00,53
26-03-01 16:00,44
26-03-01 15:00,58
26-03-01 14:00,55
26-03-01 13:00,51
26-03-01 12:00,52
26-03-01 11:00,50
26-03-01 10:00,48
26-03-01 09:00,48
26-03-01 08:00,54
26-03-01 07:00,50
26-03-01 06:00,61
26-03-01 05:00,63
26-03-01 04:00,
26-03-01 03:00,66
26-03-01 02:00,65
