Datum Zeit,Schwartenberg SO2
,µg/m³
01-04-01 00:00,
31-03-01 23:00,4.1
31-03-01 22:00,8.0
31-03-01 21:00,11.4
31-03-01 20:00,15.4
31-03-01 19:00,13.6
31-03-01 18:00,9.5
31-03-01 17:00,3.0
31-03-01 16:00,1.4
31-03-01 15:00,
31-03-01 14:00,1.6
31-03-01 13:00,2.1
31-03-01 12:00,3.8
31-03-01 11:00,6.5
31-03-01 10:00,9.2
31-03-01 09:00,8.2
31-03-01 08:00,5.1
31-03-01 07:00,2.3
31-03-01 06:00,1.0
31-03-01 05:00,1.0
31-03-01 04:00,1.0
31-03-01 03:00,1.0
31-03-01 02:00,1.0
31-03-01 01:00,1.0
31-03-01 00:00,
30-03-01 23:00,1.9
30-03-01 22:00,1.9
30-03-01 21:00,1.8
30-03-01 20:00,1.8
30-03-01 19:00,1.9
30-03-01 18:00,2.0
30-03-01 17:00,2.5
30-03-01 16:00,8.5
30-03-01 15:00,
30-03-01 14:00,12.5
30-03-01 13:00,9.0
30-03-01 12:00,6.3
30-03-01 11:00,8.0
30-03-01 10:00,5.9
30-03-01 09:00,5.9
30-03-01 08:00,5.8
30-03-01 07:00,6.1
30-03-01 06:00,9.1
30-03-01 05:00,13.6
30-03-01 04:00,21.1
30-03-01 03:00,37.3
30-03-01 02:00,33.4
30-03-01 01:00,21.3
30-03-01 00:00,
29-03-01 23:00,19.3
29-03-01 22:00,13.8
29-03-01 21:00,19.5
29-03-01 20:00,23.3
29-03-01 19:00,14.6
29-03-01 18:00,12.5
29-03-01 17:00,12.3
29-03-01 16:00,
29-03-01 15:00,14.7
29-03-01 14:00,15.9
29-03-01 13:00,16.3
29-03-01 12:00,15.1
29-03-01 11:00,15.1
29-03-01 10:00,21.0
29-03-01 09:00,27.5
29-03-01 08:00,28.2
29-03-01 07:00,19.2
29-03-01 06:00,17.8
29-03-01 05:00,21.3
29-03-01 04:00,22.2
29-03-01 03:00,16.1
29-03-01 02:00,14.8
29-03-01 01:00,13.8
29-03-01 00:00,
28-03-01 23:00,12.5
28-03-01 22:00,14.9
28-03-01 21:00,15.5
28-03-01 20:00,7.0
28-03-01 19:00,7.7
28-03-01 18:00,8.0
28-03-01 17:00,8.8
28-03-01 16:00,
28-03-01 15:00,25.2
28-03-01 14:00,29.8
28-03-01 13:00,31.6
28-03-01 12:00,43.1
28-03-01 11:00,41.6
28-03-01 10:00,42.1
28-03-01 09:00,62.5
28-03-01 08:00,18.4
28-03-01 07:00,9.4
28-03-01 06:00,12.9
28-03-01 05:00,14.2
28-03-01 04:00,8.2
28-03-01 03:00,7.5
28-03-01 02:00,34.4
28-03-01 01:00,24.5
28-03-01 00:00,
27-03-01 23:00,22.1
27-03-01 22:00,20.3
27-03-01 21:00,18.1
27-03-01 20:00,24.1
27-03-01 19:00,12.6
27-03-01 18:00,13.1
27-03-01 17:00,
27-03-01 16:00,
27-03-01 15:00,
27-03-01 14:00,
27-03-01 13:00,
27-03-01 12:00,
27-03-01 11:00,
27-03-01 10:00,
27-03-01 09:00,
27-03-01 08:00,
27-03-01 07:00,
27-03-01 06:00,
27-03-01 05:00,
27-03-01 04:00,
27-03-01 03:00,
27-03-01 02:00,
27-03-01 01:00,
27-03-01 00:00,
26-03-01 23:00,
26-03-01 22:00,
26-03-01 21:00,
26-03-01 20:00,
26-03-01 19:00,
26-03-01 18:00,
26-03-01 17:00,
26-03-01 16:00,
26-03-01 15:00,2.0
26-03-01 14:00,1.8
26-03-01 13:00,2.9
26-03-01 12:00,3.6
26-03-01 11:00,3.2
26-03-01 10:00,3.2
26-03-01 09:00,4.7
26-03-01 08:00,5.1
26-03-01 07:00,7.0
26-03-01 06:00,3.1
26-03-01 05:00,3.3
26-03-01 04:00,3.3
26-03-01 03:00,2.7
26-03-01 02:00,1.0
26-03-01 01:00,
26-03-01 00:00,
25-03-01 23:00,1.9
25-03-01 22:00,1.7
25-03-01 21:00,2.2
25-03-01 20:00,1.2
25-03-01 19:00,1.2
25-03-01 18:00,1.0
25-03-01 17:00,8.1
25-03-01 16:00,15.7
25-03-01 15:00,14.8
25-03-01 14:00,14.1
25-03-01 13:00,24.9
25-03-01 12:00,11.2
25-03-01 11:00,5.0
25-03-01 10:00,10.9
25-03-01 09:00,9.5
25-03-01 08:00,8.4
25-03-01 07:00,9.1
25-03-01 06:00,7.0
25-03-01 05:00,3.9
25-03-01 04:00,3.1
25-03-01 03:00,3.5
25-03-01 02:00,
25-03-01 01:00,2.4
25-03-01 00:00,
24-03-01 23:00,1.0
24-03-01 22:00,1.0
24-03-01 21:00,1.0
24-03-01 20:00,1.0
24-03-01 19:00,1.0
24-03-01 18:00,1.0
24-03-01 17:00,1.0
24-03-01 16:00,1.0
24-03-01 15:00,1.0
24-03-01 14:00,1.0
24-03-01 13:00,1.0
24-03-01 12:00,1.0
24-03-01 11:00,1.0
24-03-01 10:00,1.0
24-03-01 09:00,1.0
24-03-01 08:00,1.0
24-03-01 07:00,1.0
24-03-01 06:00,1.0
24-03-01 05:00,1.0
24-03-01 04:00,1.0
24-03-01 03:00,1.0
24-03-01 02:00,
24-03-01 01:00,1.0
24-03-01 00:00,
23-03-01 23:00,4.8
23-03-01 22:00,12.8
23-03-01 21:00,15.3
