Datum Zeit,Glauchau SO2
,µg/m³
01-06-01 00:00,1.4
31-05-01 23:00,1.0
31-05-01 22:00,1.2
31-05-01 21:00,1.1
31-05-01 20:00,1.3
31-05-01 19:00,2.0
31-05-01 18:00,3.3
31-05-01 17:00,2.0
31-05-01 16:00,2.0
31-05-01 15:00,2.8
31-05-01 14:00,
31-05-01 13:00,3.6
31-05-01 12:00,4.0
31-05-01 11:00,5.0
31-05-01 10:00,1.8
31-05-01 09:00,2.1
31-05-01 08:00,2.4
31-05-01 07:00,3.1
31-05-01 06:00,3.1
31-05-01 05:00,1.7
31-05-01 04:00,1.8
31-05-01 03:00,1.7
31-05-01 02:00,2.2
31-05-01 01:00,
31-05-01 00:00,2.7
30-05-01 23:00,2.2
30-05-01 22:00,2.7
30-05-01 21:00,2.5
30-05-01 20:00,3.9
30-05-01 19:00,5.7
30-05-01 18:00,3.3
30-05-01 17:00,1.4
30-05-01 16:00,1.4
30-05-01 15:00,1.3
30-05-01 14:00,1.5
30-05-01 13:00,1.5
30-05-01 12:00,2.1
30-05-01 11:00,2.6
30-05-01 10:00,2.7
30-05-01 09:00,2.9
30-05-01 08:00,3.6
30-05-01 07:00,3.4
30-05-01 06:00,2.3
30-05-01 05:00,1.2
30-05-01 04:00,1.7
30-05-01 03:00,1.9
30-05-01 02:00,2.6
30-05-01 01:00,
30-05-01 00:00,2.0
29-05-01 23:00,1.7
29-05-01 22:00,2.2
29-05-01 21:00,1.8
29-05-01 20:00,1.9
29-05-01 19:00,1.9
29-05-01 18:00,1.7
29-05-01 17:00,2.2
29-05-01 16:00,2.6
29-05-01 15:00,2.3
29-05-01 14:00,2.2
29-05-01 13:00,2.1
29-05-01 12:00,2.4
29-05-01 11:00,3.0
29-05-01 10:00,2.6
29-05-01 09:00,2.9
29-05-01 08:00,2.7
29-05-01 07:00,2.3
29-05-01 06:00,2.1
29-05-01 05:00,1.3
29-05-01 04:00,1.1
29-05-01 03:00,1.3
29-05-01 02:00,1.6
29-05-01 01:00,
29-05-01 00:00,1.2
28-05-01 23:00,1.3
28-05-01 22:00,1.3
28-05-01 21:00,1.1
