Datum Zeit,Annaberg-Buchholz CO
,mg/m3
01-08-01 00:00,0.3
31-07-01 23:00,0.4
31-07-01 22:00,0.5
31-07-01 21:00,
31-07-01 20:00,0.3
31-07-01 19:00,0.6
31-07-01 18:00,0.4
31-07-01 17:00,0.3
31-07-01 16:00,0.3
31-07-01 15:00,0.3
31-07-01 14:00,0.3
31-07-01 13:00,0.3
31-07-01 12:00,0.3
31-07-01 11:00,0.5
31-07-01 10:00,1.0
31-07-01 09:00,0.5
31-07-01 08:00,1.2
31-07-01 07:00,1.2
31-07-01 06:00,1.3
31-07-01 05:00,0.4
31-07-01 04:00,0.1
31-07-01 03:00,0.1
31-07-01 02:00,0.1
31-07-01 01:00,0.2
31-07-01 00:00,0.2
30-07-01 23:00,0.3
30-07-01 22:00,0.8
30-07-01 21:00,0.7
30-07-01 20:00,0.8
30-07-01 19:00,0.5
30-07-01 18:00,0.3
30-07-01 17:00,0.2
30-07-01 16:00,0.3
30-07-01 15:00,0.2
30-07-01 14:00,0.2
30-07-01 13:00,0.2
30-07-01 12:00,0.2
30-07-01 11:00,0.3
30-07-01 10:00,0.4
30-07-01 09:00,0.4
30-07-01 08:00,0.6
30-07-01 07:00,0.6
30-07-01 06:00,0.8
30-07-01 05:00,0.5
30-07-01 04:00,0.3
30-07-01 03:00,0.2
30-07-01 02:00,0.2
30-07-01 01:00,0.3
30-07-01 00:00,0.4
29-07-01 23:00,0.5
29-07-01 22:00,0.6
29-07-01 21:00,
29-07-01 20:00,0.7
29-07-01 19:00,0.4
29-07-01 18:00,0.4
29-07-01 17:00,0.4
29-07-01 16:00,0.4
29-07-01 15:00,0.3
29-07-01 14:00,0.4
29-07-01 13:00,0.3
29-07-01 12:00,0.3
29-07-01 11:00,0.4
29-07-01 10:00,0.4
29-07-01 09:00,0.3
29-07-01 08:00,0.3
29-07-01 07:00,0.3
29-07-01 06:00,0.3
29-07-01 05:00,0.3
29-07-01 04:00,0.2
29-07-01 03:00,0.3
29-07-01 02:00,0.3
29-07-01 01:00,0.4
29-07-01 00:00,0.4
28-07-01 23:00,0.5
28-07-01 22:00,0.7
28-07-01 21:00,0.8
28-07-01 20:00,0.9
28-07-01 19:00,0.5
28-07-01 18:00,0.3
28-07-01 17:00,0.3
28-07-01 16:00,0.3
