Datum Zeit,Plauen-Sued BEN
,µg/m³
01-11-01 00:00,1.3
31-10-01 23:00,1.2
31-10-01 22:00,1.0
31-10-01 21:00,3.4
31-10-01 20:00,4.0
31-10-01 19:00,1.3
31-10-01 18:00,1.5
31-10-01 17:00,1.9
31-10-01 16:00,3.1
31-10-01 15:00,4.8
31-10-01 14:00,2.6
31-10-01 13:00,1.9
31-10-01 12:00,2.0
31-10-01 11:00,8.2
31-10-01 10:00,5.6
31-10-01 09:00,
31-10-01 08:00,
31-10-01 07:00,
31-10-01 06:00,
31-10-01 05:00,
31-10-01 04:00,0.6
31-10-01 03:00,0.7
31-10-01 02:00,0.9
31-10-01 01:00,1.0
31-10-01 00:00,0.9
30-10-01 23:00,1.3
30-10-01 22:00,1.1
30-10-01 21:00,2.3
30-10-01 20:00,1.8
30-10-01 19:00,2.9
30-10-01 18:00,3.7
30-10-01 17:00,3.5
30-10-01 16:00,3.3
30-10-01 15:00,2.5
30-10-01 14:00,2.2
30-10-01 13:00,7.3
30-10-01 12:00,1.0
30-10-01 11:00,1.1
30-10-01 10:00,1.5
30-10-01 09:00,1.1
30-10-01 08:00,1.4
30-10-01 07:00,1.9
30-10-01 06:00,0.9
30-10-01 05:00,0.6
30-10-01 04:00,0.6
30-10-01 03:00,0.6
30-10-01 02:00,0.6
30-10-01 01:00,0.9
30-10-01 00:00,0.9
29-10-01 23:00,1.1
29-10-01 22:00,1.3
29-10-01 21:00,2.0
29-10-01 20:00,2.3
29-10-01 19:00,4.1
29-10-01 18:00,5.1
29-10-01 17:00,2.9
29-10-01 16:00,4.0
29-10-01 15:00,3.2
29-10-01 14:00,6.1
29-10-01 13:00,1.4
29-10-01 12:00,1.6
29-10-01 11:00,3.2
29-10-01 10:00,3.8
29-10-01 09:00,5.5
29-10-01 08:00,9.6
29-10-01 07:00,8.4
29-10-01 06:00,1.8
29-10-01 05:00,1.7
29-10-01 04:00,1.1
29-10-01 03:00,0.8
29-10-01 02:00,0.8
29-10-01 01:00,0.7
29-10-01 00:00,1.2
28-10-01 23:00,2.2
28-10-01 22:00,1.9
28-10-01 21:00,2.3
28-10-01 20:00,2.3
28-10-01 19:00,2.4
28-10-01 18:00,6.0
28-10-01 17:00,6.3
28-10-01 16:00,5.7
28-10-01 15:00,4.6
28-10-01 14:00,2.8
28-10-01 13:00,5.2
28-10-01 12:00,3.5
28-10-01 11:00,2.7
28-10-01 10:00,7.1
28-10-01 09:00,4.3
28-10-01 08:00,1.2
28-10-01 07:00,2.0
28-10-01 06:00,1.2
28-10-01 05:00,1.4
28-10-01 04:00,1.1
28-10-01 03:00,1.2
