Datum Zeit,Dresden-Nord NO
,µg/m³
01-03-02 00:00,26
28-02-02 23:00,29
28-02-02 22:00,37
28-02-02 21:00,45
28-02-02 20:00,45
28-02-02 19:00,63
28-02-02 18:00,62
28-02-02 17:00,72
28-02-02 16:00,59
28-02-02 15:00,67
28-02-02 14:00,54
28-02-02 13:00,52
28-02-02 12:00,44
28-02-02 11:00,53
28-02-02 10:00,64
28-02-02 09:00,77
28-02-02 08:00,81
28-02-02 07:00,61
28-02-02 06:00,36
28-02-02 05:00,15
28-02-02 04:00,5
28-02-02 03:00,2
28-02-02 02:00,6
28-02-02 01:00,3
28-02-02 00:00,5
27-02-02 23:00,16
27-02-02 22:00,23
27-02-02 21:00,30
27-02-02 20:00,68
27-02-02 19:00,79
27-02-02 18:00,59
27-02-02 17:00,55
27-02-02 16:00,47
27-02-02 15:00,50
27-02-02 14:00,50
27-02-02 13:00,48
27-02-02 12:00,52
27-02-02 11:00,72
27-02-02 10:00,52
27-02-02 09:00,86
27-02-02 08:00,89
27-02-02 07:00,78
27-02-02 06:00,27
27-02-02 05:00,14
27-02-02 04:00,8
27-02-02 03:00,6
27-02-02 02:00,5
27-02-02 01:00,7
27-02-02 00:00,10
26-02-02 23:00,21
26-02-02 22:00,22
26-02-02 21:00,27
26-02-02 20:00,33
26-02-02 19:00,37
26-02-02 18:00,31
26-02-02 17:00,46
26-02-02 16:00,52
26-02-02 15:00,54
26-02-02 14:00,46
26-02-02 13:00,45
26-02-02 12:00,67
26-02-02 11:00,70
26-02-02 10:00,63
26-02-02 09:00,90
26-02-02 08:00,81
26-02-02 07:00,58
26-02-02 06:00,33
26-02-02 05:00,19
26-02-02 04:00,10
26-02-02 03:00,7
26-02-02 02:00,4
26-02-02 01:00,7
26-02-02 00:00,9
25-02-02 23:00,9
25-02-02 22:00,11
25-02-02 21:00,17
25-02-02 20:00,33
25-02-02 19:00,42
25-02-02 18:00,58
25-02-02 17:00,62
25-02-02 16:00,84
25-02-02 15:00,94
25-02-02 14:00,73
25-02-02 13:00,68
25-02-02 12:00,94
25-02-02 11:00,109
25-02-02 10:00,142
25-02-02 09:00,63
25-02-02 08:00,50
25-02-02 07:00,29
25-02-02 06:00,18
25-02-02 05:00,5
25-02-02 04:00,6
25-02-02 03:00,11
25-02-02 02:00,11
25-02-02 01:00,11
25-02-02 00:00,17
24-02-02 23:00,30
24-02-02 22:00,28
24-02-02 21:00,33
24-02-02 20:00,44
24-02-02 19:00,38
24-02-02 18:00,39
24-02-02 17:00,32
24-02-02 16:00,29
24-02-02 15:00,33
24-02-02 14:00,27
24-02-02 13:00,28
24-02-02 12:00,28
24-02-02 11:00,21
24-02-02 10:00,13
24-02-02 09:00,13
24-02-02 08:00,12
24-02-02 07:00,9
24-02-02 06:00,12
24-02-02 05:00,8
24-02-02 04:00,9
24-02-02 03:00,8
24-02-02 02:00,10
24-02-02 01:00,13
24-02-02 00:00,19
23-02-02 23:00,22
23-02-02 22:00,21
23-02-02 21:00,21
23-02-02 20:00,18
23-02-02 19:00,42
23-02-02 18:00,32
23-02-02 17:00,36
23-02-02 16:00,30
23-02-02 15:00,30
23-02-02 14:00,27
23-02-02 13:00,35
23-02-02 12:00,32
23-02-02 11:00,29
23-02-02 10:00,28
23-02-02 09:00,34
23-02-02 08:00,17
23-02-02 07:00,28
23-02-02 06:00,17
23-02-02 05:00,10
23-02-02 04:00,17
23-02-02 03:00,12
23-02-02 02:00,15
23-02-02 01:00,19
23-02-02 00:00,21
22-02-02 23:00,31
22-02-02 22:00,24
22-02-02 21:00,28
22-02-02 20:00,33
22-02-02 19:00,34
22-02-02 18:00,34
22-02-02 17:00,30
22-02-02 16:00,45
22-02-02 15:00,40
22-02-02 14:00,24
22-02-02 13:00,22
22-02-02 12:00,39
22-02-02 11:00,26
22-02-02 10:00,24
22-02-02 09:00,34
22-02-02 08:00,43
22-02-02 07:00,32
22-02-02 06:00,14
22-02-02 05:00,6
22-02-02 04:00,4
22-02-02 03:00,3
22-02-02 02:00,11
22-02-02 01:00,23
22-02-02 00:00,45
21-02-02 23:00,98
21-02-02 22:00,89
21-02-02 21:00,64
21-02-02 20:00,88
