Datum Zeit,Plauen-Sued O3
,µg/m³
01-06-02 00:00,18
31-05-02 23:00,28
31-05-02 22:00,61
31-05-02 21:00,96
31-05-02 20:00,101
31-05-02 19:00,105
31-05-02 18:00,99
31-05-02 17:00,95
31-05-02 16:00,102
31-05-02 15:00,95
31-05-02 14:00,91
31-05-02 13:00,100
31-05-02 12:00,91
31-05-02 11:00,94
31-05-02 10:00,85
31-05-02 09:00,54
31-05-02 08:00,22
31-05-02 07:00,10
31-05-02 06:00,6
31-05-02 05:00,3
31-05-02 04:00,5
31-05-02 03:00,9
31-05-02 02:00,9
31-05-02 01:00,10
31-05-02 00:00,13
30-05-02 23:00,14
30-05-02 22:00,3
30-05-02 21:00,6
30-05-02 20:00,22
30-05-02 19:00,30
30-05-02 18:00,63
30-05-02 17:00,83
30-05-02 16:00,80
30-05-02 15:00,86
30-05-02 14:00,81
30-05-02 13:00,75
30-05-02 12:00,79
30-05-02 11:00,80
30-05-02 10:00,53
30-05-02 09:00,41
30-05-02 08:00,31
30-05-02 07:00,7
30-05-02 06:00,3
30-05-02 05:00,1
30-05-02 04:00,3
30-05-02 03:00,4
30-05-02 02:00,7
30-05-02 01:00,6
30-05-02 00:00,7
29-05-02 23:00,9
29-05-02 22:00,19
29-05-02 21:00,33
29-05-02 20:00,84
29-05-02 19:00,55
29-05-02 18:00,32
29-05-02 17:00,41
29-05-02 16:00,54
29-05-02 15:00,61
29-05-02 14:00,64
29-05-02 13:00,63
29-05-02 12:00,70
29-05-02 11:00,64
29-05-02 10:00,57
29-05-02 09:00,50
29-05-02 08:00,18
29-05-02 07:00,9
29-05-02 06:00,2
29-05-02 05:00,1
29-05-02 04:00,1
29-05-02 03:00,1
29-05-02 02:00,1
29-05-02 01:00,1
29-05-02 00:00,1
28-05-02 23:00,2
28-05-02 22:00,2
28-05-02 21:00,4
28-05-02 20:00,45
28-05-02 19:00,70
28-05-02 18:00,59
28-05-02 17:00,59
28-05-02 16:00,56
28-05-02 15:00,56
28-05-02 14:00,42
28-05-02 13:00,48
28-05-02 12:00,46
28-05-02 11:00,44
28-05-02 10:00,44
28-05-02 09:00,34
28-05-02 08:00,33
28-05-02 07:00,26
28-05-02 06:00,37
28-05-02 05:00,34
28-05-02 04:00,37
28-05-02 03:00,37
28-05-02 02:00,40
28-05-02 01:00,44
28-05-02 00:00,45
27-05-02 23:00,45
27-05-02 22:00,48
27-05-02 21:00,49
27-05-02 20:00,34
27-05-02 19:00,35
27-05-02 18:00,29
27-05-02 17:00,20
27-05-02 16:00,25
27-05-02 15:00,38
27-05-02 14:00,28
27-05-02 13:00,34
27-05-02 12:00,40
27-05-02 11:00,28
27-05-02 10:00,21
27-05-02 09:00,9
27-05-02 08:00,10
27-05-02 07:00,3
27-05-02 06:00,1
27-05-02 05:00,1
27-05-02 04:00,1
27-05-02 03:00,1
27-05-02 02:00,1
27-05-02 01:00,3
27-05-02 00:00,2
26-05-02 23:00,6
26-05-02 22:00,2
26-05-02 21:00,9
26-05-02 20:00,15
26-05-02 19:00,43
26-05-02 18:00,48
26-05-02 17:00,47
26-05-02 16:00,62
26-05-02 15:00,68
26-05-02 14:00,68
26-05-02 13:00,64
26-05-02 12:00,56
26-05-02 11:00,70
26-05-02 10:00,64
26-05-02 09:00,49
26-05-02 08:00,37
26-05-02 07:00,31
26-05-02 06:00,28
26-05-02 05:00,27
26-05-02 04:00,38
26-05-02 03:00,33
26-05-02 02:00,37
26-05-02 01:00,47
26-05-02 00:00,58
25-05-02 23:00,55
25-05-02 22:00,63
25-05-02 21:00,46
25-05-02 20:00,61
25-05-02 19:00,78
25-05-02 18:00,74
25-05-02 17:00,69
25-05-02 16:00,74
25-05-02 15:00,74
25-05-02 14:00,63
25-05-02 13:00,59
25-05-02 12:00,52
25-05-02 11:00,45
25-05-02 10:00,31
25-05-02 09:00,38
25-05-02 08:00,33
25-05-02 07:00,30
25-05-02 06:00,32
25-05-02 05:00,25
25-05-02 04:00,30
25-05-02 03:00,38
25-05-02 02:00,38
25-05-02 01:00,38
25-05-02 00:00,33
24-05-02 23:00,34
24-05-02 22:00,37
24-05-02 21:00,25
24-05-02 20:00,32
24-05-02 19:00,41
24-05-02 18:00,31
24-05-02 17:00,35
