Datum Zeit,Annaberg-Buchholz O3
,µg/m³
01-10-02 00:00,12
30-09-02 23:00,9
30-09-02 22:00,9
30-09-02 21:00,9
30-09-02 20:00,6
30-09-02 19:00,20
30-09-02 18:00,15
30-09-02 17:00,28
30-09-02 16:00,44
30-09-02 15:00,42
30-09-02 14:00,24
30-09-02 13:00,29
30-09-02 12:00,30
30-09-02 11:00,42
30-09-02 10:00,40
30-09-02 09:00,12
30-09-02 08:00,3
30-09-02 07:00,3
30-09-02 06:00,2
30-09-02 05:00,2
30-09-02 04:00,2
30-09-02 03:00,4
30-09-02 02:00,6
30-09-02 01:00,6
30-09-02 00:00,4
29-09-02 23:00,3
29-09-02 22:00,2
29-09-02 21:00,3
29-09-02 20:00,3
29-09-02 19:00,5
29-09-02 18:00,14
29-09-02 17:00,32
29-09-02 16:00,57
29-09-02 15:00,64
29-09-02 14:00,56
29-09-02 13:00,59
29-09-02 12:00,57
29-09-02 11:00,50
29-09-02 10:00,45
29-09-02 09:00,20
29-09-02 08:00,16
29-09-02 07:00,14
29-09-02 06:00,9
29-09-02 05:00,10
29-09-02 04:00,14
29-09-02 03:00,17
29-09-02 02:00,21
29-09-02 01:00,23
29-09-02 00:00,22
28-09-02 23:00,19
28-09-02 22:00,17
28-09-02 21:00,11
28-09-02 20:00,9
28-09-02 19:00,9
28-09-02 18:00,18
28-09-02 17:00,66
28-09-02 16:00,67
28-09-02 15:00,69
28-09-02 14:00,63
28-09-02 13:00,70
28-09-02 12:00,65
28-09-02 11:00,61
28-09-02 10:00,38
28-09-02 09:00,33
28-09-02 08:00,25
28-09-02 07:00,19
28-09-02 06:00,20
28-09-02 05:00,14
28-09-02 04:00,7
28-09-02 03:00,8
28-09-02 02:00,12
28-09-02 01:00,20
28-09-02 00:00,25
27-09-02 23:00,28
27-09-02 22:00,29
27-09-02 21:00,29
27-09-02 20:00,24
27-09-02 19:00,39
27-09-02 18:00,48
27-09-02 17:00,57
27-09-02 16:00,63
27-09-02 15:00,55
27-09-02 14:00,61
27-09-02 13:00,55
27-09-02 12:00,55
27-09-02 11:00,49
27-09-02 10:00,47
27-09-02 09:00,43
27-09-02 08:00,44
27-09-02 07:00,47
27-09-02 06:00,39
27-09-02 05:00,46
27-09-02 04:00,46
27-09-02 03:00,47
27-09-02 02:00,52
27-09-02 01:00,55
27-09-02 00:00,57
26-09-02 23:00,58
26-09-02 22:00,59
26-09-02 21:00,51
26-09-02 20:00,34
26-09-02 19:00,17
26-09-02 18:00,37
26-09-02 17:00,50
26-09-02 16:00,50
26-09-02 15:00,42
26-09-02 14:00,45
26-09-02 13:00,45
26-09-02 12:00,55
26-09-02 11:00,31
26-09-02 10:00,15
26-09-02 09:00,17
26-09-02 08:00,18
26-09-02 07:00,19
26-09-02 06:00,23
26-09-02 05:00,29
26-09-02 04:00,36
26-09-02 03:00,44
26-09-02 02:00,43
26-09-02 01:00,35
26-09-02 00:00,20
25-09-02 23:00,13
25-09-02 22:00,26
25-09-02 21:00,31
25-09-02 20:00,37
25-09-02 19:00,42
25-09-02 18:00,42
25-09-02 17:00,41
25-09-02 16:00,32
25-09-02 15:00,37
25-09-02 14:00,35
25-09-02 13:00,31
25-09-02 12:00,24
25-09-02 11:00,32
25-09-02 10:00,44
25-09-02 09:00,28
25-09-02 08:00,19
25-09-02 07:00,9
25-09-02 06:00,11
25-09-02 05:00,32
25-09-02 04:00,57
25-09-02 03:00,70
25-09-02 02:00,64
25-09-02 01:00,60
25-09-02 00:00,57
24-09-02 23:00,57
24-09-02 22:00,49
24-09-02 21:00,57
24-09-02 20:00,53
24-09-02 19:00,54
24-09-02 18:00,53
24-09-02 17:00,53
24-09-02 16:00,60
24-09-02 15:00,54
24-09-02 14:00,53
24-09-02 13:00,56
24-09-02 12:00,51
24-09-02 11:00,47
24-09-02 10:00,41
24-09-02 09:00,34
24-09-02 08:00,29
24-09-02 07:00,24
24-09-02 06:00,34
24-09-02 05:00,41
24-09-02 04:00,45
24-09-02 03:00,48
24-09-02 02:00,50
24-09-02 01:00,53
24-09-02 00:00,54
23-09-02 23:00,45
23-09-02 22:00,25
23-09-02 21:00,11
23-09-02 20:00,11
23-09-02 19:00,11
23-09-02 18:00,10
23-09-02 17:00,11
23-09-02 16:00,11
23-09-02 15:00,18
23-09-02 14:00,32
23-09-02 13:00,33
23-09-02 12:00,45
23-09-02 11:00,46
23-09-02 10:00,26
23-09-02 09:00,30
23-09-02 08:00,27
23-09-02 07:00,20
23-09-02 06:00,26
23-09-02 05:00,35
23-09-02 04:00,32
23-09-02 03:00,16
23-09-02 02:00,12
23-09-02 01:00,13
