Datum Zeit,Glauchau O3
,µg/m³
01-11-02 00:00,4
31-10-02 23:00,9
31-10-02 22:00,19
31-10-02 21:00,11
31-10-02 20:00,6
31-10-02 19:00,16
31-10-02 18:00,14
31-10-02 17:00,15
31-10-02 16:00,28
31-10-02 15:00,44
31-10-02 14:00,51
31-10-02 13:00,55
31-10-02 12:00,53
31-10-02 11:00,23
31-10-02 10:00,10
31-10-02 09:00,5
31-10-02 08:00,1
31-10-02 07:00,1
31-10-02 06:00,1
31-10-02 05:00,1
31-10-02 04:00,1
31-10-02 03:00,1
31-10-02 02:00,1
31-10-02 01:00,1
31-10-02 00:00,1
30-10-02 23:00,1
30-10-02 22:00,1
30-10-02 21:00,1
30-10-02 20:00,2
30-10-02 19:00,14
30-10-02 18:00,16
30-10-02 17:00,22
30-10-02 16:00,30
30-10-02 15:00,30
30-10-02 14:00,21
30-10-02 13:00,18
30-10-02 12:00,18
30-10-02 11:00,13
30-10-02 10:00,6
30-10-02 09:00,1
30-10-02 08:00,3
30-10-02 07:00,8
30-10-02 06:00,18
30-10-02 05:00,27
30-10-02 04:00,37
30-10-02 03:00,46
30-10-02 02:00,51
30-10-02 01:00,43
30-10-02 00:00,26
29-10-02 23:00,20
29-10-02 22:00,11
29-10-02 21:00,8
29-10-02 20:00,6
29-10-02 19:00,12
29-10-02 18:00,11
29-10-02 17:00,12
29-10-02 16:00,26
29-10-02 15:00,
29-10-02 14:00,45
29-10-02 13:00,54
29-10-02 12:00,50
29-10-02 11:00,46
29-10-02 10:00,25
29-10-02 09:00,16
29-10-02 08:00,8
29-10-02 07:00,13
29-10-02 06:00,24
29-10-02 05:00,28
29-10-02 04:00,46
29-10-02 03:00,46
29-10-02 02:00,44
29-10-02 01:00,45
29-10-02 00:00,43
28-10-02 23:00,44
28-10-02 22:00,47
28-10-02 21:00,44
28-10-02 20:00,44
28-10-02 19:00,45
28-10-02 18:00,40
28-10-02 17:00,43
28-10-02 16:00,42
28-10-02 15:00,56
28-10-02 14:00,
28-10-02 13:00,
28-10-02 12:00,
28-10-02 11:00,52
28-10-02 10:00,46
28-10-02 09:00,50
28-10-02 08:00,44
28-10-02 07:00,55
28-10-02 06:00,67
28-10-02 05:00,72
28-10-02 04:00,78
28-10-02 03:00,76
28-10-02 02:00,76
28-10-02 01:00,77
28-10-02 00:00,77
27-10-02 23:00,83
27-10-02 22:00,83
27-10-02 21:00,84
27-10-02 20:00,85
27-10-02 19:00,84
27-10-02 18:00,81
27-10-02 17:00,75
27-10-02 16:00,61
27-10-02 15:00,60
27-10-02 14:00,63
27-10-02 13:00,63
27-10-02 12:00,62
27-10-02 11:00,65
27-10-02 10:00,60
27-10-02 09:00,55
27-10-02 08:00,53
27-10-02 07:00,56
27-10-02 06:00,57
27-10-02 05:00,59
27-10-02 04:00,60
27-10-02 03:00,60
27-10-02 02:00,58
27-10-02 01:00,62
27-10-02 00:00,60
26-10-02 23:00,58
26-10-02 22:00,59
26-10-02 21:00,66
26-10-02 20:00,65
26-10-02 19:00,68
26-10-02 18:00,75
26-10-02 17:00,77
26-10-02 16:00,76
26-10-02 15:00,78
26-10-02 14:00,79
26-10-02 13:00,79
26-10-02 12:00,74
26-10-02 11:00,72
26-10-02 10:00,73
26-10-02 09:00,72
26-10-02 08:00,71
26-10-02 07:00,72
26-10-02 06:00,70
26-10-02 05:00,72
26-10-02 04:00,75
26-10-02 03:00,78
26-10-02 02:00,82
26-10-02 01:00,72
26-10-02 00:00,58
25-10-02 23:00,47
25-10-02 22:00,49
25-10-02 21:00,53
25-10-02 20:00,40
25-10-02 19:00,29
25-10-02 18:00,22
25-10-02 17:00,26
25-10-02 16:00,32
25-10-02 15:00,36
25-10-02 14:00,40
25-10-02 13:00,41
25-10-02 12:00,46
25-10-02 11:00,45
25-10-02 10:00,42
25-10-02 09:00,37
25-10-02 08:00,42
25-10-02 07:00,38
25-10-02 06:00,24
25-10-02 05:00,28
25-10-02 04:00,3
25-10-02 03:00,1
25-10-02 02:00,1
25-10-02 01:00,1
25-10-02 00:00,1
24-10-02 23:00,1
24-10-02 22:00,2
24-10-02 21:00,13
24-10-02 20:00,11
24-10-02 19:00,18
24-10-02 18:00,17
24-10-02 17:00,34
24-10-02 16:00,55
24-10-02 15:00,58
24-10-02 14:00,56
24-10-02 13:00,59
24-10-02 12:00,61
24-10-02 11:00,52
24-10-02 10:00,39
24-10-02 09:00,17
24-10-02 08:00,18
24-10-02 07:00,23
24-10-02 06:00,30
24-10-02 05:00,29
24-10-02 04:00,45
24-10-02 03:00,63
24-10-02 02:00,48
24-10-02 01:00,49
24-10-02 00:00,43
23-10-02 23:00,44
23-10-02 22:00,46
23-10-02 21:00,38
23-10-02 20:00,34
