Datum Zeit,Klingenthal CO
,mg/m3
01-11-02 00:00,
31-10-02 23:00,
31-10-02 22:00,
31-10-02 21:00,
31-10-02 20:00,
31-10-02 19:00,
31-10-02 18:00,
31-10-02 17:00,
31-10-02 16:00,
31-10-02 15:00,
31-10-02 14:00,
31-10-02 13:00,
31-10-02 12:00,
31-10-02 11:00,
31-10-02 10:00,
31-10-02 09:00,
31-10-02 08:00,
31-10-02 07:00,
31-10-02 06:00,
31-10-02 05:00,
31-10-02 04:00,
31-10-02 03:00,
31-10-02 02:00,
31-10-02 01:00,
31-10-02 00:00,
30-10-02 23:00,
30-10-02 22:00,
30-10-02 21:00,
30-10-02 20:00,
30-10-02 19:00,
30-10-02 18:00,
30-10-02 17:00,
30-10-02 16:00,
30-10-02 15:00,
30-10-02 14:00,
30-10-02 13:00,
30-10-02 12:00,
30-10-02 11:00,
30-10-02 10:00,
30-10-02 09:00,
30-10-02 08:00,
30-10-02 07:00,
30-10-02 06:00,
30-10-02 05:00,
30-10-02 04:00,
30-10-02 03:00,
30-10-02 02:00,
30-10-02 01:00,
30-10-02 00:00,
29-10-02 23:00,
29-10-02 22:00,
29-10-02 21:00,
29-10-02 20:00,
29-10-02 19:00,
29-10-02 18:00,
29-10-02 17:00,
29-10-02 16:00,
29-10-02 15:00,
29-10-02 14:00,
29-10-02 13:00,
29-10-02 12:00,
29-10-02 11:00,
29-10-02 10:00,
29-10-02 09:00,
29-10-02 08:00,
29-10-02 07:00,
29-10-02 06:00,
29-10-02 05:00,
29-10-02 04:00,
29-10-02 03:00,
29-10-02 02:00,
29-10-02 01:00,
29-10-02 00:00,
28-10-02 23:00,
28-10-02 22:00,
28-10-02 21:00,
28-10-02 20:00,
28-10-02 19:00,
28-10-02 18:00,
28-10-02 17:00,
28-10-02 16:00,
28-10-02 15:00,
28-10-02 14:00,0.1
28-10-02 13:00,0.2
28-10-02 12:00,0.1
28-10-02 11:00,0.1
28-10-02 10:00,0.1
28-10-02 09:00,0.1
28-10-02 08:00,0.1
28-10-02 07:00,0.1
28-10-02 06:00,0.1
28-10-02 05:00,0.1
28-10-02 04:00,0.1
28-10-02 03:00,0.1
28-10-02 02:00,0.1
28-10-02 01:00,0.1
28-10-02 00:00,0.1
27-10-02 23:00,0.1
27-10-02 22:00,0.1
27-10-02 21:00,0.1
27-10-02 20:00,0.1
27-10-02 19:00,0.1
27-10-02 18:00,0.1
27-10-02 17:00,0.1
27-10-02 16:00,0.1
27-10-02 15:00,0.1
27-10-02 14:00,0.1
27-10-02 13:00,0.1
27-10-02 12:00,0.2
27-10-02 11:00,0.1
27-10-02 10:00,0.1
27-10-02 09:00,0.1
27-10-02 08:00,0.1
27-10-02 07:00,0.1
27-10-02 06:00,0.1
27-10-02 05:00,0.1
27-10-02 04:00,0.1
27-10-02 03:00,0.1
27-10-02 02:00,0.1
27-10-02 01:00,0.1
27-10-02 00:00,0.1
26-10-02 23:00,0.1
26-10-02 22:00,0.1
26-10-02 21:00,0.1
26-10-02 20:00,0.1
26-10-02 19:00,0.1
26-10-02 18:00,0.1
26-10-02 17:00,0.1
26-10-02 16:00,0.1
26-10-02 15:00,0.1
26-10-02 14:00,0.1
26-10-02 13:00,0.1
26-10-02 12:00,0.1
26-10-02 11:00,0.1
26-10-02 10:00,0.1
26-10-02 09:00,0.1
26-10-02 08:00,0.1
26-10-02 07:00,0.1
26-10-02 06:00,0.1
26-10-02 05:00,0.1
26-10-02 04:00,0.1
26-10-02 03:00,0.1
26-10-02 02:00,0.1
26-10-02 01:00,0.1
26-10-02 00:00,0.1
25-10-02 23:00,0.1
25-10-02 22:00,0.1
25-10-02 21:00,0.1
25-10-02 20:00,0.1
25-10-02 19:00,0.1
25-10-02 18:00,0.2
25-10-02 17:00,0.3
25-10-02 16:00,0.3
25-10-02 15:00,0.2
25-10-02 14:00,0.2
25-10-02 13:00,0.1
25-10-02 12:00,0.1
25-10-02 11:00,0.2
25-10-02 10:00,0.3
25-10-02 09:00,0.1
25-10-02 08:00,0.1
25-10-02 07:00,0.1
25-10-02 06:00,0.1
25-10-02 05:00,0.1
25-10-02 04:00,0.1
25-10-02 03:00,0.1
25-10-02 02:00,0.1
25-10-02 01:00,0.1
25-10-02 00:00,0.1
24-10-02 23:00,0.1
24-10-02 22:00,0.2
24-10-02 21:00,0.3
24-10-02 20:00,0.2
24-10-02 19:00,0.4
24-10-02 18:00,0.4
24-10-02 17:00,0.2
24-10-02 16:00,0.2
24-10-02 15:00,0.3
24-10-02 14:00,0.1
24-10-02 13:00,0.1
24-10-02 12:00,0.1
24-10-02 11:00,0.1
24-10-02 10:00,0.2
24-10-02 09:00,0.2
24-10-02 08:00,0.2
24-10-02 07:00,0.1
24-10-02 06:00,0.1
24-10-02 05:00,0.1
24-10-02 04:00,0.1
24-10-02 03:00,0.1
24-10-02 02:00,0.1
24-10-02 01:00,0.1
24-10-02 00:00,0.1
23-10-02 23:00,0.1
23-10-02 22:00,0.1
23-10-02 21:00,0.2
23-10-02 20:00,0.1
23-10-02 19:00,0.1
23-10-02 18:00,0.3
23-10-02 17:00,0.1
23-10-02 16:00,0.1
23-10-02 15:00,0.1
23-10-02 14:00,0.1
23-10-02 13:00,0.1
23-10-02 12:00,0.1
23-10-02 11:00,0.1
23-10-02 10:00,0.2
23-10-02 09:00,0.1
23-10-02 08:00,0.1
23-10-02 07:00,0.1
23-10-02 06:00,0.1
23-10-02 05:00,0.1
23-10-02 04:00,0.1
23-10-02 03:00,0.1
23-10-02 02:00,0.1
23-10-02 01:00,0.1
23-10-02 00:00,0.2
22-10-02 23:00,0.4
22-10-02 22:00,0.8
22-10-02 21:00,0.8
22-10-02 20:00,0.4
22-10-02 19:00,0.7
22-10-02 18:00,1.3
22-10-02 17:00,0.6
22-10-02 16:00,0.2
22-10-02 15:00,0.2
22-10-02 14:00,0.3
22-10-02 13:00,0.2
22-10-02 12:00,0.3
22-10-02 11:00,0.3
22-10-02 10:00,0.3
22-10-02 09:00,0.3
22-10-02 08:00,0.1
22-10-02 07:00,0.2
22-10-02 06:00,0.2
22-10-02 05:00,0.2
22-10-02 04:00,0.1
22-10-02 03:00,0.1
22-10-02 02:00,0.1
22-10-02 01:00,0.1
22-10-02 00:00,0.2
21-10-02 23:00,0.2
21-10-02 22:00,0.3
21-10-02 21:00,0.3
21-10-02 20:00,0.3
21-10-02 19:00,0.4
21-10-02 18:00,0.5
21-10-02 17:00,0.4
21-10-02 16:00,0.4
21-10-02 15:00,0.3
21-10-02 14:00,0.2
21-10-02 13:00,0.1
21-10-02 12:00,0.2
21-10-02 11:00,0.2
21-10-02 10:00,0.2
21-10-02 09:00,0.1
21-10-02 08:00,0.2
21-10-02 07:00,0.1
21-10-02 06:00,0.1
21-10-02 05:00,0.1
21-10-02 04:00,0.1
21-10-02 03:00,0.2
21-10-02 02:00,0.3
21-10-02 01:00,
21-10-02 00:00,0.2
20-10-02 23:00,0.2
20-10-02 22:00,0.3
20-10-02 21:00,0.3
20-10-02 20:00,0.3
20-10-02 19:00,0.5
20-10-02 18:00,0.5
20-10-02 17:00,0.7
20-10-02 16:00,0.2
20-10-02 15:00,0.1
20-10-02 14:00,0.2
20-10-02 13:00,0.2
20-10-02 12:00,0.1
20-10-02 11:00,0.1
20-10-02 10:00,0.1
20-10-02 09:00,0.1
20-10-02 08:00,0.1
20-10-02 07:00,0.1
20-10-02 06:00,0.1
20-10-02 05:00,0.1
20-10-02 04:00,0.1
20-10-02 03:00,0.1
20-10-02 02:00,0.1
20-10-02 01:00,0.1
20-10-02 00:00,0.1
19-10-02 23:00,0.1
19-10-02 22:00,0.1
19-10-02 21:00,0.2
19-10-02 20:00,0.2
19-10-02 19:00,0.4
19-10-02 18:00,0.4
19-10-02 17:00,0.2
19-10-02 16:00,0.1
19-10-02 15:00,0.1
19-10-02 14:00,0.1
19-10-02 13:00,0.1
19-10-02 12:00,0.1
19-10-02 11:00,0.2
19-10-02 10:00,0.2
19-10-02 09:00,0.2
19-10-02 08:00,0.1
19-10-02 07:00,0.1
19-10-02 06:00,0.1
19-10-02 05:00,0.1
19-10-02 04:00,0.1
19-10-02 03:00,0.1
19-10-02 02:00,0.1
19-10-02 01:00,0.1
19-10-02 00:00,0.1
18-10-02 23:00,0.1
18-10-02 22:00,0.1
18-10-02 21:00,0.1
18-10-02 20:00,0.2
18-10-02 19:00,0.2
18-10-02 18:00,0.1
18-10-02 17:00,0.1
18-10-02 16:00,0.1
18-10-02 15:00,0.1
18-10-02 14:00,0.2
18-10-02 13:00,0.1
18-10-02 12:00,0.1
18-10-02 11:00,0.1
18-10-02 10:00,0.2
18-10-02 09:00,0.3
18-10-02 08:00,0.2
18-10-02 07:00,0.1
18-10-02 06:00,0.1
18-10-02 05:00,0.1
18-10-02 04:00,0.1
18-10-02 03:00,0.1
18-10-02 02:00,0.1
18-10-02 01:00,0.1
