Datum Zeit,Zittau-Ost NO2
,µg/m³
01-11-02 00:00,11
31-10-02 23:00,11
31-10-02 22:00,10
31-10-02 21:00,11
31-10-02 20:00,13
31-10-02 19:00,11
31-10-02 18:00,17
31-10-02 17:00,19
31-10-02 16:00,12
31-10-02 15:00,10
31-10-02 14:00,9
31-10-02 13:00,8
31-10-02 12:00,9
31-10-02 11:00,10
31-10-02 10:00,23
31-10-02 09:00,21
31-10-02 08:00,19
31-10-02 07:00,19
31-10-02 06:00,20
31-10-02 05:00,20
31-10-02 04:00,18
31-10-02 03:00,14
31-10-02 02:00,17
31-10-02 01:00,19
31-10-02 00:00,23
30-10-02 23:00,28
30-10-02 22:00,28
30-10-02 21:00,34
30-10-02 20:00,40
30-10-02 19:00,55
30-10-02 18:00,45
30-10-02 17:00,37
30-10-02 16:00,32
30-10-02 15:00,27
30-10-02 14:00,23
30-10-02 13:00,27
30-10-02 12:00,25
30-10-02 11:00,32
30-10-02 10:00,31
30-10-02 09:00,22
30-10-02 08:00,18
30-10-02 07:00,12
30-10-02 06:00,12
30-10-02 05:00,11
30-10-02 04:00,10
30-10-02 03:00,10
30-10-02 02:00,10
30-10-02 01:00,10
30-10-02 00:00,11
29-10-02 23:00,14
29-10-02 22:00,16
29-10-02 21:00,18
29-10-02 20:00,16
29-10-02 19:00,23
29-10-02 18:00,27
29-10-02 17:00,31
29-10-02 16:00,24
29-10-02 15:00,18
29-10-02 14:00,12
29-10-02 13:00,12
29-10-02 12:00,14
29-10-02 11:00,15
29-10-02 10:00,15
29-10-02 09:00,18
29-10-02 08:00,25
29-10-02 07:00,18
29-10-02 06:00,16
29-10-02 05:00,10
29-10-02 04:00,10
29-10-02 03:00,9
29-10-02 02:00,7
29-10-02 01:00,7
29-10-02 00:00,8
28-10-02 23:00,8
28-10-02 22:00,7
28-10-02 21:00,8
28-10-02 20:00,11
28-10-02 19:00,11
28-10-02 18:00,14
28-10-02 17:00,15
28-10-02 16:00,13
28-10-02 15:00,11
28-10-02 14:00,12
28-10-02 13:00,10
28-10-02 12:00,10
28-10-02 11:00,11
28-10-02 10:00,8
28-10-02 09:00,9
28-10-02 08:00,9
28-10-02 07:00,6
28-10-02 06:00,4
28-10-02 05:00,3
28-10-02 04:00,3
28-10-02 03:00,3
28-10-02 02:00,4
28-10-02 01:00,3
28-10-02 00:00,4
27-10-02 23:00,3
27-10-02 22:00,3
27-10-02 21:00,2
27-10-02 20:00,3
27-10-02 19:00,4
27-10-02 18:00,11
27-10-02 17:00,10
27-10-02 16:00,10
27-10-02 15:00,9
27-10-02 14:00,7
27-10-02 13:00,6
27-10-02 12:00,7
27-10-02 11:00,11
27-10-02 10:00,11
27-10-02 09:00,8
27-10-02 08:00,6
27-10-02 07:00,8
27-10-02 06:00,9
27-10-02 05:00,7
27-10-02 04:00,7
27-10-02 03:00,7
27-10-02 02:00,6
27-10-02 01:00,6
27-10-02 00:00,6
26-10-02 23:00,7
26-10-02 22:00,7
26-10-02 21:00,8
26-10-02 20:00,7
26-10-02 19:00,6
26-10-02 18:00,9
26-10-02 17:00,6
26-10-02 16:00,5
26-10-02 15:00,5
26-10-02 14:00,5
26-10-02 13:00,4
26-10-02 12:00,5
26-10-02 11:00,5
26-10-02 10:00,6
26-10-02 09:00,6
26-10-02 08:00,6
26-10-02 07:00,5
26-10-02 06:00,6
26-10-02 05:00,4
26-10-02 04:00,4
26-10-02 03:00,8
26-10-02 02:00,8
26-10-02 01:00,8
26-10-02 00:00,8
25-10-02 23:00,8
25-10-02 22:00,10
25-10-02 21:00,11
25-10-02 20:00,14
25-10-02 19:00,17
25-10-02 18:00,21
25-10-02 17:00,20
25-10-02 16:00,18
25-10-02 15:00,15
25-10-02 14:00,13
25-10-02 13:00,10
25-10-02 12:00,11
25-10-02 11:00,14
25-10-02 10:00,17
25-10-02 09:00,12
25-10-02 08:00,20
25-10-02 07:00,26
25-10-02 06:00,11
25-10-02 05:00,11
25-10-02 04:00,10
25-10-02 03:00,14
25-10-02 02:00,24
25-10-02 01:00,26
25-10-02 00:00,28
24-10-02 23:00,30
24-10-02 22:00,31
24-10-02 21:00,32
24-10-02 20:00,31
24-10-02 19:00,26
24-10-02 18:00,29
24-10-02 17:00,22
24-10-02 16:00,14
24-10-02 15:00,11
