Datum Zeit,Annaberg-Buchholz SO2
,µg/m³
01-12-02 00:00,1.1
30-11-02 23:00,2.6
30-11-02 22:00,2.8
30-11-02 21:00,2.6
30-11-02 20:00,2.8
30-11-02 19:00,2.6
30-11-02 18:00,2.2
30-11-02 17:00,1.5
30-11-02 16:00,1.9
30-11-02 15:00,2.1
30-11-02 14:00,2.0
30-11-02 13:00,2.3
30-11-02 12:00,2.4
30-11-02 11:00,3.1
30-11-02 10:00,1.9
30-11-02 09:00,1.4
30-11-02 08:00,1.5
30-11-02 07:00,2.5
30-11-02 06:00,1.7
30-11-02 05:00,2.2
30-11-02 04:00,3.3
30-11-02 03:00,3.8
30-11-02 02:00,5.1
30-11-02 01:00,10.0
30-11-02 00:00,7.6
29-11-02 23:00,9.4
29-11-02 22:00,12.7
29-11-02 21:00,12.3
29-11-02 20:00,15.9
29-11-02 19:00,19.4
29-11-02 18:00,26.5
29-11-02 17:00,28.4
29-11-02 16:00,48.4
29-11-02 15:00,76.2
29-11-02 14:00,71.6
29-11-02 13:00,49.2
29-11-02 12:00,42.7
29-11-02 11:00,44.9
29-11-02 10:00,20.8
29-11-02 09:00,24.0
29-11-02 08:00,28.2
29-11-02 07:00,41.4
29-11-02 06:00,25.6
29-11-02 05:00,24.0
29-11-02 04:00,22.0
29-11-02 03:00,14.4
29-11-02 02:00,10.4
29-11-02 01:00,5.4
29-11-02 00:00,1.7
28-11-02 23:00,1.2
28-11-02 22:00,1.0
28-11-02 21:00,1.4
28-11-02 20:00,2.4
28-11-02 19:00,2.9
28-11-02 18:00,2.0
28-11-02 17:00,2.3
28-11-02 16:00,1.6
28-11-02 15:00,3.1
28-11-02 14:00,4.7
28-11-02 13:00,2.3
28-11-02 12:00,2.2
28-11-02 11:00,2.6
28-11-02 10:00,1.5
28-11-02 09:00,1.9
28-11-02 08:00,1.2
28-11-02 07:00,1.3
28-11-02 06:00,2.1
28-11-02 05:00,2.2
28-11-02 04:00,2.8
28-11-02 03:00,7.5
28-11-02 02:00,14.6
28-11-02 01:00,16.6
28-11-02 00:00,13.3
27-11-02 23:00,12.5
27-11-02 22:00,15.0
27-11-02 21:00,16.5
27-11-02 20:00,10.9
27-11-02 19:00,4.5
27-11-02 18:00,3.7
27-11-02 17:00,5.0
27-11-02 16:00,3.5
27-11-02 15:00,3.3
27-11-02 14:00,2.6
27-11-02 13:00,3.5
27-11-02 12:00,4.4
27-11-02 11:00,4.8
27-11-02 10:00,4.1
27-11-02 09:00,4.5
27-11-02 08:00,3.9
27-11-02 07:00,3.8
27-11-02 06:00,2.8
27-11-02 05:00,3.6
27-11-02 04:00,2.8
27-11-02 03:00,3.0
27-11-02 02:00,3.7
27-11-02 01:00,5.0
27-11-02 00:00,5.7
26-11-02 23:00,3.8
26-11-02 22:00,2.7
26-11-02 21:00,3.3
26-11-02 20:00,1.7
26-11-02 19:00,3.0
26-11-02 18:00,2.3
26-11-02 17:00,1.1
26-11-02 16:00,2.8
26-11-02 15:00,3.1
26-11-02 14:00,3.7
26-11-02 13:00,5.2
26-11-02 12:00,6.1
26-11-02 11:00,12.7
26-11-02 10:00,19.9
26-11-02 09:00,15.5
26-11-02 08:00,12.1
26-11-02 07:00,13.7
26-11-02 06:00,17.8
26-11-02 05:00,27.1
26-11-02 04:00,49.3
26-11-02 03:00,21.5
26-11-02 02:00,4.9
26-11-02 01:00,2.9
26-11-02 00:00,
25-11-02 23:00,5.5
25-11-02 22:00,7.3
25-11-02 21:00,9.6
25-11-02 20:00,13.2
25-11-02 19:00,20.3
25-11-02 18:00,32.6
25-11-02 17:00,52.2
25-11-02 16:00,76.8
25-11-02 15:00,134.1
25-11-02 14:00,111.3
25-11-02 13:00,46.8
25-11-02 12:00,34.2
25-11-02 11:00,35.3
25-11-02 10:00,40.0
25-11-02 09:00,22.0
25-11-02 08:00,20.7
25-11-02 07:00,24.4
25-11-02 06:00,29.6
25-11-02 05:00,51.9
25-11-02 04:00,66.5
25-11-02 03:00,46.5
