Datum Zeit,Carlsfeld O3
,µg/m³
01-03-03 00:00,92
28-02-03 23:00,94
28-02-03 22:00,82
28-02-03 21:00,89
28-02-03 20:00,84
28-02-03 19:00,89
28-02-03 18:00,103
28-02-03 17:00,101
28-02-03 16:00,109
28-02-03 15:00,115
28-02-03 14:00,116
28-02-03 13:00,110
28-02-03 12:00,102
28-02-03 11:00,91
28-02-03 10:00,75
28-02-03 09:00,64
28-02-03 08:00,66
28-02-03 07:00,81
28-02-03 06:00,93
28-02-03 05:00,101
28-02-03 04:00,108
28-02-03 03:00,111
28-02-03 02:00,113
28-02-03 01:00,115
28-02-03 00:00,120
27-02-03 23:00,126
27-02-03 22:00,121
27-02-03 21:00,123
27-02-03 20:00,133
27-02-03 19:00,135
27-02-03 18:00,136
27-02-03 17:00,136
27-02-03 16:00,132
27-02-03 15:00,135
27-02-03 14:00,135
27-02-03 13:00,132
27-02-03 12:00,127
27-02-03 11:00,124
27-02-03 10:00,124
27-02-03 09:00,117
27-02-03 08:00,116
27-02-03 07:00,121
27-02-03 06:00,121
27-02-03 05:00,121
27-02-03 04:00,129
27-02-03 03:00,130
27-02-03 02:00,130
27-02-03 01:00,131
27-02-03 00:00,133
26-02-03 23:00,134
26-02-03 22:00,134
26-02-03 21:00,137
26-02-03 20:00,137
26-02-03 19:00,138
26-02-03 18:00,137
26-02-03 17:00,129
26-02-03 16:00,126
26-02-03 15:00,124
26-02-03 14:00,122
26-02-03 13:00,120
26-02-03 12:00,116
26-02-03 11:00,115
26-02-03 10:00,115
26-02-03 09:00,114
26-02-03 08:00,112
26-02-03 07:00,111
26-02-03 06:00,110
26-02-03 05:00,108
26-02-03 04:00,107
26-02-03 03:00,107
26-02-03 02:00,107
26-02-03 01:00,107
26-02-03 00:00,107
25-02-03 23:00,109
25-02-03 22:00,110
25-02-03 21:00,107
25-02-03 20:00,102
25-02-03 19:00,100
25-02-03 18:00,111
25-02-03 17:00,115
25-02-03 16:00,113
25-02-03 15:00,109
25-02-03 14:00,109
25-02-03 13:00,106
25-02-03 12:00,107
25-02-03 11:00,107
25-02-03 10:00,108
25-02-03 09:00,108
25-02-03 08:00,108
25-02-03 07:00,108
25-02-03 06:00,109
25-02-03 05:00,110
25-02-03 04:00,112
25-02-03 03:00,113
25-02-03 02:00,113
25-02-03 01:00,113
25-02-03 00:00,114
24-02-03 23:00,113
24-02-03 22:00,115
24-02-03 21:00,115
24-02-03 20:00,112
24-02-03 19:00,107
24-02-03 18:00,111
24-02-03 17:00,114
24-02-03 16:00,119
24-02-03 15:00,123
24-02-03 14:00,124
24-02-03 13:00,131
24-02-03 12:00,136
24-02-03 11:00,134
24-02-03 10:00,132
24-02-03 09:00,134
24-02-03 08:00,134
24-02-03 07:00,120
24-02-03 06:00,108
24-02-03 05:00,108
24-02-03 04:00,94
24-02-03 03:00,97
24-02-03 02:00,113
24-02-03 01:00,117
24-02-03 00:00,117
23-02-03 23:00,116
23-02-03 22:00,118
23-02-03 21:00,120
23-02-03 20:00,120
23-02-03 19:00,120
23-02-03 18:00,120
23-02-03 17:00,119
23-02-03 16:00,117
23-02-03 15:00,115
23-02-03 14:00,113
23-02-03 13:00,110
23-02-03 12:00,107
23-02-03 11:00,104
23-02-03 10:00,102
23-02-03 09:00,101
23-02-03 08:00,99
23-02-03 07:00,101
23-02-03 06:00,101
23-02-03 05:00,100
23-02-03 04:00,98
23-02-03 03:00,94
23-02-03 02:00,92
23-02-03 01:00,92
23-02-03 00:00,92
22-02-03 23:00,92
22-02-03 22:00,96
22-02-03 21:00,102
22-02-03 20:00,105
22-02-03 19:00,105
22-02-03 18:00,109
22-02-03 17:00,110
22-02-03 16:00,109
22-02-03 15:00,105
22-02-03 14:00,102
22-02-03 13:00,98
22-02-03 12:00,94
22-02-03 11:00,93
22-02-03 10:00,90
22-02-03 09:00,85
22-02-03 08:00,83
22-02-03 07:00,81
22-02-03 06:00,83
22-02-03 05:00,85
22-02-03 04:00,82
22-02-03 03:00,79
22-02-03 02:00,74
22-02-03 01:00,81
22-02-03 00:00,86
21-02-03 23:00,85
21-02-03 22:00,82
21-02-03 21:00,88
21-02-03 20:00,91
21-02-03 19:00,91
21-02-03 18:00,91
21-02-03 17:00,91
21-02-03 16:00,92
21-02-03 15:00,91
21-02-03 14:00,91
21-02-03 13:00,91
21-02-03 12:00,90
21-02-03 11:00,87
21-02-03 10:00,90
21-02-03 09:00,90
21-02-03 08:00,95
21-02-03 07:00,94
21-02-03 06:00,92
21-02-03 05:00,96
21-02-03 04:00,97
21-02-03 03:00,99
21-02-03 02:00,97
21-02-03 01:00,95
21-02-03 00:00,97
20-02-03 23:00,92
20-02-03 22:00,87
20-02-03 21:00,79
20-02-03 20:00,72
20-02-03 19:00,57
20-02-03 18:00,75
20-02-03 17:00,93
20-02-03 16:00,91
20-02-03 15:00,94
20-02-03 14:00,97
20-02-03 13:00,98
20-02-03 12:00,96
20-02-03 11:00,99
20-02-03 10:00,100
20-02-03 09:00,94
20-02-03 08:00,91
20-02-03 07:00,81
20-02-03 06:00,81
20-02-03 05:00,76
20-02-03 04:00,76
20-02-03 03:00,70
20-02-03 02:00,63
20-02-03 01:00,57
20-02-03 00:00,75
19-02-03 23:00,72
19-02-03 22:00,65
19-02-03 21:00,52
19-02-03 20:00,53
19-02-03 19:00,48
19-02-03 18:00,53
19-02-03 17:00,59
19-02-03 16:00,72
19-02-03 15:00,87
19-02-03 14:00,86
19-02-03 13:00,91
19-02-03 12:00,91
19-02-03 11:00,89
19-02-03 10:00,90
19-02-03 09:00,86
19-02-03 08:00,76
19-02-03 07:00,79
19-02-03 06:00,78
19-02-03 05:00,81
19-02-03 04:00,87
19-02-03 03:00,85
19-02-03 02:00,84
19-02-03 01:00,85
19-02-03 00:00,88
18-02-03 23:00,90
18-02-03 22:00,91
18-02-03 21:00,87
18-02-03 20:00,88
18-02-03 19:00,77
18-02-03 18:00,23
18-02-03 17:00,50
18-02-03 16:00,58
18-02-03 15:00,77
18-02-03 14:00,92
18-02-03 13:00,95
18-02-03 12:00,91
18-02-03 11:00,84
18-02-03 10:00,80
18-02-03 09:00,82
18-02-03 08:00,92
18-02-03 07:00,81
18-02-03 06:00,84
18-02-03 05:00,79
18-02-03 04:00,80
18-02-03 03:00,78
18-02-03 02:00,77
18-02-03 01:00,81
18-02-03 00:00,72
17-02-03 23:00,80
17-02-03 22:00,83
17-02-03 21:00,77
17-02-03 20:00,50
17-02-03 19:00,46
17-02-03 18:00,52
17-02-03 17:00,68
17-02-03 16:00,67
17-02-03 15:00,62
17-02-03 14:00,56
17-02-03 13:00,60
17-02-03 12:00,79
17-02-03 11:00,75
17-02-03 10:00,69
17-02-03 09:00,66
17-02-03 08:00,65
17-02-03 07:00,64
17-02-03 06:00,63
17-02-03 05:00,66
17-02-03 04:00,66
17-02-03 03:00,69
17-02-03 02:00,67
17-02-03 01:00,66
17-02-03 00:00,65
16-02-03 23:00,57
16-02-03 22:00,62
16-02-03 21:00,65
16-02-03 20:00,65
16-02-03 19:00,66
16-02-03 18:00,65
16-02-03 17:00,66
16-02-03 16:00,72
16-02-03 15:00,73
16-02-03 14:00,74
16-02-03 13:00,67
16-02-03 12:00,71
16-02-03 11:00,70
16-02-03 10:00,73
16-02-03 09:00,77
16-02-03 08:00,79
16-02-03 07:00,80
16-02-03 06:00,81
16-02-03 05:00,80
16-02-03 04:00,81
16-02-03 03:00,81
16-02-03 02:00,81
16-02-03 01:00,82
16-02-03 00:00,79
15-02-03 23:00,74
15-02-03 22:00,77
15-02-03 21:00,77
15-02-03 20:00,75
15-02-03 19:00,60
15-02-03 18:00,49
15-02-03 17:00,44
15-02-03 16:00,43
15-02-03 15:00,44
15-02-03 14:00,52
15-02-03 13:00,49
15-02-03 12:00,56
15-02-03 11:00,63
15-02-03 10:00,58
15-02-03 09:00,57
15-02-03 08:00,54
15-02-03 07:00,39
15-02-03 06:00,35
15-02-03 05:00,61
15-02-03 04:00,58
15-02-03 03:00,69
15-02-03 02:00,80
15-02-03 01:00,68
15-02-03 00:00,57
14-02-03 23:00,62
14-02-03 22:00,65
14-02-03 21:00,71
14-02-03 20:00,61
14-02-03 19:00,43
14-02-03 18:00,27
14-02-03 17:00,50
14-02-03 16:00,85
14-02-03 15:00,101
14-02-03 14:00,94
14-02-03 13:00,93
14-02-03 12:00,94
14-02-03 11:00,96
14-02-03 10:00,98
14-02-03 09:00,97
14-02-03 08:00,95
14-02-03 07:00,93
14-02-03 06:00,94
14-02-03 05:00,95
14-02-03 04:00,97
14-02-03 03:00,94
14-02-03 02:00,94
14-02-03 01:00,96
14-02-03 00:00,97
13-02-03 23:00,94
13-02-03 22:00,91
13-02-03 21:00,92
13-02-03 20:00,97
13-02-03 19:00,95
13-02-03 18:00,102
13-02-03 17:00,106
13-02-03 16:00,103
13-02-03 15:00,100
13-02-03 14:00,102
13-02-03 13:00,98
13-02-03 12:00,97
13-02-03 11:00,96
13-02-03 10:00,94
13-02-03 09:00,92
13-02-03 08:00,96
13-02-03 07:00,97
13-02-03 06:00,96
13-02-03 05:00,88
13-02-03 04:00,89
13-02-03 03:00,88
13-02-03 02:00,89
13-02-03 01:00,86
13-02-03 00:00,82
12-02-03 23:00,75
12-02-03 22:00,83
12-02-03 21:00,89
12-02-03 20:00,77
12-02-03 19:00,81
12-02-03 18:00,72
12-02-03 17:00,75
12-02-03 16:00,83
12-02-03 15:00,93
12-02-03 14:00,98
12-02-03 13:00,98
12-02-03 12:00,94
12-02-03 11:00,89
12-02-03 10:00,87
12-02-03 09:00,82
12-02-03 08:00,81
12-02-03 07:00,78
12-02-03 06:00,80
12-02-03 05:00,73
12-02-03 04:00,64
12-02-03 03:00,68
12-02-03 02:00,52
12-02-03 01:00,48
12-02-03 00:00,60
11-02-03 23:00,68
11-02-03 22:00,60
11-02-03 21:00,15
11-02-03 20:00,10
11-02-03 19:00,24
11-02-03 18:00,28
11-02-03 17:00,41
11-02-03 16:00,50
11-02-03 15:00,57
11-02-03 14:00,62
11-02-03 13:00,54
11-02-03 12:00,52
11-02-03 11:00,54
11-02-03 10:00,60
11-02-03 09:00,38
11-02-03 08:00,25
11-02-03 07:00,33
11-02-03 06:00,56
11-02-03 05:00,52
11-02-03 04:00,51
11-02-03 03:00,63
11-02-03 02:00,69
11-02-03 01:00,69
11-02-03 00:00,67
10-02-03 23:00,69
10-02-03 22:00,66
10-02-03 21:00,60
10-02-03 20:00,56
10-02-03 19:00,57
10-02-03 18:00,66
10-02-03 17:00,71
10-02-03 16:00,76
10-02-03 15:00,78
10-02-03 14:00,82
10-02-03 13:00,74
10-02-03 12:00,67
10-02-03 11:00,65
10-02-03 10:00,62
10-02-03 09:00,60
10-02-03 08:00,60
10-02-03 07:00,61
10-02-03 06:00,63
10-02-03 05:00,66
10-02-03 04:00,69
10-02-03 03:00,71
10-02-03 02:00,70
10-02-03 01:00,72
10-02-03 00:00,73
09-02-03 23:00,77
09-02-03 22:00,75
09-02-03 21:00,75
09-02-03 20:00,74
09-02-03 19:00,75
09-02-03 18:00,76
09-02-03 17:00,79
09-02-03 16:00,81
09-02-03 15:00,84
09-02-03 14:00,83
09-02-03 13:00,82
09-02-03 12:00,78
09-02-03 11:00,76
09-02-03 10:00,75
09-02-03 09:00,77
09-02-03 08:00,73
09-02-03 07:00,73
09-02-03 06:00,72
09-02-03 05:00,70
09-02-03 04:00,69
09-02-03 03:00,66
09-02-03 02:00,53
09-02-03 01:00,38
09-02-03 00:00,37
08-02-03 23:00,47
08-02-03 22:00,45
08-02-03 21:00,51
08-02-03 20:00,63
08-02-03 19:00,53
08-02-03 18:00,38
08-02-03 17:00,31
08-02-03 16:00,22
08-02-03 15:00,23
08-02-03 14:00,25
08-02-03 13:00,27
08-02-03 12:00,26
08-02-03 11:00,25
08-02-03 10:00,26
08-02-03 09:00,25
08-02-03 08:00,24
08-02-03 07:00,28
08-02-03 06:00,33
08-02-03 05:00,33
08-02-03 04:00,36
08-02-03 03:00,36
08-02-03 02:00,38
08-02-03 01:00,41
08-02-03 00:00,43
07-02-03 23:00,42
07-02-03 22:00,40
07-02-03 21:00,44
07-02-03 20:00,52
07-02-03 19:00,59
07-02-03 18:00,55
07-02-03 17:00,69
07-02-03 16:00,77
07-02-03 15:00,76
07-02-03 14:00,72
07-02-03 13:00,62
07-02-03 12:00,60
07-02-03 11:00,59
07-02-03 10:00,55
07-02-03 09:00,54
07-02-03 08:00,55
07-02-03 07:00,60
07-02-03 06:00,64
07-02-03 05:00,67
07-02-03 04:00,67
07-02-03 03:00,66
07-02-03 02:00,66
07-02-03 01:00,63
07-02-03 00:00,57
06-02-03 23:00,52
06-02-03 22:00,53
06-02-03 21:00,52
06-02-03 20:00,56
06-02-03 19:00,52
06-02-03 18:00,49
06-02-03 17:00,64
06-02-03 16:00,63
06-02-03 15:00,63
06-02-03 14:00,65
06-02-03 13:00,60
06-02-03 12:00,66
06-02-03 11:00,68
06-02-03 10:00,66
06-02-03 09:00,63
06-02-03 08:00,68
06-02-03 07:00,70
06-02-03 06:00,68
06-02-03 05:00,66
06-02-03 04:00,52
06-02-03 03:00,62
06-02-03 02:00,65
06-02-03 01:00,73
06-02-03 00:00,66
05-02-03 23:00,49
05-02-03 22:00,44
05-02-03 21:00,46
05-02-03 20:00,41
05-02-03 19:00,40
05-02-03 18:00,36
05-02-03 17:00,43
05-02-03 16:00,45
05-02-03 15:00,50
05-02-03 14:00,54
05-02-03 13:00,56
05-02-03 12:00,54
05-02-03 11:00,53
05-02-03 10:00,51
05-02-03 09:00,51
05-02-03 08:00,60
05-02-03 07:00,62
05-02-03 06:00,62
05-02-03 05:00,57
05-02-03 04:00,58
05-02-03 03:00,55
05-02-03 02:00,54
05-02-03 01:00,53
05-02-03 00:00,54
04-02-03 23:00,54
04-02-03 22:00,57
04-02-03 21:00,63
04-02-03 20:00,70
04-02-03 19:00,72
04-02-03 18:00,75
