Datum Zeit,Leipzig-Luetzner Straße NO
,µg/m³
01-03-03 00:00,125
28-02-03 23:00,169
28-02-03 22:00,227
28-02-03 21:00,169
28-02-03 20:00,203
28-02-03 19:00,241
28-02-03 18:00,263
28-02-03 17:00,343
28-02-03 16:00,239
28-02-03 15:00,172
28-02-03 14:00,219
28-02-03 13:00,174
28-02-03 12:00,272
28-02-03 11:00,222
28-02-03 10:00,236
28-02-03 09:00,305
28-02-03 08:00,395
28-02-03 07:00,247
28-02-03 06:00,166
28-02-03 05:00,143
28-02-03 04:00,132
28-02-03 03:00,82
28-02-03 02:00,181
28-02-03 01:00,273
28-02-03 00:00,348
27-02-03 23:00,512
27-02-03 22:00,525
27-02-03 21:00,681
27-02-03 20:00,704
27-02-03 19:00,649
27-02-03 18:00,515
27-02-03 17:00,448
27-02-03 16:00,244
27-02-03 15:00,171
27-02-03 14:00,84
27-02-03 13:00,235
27-02-03 12:00,
27-02-03 11:00,103
27-02-03 10:00,101
27-02-03 09:00,85
27-02-03 08:00,77
27-02-03 07:00,57
27-02-03 06:00,26
27-02-03 05:00,22
27-02-03 04:00,3
27-02-03 03:00,11
27-02-03 02:00,42
27-02-03 01:00,5
27-02-03 00:00,23
26-02-03 23:00,31
26-02-03 22:00,18
26-02-03 21:00,79
26-02-03 20:00,198
26-02-03 19:00,286
26-02-03 18:00,400
26-02-03 17:00,112
26-02-03 16:00,91
26-02-03 15:00,76
26-02-03 14:00,54
26-02-03 13:00,62
26-02-03 12:00,61
26-02-03 11:00,46
26-02-03 10:00,72
26-02-03 09:00,116
26-02-03 08:00,202
26-02-03 07:00,233
26-02-03 06:00,126
26-02-03 05:00,84
26-02-03 04:00,43
26-02-03 03:00,16
26-02-03 02:00,22
26-02-03 01:00,14
26-02-03 00:00,26
25-02-03 23:00,57
25-02-03 22:00,40
25-02-03 21:00,55
25-02-03 20:00,99
25-02-03 19:00,130
25-02-03 18:00,144
25-02-03 17:00,225
25-02-03 16:00,210
25-02-03 15:00,168
25-02-03 14:00,187
25-02-03 13:00,217
25-02-03 12:00,
25-02-03 11:00,271
25-02-03 10:00,234
25-02-03 09:00,192
25-02-03 08:00,262
25-02-03 07:00,92
25-02-03 06:00,166
25-02-03 05:00,112
25-02-03 04:00,33
25-02-03 03:00,17
25-02-03 02:00,79
25-02-03 01:00,184
25-02-03 00:00,282
24-02-03 23:00,424
24-02-03 22:00,451
24-02-03 21:00,563
24-02-03 20:00,271
24-02-03 19:00,184
24-02-03 18:00,222
24-02-03 17:00,154
24-02-03 16:00,188
24-02-03 15:00,139
24-02-03 14:00,111
24-02-03 13:00,130
24-02-03 12:00,62
24-02-03 11:00,73
24-02-03 10:00,53
24-02-03 09:00,55
24-02-03 08:00,95
24-02-03 07:00,64
24-02-03 06:00,16
24-02-03 05:00,22
24-02-03 04:00,7
24-02-03 03:00,4
24-02-03 02:00,6
24-02-03 01:00,8
24-02-03 00:00,11
23-02-03 23:00,14
23-02-03 22:00,16
23-02-03 21:00,53
23-02-03 20:00,275
23-02-03 19:00,297
23-02-03 18:00,223
23-02-03 17:00,70
23-02-03 16:00,52
23-02-03 15:00,44
23-02-03 14:00,34
23-02-03 13:00,33
23-02-03 12:00,27
23-02-03 11:00,25
23-02-03 10:00,26
23-02-03 09:00,36
23-02-03 08:00,36
23-02-03 07:00,33
23-02-03 06:00,94
23-02-03 05:00,168
23-02-03 04:00,88
23-02-03 03:00,92
23-02-03 02:00,50
23-02-03 01:00,45
23-02-03 00:00,48
22-02-03 23:00,31
22-02-03 22:00,49
22-02-03 21:00,64
22-02-03 20:00,90
22-02-03 19:00,91
22-02-03 18:00,83
22-02-03 17:00,74
22-02-03 16:00,70
22-02-03 15:00,86
22-02-03 14:00,80
22-02-03 13:00,105
22-02-03 12:00,93
22-02-03 11:00,162
22-02-03 10:00,165
22-02-03 09:00,96
22-02-03 08:00,110
22-02-03 07:00,93
22-02-03 06:00,71
22-02-03 05:00,53
22-02-03 04:00,27
22-02-03 03:00,29
22-02-03 02:00,29
22-02-03 01:00,38
22-02-03 00:00,56
21-02-03 23:00,78
21-02-03 22:00,112
21-02-03 21:00,140
21-02-03 20:00,135
21-02-03 19:00,180
21-02-03 18:00,140
21-02-03 17:00,149
21-02-03 16:00,136
21-02-03 15:00,105
21-02-03 14:00,148
21-02-03 13:00,136
21-02-03 12:00,149
21-02-03 11:00,140
21-02-03 10:00,115
21-02-03 09:00,116
21-02-03 08:00,145
21-02-03 07:00,100
21-02-03 06:00,60
21-02-03 05:00,30
21-02-03 04:00,20
21-02-03 03:00,18
21-02-03 02:00,8
21-02-03 01:00,17
21-02-03 00:00,23
20-02-03 23:00,47
20-02-03 22:00,45
20-02-03 21:00,74
20-02-03 20:00,77
20-02-03 19:00,124
20-02-03 18:00,113
20-02-03 17:00,164
20-02-03 16:00,163
20-02-03 15:00,140
20-02-03 14:00,143
20-02-03 13:00,133
20-02-03 12:00,135
20-02-03 11:00,151
20-02-03 10:00,130
20-02-03 09:00,152
20-02-03 08:00,124
20-02-03 07:00,97
20-02-03 06:00,75
20-02-03 05:00,55
20-02-03 04:00,19
20-02-03 03:00,15
20-02-03 02:00,14
20-02-03 01:00,16
20-02-03 00:00,33
19-02-03 23:00,34
19-02-03 22:00,59
19-02-03 21:00,88
19-02-03 20:00,118
19-02-03 19:00,119
19-02-03 18:00,138
19-02-03 17:00,147
19-02-03 16:00,164
19-02-03 15:00,171
19-02-03 14:00,140
19-02-03 13:00,142
19-02-03 12:00,180
19-02-03 11:00,164
19-02-03 10:00,185
19-02-03 09:00,144
19-02-03 08:00,128
19-02-03 07:00,99
19-02-03 06:00,84
19-02-03 05:00,62
19-02-03 04:00,22
19-02-03 03:00,12
19-02-03 02:00,17
19-02-03 01:00,20
19-02-03 00:00,33
18-02-03 23:00,34
18-02-03 22:00,46
18-02-03 21:00,47
18-02-03 20:00,80
18-02-03 19:00,105
18-02-03 18:00,121
18-02-03 17:00,127
18-02-03 16:00,117
18-02-03 15:00,144
18-02-03 14:00,120
18-02-03 13:00,211
18-02-03 12:00,225
18-02-03 11:00,231
18-02-03 10:00,195
18-02-03 09:00,214
18-02-03 08:00,192
18-02-03 07:00,136
18-02-03 06:00,111
18-02-03 05:00,78
18-02-03 04:00,40
18-02-03 03:00,20
