Datum Zeit,Leipzig-West NO
,µg/m³
01-08-03 00:00,1
31-07-03 23:00,1
31-07-03 22:00,1
31-07-03 21:00,1
31-07-03 20:00,1
31-07-03 19:00,1
31-07-03 18:00,1
31-07-03 17:00,1
31-07-03 16:00,1
31-07-03 15:00,1
31-07-03 14:00,1
31-07-03 13:00,1
31-07-03 12:00,2
31-07-03 11:00,8
31-07-03 10:00,36
31-07-03 09:00,29
31-07-03 08:00,24
31-07-03 07:00,4
31-07-03 06:00,2
31-07-03 05:00,1
31-07-03 04:00,1
31-07-03 03:00,1
31-07-03 02:00,1
31-07-03 01:00,1
31-07-03 00:00,1
30-07-03 23:00,1
30-07-03 22:00,1
30-07-03 21:00,1
30-07-03 20:00,1
30-07-03 19:00,1
30-07-03 18:00,1
30-07-03 17:00,1
30-07-03 16:00,1
30-07-03 15:00,1
30-07-03 14:00,1
30-07-03 13:00,1
30-07-03 12:00,
30-07-03 11:00,2
30-07-03 10:00,4
30-07-03 09:00,6
30-07-03 08:00,12
30-07-03 07:00,12
30-07-03 06:00,4
30-07-03 05:00,2
30-07-03 04:00,1
30-07-03 03:00,1
30-07-03 02:00,1
30-07-03 01:00,1
30-07-03 00:00,1
29-07-03 23:00,1
29-07-03 22:00,1
29-07-03 21:00,1
29-07-03 20:00,1
29-07-03 19:00,1
29-07-03 18:00,1
29-07-03 17:00,1
29-07-03 16:00,1
29-07-03 15:00,1
29-07-03 14:00,1
29-07-03 13:00,1
29-07-03 12:00,2
29-07-03 11:00,3
29-07-03 10:00,6
29-07-03 09:00,5
29-07-03 08:00,4
29-07-03 07:00,5
29-07-03 06:00,5
29-07-03 05:00,4
29-07-03 04:00,1
29-07-03 03:00,1
29-07-03 02:00,1
29-07-03 01:00,1
29-07-03 00:00,1
28-07-03 23:00,1
28-07-03 22:00,1
28-07-03 21:00,1
28-07-03 20:00,1
28-07-03 19:00,1
28-07-03 18:00,2
28-07-03 17:00,1
28-07-03 16:00,1
28-07-03 15:00,3
28-07-03 14:00,3
28-07-03 13:00,3
28-07-03 12:00,3
28-07-03 11:00,3
28-07-03 10:00,3
28-07-03 09:00,1
28-07-03 08:00,3
28-07-03 07:00,2
28-07-03 06:00,1
28-07-03 05:00,1
28-07-03 04:00,1
28-07-03 03:00,1
28-07-03 02:00,1
28-07-03 01:00,1
28-07-03 00:00,1
27-07-03 23:00,1
27-07-03 22:00,1
27-07-03 21:00,1
27-07-03 20:00,1
27-07-03 19:00,1
27-07-03 18:00,1
27-07-03 17:00,1
27-07-03 16:00,1
27-07-03 15:00,1
27-07-03 14:00,1
27-07-03 13:00,2
27-07-03 12:00,1
27-07-03 11:00,1
27-07-03 10:00,1
27-07-03 09:00,1
27-07-03 08:00,1
27-07-03 07:00,1
27-07-03 06:00,1
27-07-03 05:00,1
27-07-03 04:00,1
27-07-03 03:00,1
27-07-03 02:00,1
27-07-03 01:00,1
27-07-03 00:00,1
26-07-03 23:00,1
26-07-03 22:00,1
26-07-03 21:00,1
26-07-03 20:00,1
26-07-03 19:00,1
26-07-03 18:00,2
26-07-03 17:00,1
26-07-03 16:00,1
26-07-03 15:00,1
26-07-03 14:00,1
26-07-03 13:00,2
26-07-03 12:00,1
26-07-03 11:00,3
26-07-03 10:00,3
26-07-03 09:00,3
26-07-03 08:00,1
26-07-03 07:00,1
26-07-03 06:00,1
26-07-03 05:00,1
26-07-03 04:00,1
26-07-03 03:00,1
26-07-03 02:00,1
26-07-03 01:00,1
26-07-03 00:00,1
25-07-03 23:00,1
25-07-03 22:00,1
25-07-03 21:00,1
25-07-03 20:00,1
25-07-03 19:00,1
25-07-03 18:00,1
25-07-03 17:00,1
25-07-03 16:00,1
25-07-03 15:00,1
25-07-03 14:00,3
25-07-03 13:00,1
25-07-03 12:00,1
25-07-03 11:00,1
25-07-03 10:00,2
25-07-03 09:00,2
25-07-03 08:00,5
25-07-03 07:00,4
25-07-03 06:00,1
25-07-03 05:00,1
25-07-03 04:00,1
25-07-03 03:00,1
25-07-03 02:00,1
25-07-03 01:00,1
25-07-03 00:00,1
24-07-03 23:00,1
24-07-03 22:00,1
24-07-03 21:00,1
24-07-03 20:00,1
24-07-03 19:00,1
24-07-03 18:00,1
24-07-03 17:00,1
24-07-03 16:00,1
24-07-03 15:00,1
24-07-03 14:00,1
24-07-03 13:00,1
24-07-03 12:00,1
24-07-03 11:00,2
24-07-03 10:00,4
24-07-03 09:00,5
24-07-03 08:00,8
24-07-03 07:00,15
24-07-03 06:00,5
24-07-03 05:00,1
24-07-03 04:00,1
24-07-03 03:00,1
24-07-03 02:00,1
24-07-03 01:00,1
24-07-03 00:00,1
23-07-03 23:00,1
23-07-03 22:00,1
23-07-03 21:00,1
23-07-03 20:00,1
23-07-03 19:00,1
23-07-03 18:00,1
23-07-03 17:00,1
23-07-03 16:00,1
23-07-03 15:00,1
23-07-03 14:00,1
23-07-03 13:00,2
23-07-03 12:00,1
23-07-03 11:00,1
23-07-03 10:00,2
23-07-03 09:00,3
23-07-03 08:00,7
23-07-03 07:00,11
23-07-03 06:00,2
23-07-03 05:00,1
23-07-03 04:00,1
23-07-03 03:00,1
23-07-03 02:00,1
23-07-03 01:00,1
23-07-03 00:00,1
22-07-03 23:00,1
22-07-03 22:00,1
22-07-03 21:00,1
22-07-03 20:00,1
22-07-03 19:00,1
22-07-03 18:00,1
22-07-03 17:00,1
22-07-03 16:00,1
22-07-03 15:00,1
22-07-03 14:00,1
22-07-03 13:00,1
22-07-03 12:00,1
22-07-03 11:00,1
22-07-03 10:00,3
22-07-03 09:00,5
22-07-03 08:00,10
22-07-03 07:00,13
22-07-03 06:00,6
22-07-03 05:00,4
22-07-03 04:00,2
22-07-03 03:00,1
22-07-03 02:00,1
22-07-03 01:00,1
22-07-03 00:00,1
21-07-03 23:00,1
21-07-03 22:00,1
21-07-03 21:00,1
21-07-03 20:00,1
21-07-03 19:00,1
21-07-03 18:00,1
21-07-03 17:00,1
21-07-03 16:00,1
21-07-03 15:00,1
21-07-03 14:00,2
21-07-03 13:00,2
21-07-03 12:00,1
21-07-03 11:00,1
21-07-03 10:00,4
21-07-03 09:00,2
21-07-03 08:00,1
21-07-03 07:00,2
21-07-03 06:00,1
21-07-03 05:00,1
21-07-03 04:00,1
21-07-03 03:00,1
21-07-03 02:00,1
21-07-03 01:00,1
21-07-03 00:00,1
20-07-03 23:00,1
20-07-03 22:00,1
20-07-03 21:00,1
20-07-03 20:00,1
20-07-03 19:00,1
20-07-03 18:00,1
20-07-03 17:00,1
20-07-03 16:00,1
20-07-03 15:00,1
20-07-03 14:00,1
20-07-03 13:00,1
20-07-03 12:00,1
20-07-03 11:00,1
20-07-03 10:00,1
20-07-03 09:00,1
20-07-03 08:00,1
20-07-03 07:00,1
20-07-03 06:00,1
20-07-03 05:00,1
20-07-03 04:00,1
20-07-03 03:00,1
20-07-03 02:00,1
20-07-03 01:00,1
20-07-03 00:00,1
19-07-03 23:00,1
19-07-03 22:00,1
19-07-03 21:00,1
19-07-03 20:00,1
19-07-03 19:00,1
19-07-03 18:00,1
19-07-03 17:00,1
19-07-03 16:00,1
19-07-03 15:00,1
19-07-03 14:00,1
19-07-03 13:00,1
19-07-03 12:00,1
19-07-03 11:00,1
19-07-03 10:00,2
19-07-03 09:00,4
19-07-03 08:00,7
19-07-03 07:00,8
19-07-03 06:00,4
19-07-03 05:00,2
19-07-03 04:00,2
19-07-03 03:00,3
19-07-03 02:00,1
19-07-03 01:00,1
19-07-03 00:00,1
18-07-03 23:00,1
18-07-03 22:00,5
18-07-03 21:00,1
18-07-03 20:00,1
18-07-03 19:00,1
18-07-03 18:00,1
18-07-03 17:00,1
18-07-03 16:00,1
18-07-03 15:00,1
18-07-03 14:00,2
18-07-03 13:00,2
18-07-03 12:00,2
18-07-03 11:00,2
18-07-03 10:00,4
18-07-03 09:00,4
18-07-03 08:00,7
18-07-03 07:00,6
18-07-03 06:00,5
18-07-03 05:00,5
18-07-03 04:00,2
18-07-03 03:00,1
18-07-03 02:00,1
18-07-03 01:00,1
18-07-03 00:00,1
17-07-03 23:00,1
17-07-03 22:00,1
17-07-03 21:00,1
17-07-03 20:00,1
17-07-03 19:00,1
17-07-03 18:00,1
17-07-03 17:00,1
17-07-03 16:00,2
17-07-03 15:00,3
17-07-03 14:00,1
17-07-03 13:00,1
17-07-03 12:00,3
17-07-03 11:00,1
17-07-03 10:00,3
17-07-03 09:00,2
17-07-03 08:00,3
17-07-03 07:00,5
17-07-03 06:00,2
17-07-03 05:00,1
17-07-03 04:00,1
17-07-03 03:00,1
17-07-03 02:00,1
17-07-03 01:00,1
17-07-03 00:00,1
16-07-03 23:00,1
