Datum Zeit,Leipzig-Mitte CO
,mg/m3
01-01-04 00:00,0.6
31-12-03 23:00,0.8
31-12-03 22:00,0.9
31-12-03 21:00,0.9
31-12-03 20:00,0.5
31-12-03 19:00,1.0
31-12-03 18:00,1.3
31-12-03 17:00,1.4
31-12-03 16:00,1.4
31-12-03 15:00,1.0
31-12-03 14:00,0.8
31-12-03 13:00,0.8
31-12-03 12:00,0.8
31-12-03 11:00,0.9
31-12-03 10:00,0.7
31-12-03 09:00,0.4
31-12-03 08:00,0.5
31-12-03 07:00,0.6
31-12-03 06:00,0.6
31-12-03 05:00,0.4
31-12-03 04:00,0.4
31-12-03 03:00,0.4
31-12-03 02:00,0.5
31-12-03 01:00,0.6
31-12-03 00:00,0.6
30-12-03 23:00,0.8
30-12-03 22:00,1.4
30-12-03 21:00,1.6
30-12-03 20:00,2.3
30-12-03 19:00,1.6
30-12-03 18:00,1.1
30-12-03 17:00,1.6
30-12-03 16:00,1.6
30-12-03 15:00,1.4
30-12-03 14:00,1.3
30-12-03 13:00,1.5
30-12-03 12:00,1.9
30-12-03 11:00,3.7
30-12-03 10:00,4.0
30-12-03 09:00,3.4
30-12-03 08:00,2.9
30-12-03 07:00,2.1
30-12-03 06:00,1.2
30-12-03 05:00,0.7
30-12-03 04:00,1.0
30-12-03 03:00,1.5
30-12-03 02:00,1.7
30-12-03 01:00,1.1
30-12-03 00:00,1.7
29-12-03 23:00,1.5
29-12-03 22:00,1.5
29-12-03 21:00,2.2
29-12-03 20:00,1.8
29-12-03 19:00,2.0
29-12-03 18:00,1.4
29-12-03 17:00,1.2
29-12-03 16:00,0.7
29-12-03 15:00,0.6
29-12-03 14:00,0.6
29-12-03 13:00,0.4
29-12-03 12:00,0.6
29-12-03 11:00,0.4
29-12-03 10:00,0.6
29-12-03 09:00,0.5
29-12-03 08:00,0.4
29-12-03 07:00,0.2
29-12-03 06:00,0.4
29-12-03 05:00,0.2
29-12-03 04:00,0.3
29-12-03 03:00,0.6
29-12-03 02:00,0.4
29-12-03 01:00,0.5
29-12-03 00:00,0.6
28-12-03 23:00,0.6
28-12-03 22:00,0.6
28-12-03 21:00,1.0
28-12-03 20:00,1.2
28-12-03 19:00,1.0
28-12-03 18:00,1.1
28-12-03 17:00,1.2
28-12-03 16:00,1.0
28-12-03 15:00,1.1
28-12-03 14:00,0.9
28-12-03 13:00,1.0
28-12-03 12:00,0.9
28-12-03 11:00,0.6
28-12-03 10:00,0.7
28-12-03 09:00,0.4
28-12-03 08:00,0.5
28-12-03 07:00,0.6
28-12-03 06:00,0.6
28-12-03 05:00,1.5
28-12-03 04:00,0.9
28-12-03 03:00,1.0
28-12-03 02:00,1.4
28-12-03 01:00,0.5
28-12-03 00:00,0.7
27-12-03 23:00,0.8
27-12-03 22:00,0.7
27-12-03 21:00,0.4
27-12-03 20:00,0.6
27-12-03 19:00,1.1
27-12-03 18:00,0.7
27-12-03 17:00,0.8
27-12-03 16:00,0.6
27-12-03 15:00,0.8
27-12-03 14:00,0.8
27-12-03 13:00,0.6
27-12-03 12:00,0.7
27-12-03 11:00,0.5
27-12-03 10:00,0.4
27-12-03 09:00,0.3
27-12-03 08:00,0.4
27-12-03 07:00,0.4
27-12-03 06:00,0.9
27-12-03 05:00,0.7
27-12-03 04:00,1.0
27-12-03 03:00,0.7
27-12-03 02:00,0.5
27-12-03 01:00,0.5
27-12-03 00:00,0.5
26-12-03 23:00,0.6
26-12-03 22:00,0.6
26-12-03 21:00,0.8
26-12-03 20:00,0.8
26-12-03 19:00,0.7
26-12-03 18:00,0.7
26-12-03 17:00,0.5
26-12-03 16:00,1.0
26-12-03 15:00,0.8
26-12-03 14:00,0.4
26-12-03 13:00,0.4
26-12-03 12:00,0.4
26-12-03 11:00,0.4
26-12-03 10:00,0.4
26-12-03 09:00,0.3
26-12-03 08:00,0.3
26-12-03 07:00,0.4
26-12-03 06:00,0.5
26-12-03 05:00,0.4
26-12-03 04:00,0.6
26-12-03 03:00,0.5
26-12-03 02:00,0.6
26-12-03 01:00,0.5
26-12-03 00:00,0.6
25-12-03 23:00,0.6
25-12-03 22:00,0.5
25-12-03 21:00,0.5
25-12-03 20:00,0.5
25-12-03 19:00,0.6
25-12-03 18:00,0.5
25-12-03 17:00,0.6
25-12-03 16:00,0.7
25-12-03 15:00,0.6
25-12-03 14:00,0.6
25-12-03 13:00,0.6
25-12-03 12:00,0.4
25-12-03 11:00,0.3
25-12-03 10:00,0.2
25-12-03 09:00,0.2
25-12-03 08:00,0.3
25-12-03 07:00,0.2
25-12-03 06:00,0.3
25-12-03 05:00,0.3
25-12-03 04:00,0.3
25-12-03 03:00,0.6
25-12-03 02:00,0.4
25-12-03 01:00,0.5
25-12-03 00:00,0.3
24-12-03 23:00,0.3
24-12-03 22:00,0.3
24-12-03 21:00,0.4
24-12-03 20:00,0.4
24-12-03 19:00,0.6
24-12-03 18:00,0.8
24-12-03 17:00,0.7
24-12-03 16:00,0.8
24-12-03 15:00,0.9
24-12-03 14:00,1.1
24-12-03 13:00,1.1
24-12-03 12:00,1.2
24-12-03 11:00,1.1
24-12-03 10:00,0.9
24-12-03 09:00,0.6
24-12-03 08:00,0.7
24-12-03 07:00,0.5
24-12-03 06:00,0.5
24-12-03 05:00,0.6
24-12-03 04:00,0.6
24-12-03 03:00,0.6
24-12-03 02:00,0.8
24-12-03 01:00,0.9
24-12-03 00:00,0.8
23-12-03 23:00,0.7
23-12-03 22:00,0.8
23-12-03 21:00,1.3
23-12-03 20:00,1.3
23-12-03 19:00,1.3
23-12-03 18:00,1.9
23-12-03 17:00,1.5
23-12-03 16:00,1.5
23-12-03 15:00,1.3
23-12-03 14:00,0.7
23-12-03 13:00,0.7
23-12-03 12:00,0.6
23-12-03 11:00,0.8
23-12-03 10:00,0.7
23-12-03 09:00,0.5
23-12-03 08:00,0.5
23-12-03 07:00,0.4
23-12-03 06:00,0.5
23-12-03 05:00,0.5
23-12-03 04:00,0.3
23-12-03 03:00,0.4
23-12-03 02:00,0.5
23-12-03 01:00,0.9
23-12-03 00:00,1.0
22-12-03 23:00,1.1
22-12-03 22:00,1.0
22-12-03 21:00,1.5
22-12-03 20:00,1.3
22-12-03 19:00,1.8
22-12-03 18:00,1.8
22-12-03 17:00,1.7
22-12-03 16:00,1.5
22-12-03 15:00,1.4
22-12-03 14:00,1.2
22-12-03 13:00,1.6
22-12-03 12:00,1.4
22-12-03 11:00,1.0
22-12-03 10:00,0.7
22-12-03 09:00,0.6
22-12-03 08:00,0.5
22-12-03 07:00,0.3
22-12-03 06:00,0.2
22-12-03 05:00,0.1
22-12-03 04:00,0.1
22-12-03 03:00,0.2
22-12-03 02:00,0.2
22-12-03 01:00,0.3
22-12-03 00:00,0.4
21-12-03 23:00,0.4
21-12-03 22:00,0.5
21-12-03 21:00,0.7
