Datum Zeit,Leipzig-Luetzner Straße NO2
,µg/m³
01-03-04 00:00,20
29-02-04 23:00,28
29-02-04 22:00,33
29-02-04 21:00,41
29-02-04 20:00,54
29-02-04 19:00,61
29-02-04 18:00,55
29-02-04 17:00,45
29-02-04 16:00,42
29-02-04 15:00,40
29-02-04 14:00,35
29-02-04 13:00,38
29-02-04 12:00,37
29-02-04 11:00,32
29-02-04 10:00,32
29-02-04 09:00,41
29-02-04 08:00,41
29-02-04 07:00,43
29-02-04 06:00,50
29-02-04 05:00,52
29-02-04 04:00,48
29-02-04 03:00,60
29-02-04 02:00,73
29-02-04 01:00,80
29-02-04 00:00,94
28-02-04 23:00,94
28-02-04 22:00,93
28-02-04 21:00,107
28-02-04 20:00,115
28-02-04 19:00,119
28-02-04 18:00,101
28-02-04 17:00,80
28-02-04 16:00,70
28-02-04 15:00,74
28-02-04 14:00,62
28-02-04 13:00,48
28-02-04 12:00,42
28-02-04 11:00,35
28-02-04 10:00,45
28-02-04 09:00,47
28-02-04 08:00,52
28-02-04 07:00,51
28-02-04 06:00,51
28-02-04 05:00,52
28-02-04 04:00,52
28-02-04 03:00,56
28-02-04 02:00,57
28-02-04 01:00,55
28-02-04 00:00,65
27-02-04 23:00,72
27-02-04 22:00,75
27-02-04 21:00,76
27-02-04 20:00,70
27-02-04 19:00,83
27-02-04 18:00,80
27-02-04 17:00,86
27-02-04 16:00,87
27-02-04 15:00,87
27-02-04 14:00,79
27-02-04 13:00,80
27-02-04 12:00,72
27-02-04 11:00,70
27-02-04 10:00,79
27-02-04 09:00,60
27-02-04 08:00,67
27-02-04 07:00,57
27-02-04 06:00,52
27-02-04 05:00,45
27-02-04 04:00,42
27-02-04 03:00,34
27-02-04 02:00,29
27-02-04 01:00,27
27-02-04 00:00,38
26-02-04 23:00,38
26-02-04 22:00,43
26-02-04 21:00,63
26-02-04 20:00,66
26-02-04 19:00,71
26-02-04 18:00,80
26-02-04 17:00,77
26-02-04 16:00,75
26-02-04 15:00,67
26-02-04 14:00,54
26-02-04 13:00,65
26-02-04 12:00,65
26-02-04 11:00,74
26-02-04 10:00,64
26-02-04 09:00,59
26-02-04 08:00,65
26-02-04 07:00,53
26-02-04 06:00,42
26-02-04 05:00,37
26-02-04 04:00,40
26-02-04 03:00,34
26-02-04 02:00,33
26-02-04 01:00,36
26-02-04 00:00,44
25-02-04 23:00,44
25-02-04 22:00,49
25-02-04 21:00,69
25-02-04 20:00,63
25-02-04 19:00,66
25-02-04 18:00,71
25-02-04 17:00,55
25-02-04 16:00,51
25-02-04 15:00,49
25-02-04 14:00,51
25-02-04 13:00,50
25-02-04 12:00,60
25-02-04 11:00,70
25-02-04 10:00,65
25-02-04 09:00,63
25-02-04 08:00,61
25-02-04 07:00,56
25-02-04 06:00,35
25-02-04 05:00,32
25-02-04 04:00,28
25-02-04 03:00,27
25-02-04 02:00,24
25-02-04 01:00,26
25-02-04 00:00,34
24-02-04 23:00,40
24-02-04 22:00,48
24-02-04 21:00,51
24-02-04 20:00,60
24-02-04 19:00,75
24-02-04 18:00,75
24-02-04 17:00,67
24-02-04 16:00,44
24-02-04 15:00,50
24-02-04 14:00,42
24-02-04 13:00,49
24-02-04 12:00,56
24-02-04 11:00,58
24-02-04 10:00,74
24-02-04 09:00,74
24-02-04 08:00,72
24-02-04 07:00,56
24-02-04 06:00,47
24-02-04 05:00,38
24-02-04 04:00,30
24-02-04 03:00,28
24-02-04 02:00,27
24-02-04 01:00,26
24-02-04 00:00,19
23-02-04 23:00,28
23-02-04 22:00,33
23-02-04 21:00,43
23-02-04 20:00,59
23-02-04 19:00,66
23-02-04 18:00,68
23-02-04 17:00,71
23-02-04 16:00,65
23-02-04 15:00,59
23-02-04 14:00,53
23-02-04 13:00,55
23-02-04 12:00,62
23-02-04 11:00,74
23-02-04 10:00,67
23-02-04 09:00,70
23-02-04 08:00,64
23-02-04 07:00,58
23-02-04 06:00,49
23-02-04 05:00,36
23-02-04 04:00,30
23-02-04 03:00,29
23-02-04 02:00,28
23-02-04 01:00,32
23-02-04 00:00,27
22-02-04 23:00,32
22-02-04 22:00,34
22-02-04 21:00,39
22-02-04 20:00,42
22-02-04 19:00,45
22-02-04 18:00,47
22-02-04 17:00,45
22-02-04 16:00,41
22-02-04 15:00,41
22-02-04 14:00,33
22-02-04 13:00,33
22-02-04 12:00,34
22-02-04 11:00,34
22-02-04 10:00,39
22-02-04 09:00,43
22-02-04 08:00,40
22-02-04 07:00,43
22-02-04 06:00,46
22-02-04 05:00,60
22-02-04 04:00,45
22-02-04 03:00,49
22-02-04 02:00,74
22-02-04 01:00,53
22-02-04 00:00,71
21-02-04 23:00,82
21-02-04 22:00,79
21-02-04 21:00,88
21-02-04 20:00,86
21-02-04 19:00,94
21-02-04 18:00,80
21-02-04 17:00,83
21-02-04 16:00,73
21-02-04 15:00,63
21-02-04 14:00,50
21-02-04 13:00,49
21-02-04 12:00,53
21-02-04 11:00,46
21-02-04 10:00,40
21-02-04 09:00,38
21-02-04 08:00,38
21-02-04 07:00,36
21-02-04 06:00,33
21-02-04 05:00,34
21-02-04 04:00,32
21-02-04 03:00,27
21-02-04 02:00,34
21-02-04 01:00,30
21-02-04 00:00,36
20-02-04 23:00,38
20-02-04 22:00,41
20-02-04 21:00,44
20-02-04 20:00,52
20-02-04 19:00,59
20-02-04 18:00,64
20-02-04 17:00,57
20-02-04 16:00,56
20-02-04 15:00,58
20-02-04 14:00,53
20-02-04 13:00,53
20-02-04 12:00,53
20-02-04 11:00,58
20-02-04 10:00,54
20-02-04 09:00,61
20-02-04 08:00,65
20-02-04 07:00,52
20-02-04 06:00,43
20-02-04 05:00,34
20-02-04 04:00,21
20-02-04 03:00,21
20-02-04 02:00,22
20-02-04 01:00,33
20-02-04 00:00,30
19-02-04 23:00,31
19-02-04 22:00,39
19-02-04 21:00,52
19-02-04 20:00,58
19-02-04 19:00,69
19-02-04 18:00,69
19-02-04 17:00,72
19-02-04 16:00,75
19-02-04 15:00,78
19-02-04 14:00,70
19-02-04 13:00,65
19-02-04 12:00,60
19-02-04 11:00,71
19-02-04 10:00,60
19-02-04 09:00,74
19-02-04 08:00,66
19-02-04 07:00,47
