Datum Zeit,Chemnitz-Mitte SO2
,µg/m³
01-05-04 00:00,5.5
30-04-04 23:00,5.3
30-04-04 22:00,5.1
30-04-04 21:00,5.1
30-04-04 20:00,3.3
30-04-04 19:00,1.2
30-04-04 18:00,1.7
30-04-04 17:00,1.0
30-04-04 16:00,1.0
30-04-04 15:00,1.1
30-04-04 14:00,2.2
30-04-04 13:00,2.9
30-04-04 12:00,4.5
30-04-04 11:00,5.9
30-04-04 10:00,4.2
30-04-04 09:00,5.3
30-04-04 08:00,6.1
30-04-04 07:00,4.5
30-04-04 06:00,4.1
30-04-04 05:00,3.1
30-04-04 04:00,3.9
30-04-04 03:00,6.4
30-04-04 02:00,7.0
30-04-04 01:00,5.7
30-04-04 00:00,8.6
29-04-04 23:00,8.8
29-04-04 22:00,8.6
29-04-04 21:00,8.6
29-04-04 20:00,9.1
29-04-04 19:00,14.6
29-04-04 18:00,18.0
29-04-04 17:00,15.8
29-04-04 16:00,18.3
29-04-04 15:00,22.1
29-04-04 14:00,25.8
29-04-04 13:00,18.3
29-04-04 12:00,10.8
29-04-04 11:00,13.8
29-04-04 10:00,28.7
29-04-04 09:00,38.3
29-04-04 08:00,36.1
29-04-04 07:00,24.3
29-04-04 06:00,11.9
29-04-04 05:00,10.5
29-04-04 04:00,7.8
29-04-04 03:00,8.5
29-04-04 02:00,10.4
29-04-04 01:00,8.4
29-04-04 00:00,5.9
28-04-04 23:00,7.6
28-04-04 22:00,5.5
28-04-04 21:00,3.9
28-04-04 20:00,3.3
28-04-04 19:00,2.6
28-04-04 18:00,2.4
28-04-04 17:00,6.5
28-04-04 16:00,8.9
28-04-04 15:00,11.2
28-04-04 14:00,13.8
28-04-04 13:00,11.8
28-04-04 12:00,
28-04-04 11:00,6.9
28-04-04 10:00,9.1
28-04-04 09:00,14.2
28-04-04 08:00,28.2
28-04-04 07:00,16.3
28-04-04 06:00,7.2
28-04-04 05:00,6.7
28-04-04 04:00,7.6
28-04-04 03:00,10.0
28-04-04 02:00,7.8
28-04-04 01:00,3.3
28-04-04 00:00,2.0
27-04-04 23:00,2.0
27-04-04 22:00,3.1
27-04-04 21:00,3.3
27-04-04 20:00,3.2
27-04-04 19:00,3.2
27-04-04 18:00,5.8
27-04-04 17:00,5.4
27-04-04 16:00,5.7
27-04-04 15:00,5.3
27-04-04 14:00,
27-04-04 13:00,
27-04-04 12:00,
27-04-04 11:00,
27-04-04 10:00,21.8
27-04-04 09:00,12.1
27-04-04 08:00,3.5
27-04-04 07:00,2.9
27-04-04 06:00,2.3
27-04-04 05:00,1.0
27-04-04 04:00,1.3
27-04-04 03:00,1.3
27-04-04 02:00,1.0
27-04-04 01:00,1.0
27-04-04 00:00,1.0
26-04-04 23:00,1.0
26-04-04 22:00,1.0
26-04-04 21:00,1.0
26-04-04 20:00,2.2
26-04-04 19:00,3.1
26-04-04 18:00,1.3
26-04-04 17:00,1.0
26-04-04 16:00,1.0
26-04-04 15:00,1.0
26-04-04 14:00,1.0
26-04-04 13:00,1.0
26-04-04 12:00,1.6
26-04-04 11:00,3.9
26-04-04 10:00,3.2
26-04-04 09:00,2.8
26-04-04 08:00,1.4
26-04-04 07:00,1.2
26-04-04 06:00,1.0
26-04-04 05:00,1.0
26-04-04 04:00,1.0
26-04-04 03:00,1.0
26-04-04 02:00,1.0
26-04-04 01:00,1.0
26-04-04 00:00,1.1
25-04-04 23:00,1.4
25-04-04 22:00,1.6
25-04-04 21:00,1.3
25-04-04 20:00,1.1
25-04-04 19:00,1.0
25-04-04 18:00,1.1
25-04-04 17:00,1.9
25-04-04 16:00,3.6
25-04-04 15:00,1.5
25-04-04 14:00,1.6
25-04-04 13:00,1.0
25-04-04 12:00,2.3
25-04-04 11:00,1.0
25-04-04 10:00,1.0
25-04-04 09:00,1.3
25-04-04 08:00,1.0
25-04-04 07:00,1.0
25-04-04 06:00,1.0
25-04-04 05:00,1.0
25-04-04 04:00,1.0
25-04-04 03:00,1.0
25-04-04 02:00,1.0
25-04-04 01:00,1.0
25-04-04 00:00,1.0
24-04-04 23:00,1.0
24-04-04 22:00,1.0
24-04-04 21:00,1.0
24-04-04 20:00,1.0
24-04-04 19:00,1.0
