Datum Zeit,Glauchau NO2
,µg/m³
01-05-04 00:00,23
30-04-04 23:00,34
30-04-04 22:00,54
30-04-04 21:00,94
30-04-04 20:00,63
30-04-04 19:00,34
30-04-04 18:00,24
30-04-04 17:00,12
30-04-04 16:00,15
30-04-04 15:00,14
30-04-04 14:00,14
30-04-04 13:00,11
30-04-04 12:00,11
30-04-04 11:00,20
30-04-04 10:00,16
30-04-04 09:00,19
30-04-04 08:00,33
30-04-04 07:00,46
30-04-04 06:00,46
30-04-04 05:00,27
30-04-04 04:00,26
30-04-04 03:00,23
30-04-04 02:00,23
30-04-04 01:00,22
30-04-04 00:00,25
29-04-04 23:00,26
29-04-04 22:00,25
29-04-04 21:00,25
29-04-04 20:00,32
29-04-04 19:00,19
29-04-04 18:00,13
29-04-04 17:00,13
29-04-04 16:00,18
29-04-04 15:00,21
29-04-04 14:00,19
29-04-04 13:00,22
29-04-04 12:00,29
29-04-04 11:00,51
29-04-04 10:00,43
29-04-04 09:00,52
29-04-04 08:00,52
29-04-04 07:00,59
29-04-04 06:00,56
29-04-04 05:00,49
29-04-04 04:00,46
29-04-04 03:00,37
29-04-04 02:00,35
29-04-04 01:00,32
29-04-04 00:00,33
28-04-04 23:00,39
28-04-04 22:00,21
28-04-04 21:00,29
28-04-04 20:00,28
28-04-04 19:00,27
28-04-04 18:00,19
28-04-04 17:00,19
28-04-04 16:00,16
28-04-04 15:00,24
28-04-04 14:00,22
28-04-04 13:00,22
28-04-04 12:00,14
28-04-04 11:00,15
28-04-04 10:00,43
28-04-04 09:00,65
28-04-04 08:00,57
28-04-04 07:00,48
28-04-04 06:00,43
28-04-04 05:00,41
28-04-04 04:00,30
28-04-04 03:00,31
28-04-04 02:00,37
28-04-04 01:00,26
28-04-04 00:00,36
27-04-04 23:00,49
27-04-04 22:00,21
27-04-04 21:00,28
27-04-04 20:00,27
27-04-04 19:00,24
27-04-04 18:00,14
27-04-04 17:00,19
27-04-04 16:00,26
27-04-04 15:00,33
27-04-04 14:00,25
27-04-04 13:00,31
27-04-04 12:00,32
27-04-04 11:00,33
27-04-04 10:00,47
27-04-04 09:00,39
27-04-04 08:00,37
27-04-04 07:00,40
27-04-04 06:00,30
27-04-04 05:00,25
27-04-04 04:00,27
27-04-04 03:00,27
27-04-04 02:00,28
27-04-04 01:00,29
27-04-04 00:00,34
26-04-04 23:00,38
26-04-04 22:00,33
26-04-04 21:00,28
26-04-04 20:00,21
26-04-04 19:00,22
26-04-04 18:00,21
26-04-04 17:00,29
26-04-04 16:00,24
26-04-04 15:00,56
26-04-04 14:00,21
26-04-04 13:00,29
26-04-04 12:00,34
26-04-04 11:00,48
26-04-04 10:00,38
26-04-04 09:00,37
26-04-04 08:00,46
26-04-04 07:00,45
26-04-04 06:00,34
26-04-04 05:00,27
26-04-04 04:00,29
26-04-04 03:00,31
26-04-04 02:00,33
26-04-04 01:00,24
26-04-04 00:00,21
25-04-04 23:00,26
25-04-04 22:00,39
25-04-04 21:00,33
25-04-04 20:00,32
25-04-04 19:00,26
25-04-04 18:00,13
25-04-04 17:00,8
25-04-04 16:00,6
25-04-04 15:00,7
25-04-04 14:00,8
25-04-04 13:00,9
25-04-04 12:00,7
25-04-04 11:00,12
25-04-04 10:00,11
25-04-04 09:00,10
25-04-04 08:00,8
25-04-04 07:00,11
25-04-04 06:00,12
25-04-04 05:00,9
25-04-04 04:00,6
25-04-04 03:00,9
25-04-04 02:00,7
25-04-04 01:00,7
25-04-04 00:00,10
24-04-04 23:00,18
24-04-04 22:00,25
24-04-04 21:00,11
24-04-04 20:00,15
24-04-04 19:00,15
24-04-04 18:00,14
24-04-04 17:00,19
24-04-04 16:00,12
24-04-04 15:00,13
24-04-04 14:00,14
24-04-04 13:00,19
24-04-04 12:00,22
24-04-04 11:00,23
24-04-04 10:00,19
24-04-04 09:00,18
24-04-04 08:00,17
24-04-04 07:00,20
24-04-04 06:00,25
24-04-04 05:00,17
24-04-04 04:00,14
24-04-04 03:00,16
24-04-04 02:00,15
24-04-04 01:00,19
24-04-04 00:00,18
23-04-04 23:00,19
23-04-04 22:00,23
23-04-04 21:00,24
23-04-04 20:00,27
23-04-04 19:00,24
23-04-04 18:00,26
23-04-04 17:00,25
23-04-04 16:00,26
23-04-04 15:00,31
23-04-04 14:00,33
23-04-04 13:00,32
23-04-04 12:00,28
23-04-04 11:00,34
23-04-04 10:00,32
23-04-04 09:00,42
23-04-04 08:00,45
23-04-04 07:00,45
23-04-04 06:00,44
23-04-04 05:00,40
23-04-04 04:00,29
23-04-04 03:00,27
23-04-04 02:00,39
23-04-04 01:00,43
23-04-04 00:00,46
22-04-04 23:00,63
22-04-04 22:00,60
22-04-04 21:00,54
22-04-04 20:00,31
22-04-04 19:00,40
22-04-04 18:00,19
22-04-04 17:00,19
22-04-04 16:00,21
22-04-04 15:00,39
22-04-04 14:00,40
22-04-04 13:00,32
22-04-04 12:00,22
22-04-04 11:00,30
22-04-04 10:00,43
22-04-04 09:00,52
22-04-04 08:00,62
22-04-04 07:00,42
22-04-04 06:00,30
22-04-04 05:00,22
22-04-04 04:00,20
22-04-04 03:00,22
22-04-04 02:00,26
22-04-04 01:00,30
22-04-04 00:00,36
21-04-04 23:00,26
21-04-04 22:00,53
21-04-04 21:00,67
21-04-04 20:00,63
21-04-04 19:00,40
21-04-04 18:00,26
21-04-04 17:00,27
21-04-04 16:00,27
21-04-04 15:00,29
21-04-04 14:00,27
21-04-04 13:00,33
21-04-04 12:00,23
21-04-04 11:00,36
21-04-04 10:00,35
21-04-04 09:00,41
21-04-04 08:00,45
21-04-04 07:00,54
21-04-04 06:00,42
21-04-04 05:00,24
21-04-04 04:00,27
21-04-04 03:00,27
21-04-04 02:00,25
21-04-04 01:00,25
21-04-04 00:00,27
20-04-04 23:00,44
20-04-04 22:00,59
20-04-04 21:00,45
20-04-04 20:00,43
20-04-04 19:00,38
20-04-04 18:00,35
20-04-04 17:00,27
20-04-04 16:00,24
20-04-04 15:00,27
20-04-04 14:00,22
20-04-04 13:00,23
20-04-04 12:00,22
20-04-04 11:00,26
20-04-04 10:00,34
20-04-04 09:00,45
20-04-04 08:00,52
20-04-04 07:00,48
20-04-04 06:00,40
20-04-04 05:00,24
20-04-04 04:00,19
20-04-04 03:00,33
20-04-04 02:00,38
20-04-04 01:00,39
20-04-04 00:00,37
19-04-04 23:00,44
19-04-04 22:00,51
19-04-04 21:00,27
19-04-04 20:00,27
19-04-04 19:00,22
19-04-04 18:00,14
19-04-04 17:00,13
19-04-04 16:00,26
19-04-04 15:00,33
19-04-04 14:00,37
19-04-04 13:00,
19-04-04 12:00,
19-04-04 11:00,
19-04-04 10:00,
19-04-04 09:00,43
19-04-04 08:00,56
19-04-04 07:00,55
19-04-04 06:00,49
19-04-04 05:00,38
19-04-04 04:00,25
19-04-04 03:00,19
19-04-04 02:00,18
19-04-04 01:00,18
19-04-04 00:00,18
18-04-04 23:00,24
18-04-04 22:00,12
18-04-04 21:00,24
18-04-04 20:00,16
18-04-04 19:00,18
18-04-04 18:00,16
18-04-04 17:00,16
18-04-04 16:00,13
18-04-04 15:00,11
18-04-04 14:00,14
18-04-04 13:00,11
18-04-04 12:00,13
18-04-04 11:00,14
18-04-04 10:00,15
18-04-04 09:00,21
18-04-04 08:00,28
18-04-04 07:00,23
18-04-04 06:00,23
18-04-04 05:00,19
18-04-04 04:00,17
18-04-04 03:00,29
18-04-04 02:00,22
18-04-04 01:00,30
18-04-04 00:00,39
17-04-04 23:00,34
17-04-04 22:00,24
17-04-04 21:00,18
17-04-04 20:00,25
17-04-04 19:00,17
17-04-04 18:00,16
17-04-04 17:00,13
17-04-04 16:00,12
17-04-04 15:00,13
17-04-04 14:00,14
17-04-04 13:00,15
17-04-04 12:00,13
17-04-04 11:00,19
