Datum Zeit,Zinnwald SO2
,µg/m³
01-05-04 00:00,7.2
30-04-04 23:00,4.7
30-04-04 22:00,5.5
30-04-04 21:00,4.0
30-04-04 20:00,4.4
30-04-04 19:00,5.1
30-04-04 18:00,1.8
30-04-04 17:00,2.2
30-04-04 16:00,1.8
30-04-04 15:00,1.8
30-04-04 14:00,1.3
30-04-04 13:00,2.3
30-04-04 12:00,4.0
30-04-04 11:00,6.0
30-04-04 10:00,8.3
30-04-04 09:00,7.3
30-04-04 08:00,7.1
30-04-04 07:00,7.1
30-04-04 06:00,7.1
30-04-04 05:00,7.5
30-04-04 04:00,6.2
30-04-04 03:00,6.3
30-04-04 02:00,9.5
30-04-04 01:00,14.2
30-04-04 00:00,14.5
29-04-04 23:00,10.4
29-04-04 22:00,8.4
29-04-04 21:00,7.4
29-04-04 20:00,5.5
29-04-04 19:00,5.2
29-04-04 18:00,9.1
29-04-04 17:00,10.0
29-04-04 16:00,11.1
29-04-04 15:00,12.1
29-04-04 14:00,12.0
29-04-04 13:00,14.2
29-04-04 12:00,19.3
29-04-04 11:00,29.4
29-04-04 10:00,33.9
29-04-04 09:00,30.5
29-04-04 08:00,33.4
29-04-04 07:00,49.9
29-04-04 06:00,54.3
29-04-04 05:00,26.6
29-04-04 04:00,20.5
29-04-04 03:00,21.7
29-04-04 02:00,23.0
29-04-04 01:00,22.4
29-04-04 00:00,7.4
28-04-04 23:00,6.8
28-04-04 22:00,6.0
28-04-04 21:00,9.8
28-04-04 20:00,11.8
28-04-04 19:00,5.2
28-04-04 18:00,3.1
28-04-04 17:00,3.9
28-04-04 16:00,2.9
28-04-04 15:00,3.1
28-04-04 14:00,4.9
28-04-04 13:00,4.7
28-04-04 12:00,4.3
28-04-04 11:00,5.4
28-04-04 10:00,6.4
28-04-04 09:00,16.6
28-04-04 08:00,23.0
28-04-04 07:00,19.8
28-04-04 06:00,28.7
28-04-04 05:00,29.5
28-04-04 04:00,23.8
28-04-04 03:00,9.6
28-04-04 02:00,7.2
28-04-04 01:00,8.7
28-04-04 00:00,10.2
27-04-04 23:00,5.2
27-04-04 22:00,4.6
27-04-04 21:00,6.1
27-04-04 20:00,4.8
27-04-04 19:00,3.2
27-04-04 18:00,3.0
27-04-04 17:00,5.6
27-04-04 16:00,7.9
27-04-04 15:00,6.9
27-04-04 14:00,5.0
27-04-04 13:00,5.8
27-04-04 12:00,6.5
27-04-04 11:00,8.6
27-04-04 10:00,10.8
27-04-04 09:00,17.6
27-04-04 08:00,54.1
27-04-04 07:00,30.9
27-04-04 06:00,11.4
27-04-04 05:00,8.2
27-04-04 04:00,12.6
27-04-04 03:00,10.2
27-04-04 02:00,10.3
27-04-04 01:00,11.5
27-04-04 00:00,1.0
26-04-04 23:00,1.0
26-04-04 22:00,2.0
26-04-04 21:00,1.5
26-04-04 20:00,1.6
26-04-04 19:00,1.3
26-04-04 18:00,1.1
26-04-04 17:00,1.0
26-04-04 16:00,1.0
26-04-04 15:00,1.4
26-04-04 14:00,1.5
26-04-04 13:00,2.3
26-04-04 12:00,4.8
26-04-04 11:00,5.7
26-04-04 10:00,10.9
26-04-04 09:00,12.5
26-04-04 08:00,14.2
26-04-04 07:00,6.8
26-04-04 06:00,2.9
26-04-04 05:00,2.8
26-04-04 04:00,4.5
26-04-04 03:00,5.5
26-04-04 02:00,4.0
26-04-04 01:00,1.7
26-04-04 00:00,1.8
25-04-04 23:00,2.4
25-04-04 22:00,3.7
25-04-04 21:00,2.1
25-04-04 20:00,2.6
25-04-04 19:00,2.0
25-04-04 18:00,1.9
25-04-04 17:00,1.8
25-04-04 16:00,1.8
25-04-04 15:00,1.4
25-04-04 14:00,1.1
25-04-04 13:00,1.7
25-04-04 12:00,2.3
25-04-04 11:00,2.0
25-04-04 10:00,2.3
25-04-04 09:00,2.9
25-04-04 08:00,2.8
25-04-04 07:00,2.2
25-04-04 06:00,2.1
25-04-04 05:00,2.1
25-04-04 04:00,1.7
25-04-04 03:00,1.1
25-04-04 02:00,1.1
25-04-04 01:00,1.3
25-04-04 00:00,1.5
24-04-04 23:00,1.1
24-04-04 22:00,1.0
24-04-04 21:00,1.0
24-04-04 20:00,1.0
24-04-04 19:00,1.0
24-04-04 18:00,1.0
24-04-04 17:00,1.0
24-04-04 16:00,1.0
24-04-04 15:00,1.0
24-04-04 14:00,1.0
24-04-04 13:00,1.0
24-04-04 12:00,1.0
24-04-04 11:00,1.0
24-04-04 10:00,1.0
24-04-04 09:00,1.0
24-04-04 08:00,1.0
24-04-04 07:00,1.0
24-04-04 06:00,1.0
24-04-04 05:00,1.0
24-04-04 04:00,1.0
24-04-04 03:00,1.0
24-04-04 02:00,1.0
24-04-04 01:00,1.0
24-04-04 00:00,1.0
23-04-04 23:00,1.0
23-04-04 22:00,1.3
23-04-04 21:00,1.6
23-04-04 20:00,1.4
23-04-04 19:00,1.8
23-04-04 18:00,2.1
23-04-04 17:00,1.7
23-04-04 16:00,2.2
23-04-04 15:00,3.2
23-04-04 14:00,3.2
23-04-04 13:00,2.1
23-04-04 12:00,3.3
23-04-04 11:00,4.0
23-04-04 10:00,3.5
23-04-04 09:00,3.1
23-04-04 08:00,2.8
23-04-04 07:00,5.2
23-04-04 06:00,2.4
23-04-04 05:00,2.2
23-04-04 04:00,2.0
23-04-04 03:00,2.1
23-04-04 02:00,2.2
23-04-04 01:00,2.5
23-04-04 00:00,3.0
22-04-04 23:00,2.4
22-04-04 22:00,1.8
22-04-04 21:00,1.9
22-04-04 20:00,1.5
22-04-04 19:00,2.5
22-04-04 18:00,2.8
22-04-04 17:00,1.0
22-04-04 16:00,1.0
22-04-04 15:00,1.3
22-04-04 14:00,1.0
22-04-04 13:00,1.1
22-04-04 12:00,1.0
22-04-04 11:00,8.7
22-04-04 10:00,1.7
22-04-04 09:00,2.2
22-04-04 08:00,6.5
22-04-04 07:00,9.2
22-04-04 06:00,3.6
22-04-04 05:00,6.8
22-04-04 04:00,10.6
22-04-04 03:00,6.8
22-04-04 02:00,6.7
22-04-04 01:00,7.8
22-04-04 00:00,7.1
21-04-04 23:00,6.9
21-04-04 22:00,5.3
21-04-04 21:00,2.3
21-04-04 20:00,7.2
21-04-04 19:00,4.4
21-04-04 18:00,8.9
21-04-04 17:00,1.8
21-04-04 16:00,1.8
21-04-04 15:00,1.0
21-04-04 14:00,3.1
21-04-04 13:00,7.4
21-04-04 12:00,10.6
21-04-04 11:00,25.1
21-04-04 10:00,41.9
21-04-04 09:00,31.9
21-04-04 08:00,24.9
21-04-04 07:00,2.1
21-04-04 06:00,3.3
21-04-04 05:00,3.2
21-04-04 04:00,3.6
21-04-04 03:00,6.7
21-04-04 02:00,15.8
21-04-04 01:00,8.3
21-04-04 00:00,5.5
20-04-04 23:00,10.5
20-04-04 22:00,9.8
20-04-04 21:00,18.4
20-04-04 20:00,20.2
20-04-04 19:00,28.2
20-04-04 18:00,27.4
20-04-04 17:00,27.2
20-04-04 16:00,30.7
20-04-04 15:00,60.1
20-04-04 14:00,59.1
20-04-04 13:00,22.3
20-04-04 12:00,11.2
20-04-04 11:00,9.1
20-04-04 10:00,1.0
20-04-04 09:00,1.4
20-04-04 08:00,1.2
20-04-04 07:00,1.0
20-04-04 06:00,1.0
20-04-04 05:00,1.0
20-04-04 04:00,1.0
20-04-04 03:00,1.0
20-04-04 02:00,2.0
20-04-04 01:00,6.9
20-04-04 00:00,8.9
19-04-04 23:00,2.0
19-04-04 22:00,1.0
19-04-04 21:00,1.0
19-04-04 20:00,1.0
19-04-04 19:00,1.0
19-04-04 18:00,1.0
19-04-04 17:00,1.0
19-04-04 16:00,1.0
19-04-04 15:00,1.0
19-04-04 14:00,1.0
19-04-04 13:00,1.0
19-04-04 12:00,1.0
19-04-04 11:00,1.0
19-04-04 10:00,1.0
19-04-04 09:00,1.0
19-04-04 08:00,4.0
19-04-04 07:00,4.2
19-04-04 06:00,4.3
19-04-04 05:00,5.1
19-04-04 04:00,2.9
19-04-04 03:00,2.3
19-04-04 02:00,3.8
19-04-04 01:00,4.3
19-04-04 00:00,4.1
18-04-04 23:00,4.5
18-04-04 22:00,8.0
18-04-04 21:00,6.0
18-04-04 20:00,2.0
18-04-04 19:00,5.7
18-04-04 18:00,6.8
18-04-04 17:00,13.1
18-04-04 16:00,11.0
18-04-04 15:00,6.3
18-04-04 14:00,4.4
18-04-04 13:00,4.8
18-04-04 12:00,9.0
18-04-04 11:00,9.6
18-04-04 10:00,5.1
18-04-04 09:00,1.5
18-04-04 08:00,1.2
18-04-04 07:00,4.0
18-04-04 06:00,12.3
18-04-04 05:00,5.2
18-04-04 04:00,2.6
18-04-04 03:00,6.7
18-04-04 02:00,7.3
18-04-04 01:00,5.6
18-04-04 00:00,6.0
17-04-04 23:00,6.1
17-04-04 22:00,5.3
17-04-04 21:00,5.8
17-04-04 20:00,6.3
17-04-04 19:00,9.2
17-04-04 18:00,4.0
17-04-04 17:00,7.3
17-04-04 16:00,11.4
17-04-04 15:00,4.4
17-04-04 14:00,3.8
17-04-04 13:00,5.1
17-04-04 12:00,6.8
17-04-04 11:00,19.2
17-04-04 10:00,11.4
17-04-04 09:00,7.1
17-04-04 08:00,3.2
17-04-04 07:00,4.2
17-04-04 06:00,5.6
17-04-04 05:00,10.9
17-04-04 04:00,15.1
17-04-04 03:00,25.1
17-04-04 02:00,16.2
17-04-04 01:00,11.2
17-04-04 00:00,15.7
16-04-04 23:00,19.3
16-04-04 22:00,16.1
16-04-04 21:00,15.7
16-04-04 20:00,11.2
16-04-04 19:00,12.2
16-04-04 18:00,18.0
16-04-04 17:00,32.7
16-04-04 16:00,41.1
16-04-04 15:00,45.5
16-04-04 14:00,55.1
16-04-04 13:00,42.0
16-04-04 12:00,42.3
16-04-04 11:00,28.0
16-04-04 10:00,11.5
16-04-04 09:00,11.4
16-04-04 08:00,15.0
16-04-04 07:00,7.5
16-04-04 06:00,7.0
16-04-04 05:00,5.7
16-04-04 04:00,6.2
16-04-04 03:00,5.5
16-04-04 02:00,5.2
16-04-04 01:00,5.3
16-04-04 00:00,3.5
15-04-04 23:00,4.0
15-04-04 22:00,4.3
15-04-04 21:00,4.2
15-04-04 20:00,3.9
15-04-04 19:00,2.0
15-04-04 18:00,3.4
15-04-04 17:00,4.0
15-04-04 16:00,2.2
15-04-04 15:00,2.5
15-04-04 14:00,4.8
15-04-04 13:00,6.3
15-04-04 12:00,10.6
15-04-04 11:00,18.6
15-04-04 10:00,13.6
15-04-04 09:00,12.7
15-04-04 08:00,15.4
15-04-04 07:00,16.2
15-04-04 06:00,18.6
15-04-04 05:00,16.1
15-04-04 04:00,13.5
15-04-04 03:00,13.7
15-04-04 02:00,14.1
15-04-04 01:00,11.6
15-04-04 00:00,14.3
14-04-04 23:00,15.7
14-04-04 22:00,9.1
14-04-04 21:00,10.0
14-04-04 20:00,4.1
14-04-04 19:00,3.9
14-04-04 18:00,2.9
14-04-04 17:00,1.6
14-04-04 16:00,2.4
14-04-04 15:00,2.2
14-04-04 14:00,2.0
14-04-04 13:00,3.5
14-04-04 12:00,5.7
14-04-04 11:00,6.7
14-04-04 10:00,6.2
14-04-04 09:00,7.2
14-04-04 08:00,15.1
14-04-04 07:00,21.2
14-04-04 06:00,11.8
14-04-04 05:00,3.5
14-04-04 04:00,2.5
14-04-04 03:00,1.4
14-04-04 02:00,1.0
14-04-04 01:00,1.2
14-04-04 00:00,1.0
13-04-04 23:00,1.0
13-04-04 22:00,1.0
13-04-04 21:00,1.0
13-04-04 20:00,1.0
13-04-04 19:00,1.0
13-04-04 18:00,1.0
13-04-04 17:00,1.0
13-04-04 16:00,1.0
13-04-04 15:00,1.0
13-04-04 14:00,1.0
13-04-04 13:00,1.0
13-04-04 12:00,1.0
