Datum Zeit,Collmberg SO2
,µg/m³
01-02-05 00:00,1.0
31-01-05 23:00,1.0
31-01-05 22:00,1.0
31-01-05 21:00,1.0
31-01-05 20:00,1.0
31-01-05 19:00,1.0
31-01-05 18:00,3.2
31-01-05 17:00,4.0
31-01-05 16:00,3.3
31-01-05 15:00,2.4
31-01-05 14:00,2.3
31-01-05 13:00,2.1
31-01-05 12:00,2.0
31-01-05 11:00,4.4
31-01-05 10:00,2.9
31-01-05 09:00,2.4
31-01-05 08:00,2.5
31-01-05 07:00,2.6
31-01-05 06:00,3.2
31-01-05 05:00,4.2
31-01-05 04:00,4.4
31-01-05 03:00,6.7
31-01-05 02:00,6.8
31-01-05 01:00,6.3
31-01-05 00:00,5.7
30-01-05 23:00,4.5
30-01-05 22:00,4.0
30-01-05 21:00,3.3
30-01-05 20:00,3.3
30-01-05 19:00,2.9
30-01-05 18:00,2.6
30-01-05 17:00,2.4
30-01-05 16:00,2.3
30-01-05 15:00,2.5
30-01-05 14:00,2.6
30-01-05 13:00,2.7
30-01-05 12:00,2.7
30-01-05 11:00,3.3
30-01-05 10:00,3.2
30-01-05 09:00,3.4
30-01-05 08:00,3.3
30-01-05 07:00,3.6
30-01-05 06:00,4.1
30-01-05 05:00,4.1
30-01-05 04:00,4.0
30-01-05 03:00,5.4
30-01-05 02:00,5.1
30-01-05 01:00,3.6
30-01-05 00:00,2.1
29-01-05 23:00,1.1
29-01-05 22:00,1.0
29-01-05 21:00,1.0
29-01-05 20:00,1.0
29-01-05 19:00,1.0
29-01-05 18:00,1.0
29-01-05 17:00,1.0
29-01-05 16:00,1.0
29-01-05 15:00,1.4
29-01-05 14:00,1.7
29-01-05 13:00,2.1
29-01-05 12:00,2.4
29-01-05 11:00,1.5
29-01-05 10:00,1.5
29-01-05 09:00,1.3
29-01-05 08:00,2.3
29-01-05 07:00,2.2
29-01-05 06:00,2.3
29-01-05 05:00,2.2
29-01-05 04:00,2.1
29-01-05 03:00,2.3
29-01-05 02:00,2.8
29-01-05 01:00,1.4
29-01-05 00:00,1.4
28-01-05 23:00,1.3
28-01-05 22:00,1.8
28-01-05 21:00,1.6
28-01-05 20:00,1.7
28-01-05 19:00,2.2
28-01-05 18:00,1.6
28-01-05 17:00,1.2
28-01-05 16:00,1.5
28-01-05 15:00,1.9
28-01-05 14:00,3.3
28-01-05 13:00,3.8
28-01-05 12:00,4.3
28-01-05 11:00,4.6
28-01-05 10:00,4.6
28-01-05 09:00,4.8
28-01-05 08:00,5.0
28-01-05 07:00,5.4
28-01-05 06:00,4.9
28-01-05 05:00,5.5
28-01-05 04:00,5.6
28-01-05 03:00,7.0
28-01-05 02:00,6.0
28-01-05 01:00,4.4
28-01-05 00:00,4.2
