Datum Zeit,Collmberg O3
,µg/m³
01-05-05 00:00,95
30-04-05 23:00,104
30-04-05 22:00,96
30-04-05 21:00,88
30-04-05 20:00,106
30-04-05 19:00,104
30-04-05 18:00,104
30-04-05 17:00,107
30-04-05 16:00,109
30-04-05 15:00,106
30-04-05 14:00,100
30-04-05 13:00,93
30-04-05 12:00,87
30-04-05 11:00,80
30-04-05 10:00,69
30-04-05 09:00,57
30-04-05 08:00,37
30-04-05 07:00,37
30-04-05 06:00,37
30-04-05 05:00,42
30-04-05 04:00,48
30-04-05 03:00,55
30-04-05 02:00,62
30-04-05 01:00,68
30-04-05 00:00,69
29-04-05 23:00,66
29-04-05 22:00,68
29-04-05 21:00,84
29-04-05 20:00,89
29-04-05 19:00,87
29-04-05 18:00,92
29-04-05 17:00,93
29-04-05 16:00,94
29-04-05 15:00,90
29-04-05 14:00,90
29-04-05 13:00,93
29-04-05 12:00,91
29-04-05 11:00,79
29-04-05 10:00,62
29-04-05 09:00,49
29-04-05 08:00,68
29-04-05 07:00,74
29-04-05 06:00,78
29-04-05 05:00,82
29-04-05 04:00,86
29-04-05 03:00,75
29-04-05 02:00,74
29-04-05 01:00,87
29-04-05 00:00,91
28-04-05 23:00,91
28-04-05 22:00,95
28-04-05 21:00,96
28-04-05 20:00,96
28-04-05 19:00,93
28-04-05 18:00,98
28-04-05 17:00,100
28-04-05 16:00,92
28-04-05 15:00,92
28-04-05 14:00,90
28-04-05 13:00,86
28-04-05 12:00,85
28-04-05 11:00,84
28-04-05 10:00,76
28-04-05 09:00,64
28-04-05 08:00,55
28-04-05 07:00,49
28-04-05 06:00,50
28-04-05 05:00,51
28-04-05 04:00,48
28-04-05 03:00,53
28-04-05 02:00,57
28-04-05 01:00,61
28-04-05 00:00,68
27-04-05 23:00,61
27-04-05 22:00,71
27-04-05 21:00,77
27-04-05 20:00,76
27-04-05 19:00,78
27-04-05 18:00,78
27-04-05 17:00,78
27-04-05 16:00,77
27-04-05 15:00,82
27-04-05 14:00,77
27-04-05 13:00,68
27-04-05 12:00,53
27-04-05 11:00,49
27-04-05 10:00,45
27-04-05 09:00,50
27-04-05 08:00,45
27-04-05 07:00,47
27-04-05 06:00,47
27-04-05 05:00,33
27-04-05 04:00,23
27-04-05 03:00,18
27-04-05 02:00,27
27-04-05 01:00,41
27-04-05 00:00,49
26-04-05 23:00,67
26-04-05 22:00,81
26-04-05 21:00,75
26-04-05 20:00,85
26-04-05 19:00,92
26-04-05 18:00,108
26-04-05 17:00,115
26-04-05 16:00,123
26-04-05 15:00,116
26-04-05 14:00,114
26-04-05 13:00,105
26-04-05 12:00,87
26-04-05 11:00,76
26-04-05 10:00,71
26-04-05 09:00,70
26-04-05 08:00,72
26-04-05 07:00,69
26-04-05 06:00,82
26-04-05 05:00,87
26-04-05 04:00,90
26-04-05 03:00,94
26-04-05 02:00,96
26-04-05 01:00,100
26-04-05 00:00,103
25-04-05 23:00,102
25-04-05 22:00,91
25-04-05 21:00,77
25-04-05 20:00,98
25-04-05 19:00,96
25-04-05 18:00,97
25-04-05 17:00,85
25-04-05 16:00,71
25-04-05 15:00,68
25-04-05 14:00,48
25-04-05 13:00,50
25-04-05 12:00,67
25-04-05 11:00,65
25-04-05 10:00,71
25-04-05 09:00,73
25-04-05 08:00,76
25-04-05 07:00,75
25-04-05 06:00,78
25-04-05 05:00,82
25-04-05 04:00,87
25-04-05 03:00,91
25-04-05 02:00,94
25-04-05 01:00,95
25-04-05 00:00,100
24-04-05 23:00,100
24-04-05 22:00,105
24-04-05 21:00,111
24-04-05 20:00,
24-04-05 19:00,117
24-04-05 18:00,114
24-04-05 17:00,114
24-04-05 16:00,116
24-04-05 15:00,118
24-04-05 14:00,102
24-04-05 13:00,96
24-04-05 12:00,101
24-04-05 11:00,91
24-04-05 10:00,83
24-04-05 09:00,77
24-04-05 08:00,75
24-04-05 07:00,74
24-04-05 06:00,73
24-04-05 05:00,70
24-04-05 04:00,76
24-04-05 03:00,81
24-04-05 02:00,84
24-04-05 01:00,88
24-04-05 00:00,92
23-04-05 23:00,94
23-04-05 22:00,95
23-04-05 21:00,103
23-04-05 20:00,112
23-04-05 19:00,119
23-04-05 18:00,122
23-04-05 17:00,123
23-04-05 16:00,121
23-04-05 15:00,119
23-04-05 14:00,117
23-04-05 13:00,108
23-04-05 12:00,88
23-04-05 11:00,85
23-04-05 10:00,68
23-04-05 09:00,57
23-04-05 08:00,83
23-04-05 07:00,90
23-04-05 06:00,92
23-04-05 05:00,94
23-04-05 04:00,98
23-04-05 03:00,100
23-04-05 02:00,98
23-04-05 01:00,108
23-04-05 00:00,112
22-04-05 23:00,111
22-04-05 22:00,111
22-04-05 21:00,105
22-04-05 20:00,106
22-04-05 19:00,105
22-04-05 18:00,104
22-04-05 17:00,104
22-04-05 16:00,102
22-04-05 15:00,101
22-04-05 14:00,101
22-04-05 13:00,101
22-04-05 12:00,95
22-04-05 11:00,88
22-04-05 10:00,87
22-04-05 09:00,72
22-04-05 08:00,58
22-04-05 07:00,52
22-04-05 06:00,61
22-04-05 05:00,58
22-04-05 04:00,70
22-04-05 03:00,83
22-04-05 02:00,92
22-04-05 01:00,95
22-04-05 00:00,97
21-04-05 23:00,99
21-04-05 22:00,100
21-04-05 21:00,102
21-04-05 20:00,103
21-04-05 19:00,101
21-04-05 18:00,106
21-04-05 17:00,105
21-04-05 16:00,103
21-04-05 15:00,102
21-04-05 14:00,96
21-04-05 13:00,91
21-04-05 12:00,88
21-04-05 11:00,86
21-04-05 10:00,74
21-04-05 09:00,58
21-04-05 08:00,56
21-04-05 07:00,60
21-04-05 06:00,63
21-04-05 05:00,67
21-04-05 04:00,72
21-04-05 03:00,74
21-04-05 02:00,76
21-04-05 01:00,77
21-04-05 00:00,78
20-04-05 23:00,81
20-04-05 22:00,89
20-04-05 21:00,92
20-04-05 20:00,93
20-04-05 19:00,98
20-04-05 18:00,102
20-04-05 17:00,105
20-04-05 16:00,110
20-04-05 15:00,103
20-04-05 14:00,102
20-04-05 13:00,101
20-04-05 12:00,94
20-04-05 11:00,84
20-04-05 10:00,77
20-04-05 09:00,74
20-04-05 08:00,74
20-04-05 07:00,76
20-04-05 06:00,77
20-04-05 05:00,72
20-04-05 04:00,72
20-04-05 03:00,74
20-04-05 02:00,73
20-04-05 01:00,77
20-04-05 00:00,82
19-04-05 23:00,86
19-04-05 22:00,90
19-04-05 21:00,93
19-04-05 20:00,93
19-04-05 19:00,95
19-04-05 18:00,101
19-04-05 17:00,103
19-04-05 16:00,107
19-04-05 15:00,107
19-04-05 14:00,101
19-04-05 13:00,92
19-04-05 12:00,87
19-04-05 11:00,78
19-04-05 10:00,67
19-04-05 09:00,53
19-04-05 08:00,54
19-04-05 07:00,60
19-04-05 06:00,63
19-04-05 05:00,67
19-04-05 04:00,83
19-04-05 03:00,83
19-04-05 02:00,87
19-04-05 01:00,93
19-04-05 00:00,94
18-04-05 23:00,95
18-04-05 22:00,98
18-04-05 21:00,105
18-04-05 20:00,110
18-04-05 19:00,103
18-04-05 18:00,107
18-04-05 17:00,116
18-04-05 16:00,117
18-04-05 15:00,117
18-04-05 14:00,106
18-04-05 13:00,91
18-04-05 12:00,80
18-04-05 11:00,65
18-04-05 10:00,64
18-04-05 09:00,59
18-04-05 08:00,57
18-04-05 07:00,63
18-04-05 06:00,65
18-04-05 05:00,68
18-04-05 04:00,72
18-04-05 03:00,73
18-04-05 02:00,75
18-04-05 01:00,79
18-04-05 00:00,88
17-04-05 23:00,101
17-04-05 22:00,114
17-04-05 21:00,123
17-04-05 20:00,127
17-04-05 19:00,127
17-04-05 18:00,121
17-04-05 17:00,127
17-04-05 16:00,128
17-04-05 15:00,130
17-04-05 14:00,110
17-04-05 13:00,94
17-04-05 12:00,85
17-04-05 11:00,73
17-04-05 10:00,63
17-04-05 09:00,59
17-04-05 08:00,59
17-04-05 07:00,61
17-04-05 06:00,65
17-04-05 05:00,70
17-04-05 04:00,78
17-04-05 03:00,82
17-04-05 02:00,87
17-04-05 01:00,89
17-04-05 00:00,93
16-04-05 23:00,98
16-04-05 22:00,100
16-04-05 21:00,104
16-04-05 20:00,109
16-04-05 19:00,113
16-04-05 18:00,114
16-04-05 17:00,120
16-04-05 16:00,125
16-04-05 15:00,124
16-04-05 14:00,124
16-04-05 13:00,126
16-04-05 12:00,116
16-04-05 11:00,103
16-04-05 10:00,92
16-04-05 09:00,87
16-04-05 08:00,97
16-04-05 07:00,98
16-04-05 06:00,81
16-04-05 05:00,100
16-04-05 04:00,97
16-04-05 03:00,90
16-04-05 02:00,101
16-04-05 01:00,108
16-04-05 00:00,102
15-04-05 23:00,108
15-04-05 22:00,115
15-04-05 21:00,124
15-04-05 20:00,122
15-04-05 19:00,120
15-04-05 18:00,128
15-04-05 17:00,133
15-04-05 16:00,133
15-04-05 15:00,133
15-04-05 14:00,132
15-04-05 13:00,124
15-04-05 12:00,112
15-04-05 11:00,93
15-04-05 10:00,63
15-04-05 09:00,47
15-04-05 08:00,55
15-04-05 07:00,59
15-04-05 06:00,60
15-04-05 05:00,65
15-04-05 04:00,70
15-04-05 03:00,64
15-04-05 02:00,74
15-04-05 01:00,85
15-04-05 00:00,91
