Datum Zeit,Goerlitz NO2
,µg/m³
01-09-05 00:00,12
31-08-05 23:00,10
31-08-05 22:00,11
31-08-05 21:00,14
31-08-05 20:00,14
31-08-05 19:00,10
31-08-05 18:00,8
31-08-05 17:00,8
31-08-05 16:00,9
31-08-05 15:00,6
31-08-05 14:00,8
31-08-05 13:00,7
31-08-05 12:00,8
31-08-05 11:00,9
31-08-05 10:00,15
31-08-05 09:00,15
31-08-05 08:00,30
31-08-05 07:00,18
31-08-05 06:00,19
31-08-05 05:00,15
31-08-05 04:00,23
31-08-05 03:00,12
31-08-05 02:00,11
31-08-05 01:00,13
31-08-05 00:00,31
30-08-05 23:00,41
30-08-05 22:00,55
30-08-05 21:00,63
30-08-05 20:00,83
30-08-05 19:00,49
30-08-05 18:00,31
30-08-05 17:00,48
30-08-05 16:00,31
30-08-05 15:00,30
30-08-05 14:00,42
30-08-05 13:00,34
30-08-05 12:00,30
30-08-05 11:00,51
30-08-05 10:00,59
30-08-05 09:00,64
30-08-05 08:00,68
30-08-05 07:00,56
30-08-05 06:00,58
30-08-05 05:00,52
30-08-05 04:00,30
30-08-05 03:00,25
30-08-05 02:00,23
30-08-05 01:00,24
30-08-05 00:00,25
29-08-05 23:00,46
29-08-05 22:00,58
29-08-05 21:00,68
29-08-05 20:00,80
29-08-05 19:00,111
29-08-05 18:00,77
29-08-05 17:00,70
29-08-05 16:00,65
29-08-05 15:00,63
29-08-05 14:00,56
29-08-05 13:00,59
29-08-05 12:00,48
29-08-05 11:00,58
29-08-05 10:00,63
29-08-05 09:00,45
29-08-05 08:00,42
29-08-05 07:00,38
29-08-05 06:00,37
29-08-05 05:00,30
29-08-05 04:00,26
29-08-05 03:00,29
29-08-05 02:00,27
29-08-05 01:00,27
29-08-05 00:00,36
28-08-05 23:00,52
28-08-05 22:00,45
28-08-05 21:00,57
28-08-05 20:00,59
28-08-05 19:00,83
28-08-05 18:00,55
28-08-05 17:00,48
28-08-05 16:00,31
28-08-05 15:00,36
28-08-05 14:00,14
28-08-05 13:00,9
28-08-05 12:00,13
28-08-05 11:00,11
28-08-05 10:00,11
28-08-05 09:00,13
28-08-05 08:00,13
28-08-05 07:00,17
28-08-05 06:00,17
28-08-05 05:00,20
28-08-05 04:00,21
28-08-05 03:00,29
28-08-05 02:00,36
28-08-05 01:00,35
28-08-05 00:00,39
27-08-05 23:00,46
27-08-05 22:00,47
27-08-05 21:00,42
27-08-05 20:00,52
27-08-05 19:00,20
27-08-05 18:00,19
27-08-05 17:00,9
27-08-05 16:00,27
27-08-05 15:00,18
27-08-05 14:00,31
27-08-05 13:00,33
27-08-05 12:00,36
27-08-05 11:00,35
27-08-05 10:00,28
27-08-05 09:00,28
27-08-05 08:00,22
27-08-05 07:00,19
27-08-05 06:00,20
27-08-05 05:00,20
27-08-05 04:00,19
27-08-05 03:00,28
27-08-05 02:00,35
27-08-05 01:00,39
27-08-05 00:00,39
26-08-05 23:00,39
26-08-05 22:00,31
26-08-05 21:00,43
26-08-05 20:00,53
26-08-05 19:00,62
26-08-05 18:00,49
26-08-05 17:00,35
26-08-05 16:00,32
26-08-05 15:00,41
26-08-05 14:00,36
26-08-05 13:00,31
26-08-05 12:00,32
26-08-05 11:00,30
26-08-05 10:00,27
26-08-05 09:00,25
26-08-05 08:00,21
26-08-05 07:00,28
26-08-05 06:00,24
26-08-05 05:00,17
26-08-05 04:00,14
26-08-05 03:00,17
26-08-05 02:00,10
26-08-05 01:00,9
26-08-05 00:00,16
25-08-05 23:00,26
25-08-05 22:00,35
25-08-05 21:00,32
25-08-05 20:00,37
25-08-05 19:00,39
25-08-05 18:00,41
25-08-05 17:00,61
25-08-05 16:00,72
25-08-05 15:00,69
25-08-05 14:00,59
25-08-05 13:00,46
25-08-05 12:00,52
25-08-05 11:00,52
25-08-05 10:00,49
25-08-05 09:00,45
25-08-05 08:00,38
