Datum Zeit,Klingenthal SO2
,µg/m³
01-10-05 00:00,1.2
30-09-05 23:00,1.0
30-09-05 22:00,1.8
30-09-05 21:00,1.1
30-09-05 20:00,1.0
30-09-05 19:00,1.0
30-09-05 18:00,1.0
30-09-05 17:00,1.0
30-09-05 16:00,1.0
30-09-05 15:00,1.0
30-09-05 14:00,1.0
30-09-05 13:00,1.0
30-09-05 12:00,1.0
30-09-05 11:00,1.0
30-09-05 10:00,1.1
30-09-05 09:00,1.1
30-09-05 08:00,1.2
30-09-05 07:00,1.0
30-09-05 06:00,1.0
30-09-05 05:00,1.0
30-09-05 04:00,1.0
30-09-05 03:00,1.0
30-09-05 02:00,1.0
30-09-05 01:00,1.0
30-09-05 00:00,1.0
29-09-05 23:00,1.0
29-09-05 22:00,1.0
29-09-05 21:00,1.0
29-09-05 20:00,1.0
29-09-05 19:00,1.0
29-09-05 18:00,1.0
29-09-05 17:00,1.0
29-09-05 16:00,1.0
29-09-05 15:00,1.0
29-09-05 14:00,1.0
29-09-05 13:00,1.0
29-09-05 12:00,1.0
29-09-05 11:00,1.1
29-09-05 10:00,1.3
29-09-05 09:00,1.0
29-09-05 08:00,1.0
29-09-05 07:00,1.0
29-09-05 06:00,1.0
29-09-05 05:00,1.0
29-09-05 04:00,1.0
29-09-05 03:00,1.0
29-09-05 02:00,1.0
29-09-05 01:00,1.0
29-09-05 00:00,1.0
28-09-05 23:00,1.0
28-09-05 22:00,1.0
28-09-05 21:00,1.0
28-09-05 20:00,1.0
28-09-05 19:00,1.0
28-09-05 18:00,1.0
28-09-05 17:00,1.0
28-09-05 16:00,1.0
28-09-05 15:00,1.0
28-09-05 14:00,1.0
28-09-05 13:00,1.0
28-09-05 12:00,1.0
28-09-05 11:00,1.0
28-09-05 10:00,1.0
28-09-05 09:00,1.0
28-09-05 08:00,1.0
28-09-05 07:00,1.0
28-09-05 06:00,1.0
28-09-05 05:00,1.0
28-09-05 04:00,1.0
28-09-05 03:00,1.0
28-09-05 02:00,1.0
28-09-05 01:00,1.0
28-09-05 00:00,1.0
27-09-05 23:00,1.0
27-09-05 22:00,1.0
27-09-05 21:00,1.0
27-09-05 20:00,1.0
27-09-05 19:00,1.0
27-09-05 18:00,1.0
27-09-05 17:00,1.0
27-09-05 16:00,1.1
27-09-05 15:00,1.0
27-09-05 14:00,1.0
27-09-05 13:00,1.6
27-09-05 12:00,3.5
27-09-05 11:00,2.4
27-09-05 10:00,1.0
27-09-05 09:00,1.0
27-09-05 08:00,1.0
27-09-05 07:00,1.0
27-09-05 06:00,1.0
27-09-05 05:00,1.0
27-09-05 04:00,1.0
27-09-05 03:00,1.0
27-09-05 02:00,1.0
27-09-05 01:00,1.0
27-09-05 00:00,1.0
26-09-05 23:00,1.0
26-09-05 22:00,1.0
26-09-05 21:00,1.1
26-09-05 20:00,1.2
26-09-05 19:00,1.1
26-09-05 18:00,1.2
26-09-05 17:00,1.6
26-09-05 16:00,1.3
26-09-05 15:00,1.6
26-09-05 14:00,1.5
26-09-05 13:00,1.3
26-09-05 12:00,2.7
26-09-05 11:00,7.4
26-09-05 10:00,3.0
26-09-05 09:00,1.0
26-09-05 08:00,1.0
26-09-05 07:00,1.0
26-09-05 06:00,1.0
26-09-05 05:00,1.0
26-09-05 04:00,1.0
26-09-05 03:00,1.0
26-09-05 02:00,1.0
26-09-05 01:00,1.1
26-09-05 00:00,1.9
25-09-05 23:00,1.0
25-09-05 22:00,1.0
25-09-05 21:00,1.0
25-09-05 20:00,1.0
25-09-05 19:00,1.0
25-09-05 18:00,1.0
25-09-05 17:00,1.4
25-09-05 16:00,1.4
25-09-05 15:00,2.0
25-09-05 14:00,2.9
25-09-05 13:00,6.3
25-09-05 12:00,19.5
25-09-05 11:00,8.0
25-09-05 10:00,1.4
25-09-05 09:00,1.0
25-09-05 08:00,1.0
25-09-05 07:00,1.0
25-09-05 06:00,1.0
25-09-05 05:00,1.0
25-09-05 04:00,1.0
25-09-05 03:00,1.0
25-09-05 02:00,1.0
25-09-05 01:00,1.0
25-09-05 00:00,1.0
24-09-05 23:00,1.0
24-09-05 22:00,1.1
24-09-05 21:00,1.4
24-09-05 20:00,1.1
24-09-05 19:00,1.0
24-09-05 18:00,1.0
24-09-05 17:00,1.0
24-09-05 16:00,1.3
24-09-05 15:00,1.3
24-09-05 14:00,1.8
24-09-05 13:00,2.6
24-09-05 12:00,2.4
24-09-05 11:00,2.8
24-09-05 10:00,1.4
24-09-05 09:00,1.0
24-09-05 08:00,1.0
24-09-05 07:00,1.0
24-09-05 06:00,1.0
24-09-05 05:00,1.0
24-09-05 04:00,1.0
24-09-05 03:00,1.0
24-09-05 02:00,1.0
24-09-05 01:00,1.0
24-09-05 00:00,1.0
23-09-05 23:00,1.4
23-09-05 22:00,1.3
23-09-05 21:00,1.8
23-09-05 20:00,1.9
23-09-05 19:00,2.3
23-09-05 18:00,3.1
23-09-05 17:00,4.3
23-09-05 16:00,5.1
23-09-05 15:00,5.3
23-09-05 14:00,11.1
23-09-05 13:00,24.7
23-09-05 12:00,33.4
23-09-05 11:00,15.1
23-09-05 10:00,6.1
23-09-05 09:00,1.5
23-09-05 08:00,1.0
23-09-05 07:00,1.9
23-09-05 06:00,1.5
23-09-05 05:00,1.1
23-09-05 04:00,1.0
23-09-05 03:00,1.0
23-09-05 02:00,1.2
23-09-05 01:00,1.4
23-09-05 00:00,1.3
22-09-05 23:00,1.3
22-09-05 22:00,1.3
22-09-05 21:00,1.5
22-09-05 20:00,1.7
22-09-05 19:00,2.5
22-09-05 18:00,4.6
22-09-05 17:00,6.2
22-09-05 16:00,7.3
22-09-05 15:00,8.0
22-09-05 14:00,13.2
22-09-05 13:00,16.6
22-09-05 12:00,31.5
22-09-05 11:00,22.1
22-09-05 10:00,4.7
22-09-05 09:00,2.3
22-09-05 08:00,3.8
22-09-05 07:00,1.7
22-09-05 06:00,1.4
22-09-05 05:00,1.0
22-09-05 04:00,1.0
22-09-05 03:00,1.0
22-09-05 02:00,1.0
22-09-05 01:00,1.0
22-09-05 00:00,1.0
21-09-05 23:00,1.0
21-09-05 22:00,1.0
21-09-05 21:00,1.0
21-09-05 20:00,2.6
21-09-05 19:00,5.0
21-09-05 18:00,14.0
21-09-05 17:00,16.1
21-09-05 16:00,12.1
21-09-05 15:00,17.0
21-09-05 14:00,23.4
21-09-05 13:00,25.4
21-09-05 12:00,22.5
21-09-05 11:00,13.9
21-09-05 10:00,2.1
21-09-05 09:00,1.6
21-09-05 08:00,1.4
21-09-05 07:00,1.2
21-09-05 06:00,1.0
21-09-05 05:00,1.0
21-09-05 04:00,1.0
21-09-05 03:00,1.0
21-09-05 02:00,1.0
21-09-05 01:00,1.0
21-09-05 00:00,1.0
20-09-05 23:00,1.0
20-09-05 22:00,1.0
20-09-05 21:00,1.0
20-09-05 20:00,1.0
20-09-05 19:00,1.0
20-09-05 18:00,1.5
20-09-05 17:00,1.8
20-09-05 16:00,2.6
20-09-05 15:00,5.3
20-09-05 14:00,9.0
20-09-05 13:00,9.0
20-09-05 12:00,9.2
20-09-05 11:00,13.4
20-09-05 10:00,6.8
20-09-05 09:00,1.8
20-09-05 08:00,1.6
20-09-05 07:00,1.3
20-09-05 06:00,1.0
20-09-05 05:00,1.0
20-09-05 04:00,1.0
20-09-05 03:00,1.0
20-09-05 02:00,1.0
20-09-05 01:00,1.0
20-09-05 00:00,1.0
19-09-05 23:00,1.0
19-09-05 22:00,1.4
19-09-05 21:00,2.1
19-09-05 20:00,3.7
19-09-05 19:00,8.6
19-09-05 18:00,6.2
19-09-05 17:00,7.5
19-09-05 16:00,9.1
19-09-05 15:00,6.4
19-09-05 14:00,4.7
19-09-05 13:00,4.8
19-09-05 12:00,6.4
19-09-05 11:00,17.8
19-09-05 10:00,12.4
19-09-05 09:00,3.4
19-09-05 08:00,1.6
19-09-05 07:00,1.6
19-09-05 06:00,1.3
19-09-05 05:00,1.0
19-09-05 04:00,1.0
19-09-05 03:00,1.0
19-09-05 02:00,1.0
19-09-05 01:00,1.0
19-09-05 00:00,1.0
18-09-05 23:00,1.0
18-09-05 22:00,1.0
18-09-05 21:00,1.0
18-09-05 20:00,1.0
18-09-05 19:00,1.1
18-09-05 18:00,2.2
18-09-05 17:00,1.7
18-09-05 16:00,1.8
18-09-05 15:00,2.5
18-09-05 14:00,4.3
18-09-05 13:00,4.3
18-09-05 12:00,2.2
18-09-05 11:00,1.4
18-09-05 10:00,1.0
18-09-05 09:00,1.0
18-09-05 08:00,1.0
18-09-05 07:00,1.0
18-09-05 06:00,1.0
18-09-05 05:00,1.0
18-09-05 04:00,1.0
18-09-05 03:00,1.0
18-09-05 02:00,1.0
18-09-05 01:00,1.0
18-09-05 00:00,1.0
17-09-05 23:00,1.0
17-09-05 22:00,1.0
17-09-05 21:00,1.0
17-09-05 20:00,1.0
17-09-05 19:00,1.1
17-09-05 18:00,1.0
17-09-05 17:00,1.0
17-09-05 16:00,1.0
17-09-05 15:00,1.0
17-09-05 14:00,1.1
17-09-05 13:00,1.0
17-09-05 12:00,1.0
17-09-05 11:00,2.2
17-09-05 10:00,3.1
17-09-05 09:00,2.5
17-09-05 08:00,2.2
17-09-05 07:00,2.7
17-09-05 06:00,1.0
17-09-05 05:00,1.0
17-09-05 04:00,1.0
17-09-05 03:00,1.0
17-09-05 02:00,3.1
17-09-05 01:00,3.1
17-09-05 00:00,1.3
16-09-05 23:00,3.6
16-09-05 22:00,2.4
16-09-05 21:00,2.5
16-09-05 20:00,3.8
16-09-05 19:00,2.8
16-09-05 18:00,2.4
16-09-05 17:00,2.3
16-09-05 16:00,2.1
16-09-05 15:00,2.1
16-09-05 14:00,1.9
16-09-05 13:00,1.8
16-09-05 12:00,1.7
16-09-05 11:00,1.7
16-09-05 10:00,2.1
16-09-05 09:00,1.7
16-09-05 08:00,2.2
16-09-05 07:00,1.7
16-09-05 06:00,2.5
16-09-05 05:00,1.7
16-09-05 04:00,2.0
16-09-05 03:00,2.2
16-09-05 02:00,2.0
16-09-05 01:00,2.3
16-09-05 00:00,2.6
15-09-05 23:00,1.0
15-09-05 22:00,1.0
15-09-05 21:00,1.0
15-09-05 20:00,1.0
15-09-05 19:00,1.0
15-09-05 18:00,1.0
15-09-05 17:00,1.0
15-09-05 16:00,1.0
15-09-05 15:00,1.0
15-09-05 14:00,1.0
15-09-05 13:00,1.0
15-09-05 12:00,1.0
15-09-05 11:00,1.0
15-09-05 10:00,1.0
15-09-05 09:00,1.0
15-09-05 08:00,1.0
15-09-05 07:00,1.0
15-09-05 06:00,1.0
15-09-05 05:00,1.0
15-09-05 04:00,1.0
15-09-05 03:00,1.0
15-09-05 02:00,1.0
15-09-05 01:00,1.0
15-09-05 00:00,1.0
14-09-05 23:00,1.0
14-09-05 22:00,1.0
14-09-05 21:00,1.0
14-09-05 20:00,1.0
14-09-05 19:00,1.0
14-09-05 18:00,1.0
14-09-05 17:00,1.0
14-09-05 16:00,1.0
14-09-05 15:00,1.0
14-09-05 14:00,1.0
14-09-05 13:00,1.0
14-09-05 12:00,1.0
14-09-05 11:00,1.0
14-09-05 10:00,1.0
14-09-05 09:00,1.0
14-09-05 08:00,1.0
14-09-05 07:00,1.0
14-09-05 06:00,1.0
14-09-05 05:00,1.0
14-09-05 04:00,1.0
14-09-05 03:00,1.0
14-09-05 02:00,1.0
14-09-05 01:00,1.0
14-09-05 00:00,1.0
13-09-05 23:00,1.0
13-09-05 22:00,1.0
13-09-05 21:00,1.0
13-09-05 20:00,1.0
13-09-05 19:00,1.0
13-09-05 18:00,1.0
13-09-05 17:00,1.0
13-09-05 16:00,1.0
13-09-05 15:00,1.0
13-09-05 14:00,1.0
13-09-05 13:00,1.1
13-09-05 12:00,1.1
