Datum Zeit,Leipzig-West O3
,µg/m³
01-10-05 00:00,9
30-09-05 23:00,13
30-09-05 22:00,10
30-09-05 21:00,4
30-09-05 20:00,2
30-09-05 19:00,10
30-09-05 18:00,29
30-09-05 17:00,42
30-09-05 16:00,48
30-09-05 15:00,49
30-09-05 14:00,61
30-09-05 13:00,52
30-09-05 12:00,49
30-09-05 11:00,42
30-09-05 10:00,35
30-09-05 09:00,24
30-09-05 08:00,18
30-09-05 07:00,27
30-09-05 06:00,32
30-09-05 05:00,33
30-09-05 04:00,31
30-09-05 03:00,25
30-09-05 02:00,33
30-09-05 01:00,31
30-09-05 00:00,33
29-09-05 23:00,37
29-09-05 22:00,31
29-09-05 21:00,23
29-09-05 20:00,34
29-09-05 19:00,47
29-09-05 18:00,30
29-09-05 17:00,32
29-09-05 16:00,44
29-09-05 15:00,46
29-09-05 14:00,46
29-09-05 13:00,48
29-09-05 12:00,54
29-09-05 11:00,54
29-09-05 10:00,42
29-09-05 09:00,25
29-09-05 08:00,19
29-09-05 07:00,15
29-09-05 06:00,22
29-09-05 05:00,19
29-09-05 04:00,10
29-09-05 03:00,11
29-09-05 02:00,13
29-09-05 01:00,8
29-09-05 00:00,11
28-09-05 23:00,9
28-09-05 22:00,7
28-09-05 21:00,16
28-09-05 20:00,32
28-09-05 19:00,20
28-09-05 18:00,27
28-09-05 17:00,44
28-09-05 16:00,50
28-09-05 15:00,55
28-09-05 14:00,54
28-09-05 13:00,46
28-09-05 12:00,24
28-09-05 11:00,14
28-09-05 10:00,12
28-09-05 09:00,13
28-09-05 08:00,5
28-09-05 07:00,2
28-09-05 06:00,6
28-09-05 05:00,7
28-09-05 04:00,10
28-09-05 03:00,15
28-09-05 02:00,16
28-09-05 01:00,21
28-09-05 00:00,25
27-09-05 23:00,28
27-09-05 22:00,27
27-09-05 21:00,29
27-09-05 20:00,26
27-09-05 19:00,25
27-09-05 18:00,27
27-09-05 17:00,33
27-09-05 16:00,30
27-09-05 15:00,32
27-09-05 14:00,44
27-09-05 13:00,52
27-09-05 12:00,38
27-09-05 11:00,28
27-09-05 10:00,24
27-09-05 09:00,14
27-09-05 08:00,1
27-09-05 07:00,1
27-09-05 06:00,2
27-09-05 05:00,6
27-09-05 04:00,5
27-09-05 03:00,6
27-09-05 02:00,10
27-09-05 01:00,22
27-09-05 00:00,26
26-09-05 23:00,23
26-09-05 22:00,32
26-09-05 21:00,22
26-09-05 20:00,21
26-09-05 19:00,15
26-09-05 18:00,20
26-09-05 17:00,36
26-09-05 16:00,45
26-09-05 15:00,47
26-09-05 14:00,57
26-09-05 13:00,50
26-09-05 12:00,17
26-09-05 11:00,19
26-09-05 10:00,16
26-09-05 09:00,9
26-09-05 08:00,6
26-09-05 07:00,2
26-09-05 06:00,15
26-09-05 05:00,21
26-09-05 04:00,18
26-09-05 03:00,27
26-09-05 02:00,31
26-09-05 01:00,32
26-09-05 00:00,28
25-09-05 23:00,28
25-09-05 22:00,35
25-09-05 21:00,30
25-09-05 20:00,38
25-09-05 19:00,74
25-09-05 18:00,86
25-09-05 17:00,94
25-09-05 16:00,108
25-09-05 15:00,116
25-09-05 14:00,110
25-09-05 13:00,99
25-09-05 12:00,76
25-09-05 11:00,65
25-09-05 10:00,43
25-09-05 09:00,30
25-09-05 08:00,14
25-09-05 07:00,9
25-09-05 06:00,10
25-09-05 05:00,12
25-09-05 04:00,14
25-09-05 03:00,20
25-09-05 02:00,27
25-09-05 01:00,40
25-09-05 00:00,36
24-09-05 23:00,47
24-09-05 22:00,45
24-09-05 21:00,76
24-09-05 20:00,93
24-09-05 19:00,105
24-09-05 18:00,123
24-09-05 17:00,127
24-09-05 16:00,131
24-09-05 15:00,127
24-09-05 14:00,128
24-09-05 13:00,123
24-09-05 12:00,102
24-09-05 11:00,56
24-09-05 10:00,30
24-09-05 09:00,26
24-09-05 08:00,21
24-09-05 07:00,21
24-09-05 06:00,30
24-09-05 05:00,39
24-09-05 04:00,47
24-09-05 03:00,49
24-09-05 02:00,45
24-09-05 01:00,37
24-09-05 00:00,39
23-09-05 23:00,43
23-09-05 22:00,52
23-09-05 21:00,53
23-09-05 20:00,62
23-09-05 19:00,80
23-09-05 18:00,96
23-09-05 17:00,90
23-09-05 16:00,80
23-09-05 15:00,85
23-09-05 14:00,82
23-09-05 13:00,72
23-09-05 12:00,53
23-09-05 11:00,39
23-09-05 10:00,25
23-09-05 09:00,10
23-09-05 08:00,3
23-09-05 07:00,3
23-09-05 06:00,3
23-09-05 05:00,12
23-09-05 04:00,18
23-09-05 03:00,28
23-09-05 02:00,36
23-09-05 01:00,35
23-09-05 00:00,52
22-09-05 23:00,62
22-09-05 22:00,62
22-09-05 21:00,66
22-09-05 20:00,71
22-09-05 19:00,76
22-09-05 18:00,91
22-09-05 17:00,94
22-09-05 16:00,95
22-09-05 15:00,90
22-09-05 14:00,89
22-09-05 13:00,83
22-09-05 12:00,50
22-09-05 11:00,29
22-09-05 10:00,9
22-09-05 09:00,10
22-09-05 08:00,3
22-09-05 07:00,2
22-09-05 06:00,5
22-09-05 05:00,9
