Datum Zeit,Chemnitz-Leipziger Str. NO
,µg/m³
01-11-05 00:00,11
31-10-05 23:00,35
31-10-05 22:00,58
31-10-05 21:00,55
31-10-05 20:00,53
31-10-05 19:00,58
31-10-05 18:00,58
31-10-05 17:00,57
31-10-05 16:00,56
31-10-05 15:00,48
31-10-05 14:00,39
31-10-05 13:00,33
31-10-05 12:00,33
31-10-05 11:00,41
31-10-05 10:00,26
31-10-05 09:00,23
31-10-05 08:00,32
31-10-05 07:00,23
31-10-05 06:00,20
31-10-05 05:00,19
31-10-05 04:00,21
31-10-05 03:00,15
31-10-05 02:00,8
31-10-05 01:00,13
31-10-05 00:00,18
30-10-05 23:00,37
30-10-05 22:00,45
30-10-05 21:00,57
30-10-05 20:00,74
30-10-05 19:00,68
30-10-05 18:00,70
30-10-05 17:00,67
30-10-05 16:00,70
30-10-05 15:00,49
30-10-05 14:00,41
30-10-05 13:00,27
30-10-05 12:00,31
30-10-05 11:00,29
30-10-05 10:00,37
30-10-05 09:00,49
30-10-05 08:00,34
30-10-05 07:00,17
30-10-05 06:00,19
30-10-05 05:00,21
30-10-05 04:00,24
30-10-05 03:00,10
30-10-05 02:00,7
30-10-05 01:00,13
30-10-05 00:00,15
29-10-05 23:00,28
29-10-05 22:00,40
29-10-05 21:00,30
29-10-05 20:00,42
29-10-05 19:00,48
29-10-05 18:00,78
29-10-05 17:00,95
29-10-05 16:00,89
29-10-05 15:00,93
29-10-05 14:00,84
29-10-05 13:00,80
29-10-05 12:00,75
29-10-05 11:00,78
29-10-05 10:00,92
29-10-05 09:00,81
29-10-05 08:00,110
29-10-05 07:00,38
29-10-05 06:00,56
29-10-05 05:00,63
29-10-05 04:00,17
29-10-05 03:00,18
29-10-05 02:00,28
29-10-05 01:00,56
29-10-05 00:00,19
28-10-05 23:00,32
28-10-05 22:00,37
28-10-05 21:00,45
28-10-05 20:00,97
28-10-05 19:00,129
28-10-05 18:00,102
28-10-05 17:00,132
28-10-05 16:00,96
28-10-05 15:00,95
28-10-05 14:00,113
28-10-05 13:00,129
28-10-05 12:00,92
28-10-05 11:00,118
28-10-05 10:00,223
28-10-05 09:00,294
28-10-05 08:00,232
28-10-05 07:00,241
28-10-05 06:00,248
28-10-05 05:00,151
28-10-05 04:00,119
28-10-05 03:00,51
28-10-05 02:00,28
28-10-05 01:00,37
28-10-05 00:00,49
27-10-05 23:00,45
27-10-05 22:00,49
27-10-05 21:00,47
27-10-05 20:00,78
27-10-05 19:00,153
27-10-05 18:00,201
27-10-05 17:00,111
27-10-05 16:00,86
27-10-05 15:00,84
27-10-05 14:00,136
27-10-05 13:00,138
27-10-05 12:00,180
27-10-05 11:00,274
27-10-05 10:00,316
27-10-05 09:00,379
27-10-05 08:00,349
27-10-05 07:00,315
27-10-05 06:00,207
27-10-05 05:00,98
27-10-05 04:00,54
27-10-05 03:00,28
27-10-05 02:00,16
27-10-05 01:00,22
27-10-05 00:00,21
26-10-05 23:00,34
26-10-05 22:00,50
26-10-05 21:00,71
26-10-05 20:00,98
26-10-05 19:00,72
26-10-05 18:00,154
26-10-05 17:00,80
26-10-05 16:00,83
26-10-05 15:00,56
26-10-05 14:00,50
26-10-05 13:00,49
26-10-05 12:00,41
26-10-05 11:00,59
26-10-05 10:00,71
26-10-05 09:00,110
26-10-05 08:00,97
26-10-05 07:00,89
26-10-05 06:00,68
26-10-05 05:00,42
26-10-05 04:00,32
26-10-05 03:00,7
26-10-05 02:00,1
26-10-05 01:00,2
26-10-05 00:00,3
25-10-05 23:00,7
25-10-05 22:00,15
25-10-05 21:00,8
25-10-05 20:00,15
25-10-05 19:00,26
25-10-05 18:00,45
25-10-05 17:00,64
25-10-05 16:00,91
25-10-05 15:00,108
25-10-05 14:00,62
25-10-05 13:00,52
25-10-05 12:00,51
25-10-05 11:00,78
25-10-05 10:00,74
25-10-05 09:00,91
25-10-05 08:00,108
25-10-05 07:00,96
25-10-05 06:00,55
25-10-05 05:00,27
25-10-05 04:00,19
25-10-05 03:00,3
25-10-05 02:00,3
25-10-05 01:00,4
25-10-05 00:00,4
24-10-05 23:00,13
24-10-05 22:00,10
24-10-05 21:00,23
24-10-05 20:00,45
24-10-05 19:00,40
24-10-05 18:00,79
24-10-05 17:00,127
24-10-05 16:00,125
24-10-05 15:00,102
24-10-05 14:00,103
24-10-05 13:00,102
24-10-05 12:00,93
24-10-05 11:00,137
24-10-05 10:00,162
24-10-05 09:00,173
24-10-05 08:00,251
24-10-05 07:00,218
24-10-05 06:00,192
24-10-05 05:00,121
24-10-05 04:00,52
24-10-05 03:00,23
24-10-05 02:00,5
24-10-05 01:00,2
24-10-05 00:00,4
23-10-05 23:00,19
23-10-05 22:00,58
23-10-05 21:00,27
23-10-05 20:00,25
23-10-05 19:00,43
23-10-05 18:00,63
23-10-05 17:00,59
23-10-05 16:00,37
23-10-05 15:00,44
23-10-05 14:00,53
23-10-05 13:00,31
23-10-05 12:00,11
23-10-05 11:00,13
23-10-05 10:00,16
23-10-05 09:00,13
23-10-05 08:00,5
23-10-05 07:00,5
23-10-05 06:00,4
23-10-05 05:00,5
23-10-05 04:00,2
23-10-05 03:00,3
23-10-05 02:00,3
23-10-05 01:00,14
23-10-05 00:00,7
22-10-05 23:00,13
22-10-05 22:00,16
22-10-05 21:00,14
22-10-05 20:00,20
22-10-05 19:00,28
22-10-05 18:00,36
22-10-05 17:00,37
22-10-05 16:00,26
22-10-05 15:00,36
22-10-05 14:00,28
22-10-05 13:00,37
22-10-05 12:00,30
22-10-05 11:00,41
22-10-05 10:00,44
22-10-05 09:00,50
22-10-05 08:00,29
22-10-05 07:00,23
22-10-05 06:00,26
22-10-05 05:00,23
22-10-05 04:00,7
22-10-05 03:00,7
22-10-05 02:00,14
22-10-05 01:00,12
22-10-05 00:00,22
21-10-05 23:00,37
21-10-05 22:00,44
21-10-05 21:00,50
21-10-05 20:00,73
21-10-05 19:00,126
21-10-05 18:00,123
21-10-05 17:00,134
21-10-05 16:00,184
21-10-05 15:00,198
21-10-05 14:00,232
21-10-05 13:00,282
21-10-05 12:00,253
21-10-05 11:00,236
21-10-05 10:00,196
21-10-05 09:00,227
21-10-05 08:00,203
21-10-05 07:00,226
21-10-05 06:00,234
21-10-05 05:00,279
21-10-05 04:00,99
21-10-05 03:00,36
21-10-05 02:00,30
21-10-05 01:00,20
21-10-05 00:00,34
20-10-05 23:00,60
20-10-05 22:00,45
20-10-05 21:00,53
20-10-05 20:00,59
20-10-05 19:00,140
20-10-05 18:00,235
20-10-05 17:00,197
20-10-05 16:00,148
20-10-05 15:00,156
20-10-05 14:00,121
20-10-05 13:00,128
20-10-05 12:00,138
20-10-05 11:00,207
20-10-05 10:00,216
20-10-05 09:00,253
20-10-05 08:00,275
20-10-05 07:00,217
20-10-05 06:00,238
20-10-05 05:00,148
20-10-05 04:00,45
20-10-05 03:00,9
20-10-05 02:00,10
20-10-05 01:00,19
20-10-05 00:00,34
19-10-05 23:00,61
19-10-05 22:00,57
19-10-05 21:00,42
19-10-05 20:00,76
19-10-05 19:00,100
19-10-05 18:00,122
19-10-05 17:00,148
19-10-05 16:00,166
19-10-05 15:00,140
19-10-05 14:00,130
19-10-05 13:00,91
19-10-05 12:00,96
19-10-05 11:00,109
19-10-05 10:00,110
19-10-05 09:00,105
19-10-05 08:00,132
19-10-05 07:00,95
19-10-05 06:00,72
19-10-05 05:00,48
19-10-05 04:00,20
19-10-05 03:00,6
19-10-05 02:00,3
19-10-05 01:00,7
19-10-05 00:00,6
18-10-05 23:00,1
18-10-05 22:00,1
18-10-05 21:00,3
18-10-05 20:00,3
18-10-05 19:00,7
18-10-05 18:00,12
18-10-05 17:00,13
18-10-05 16:00,9
18-10-05 15:00,19
18-10-05 14:00,18
18-10-05 13:00,10
18-10-05 12:00,
18-10-05 11:00,
18-10-05 10:00,
18-10-05 09:00,
18-10-05 08:00,
18-10-05 07:00,
18-10-05 06:00,49
18-10-05 05:00,25
18-10-05 04:00,18
18-10-05 03:00,4
18-10-05 02:00,2
18-10-05 01:00,5
18-10-05 00:00,2
17-10-05 23:00,1
17-10-05 22:00,5
17-10-05 21:00,3
17-10-05 20:00,4
17-10-05 19:00,12
17-10-05 18:00,33
17-10-05 17:00,22
17-10-05 16:00,25
17-10-05 15:00,30
17-10-05 14:00,16
17-10-05 13:00,31
17-10-05 12:00,15
17-10-05 11:00,33
17-10-05 10:00,56
17-10-05 09:00,93
17-10-05 08:00,87
17-10-05 07:00,121
17-10-05 06:00,45
17-10-05 05:00,23
17-10-05 04:00,18
17-10-05 03:00,2
17-10-05 02:00,1
17-10-05 01:00,1
17-10-05 00:00,1
16-10-05 23:00,9
16-10-05 22:00,20
16-10-05 21:00,2
16-10-05 20:00,1
16-10-05 19:00,3
16-10-05 18:00,2
16-10-05 17:00,2
16-10-05 16:00,3
16-10-05 15:00,4
16-10-05 14:00,3
16-10-05 13:00,2
16-10-05 12:00,4
16-10-05 11:00,7
16-10-05 10:00,44
16-10-05 09:00,28
16-10-05 08:00,27
16-10-05 07:00,11
16-10-05 06:00,11
16-10-05 05:00,5
16-10-05 04:00,2
16-10-05 03:00,3
16-10-05 02:00,12
16-10-05 01:00,7
16-10-05 00:00,23
15-10-05 23:00,26
15-10-05 22:00,20
15-10-05 21:00,16
15-10-05 20:00,45
15-10-05 19:00,40
15-10-05 18:00,52
15-10-05 17:00,9
15-10-05 16:00,7
15-10-05 15:00,8
15-10-05 14:00,13
15-10-05 13:00,25
15-10-05 12:00,35
15-10-05 11:00,105
15-10-05 10:00,172
15-10-05 09:00,180
15-10-05 08:00,147
15-10-05 07:00,130
15-10-05 06:00,109
15-10-05 05:00,85
15-10-05 04:00,66
15-10-05 03:00,49
15-10-05 02:00,67
15-10-05 01:00,82
15-10-05 00:00,74
14-10-05 23:00,97
14-10-05 22:00,131
14-10-05 21:00,87
14-10-05 20:00,100
14-10-05 19:00,173
14-10-05 18:00,133
14-10-05 17:00,32
14-10-05 16:00,18
14-10-05 15:00,26
14-10-05 14:00,49
14-10-05 13:00,66
14-10-05 12:00,118
14-10-05 11:00,180
14-10-05 10:00,257
14-10-05 09:00,299
14-10-05 08:00,302
14-10-05 07:00,365
14-10-05 06:00,218
14-10-05 05:00,104
14-10-05 04:00,85
14-10-05 03:00,50
14-10-05 02:00,20
14-10-05 01:00,33
14-10-05 00:00,68
13-10-05 23:00,122
13-10-05 22:00,117
13-10-05 21:00,138
13-10-05 20:00,163
13-10-05 19:00,110
13-10-05 18:00,150
13-10-05 17:00,53
13-10-05 16:00,80
13-10-05 15:00,139
13-10-05 14:00,149
13-10-05 13:00,123
13-10-05 12:00,71
13-10-05 11:00,102
13-10-05 10:00,193
13-10-05 09:00,218
13-10-05 08:00,295
13-10-05 07:00,373
13-10-05 06:00,279
13-10-05 05:00,143
13-10-05 04:00,48
13-10-05 03:00,7
13-10-05 02:00,4
13-10-05 01:00,4
13-10-05 00:00,13
12-10-05 23:00,18
12-10-05 22:00,22
12-10-05 21:00,37
12-10-05 20:00,44
12-10-05 19:00,86
12-10-05 18:00,90
12-10-05 17:00,102
12-10-05 16:00,69
12-10-05 15:00,88
12-10-05 14:00,100
12-10-05 13:00,89
12-10-05 12:00,76
12-10-05 11:00,86
12-10-05 10:00,100
12-10-05 09:00,136
12-10-05 08:00,206
12-10-05 07:00,406
12-10-05 06:00,255
12-10-05 05:00,121
12-10-05 04:00,19
12-10-05 03:00,4
12-10-05 02:00,8
12-10-05 01:00,13
12-10-05 00:00,2
11-10-05 23:00,22
11-10-05 22:00,20
11-10-05 21:00,34
11-10-05 20:00,63
11-10-05 19:00,70
11-10-05 18:00,136
11-10-05 17:00,98
11-10-05 16:00,79
11-10-05 15:00,88
11-10-05 14:00,83
11-10-05 13:00,77
11-10-05 12:00,75
11-10-05 11:00,71
11-10-05 10:00,93
11-10-05 09:00,218
11-10-05 08:00,376
11-10-05 07:00,369
11-10-05 06:00,259
11-10-05 05:00,113
11-10-05 04:00,22
11-10-05 03:00,2
11-10-05 02:00,1
11-10-05 01:00,4
11-10-05 00:00,5
10-10-05 23:00,7
10-10-05 22:00,12
10-10-05 21:00,62
10-10-05 20:00,130
10-10-05 19:00,189
10-10-05 18:00,134
10-10-05 17:00,115
10-10-05 16:00,86
10-10-05 15:00,103
10-10-05 14:00,132
10-10-05 13:00,156
10-10-05 12:00,126
10-10-05 11:00,167
10-10-05 10:00,256
10-10-05 09:00,335
10-10-05 08:00,376
10-10-05 07:00,481
10-10-05 06:00,294
10-10-05 05:00,214
10-10-05 04:00,114
10-10-05 03:00,22
10-10-05 02:00,19
10-10-05 01:00,30
10-10-05 00:00,50
09-10-05 23:00,108
09-10-05 22:00,120
09-10-05 21:00,95
09-10-05 20:00,111
09-10-05 19:00,131
09-10-05 18:00,70
09-10-05 17:00,83
09-10-05 16:00,53
09-10-05 15:00,41
09-10-05 14:00,26
09-10-05 13:00,26
09-10-05 12:00,48
09-10-05 11:00,43
09-10-05 10:00,46
09-10-05 09:00,34
09-10-05 08:00,16
09-10-05 07:00,12
09-10-05 06:00,5
09-10-05 05:00,6
09-10-05 04:00,5
09-10-05 03:00,8
09-10-05 02:00,9
09-10-05 01:00,14
09-10-05 00:00,21
08-10-05 23:00,18
08-10-05 22:00,21
08-10-05 21:00,16
08-10-05 20:00,45
08-10-05 19:00,70
08-10-05 18:00,80
08-10-05 17:00,49
08-10-05 16:00,47
08-10-05 15:00,40
08-10-05 14:00,39
08-10-05 13:00,30
08-10-05 12:00,43
08-10-05 11:00,40
08-10-05 10:00,52
08-10-05 09:00,37
08-10-05 08:00,39
08-10-05 07:00,39
08-10-05 06:00,31
08-10-05 05:00,24
08-10-05 04:00,12
08-10-05 03:00,6
08-10-05 02:00,7
08-10-05 01:00,5
08-10-05 00:00,12
07-10-05 23:00,16
07-10-05 22:00,14
07-10-05 21:00,19
07-10-05 20:00,30
07-10-05 19:00,34
07-10-05 18:00,36
07-10-05 17:00,46
