Datum Zeit,Klingenthal BEN
,µg/m³
01-12-05 00:00,3.3
30-11-05 23:00,4.2
30-11-05 22:00,3.7
30-11-05 21:00,2.9
30-11-05 20:00,2.6
30-11-05 19:00,3.2
30-11-05 18:00,2.5
30-11-05 17:00,2.7
30-11-05 16:00,2.0
30-11-05 15:00,1.6
30-11-05 14:00,3.6
30-11-05 13:00,1.8
30-11-05 12:00,3.0
30-11-05 11:00,6.0
30-11-05 10:00,7.3
30-11-05 09:00,4.6
30-11-05 08:00,3.0
30-11-05 07:00,2.6
30-11-05 06:00,1.6
30-11-05 05:00,1.5
30-11-05 04:00,1.3
30-11-05 03:00,1.8
30-11-05 02:00,1.5
30-11-05 01:00,1.0
30-11-05 00:00,1.0
29-11-05 23:00,1.2
29-11-05 22:00,1.3
29-11-05 21:00,1.7
29-11-05 20:00,1.8
29-11-05 19:00,2.6
29-11-05 18:00,2.0
29-11-05 17:00,2.0
29-11-05 16:00,1.4
29-11-05 15:00,1.3
29-11-05 14:00,1.2
29-11-05 13:00,1.2
29-11-05 12:00,1.5
29-11-05 11:00,2.1
29-11-05 10:00,2.0
29-11-05 09:00,1.5
29-11-05 08:00,1.8
29-11-05 07:00,1.4
29-11-05 06:00,1.3
29-11-05 05:00,0.9
29-11-05 04:00,1.1
29-11-05 03:00,1.0
29-11-05 02:00,1.4
29-11-05 01:00,2.4
29-11-05 00:00,2.2
28-11-05 23:00,1.8
28-11-05 22:00,2.9
28-11-05 21:00,2.3
28-11-05 20:00,2.5
28-11-05 19:00,2.4
28-11-05 18:00,2.6
28-11-05 17:00,1.9
28-11-05 16:00,2.0
28-11-05 15:00,1.5
28-11-05 14:00,1.5
28-11-05 13:00,
28-11-05 12:00,
28-11-05 11:00,
28-11-05 10:00,
28-11-05 09:00,
28-11-05 08:00,1.4
28-11-05 07:00,1.2
28-11-05 06:00,1.5
28-11-05 05:00,1.6
28-11-05 04:00,1.9
28-11-05 03:00,2.8
28-11-05 02:00,3.9
28-11-05 01:00,4.6
28-11-05 00:00,5.1
27-11-05 23:00,7.8
27-11-05 22:00,9.5
27-11-05 21:00,7.5
27-11-05 20:00,7.1
27-11-05 19:00,5.3
27-11-05 18:00,3.8
27-11-05 17:00,3.0
27-11-05 16:00,2.0
27-11-05 15:00,1.9
27-11-05 14:00,2.2
27-11-05 13:00,5.3
27-11-05 12:00,6.5
27-11-05 11:00,5.8
27-11-05 10:00,3.9
27-11-05 09:00,2.9
27-11-05 08:00,2.8
27-11-05 07:00,3.0
27-11-05 06:00,3.3
27-11-05 05:00,2.9
27-11-05 04:00,3.3
27-11-05 03:00,3.3
27-11-05 02:00,4.2
27-11-05 01:00,5.7
27-11-05 00:00,5.6
26-11-05 23:00,7.1
26-11-05 22:00,11.9
26-11-05 21:00,10.6
26-11-05 20:00,8.4
26-11-05 19:00,5.4
26-11-05 18:00,4.7
26-11-05 17:00,2.4
26-11-05 16:00,1.5
26-11-05 15:00,1.4
26-11-05 14:00,1.6
26-11-05 13:00,1.4
26-11-05 12:00,1.2
26-11-05 11:00,2.0
26-11-05 10:00,2.1
26-11-05 09:00,1.4
26-11-05 08:00,1.1
26-11-05 07:00,0.8
26-11-05 06:00,0.8
26-11-05 05:00,0.7
26-11-05 04:00,0.8
26-11-05 03:00,0.8
26-11-05 02:00,0.9
26-11-05 01:00,1.0
26-11-05 00:00,1.0
25-11-05 23:00,0.8
25-11-05 22:00,0.8
25-11-05 21:00,1.0
25-11-05 20:00,1.2
25-11-05 19:00,0.9
25-11-05 18:00,0.9
25-11-05 17:00,0.9
25-11-05 16:00,0.5
25-11-05 15:00,0.7
25-11-05 14:00,1.5
25-11-05 13:00,1.7
25-11-05 12:00,0.8
25-11-05 11:00,0.8
25-11-05 10:00,1.4
25-11-05 09:00,1.5
25-11-05 08:00,0.8
25-11-05 07:00,1.6
25-11-05 06:00,1.4
25-11-05 05:00,1.4
25-11-05 04:00,1.4
25-11-05 03:00,1.4
25-11-05 02:00,1.4
25-11-05 01:00,1.0
25-11-05 00:00,1.2
24-11-05 23:00,0.4
24-11-05 22:00,1.3
24-11-05 21:00,1.0
24-11-05 20:00,1.2
24-11-05 19:00,1.5
24-11-05 18:00,1.5
24-11-05 17:00,
24-11-05 16:00,
24-11-05 15:00,
24-11-05 14:00,
24-11-05 13:00,
24-11-05 12:00,
24-11-05 11:00,
24-11-05 10:00,1.6
24-11-05 09:00,2.3
24-11-05 08:00,1.8
24-11-05 07:00,1.5
24-11-05 06:00,1.6
24-11-05 05:00,1.5
24-11-05 04:00,1.6
24-11-05 03:00,1.7
24-11-05 02:00,1.8
24-11-05 01:00,1.7
24-11-05 00:00,1.9
23-11-05 23:00,1.9
23-11-05 22:00,2.0
23-11-05 21:00,2.2
23-11-05 20:00,2.3
23-11-05 19:00,2.2
23-11-05 18:00,2.5
23-11-05 17:00,2.3
23-11-05 16:00,2.3
23-11-05 15:00,2.1
23-11-05 14:00,1.8
23-11-05 13:00,2.0
23-11-05 12:00,2.1
23-11-05 11:00,2.2
23-11-05 10:00,2.5
23-11-05 09:00,1.8
23-11-05 08:00,2.1
23-11-05 07:00,1.7
23-11-05 06:00,1.1
23-11-05 05:00,1.0
23-11-05 04:00,1.1
23-11-05 03:00,0.9
23-11-05 02:00,1.1
23-11-05 01:00,0.9
23-11-05 00:00,0.9
22-11-05 23:00,1.2
22-11-05 22:00,1.0
22-11-05 21:00,1.5
22-11-05 20:00,
22-11-05 19:00,
22-11-05 18:00,
22-11-05 17:00,
22-11-05 16:00,
22-11-05 15:00,
22-11-05 14:00,
22-11-05 13:00,
22-11-05 12:00,
22-11-05 11:00,
22-11-05 10:00,
22-11-05 09:00,
22-11-05 08:00,
22-11-05 07:00,
22-11-05 06:00,
