Datum Zeit,Klingenthal NO2
,µg/m³
01-06-06 00:00,7
31-05-06 23:00,8
31-05-06 22:00,10
31-05-06 21:00,17
31-05-06 20:00,15
31-05-06 19:00,17
31-05-06 18:00,18
31-05-06 17:00,17
31-05-06 16:00,15
31-05-06 15:00,17
31-05-06 14:00,17
31-05-06 13:00,18
31-05-06 12:00,15
31-05-06 11:00,15
31-05-06 10:00,12
31-05-06 09:00,10
31-05-06 08:00,12
31-05-06 07:00,14
31-05-06 06:00,13
31-05-06 05:00,8
31-05-06 04:00,5
31-05-06 03:00,6
31-05-06 02:00,5
31-05-06 01:00,5
31-05-06 00:00,7
30-05-06 23:00,9
30-05-06 22:00,11
30-05-06 21:00,11
30-05-06 20:00,12
30-05-06 19:00,8
30-05-06 18:00,9
30-05-06 17:00,13
30-05-06 16:00,13
30-05-06 15:00,12
30-05-06 14:00,13
30-05-06 13:00,12
30-05-06 12:00,12
30-05-06 11:00,17
30-05-06 10:00,16
30-05-06 09:00,19
30-05-06 08:00,17
30-05-06 07:00,18
30-05-06 06:00,18
30-05-06 05:00,14
30-05-06 04:00,8
30-05-06 03:00,7
30-05-06 02:00,9
30-05-06 01:00,6
30-05-06 00:00,5
29-05-06 23:00,6
29-05-06 22:00,8
29-05-06 21:00,10
29-05-06 20:00,8
29-05-06 19:00,7
29-05-06 18:00,7
29-05-06 17:00,6
29-05-06 16:00,7
29-05-06 15:00,8
29-05-06 14:00,
29-05-06 13:00,
29-05-06 12:00,9
29-05-06 11:00,8
29-05-06 10:00,7
29-05-06 09:00,10
29-05-06 08:00,9
29-05-06 07:00,9
29-05-06 06:00,11
29-05-06 05:00,9
29-05-06 04:00,9
29-05-06 03:00,7
29-05-06 02:00,6
29-05-06 01:00,5
29-05-06 00:00,5
28-05-06 23:00,5
28-05-06 22:00,13
28-05-06 21:00,18
28-05-06 20:00,9
28-05-06 19:00,9
28-05-06 18:00,8
28-05-06 17:00,7
28-05-06 16:00,7
28-05-06 15:00,6
28-05-06 14:00,8
28-05-06 13:00,6
28-05-06 12:00,6
28-05-06 11:00,6
28-05-06 10:00,7
28-05-06 09:00,6
28-05-06 08:00,6
28-05-06 07:00,7
28-05-06 06:00,6
28-05-06 05:00,6
28-05-06 04:00,5
28-05-06 03:00,6
28-05-06 02:00,6
28-05-06 01:00,6
28-05-06 00:00,6
27-05-06 23:00,5
27-05-06 22:00,7
27-05-06 21:00,12
27-05-06 20:00,11
27-05-06 19:00,10
27-05-06 18:00,6
27-05-06 17:00,8
27-05-06 16:00,7
27-05-06 15:00,8
27-05-06 14:00,8
27-05-06 13:00,8
27-05-06 12:00,10
27-05-06 11:00,10
27-05-06 10:00,10
27-05-06 09:00,8
27-05-06 08:00,8
27-05-06 07:00,7
27-05-06 06:00,8
27-05-06 05:00,7
27-05-06 04:00,8
27-05-06 03:00,8
27-05-06 02:00,10
27-05-06 01:00,12
27-05-06 00:00,11
26-05-06 23:00,14
26-05-06 22:00,15
26-05-06 21:00,15
26-05-06 20:00,11
26-05-06 19:00,13
26-05-06 18:00,11
26-05-06 17:00,8
26-05-06 16:00,10
26-05-06 15:00,10
26-05-06 14:00,9
26-05-06 13:00,10
26-05-06 12:00,9
26-05-06 11:00,10
26-05-06 10:00,15
26-05-06 09:00,13
26-05-06 08:00,13
26-05-06 07:00,13
26-05-06 06:00,15
26-05-06 05:00,8
26-05-06 04:00,6
26-05-06 03:00,7
26-05-06 02:00,5
26-05-06 01:00,5
26-05-06 00:00,5
25-05-06 23:00,5
25-05-06 22:00,5
25-05-06 21:00,6
25-05-06 20:00,5
25-05-06 19:00,6
25-05-06 18:00,5
25-05-06 17:00,6
25-05-06 16:00,6
25-05-06 15:00,6
25-05-06 14:00,5
25-05-06 13:00,5
25-05-06 12:00,8
25-05-06 11:00,6
25-05-06 10:00,9
25-05-06 09:00,8
25-05-06 08:00,7
25-05-06 07:00,11
25-05-06 06:00,13
25-05-06 05:00,7
25-05-06 04:00,7
25-05-06 03:00,6
25-05-06 02:00,8
25-05-06 01:00,10
25-05-06 00:00,12
24-05-06 23:00,12
24-05-06 22:00,10
24-05-06 21:00,15
24-05-06 20:00,15
24-05-06 19:00,10
24-05-06 18:00,8
24-05-06 17:00,9
24-05-06 16:00,7
24-05-06 15:00,9
24-05-06 14:00,8
24-05-06 13:00,8
24-05-06 12:00,7
24-05-06 11:00,9
24-05-06 10:00,10
24-05-06 09:00,12
24-05-06 08:00,13
24-05-06 07:00,22
24-05-06 06:00,24
24-05-06 05:00,16
24-05-06 04:00,9
24-05-06 03:00,7
24-05-06 02:00,6
24-05-06 01:00,8
24-05-06 00:00,9
23-05-06 23:00,9
23-05-06 22:00,10
23-05-06 21:00,15
23-05-06 20:00,12
23-05-06 19:00,6
23-05-06 18:00,6
23-05-06 17:00,6
23-05-06 16:00,7
23-05-06 15:00,6
23-05-06 14:00,6
23-05-06 13:00,5
23-05-06 12:00,6
23-05-06 11:00,6
23-05-06 10:00,7
23-05-06 09:00,5
23-05-06 08:00,6
23-05-06 07:00,4
23-05-06 06:00,5
23-05-06 05:00,6
23-05-06 04:00,3
23-05-06 03:00,3
23-05-06 02:00,3
23-05-06 01:00,4
23-05-06 00:00,3
22-05-06 23:00,4
22-05-06 22:00,9
