Datum Zeit,Klingenthal O3
,µg/m³
01-02-07 00:00,35
31-01-07 23:00,37
31-01-07 22:00,37
31-01-07 21:00,36
31-01-07 20:00,38
31-01-07 19:00,36
31-01-07 18:00,37
31-01-07 17:00,42
31-01-07 16:00,44
31-01-07 15:00,45
31-01-07 14:00,42
31-01-07 13:00,40
31-01-07 12:00,40
31-01-07 11:00,35
31-01-07 10:00,30
31-01-07 09:00,43
31-01-07 08:00,51
31-01-07 07:00,50
31-01-07 06:00,50
31-01-07 05:00,35
31-01-07 04:00,39
31-01-07 03:00,39
31-01-07 02:00,40
31-01-07 01:00,38
31-01-07 00:00,35
30-01-07 23:00,35
30-01-07 22:00,38
30-01-07 21:00,36
30-01-07 20:00,45
30-01-07 19:00,44
30-01-07 18:00,45
30-01-07 17:00,47
30-01-07 16:00,52
30-01-07 15:00,57
30-01-07 14:00,59
30-01-07 13:00,54
30-01-07 12:00,39
30-01-07 11:00,37
30-01-07 10:00,42
30-01-07 09:00,38
30-01-07 08:00,39
30-01-07 07:00,45
30-01-07 06:00,48
30-01-07 05:00,56
30-01-07 04:00,57
30-01-07 03:00,55
30-01-07 02:00,56
30-01-07 01:00,56
30-01-07 00:00,51
29-01-07 23:00,51
29-01-07 22:00,53
29-01-07 21:00,55
29-01-07 20:00,57
29-01-07 19:00,55
29-01-07 18:00,59
29-01-07 17:00,57
29-01-07 16:00,57
29-01-07 15:00,60
29-01-07 14:00,63
29-01-07 13:00,64
29-01-07 12:00,58
29-01-07 11:00,58
29-01-07 10:00,60
29-01-07 09:00,60
29-01-07 08:00,54
29-01-07 07:00,49
29-01-07 06:00,50
29-01-07 05:00,45
29-01-07 04:00,46
29-01-07 03:00,47
29-01-07 02:00,49
29-01-07 01:00,49
29-01-07 00:00,47
28-01-07 23:00,49
28-01-07 22:00,50
28-01-07 21:00,48
28-01-07 20:00,49
28-01-07 19:00,47
28-01-07 18:00,43
28-01-07 17:00,43
28-01-07 16:00,43
28-01-07 15:00,44
28-01-07 14:00,43
28-01-07 13:00,42
28-01-07 12:00,43
28-01-07 11:00,46
28-01-07 10:00,48
28-01-07 09:00,49
28-01-07 08:00,54
28-01-07 07:00,55
28-01-07 06:00,58
28-01-07 05:00,60
28-01-07 04:00,61
28-01-07 03:00,63
28-01-07 02:00,63
28-01-07 01:00,62
28-01-07 00:00,66
27-01-07 23:00,68
27-01-07 22:00,67
27-01-07 21:00,64
27-01-07 20:00,65
27-01-07 19:00,63
27-01-07 18:00,62
27-01-07 17:00,67
27-01-07 16:00,68
27-01-07 15:00,67
27-01-07 14:00,68
27-01-07 13:00,65
27-01-07 12:00,64
