Datum Zeit,Chemnitz-Leipziger Str. NO2
,µg/m³
01-06-07 00:00,24
31-05-07 23:00,46
31-05-07 22:00,58
31-05-07 21:00,49
31-05-07 20:00,48
31-05-07 19:00,39
31-05-07 18:00,29
31-05-07 17:00,33
31-05-07 16:00,57
31-05-07 15:00,46
31-05-07 14:00,61
31-05-07 13:00,60
31-05-07 12:00,71
31-05-07 11:00,56
31-05-07 10:00,98
31-05-07 09:00,95
31-05-07 08:00,103
31-05-07 07:00,121
31-05-07 06:00,76
31-05-07 05:00,47
31-05-07 04:00,36
31-05-07 03:00,31
31-05-07 02:00,25
31-05-07 01:00,31
31-05-07 00:00,41
30-05-07 23:00,49
30-05-07 22:00,65
30-05-07 21:00,57
30-05-07 20:00,47
30-05-07 19:00,61
30-05-07 18:00,68
30-05-07 17:00,85
30-05-07 16:00,89
30-05-07 15:00,85
30-05-07 14:00,76
30-05-07 13:00,71
30-05-07 12:00,66
30-05-07 11:00,64
30-05-07 10:00,61
30-05-07 09:00,62
30-05-07 08:00,57
30-05-07 07:00,65
30-05-07 06:00,61
30-05-07 05:00,43
30-05-07 04:00,21
30-05-07 03:00,15
30-05-07 02:00,9
30-05-07 01:00,9
30-05-07 00:00,12
29-05-07 23:00,16
29-05-07 22:00,17
29-05-07 21:00,24
29-05-07 20:00,32
29-05-07 19:00,38
29-05-07 18:00,46
29-05-07 17:00,48
29-05-07 16:00,73
29-05-07 15:00,67
29-05-07 14:00,64
29-05-07 13:00,65
29-05-07 12:00,89
29-05-07 11:00,69
29-05-07 10:00,35
29-05-07 09:00,34
29-05-07 08:00,60
29-05-07 07:00,46
29-05-07 06:00,44
29-05-07 05:00,32
29-05-07 04:00,27
29-05-07 03:00,23
29-05-07 02:00,14
29-05-07 01:00,13
29-05-07 00:00,13
28-05-07 23:00,19
28-05-07 22:00,20
28-05-07 21:00,23
28-05-07 20:00,25
28-05-07 19:00,25
28-05-07 18:00,27
28-05-07 17:00,26
28-05-07 16:00,20
28-05-07 15:00,22
28-05-07 14:00,17
28-05-07 13:00,20
28-05-07 12:00,18
28-05-07 11:00,17
28-05-07 10:00,17
28-05-07 09:00,12
28-05-07 08:00,9
28-05-07 07:00,17
28-05-07 06:00,21
28-05-07 05:00,22
28-05-07 04:00,29
28-05-07 03:00,26
28-05-07 02:00,27
28-05-07 01:00,39
28-05-07 00:00,39
27-05-07 23:00,45
27-05-07 22:00,49
27-05-07 21:00,49
27-05-07 20:00,31
27-05-07 19:00,37
27-05-07 18:00,18
27-05-07 17:00,34
27-05-07 16:00,34
27-05-07 15:00,34
27-05-07 14:00,37
27-05-07 13:00,30
27-05-07 12:00,35
27-05-07 11:00,32
27-05-07 10:00,31
27-05-07 09:00,24
27-05-07 08:00,12
27-05-07 07:00,15
27-05-07 06:00,14
27-05-07 05:00,17
27-05-07 04:00,16
27-05-07 03:00,17
27-05-07 02:00,15
27-05-07 01:00,38
27-05-07 00:00,49
26-05-07 23:00,54
26-05-07 22:00,44
26-05-07 21:00,55
26-05-07 20:00,67
26-05-07 19:00,74
26-05-07 18:00,73
26-05-07 17:00,73
26-05-07 16:00,76
26-05-07 15:00,61
26-05-07 14:00,59
26-05-07 13:00,70
26-05-07 12:00,77
26-05-07 11:00,62
26-05-07 10:00,69
26-05-07 09:00,55
26-05-07 08:00,47
26-05-07 07:00,38
26-05-07 06:00,51
26-05-07 05:00,47
26-05-07 04:00,32
26-05-07 03:00,36
26-05-07 02:00,33
26-05-07 01:00,42
26-05-07 00:00,29
25-05-07 23:00,46
25-05-07 22:00,44
25-05-07 21:00,61
25-05-07 20:00,69
25-05-07 19:00,67
25-05-07 18:00,90
25-05-07 17:00,94
25-05-07 16:00,112
25-05-07 15:00,121
25-05-07 14:00,114
25-05-07 13:00,119
25-05-07 12:00,110
25-05-07 11:00,114
25-05-07 10:00,112
25-05-07 09:00,113
25-05-07 08:00,124
25-05-07 07:00,142
25-05-07 06:00,122
25-05-07 05:00,90
25-05-07 04:00,52
25-05-07 03:00,45
25-05-07 02:00,51
25-05-07 01:00,35
25-05-07 00:00,53
24-05-07 23:00,58
24-05-07 22:00,71
24-05-07 21:00,77
24-05-07 20:00,68
24-05-07 19:00,58
24-05-07 18:00,59
24-05-07 17:00,48
24-05-07 16:00,66
24-05-07 15:00,47
24-05-07 14:00,33
24-05-07 13:00,37
24-05-07 12:00,54
24-05-07 11:00,78
24-05-07 10:00,77
24-05-07 09:00,90
24-05-07 08:00,96
24-05-07 07:00,108
24-05-07 06:00,76
24-05-07 05:00,43
24-05-07 04:00,23
24-05-07 03:00,12
24-05-07 02:00,15
24-05-07 01:00,40
24-05-07 00:00,34
23-05-07 23:00,47
23-05-07 22:00,31
23-05-07 21:00,36
23-05-07 20:00,31
23-05-07 19:00,15
23-05-07 18:00,23
23-05-07 17:00,24
23-05-07 16:00,21
23-05-07 15:00,23
23-05-07 14:00,26
23-05-07 13:00,33
23-05-07 12:00,59
23-05-07 11:00,61
23-05-07 10:00,56
23-05-07 09:00,72
23-05-07 08:00,75
23-05-07 07:00,98
23-05-07 06:00,68
23-05-07 05:00,50
23-05-07 04:00,34
23-05-07 03:00,26
23-05-07 02:00,26
