Datum Zeit,Borna SO2
,µg/m³
01-11-07 00:00,1.6
31-10-07 23:00,1.0
31-10-07 22:00,1.0
31-10-07 21:00,1.0
31-10-07 20:00,1.0
31-10-07 19:00,1.0
31-10-07 18:00,1.0
31-10-07 17:00,1.0
31-10-07 16:00,1.0
31-10-07 15:00,1.4
31-10-07 14:00,2.0
31-10-07 13:00,3.5
31-10-07 12:00,4.1
31-10-07 11:00,3.2
31-10-07 10:00,1.3
31-10-07 09:00,1.0
31-10-07 08:00,1.0
31-10-07 07:00,1.0
31-10-07 06:00,1.0
31-10-07 05:00,1.0
31-10-07 04:00,1.0
31-10-07 03:00,1.0
31-10-07 02:00,1.0
31-10-07 01:00,1.0
31-10-07 00:00,1.0
30-10-07 23:00,1.1
30-10-07 22:00,1.9
30-10-07 21:00,1.1
30-10-07 20:00,1.0
30-10-07 19:00,1.1
30-10-07 18:00,1.0
30-10-07 17:00,1.0
30-10-07 16:00,1.2
30-10-07 15:00,1.1
30-10-07 14:00,1.5
30-10-07 13:00,2.0
30-10-07 12:00,2.9
30-10-07 11:00,2.9
30-10-07 10:00,3.7
30-10-07 09:00,2.2
30-10-07 08:00,1.8
30-10-07 07:00,1.8
30-10-07 06:00,2.0
30-10-07 05:00,1.4
30-10-07 04:00,1.5
30-10-07 03:00,1.2
30-10-07 02:00,1.2
30-10-07 01:00,1.5
30-10-07 00:00,1.7
29-10-07 23:00,1.1
29-10-07 22:00,1.5
29-10-07 21:00,1.9
29-10-07 20:00,2.5
29-10-07 19:00,2.0
29-10-07 18:00,2.5
29-10-07 17:00,1.8
29-10-07 16:00,1.3
29-10-07 15:00,1.5
29-10-07 14:00,1.6
29-10-07 13:00,1.6
29-10-07 12:00,1.7
29-10-07 11:00,2.5
29-10-07 10:00,2.0
29-10-07 09:00,2.1
29-10-07 08:00,1.6
29-10-07 07:00,1.0
29-10-07 06:00,1.0
29-10-07 05:00,1.0
29-10-07 04:00,1.0
29-10-07 03:00,1.0
29-10-07 02:00,1.0
29-10-07 01:00,1.2
29-10-07 00:00,1.0
28-10-07 23:00,1.0
28-10-07 22:00,1.2
28-10-07 21:00,1.1
28-10-07 20:00,1.5
28-10-07 19:00,1.0
28-10-07 18:00,2.1
28-10-07 17:00,3.0
28-10-07 16:00,1.0
28-10-07 15:00,1.7
28-10-07 14:00,3.0
28-10-07 13:00,3.5
28-10-07 12:00,3.6
28-10-07 11:00,3.0
28-10-07 10:00,1.6
28-10-07 09:00,1.1
28-10-07 08:00,1.0
28-10-07 07:00,1.0
28-10-07 06:00,1.0
28-10-07 05:00,1.0
28-10-07 04:00,1.0
28-10-07 03:00,1.0
28-10-07 02:00,1.0
28-10-07 01:00,1.0
28-10-07 00:00,1.0
27-10-07 23:00,1.2
27-10-07 22:00,1.2
27-10-07 21:00,1.1
27-10-07 20:00,1.2
27-10-07 19:00,1.2
27-10-07 18:00,1.5
27-10-07 17:00,2.0
27-10-07 16:00,2.9
27-10-07 15:00,3.4
27-10-07 14:00,2.6
27-10-07 13:00,1.5
27-10-07 12:00,1.0
27-10-07 11:00,1.3
27-10-07 10:00,1.7
27-10-07 09:00,1.2
27-10-07 08:00,1.0
27-10-07 07:00,1.0
27-10-07 06:00,1.1
27-10-07 05:00,1.0
27-10-07 04:00,1.0
27-10-07 03:00,1.3
27-10-07 02:00,1.0
27-10-07 01:00,1.0
27-10-07 00:00,1.2
26-10-07 23:00,1.7
26-10-07 22:00,2.0
26-10-07 21:00,2.1
26-10-07 20:00,2.2
26-10-07 19:00,1.9
26-10-07 18:00,2.2
26-10-07 17:00,2.1
26-10-07 16:00,2.6
26-10-07 15:00,2.9
26-10-07 14:00,3.3
26-10-07 13:00,3.6
26-10-07 12:00,3.6
26-10-07 11:00,2.9
26-10-07 10:00,2.7
26-10-07 09:00,2.4
26-10-07 08:00,2.1
26-10-07 07:00,1.6
26-10-07 06:00,1.6
26-10-07 05:00,1.0
26-10-07 04:00,1.1
26-10-07 03:00,1.0
26-10-07 02:00,1.0
26-10-07 01:00,1.0
26-10-07 00:00,1.0
25-10-07 23:00,1.1
25-10-07 22:00,1.0
25-10-07 21:00,2.0
25-10-07 20:00,1.9
25-10-07 19:00,1.4
25-10-07 18:00,1.3
25-10-07 17:00,1.7
25-10-07 16:00,2.1
25-10-07 15:00,2.2
25-10-07 14:00,3.0
25-10-07 13:00,4.1
25-10-07 12:00,2.7
25-10-07 11:00,1.8
25-10-07 10:00,1.4
25-10-07 09:00,1.2
25-10-07 08:00,1.2
25-10-07 07:00,1.3
25-10-07 06:00,1.2
25-10-07 05:00,1.0
25-10-07 04:00,1.0
25-10-07 03:00,1.0
25-10-07 02:00,1.0
25-10-07 01:00,1.1
25-10-07 00:00,1.0
24-10-07 23:00,1.0
24-10-07 22:00,1.0
24-10-07 21:00,1.2
24-10-07 20:00,1.1
24-10-07 19:00,1.4
24-10-07 18:00,1.8
24-10-07 17:00,1.7
24-10-07 16:00,1.6
24-10-07 15:00,1.4
24-10-07 14:00,1.6
24-10-07 13:00,1.3
24-10-07 12:00,1.1
24-10-07 11:00,1.1
24-10-07 10:00,1.3
24-10-07 09:00,1.3
24-10-07 08:00,1.6
24-10-07 07:00,1.2
24-10-07 06:00,1.1
24-10-07 05:00,1.0
24-10-07 04:00,1.0
24-10-07 03:00,1.0
24-10-07 02:00,1.0
24-10-07 01:00,1.0
24-10-07 00:00,1.0
23-10-07 23:00,1.1
