Datum Zeit,Niesky O3
,µg/m³
01-11-07 00:00,32
31-10-07 23:00,47
31-10-07 22:00,55
31-10-07 21:00,38
31-10-07 20:00,36
31-10-07 19:00,37
31-10-07 18:00,38
31-10-07 17:00,57
31-10-07 16:00,66
31-10-07 15:00,71
31-10-07 14:00,66
31-10-07 13:00,57
31-10-07 12:00,40
31-10-07 11:00,35
31-10-07 10:00,31
31-10-07 09:00,26
31-10-07 08:00,29
31-10-07 07:00,29
31-10-07 06:00,34
31-10-07 05:00,33
31-10-07 04:00,33
31-10-07 03:00,28
31-10-07 02:00,30
31-10-07 01:00,26
31-10-07 00:00,29
30-10-07 23:00,33
30-10-07 22:00,36
30-10-07 21:00,24
30-10-07 20:00,13
30-10-07 19:00,9
30-10-07 18:00,14
30-10-07 17:00,23
30-10-07 16:00,30
30-10-07 15:00,35
30-10-07 14:00,39
30-10-07 13:00,45
30-10-07 12:00,42
30-10-07 11:00,22
30-10-07 10:00,24
30-10-07 09:00,27
30-10-07 08:00,31
30-10-07 07:00,29
30-10-07 06:00,31
30-10-07 05:00,35
30-10-07 04:00,40
30-10-07 03:00,44
30-10-07 02:00,45
30-10-07 01:00,41
30-10-07 00:00,44
29-10-07 23:00,42
29-10-07 22:00,40
29-10-07 21:00,40
29-10-07 20:00,37
29-10-07 19:00,34
29-10-07 18:00,36
29-10-07 17:00,37
29-10-07 16:00,42
29-10-07 15:00,46
29-10-07 14:00,47
29-10-07 13:00,48
29-10-07 12:00,44
29-10-07 11:00,38
29-10-07 10:00,17
29-10-07 09:00,11
29-10-07 08:00,7
29-10-07 07:00,3
29-10-07 06:00,2
29-10-07 05:00,5
29-10-07 04:00,4
29-10-07 03:00,9
29-10-07 02:00,14
29-10-07 01:00,9
29-10-07 00:00,6
28-10-07 23:00,6
28-10-07 22:00,5
28-10-07 21:00,4
28-10-07 20:00,3
28-10-07 19:00,3
28-10-07 18:00,8
28-10-07 17:00,13
28-10-07 16:00,17
28-10-07 15:00,19
28-10-07 14:00,21
28-10-07 13:00,23
28-10-07 12:00,23
28-10-07 11:00,20
28-10-07 10:00,21
28-10-07 09:00,22
28-10-07 08:00,16
28-10-07 07:00,2
28-10-07 06:00,1
28-10-07 05:00,1
28-10-07 04:00,1
28-10-07 03:00,1
28-10-07 02:00,1
28-10-07 01:00,1
28-10-07 00:00,1
27-10-07 23:00,1
27-10-07 22:00,1
27-10-07 21:00,2
27-10-07 20:00,5
27-10-07 19:00,7
27-10-07 18:00,11
27-10-07 17:00,18
27-10-07 16:00,25
27-10-07 15:00,29
27-10-07 14:00,27
27-10-07 13:00,26
27-10-07 12:00,25
27-10-07 11:00,29
27-10-07 10:00,23
27-10-07 09:00,14
27-10-07 08:00,17
27-10-07 07:00,23
27-10-07 06:00,25
27-10-07 05:00,27
27-10-07 04:00,29
27-10-07 03:00,27
27-10-07 02:00,29
27-10-07 01:00,35
27-10-07 00:00,37
26-10-07 23:00,29
26-10-07 22:00,11
26-10-07 21:00,3
26-10-07 20:00,3
26-10-07 19:00,2
26-10-07 18:00,6
26-10-07 17:00,7
26-10-07 16:00,8
26-10-07 15:00,12
26-10-07 14:00,11
26-10-07 13:00,8
26-10-07 12:00,7
26-10-07 11:00,6
26-10-07 10:00,5
26-10-07 09:00,7
26-10-07 08:00,4
26-10-07 07:00,1
26-10-07 06:00,3
26-10-07 05:00,4
26-10-07 04:00,6
26-10-07 03:00,8
26-10-07 02:00,10
26-10-07 01:00,12
26-10-07 00:00,14
25-10-07 23:00,15
25-10-07 22:00,14
25-10-07 21:00,10
25-10-07 20:00,10
25-10-07 19:00,11
25-10-07 18:00,16
25-10-07 17:00,18
25-10-07 16:00,22
25-10-07 15:00,23
25-10-07 14:00,20
25-10-07 13:00,22
25-10-07 12:00,23
25-10-07 11:00,24
25-10-07 10:00,26
25-10-07 09:00,23
25-10-07 08:00,22
25-10-07 07:00,21
25-10-07 06:00,17
25-10-07 05:00,17
25-10-07 04:00,18
25-10-07 03:00,17
25-10-07 02:00,18
25-10-07 01:00,20
25-10-07 00:00,21
24-10-07 23:00,17
24-10-07 22:00,16
24-10-07 21:00,13
24-10-07 20:00,12
24-10-07 19:00,12
24-10-07 18:00,10
24-10-07 17:00,12
24-10-07 16:00,12
24-10-07 15:00,12
24-10-07 14:00,13
24-10-07 13:00,14
24-10-07 12:00,14
24-10-07 11:00,15
24-10-07 10:00,16
24-10-07 09:00,18
24-10-07 08:00,17
24-10-07 07:00,16
24-10-07 06:00,17
24-10-07 05:00,20
24-10-07 04:00,21
24-10-07 03:00,24
24-10-07 02:00,27
24-10-07 01:00,30
24-10-07 00:00,33
23-10-07 23:00,33
23-10-07 22:00,31
23-10-07 21:00,30
23-10-07 20:00,28
23-10-07 19:00,27
23-10-07 18:00,24
23-10-07 17:00,26
23-10-07 16:00,27
23-10-07 15:00,28
23-10-07 14:00,30
23-10-07 13:00,30
23-10-07 12:00,31
23-10-07 11:00,32
23-10-07 10:00,32
23-10-07 09:00,26
23-10-07 08:00,25
23-10-07 07:00,24
