Datum Zeit,Freiberg O3
,µg/m³
01-02-08 00:00,42
31-01-08 23:00,37
31-01-08 22:00,35
31-01-08 21:00,39
31-01-08 20:00,41
31-01-08 19:00,34
31-01-08 18:00,31
31-01-08 17:00,29
31-01-08 16:00,33
31-01-08 15:00,38
31-01-08 14:00,41
31-01-08 13:00,38
31-01-08 12:00,36
31-01-08 11:00,30
31-01-08 10:00,34
31-01-08 09:00,24
31-01-08 08:00,22
31-01-08 07:00,33
31-01-08 06:00,42
31-01-08 05:00,41
31-01-08 04:00,41
31-01-08 03:00,42
31-01-08 02:00,37
31-01-08 01:00,35
31-01-08 00:00,31
30-01-08 23:00,7
30-01-08 22:00,8
30-01-08 21:00,10
30-01-08 20:00,14
30-01-08 19:00,13
30-01-08 18:00,11
30-01-08 17:00,17
30-01-08 16:00,22
30-01-08 15:00,25
30-01-08 14:00,21
30-01-08 13:00,17
30-01-08 12:00,17
30-01-08 11:00,19
30-01-08 10:00,20
30-01-08 09:00,12
30-01-08 08:00,7
30-01-08 07:00,19
30-01-08 06:00,32
30-01-08 05:00,46
30-01-08 04:00,46
30-01-08 03:00,46
30-01-08 02:00,40
30-01-08 01:00,45
30-01-08 00:00,38
29-01-08 23:00,32
29-01-08 22:00,30
29-01-08 21:00,19
29-01-08 20:00,11
29-01-08 19:00,8
29-01-08 18:00,15
29-01-08 17:00,20
29-01-08 16:00,25
29-01-08 15:00,33
29-01-08 14:00,34
29-01-08 13:00,30
29-01-08 12:00,20
29-01-08 11:00,14
29-01-08 10:00,8
29-01-08 09:00,8
29-01-08 08:00,11
29-01-08 07:00,13
29-01-08 06:00,14
29-01-08 05:00,27
29-01-08 04:00,31
29-01-08 03:00,35
29-01-08 02:00,37
29-01-08 01:00,41
29-01-08 00:00,41
28-01-08 23:00,38
28-01-08 22:00,35
28-01-08 21:00,34
28-01-08 20:00,30
28-01-08 19:00,30
28-01-08 18:00,11
28-01-08 17:00,12
28-01-08 16:00,32
28-01-08 15:00,43
28-01-08 14:00,46
28-01-08 13:00,41
28-01-08 12:00,41
28-01-08 11:00,29
28-01-08 10:00,14
28-01-08 09:00,8
28-01-08 08:00,19
28-01-08 07:00,51
28-01-08 06:00,55
28-01-08 05:00,58
28-01-08 04:00,62
28-01-08 03:00,63
28-01-08 02:00,64
28-01-08 01:00,65
28-01-08 00:00,68
27-01-08 23:00,73
27-01-08 22:00,71
27-01-08 21:00,56
27-01-08 20:00,57
27-01-08 19:00,58
27-01-08 18:00,59
27-01-08 17:00,60
27-01-08 16:00,59
27-01-08 15:00,57
27-01-08 14:00,55
27-01-08 13:00,51
27-01-08 12:00,50
27-01-08 11:00,49
27-01-08 10:00,48
27-01-08 09:00,48
27-01-08 08:00,46
27-01-08 07:00,41
27-01-08 06:00,38
27-01-08 05:00,39
27-01-08 04:00,40
27-01-08 03:00,43
27-01-08 02:00,41
27-01-08 01:00,45
27-01-08 00:00,46
26-01-08 23:00,46
26-01-08 22:00,44
26-01-08 21:00,42
26-01-08 20:00,44
26-01-08 19:00,46
26-01-08 18:00,49
26-01-08 17:00,53
26-01-08 16:00,55
26-01-08 15:00,56
26-01-08 14:00,53
26-01-08 13:00,52
26-01-08 12:00,50
26-01-08 11:00,46
26-01-08 10:00,44
26-01-08 09:00,40
26-01-08 08:00,41
26-01-08 07:00,42
26-01-08 06:00,45
26-01-08 05:00,48
26-01-08 04:00,48
26-01-08 03:00,47
26-01-08 02:00,49
26-01-08 01:00,49
26-01-08 00:00,47
25-01-08 23:00,45
25-01-08 22:00,46
25-01-08 21:00,45
25-01-08 20:00,46
25-01-08 19:00,44
25-01-08 18:00,41
25-01-08 17:00,37
25-01-08 16:00,43
25-01-08 15:00,44
25-01-08 14:00,45
25-01-08 13:00,45
25-01-08 12:00,44
25-01-08 11:00,41
25-01-08 10:00,34
25-01-08 09:00,22
25-01-08 08:00,43
25-01-08 07:00,45
25-01-08 06:00,52
25-01-08 05:00,59
25-01-08 04:00,65
25-01-08 03:00,65
25-01-08 02:00,72
25-01-08 01:00,73
25-01-08 00:00,43
24-01-08 23:00,44
24-01-08 22:00,47
24-01-08 21:00,49
24-01-08 20:00,47
24-01-08 19:00,42
24-01-08 18:00,30
24-01-08 17:00,24
24-01-08 16:00,35
24-01-08 15:00,38
24-01-08 14:00,38
24-01-08 13:00,41
24-01-08 12:00,43
24-01-08 11:00,39
24-01-08 10:00,35
24-01-08 09:00,29
24-01-08 08:00,27
24-01-08 07:00,33
