Datum Zeit,Dresden-Winckelmannstr. SO2
,µg/m³
01-09-08 00:00,4.7
31-08-08 23:00,3.8
31-08-08 22:00,5.2
31-08-08 21:00,4.5
31-08-08 20:00,4.4
31-08-08 19:00,3.2
31-08-08 18:00,3.6
31-08-08 17:00,2.8
31-08-08 16:00,3.1
31-08-08 15:00,5.0
31-08-08 14:00,4.4
31-08-08 13:00,5.0
31-08-08 12:00,4.6
31-08-08 11:00,5.1
31-08-08 10:00,5.7
31-08-08 09:00,5.1
31-08-08 08:00,4.9
31-08-08 07:00,4.5
31-08-08 06:00,4.6
31-08-08 05:00,4.5
31-08-08 04:00,4.0
31-08-08 03:00,3.7
31-08-08 02:00,4.1
31-08-08 01:00,4.7
31-08-08 00:00,1.8
30-08-08 23:00,4.5
30-08-08 22:00,3.1
30-08-08 21:00,2.9
30-08-08 20:00,2.5
30-08-08 19:00,2.5
30-08-08 18:00,1.2
30-08-08 17:00,1.4
30-08-08 16:00,1.0
30-08-08 15:00,1.0
30-08-08 14:00,1.0
30-08-08 13:00,1.0
30-08-08 12:00,1.0
30-08-08 11:00,1.0
30-08-08 10:00,1.0
30-08-08 09:00,1.0
30-08-08 08:00,1.0
30-08-08 07:00,1.5
30-08-08 06:00,1.2
30-08-08 05:00,1.0
30-08-08 04:00,1.0
30-08-08 03:00,1.0
30-08-08 02:00,1.0
30-08-08 01:00,1.0
30-08-08 00:00,1.0
29-08-08 23:00,1.0
29-08-08 22:00,1.1
29-08-08 21:00,1.0
29-08-08 20:00,1.0
29-08-08 19:00,1.0
29-08-08 18:00,1.0
29-08-08 17:00,1.0
29-08-08 16:00,1.1
29-08-08 15:00,1.2
29-08-08 14:00,1.8
29-08-08 13:00,1.9
29-08-08 12:00,1.7
29-08-08 11:00,2.5
29-08-08 10:00,2.4
29-08-08 09:00,1.5
29-08-08 08:00,1.8
29-08-08 07:00,2.4
29-08-08 06:00,1.7
29-08-08 05:00,2.2
29-08-08 04:00,3.1
29-08-08 03:00,2.7
29-08-08 02:00,2.4
29-08-08 01:00,2.1
29-08-08 00:00,1.0
28-08-08 23:00,1.0
28-08-08 22:00,1.5
28-08-08 21:00,3.5
28-08-08 20:00,3.1
28-08-08 19:00,1.5
28-08-08 18:00,1.0
28-08-08 17:00,1.0
28-08-08 16:00,1.0
28-08-08 15:00,1.0
28-08-08 14:00,1.0
28-08-08 13:00,1.0
28-08-08 12:00,1.0
28-08-08 11:00,1.2
28-08-08 10:00,2.1
28-08-08 09:00,1.3
28-08-08 08:00,1.0
28-08-08 07:00,1.0
28-08-08 06:00,1.0
28-08-08 05:00,1.0
28-08-08 04:00,1.0
28-08-08 03:00,1.0
28-08-08 02:00,1.0
28-08-08 01:00,1.0
28-08-08 00:00,3.7
27-08-08 23:00,2.6
27-08-08 22:00,1.4
27-08-08 21:00,1.9
27-08-08 20:00,1.8
27-08-08 19:00,1.2
27-08-08 18:00,1.2
27-08-08 17:00,1.0
27-08-08 16:00,1.0
27-08-08 15:00,1.0
27-08-08 14:00,1.0
27-08-08 13:00,1.0
27-08-08 12:00,1.0
27-08-08 11:00,1.0
27-08-08 10:00,2.6
27-08-08 09:00,3.4
27-08-08 08:00,2.1
27-08-08 07:00,2.0
27-08-08 06:00,1.6
27-08-08 05:00,2.1
27-08-08 04:00,3.9
27-08-08 03:00,2.5
27-08-08 02:00,2.4
27-08-08 01:00,4.2
27-08-08 00:00,5.1
26-08-08 23:00,3.0
26-08-08 22:00,2.8
26-08-08 21:00,2.2
26-08-08 20:00,2.6
26-08-08 19:00,2.6
26-08-08 18:00,2.8
26-08-08 17:00,2.1
26-08-08 16:00,1.8
26-08-08 15:00,2.3
26-08-08 14:00,4.1
26-08-08 13:00,6.8
26-08-08 12:00,10.5
26-08-08 11:00,9.0
26-08-08 10:00,
26-08-08 09:00,
26-08-08 08:00,
26-08-08 07:00,
26-08-08 06:00,
26-08-08 05:00,
26-08-08 04:00,
26-08-08 03:00,
26-08-08 02:00,
26-08-08 01:00,
26-08-08 00:00,
25-08-08 23:00,
25-08-08 22:00,
25-08-08 21:00,
25-08-08 20:00,
25-08-08 19:00,
25-08-08 18:00,
25-08-08 17:00,
25-08-08 16:00,
25-08-08 15:00,
25-08-08 14:00,
25-08-08 13:00,
25-08-08 12:00,
25-08-08 11:00,1.9
25-08-08 10:00,2.1
25-08-08 09:00,1.2
25-08-08 08:00,1.0
25-08-08 07:00,1.2
25-08-08 06:00,1.0
25-08-08 05:00,1.0
25-08-08 04:00,1.0
25-08-08 03:00,1.0
25-08-08 02:00,1.0
25-08-08 01:00,4.3
25-08-08 00:00,11.3
24-08-08 23:00,7.7
24-08-08 22:00,8.3
24-08-08 21:00,3.1
24-08-08 20:00,2.3
24-08-08 19:00,2.4
24-08-08 18:00,4.6
24-08-08 17:00,4.3
24-08-08 16:00,3.3
24-08-08 15:00,2.2
24-08-08 14:00,1.8
24-08-08 13:00,2.1
24-08-08 12:00,1.6
24-08-08 11:00,1.0
24-08-08 10:00,1.0
24-08-08 09:00,1.9
24-08-08 08:00,1.2
24-08-08 07:00,1.7
24-08-08 06:00,1.7
24-08-08 05:00,2.0
24-08-08 04:00,3.4
24-08-08 03:00,8.5
24-08-08 02:00,6.9
24-08-08 01:00,8.5
24-08-08 00:00,4.2
23-08-08 23:00,4.2
23-08-08 22:00,3.3
23-08-08 21:00,5.9
23-08-08 20:00,3.0
23-08-08 19:00,1.6
23-08-08 18:00,1.4
23-08-08 17:00,1.0
23-08-08 16:00,1.0
23-08-08 15:00,1.0
23-08-08 14:00,1.0
23-08-08 13:00,1.5
23-08-08 12:00,1.9
23-08-08 11:00,3.0
23-08-08 10:00,1.6
23-08-08 09:00,2.1
23-08-08 08:00,1.8
23-08-08 07:00,1.8
23-08-08 06:00,1.6
23-08-08 05:00,2.4
23-08-08 04:00,1.9
23-08-08 03:00,3.2
23-08-08 02:00,2.5
23-08-08 01:00,2.6
23-08-08 00:00,1.5
22-08-08 23:00,1.4
22-08-08 22:00,1.4
22-08-08 21:00,3.3
22-08-08 20:00,3.1
22-08-08 19:00,3.1
22-08-08 18:00,5.3
22-08-08 17:00,7.6
22-08-08 16:00,12.2
22-08-08 15:00,17.0
22-08-08 14:00,9.4
22-08-08 13:00,1.5
22-08-08 12:00,1.2
22-08-08 11:00,1.5
22-08-08 10:00,1.9
22-08-08 09:00,2.6
22-08-08 08:00,1.2
22-08-08 07:00,1.2
22-08-08 06:00,1.0
22-08-08 05:00,1.2
22-08-08 04:00,1.2
22-08-08 03:00,1.1
22-08-08 02:00,1.4
22-08-08 01:00,1.2
22-08-08 00:00,1.0
21-08-08 23:00,1.0
21-08-08 22:00,1.0
21-08-08 21:00,3.5
21-08-08 20:00,4.6
21-08-08 19:00,1.0
21-08-08 18:00,1.0
21-08-08 17:00,1.0
21-08-08 16:00,1.0
21-08-08 15:00,1.0
21-08-08 14:00,1.0
21-08-08 13:00,1.0
21-08-08 12:00,1.0
21-08-08 11:00,1.0
21-08-08 10:00,1.0
21-08-08 09:00,1.0
21-08-08 08:00,2.3
21-08-08 07:00,2.4
21-08-08 06:00,1.4
21-08-08 05:00,1.6
21-08-08 04:00,1.7
21-08-08 03:00,2.0
21-08-08 02:00,2.7
21-08-08 01:00,3.4
21-08-08 00:00,6.1
20-08-08 23:00,7.7
20-08-08 22:00,9.3
20-08-08 21:00,1.9
20-08-08 20:00,2.0
20-08-08 19:00,1.0
20-08-08 18:00,1.2
20-08-08 17:00,1.6
20-08-08 16:00,1.3
20-08-08 15:00,1.0
20-08-08 14:00,1.0
20-08-08 13:00,1.0
20-08-08 12:00,1.0
20-08-08 11:00,1.0
20-08-08 10:00,1.1
20-08-08 09:00,1.4
20-08-08 08:00,1.0
20-08-08 07:00,1.2
20-08-08 06:00,1.0
20-08-08 05:00,1.5
20-08-08 04:00,1.2
20-08-08 03:00,1.0
20-08-08 02:00,1.1
20-08-08 01:00,1.1
20-08-08 00:00,2.0
19-08-08 23:00,1.2
19-08-08 22:00,1.3
19-08-08 21:00,1.2
19-08-08 20:00,1.3
19-08-08 19:00,1.4
19-08-08 18:00,1.6
19-08-08 17:00,1.5
19-08-08 16:00,2.5
19-08-08 15:00,1.8
19-08-08 14:00,1.5
19-08-08 13:00,2.2
19-08-08 12:00,2.0
19-08-08 11:00,2.9
19-08-08 10:00,10.2
19-08-08 09:00,12.1
19-08-08 08:00,8.7
19-08-08 07:00,10.2
19-08-08 06:00,8.2
19-08-08 05:00,9.1
19-08-08 04:00,5.4
19-08-08 03:00,2.7
19-08-08 02:00,2.8
19-08-08 01:00,2.5
19-08-08 00:00,1.0
18-08-08 23:00,1.0
18-08-08 22:00,1.0
18-08-08 21:00,1.0
18-08-08 20:00,1.0
18-08-08 19:00,1.1
18-08-08 18:00,1.0
18-08-08 17:00,1.0
18-08-08 16:00,1.0
18-08-08 15:00,1.4
18-08-08 14:00,1.1
18-08-08 13:00,1.0
18-08-08 12:00,1.0
18-08-08 11:00,6.7
18-08-08 10:00,6.9
18-08-08 09:00,3.7
18-08-08 08:00,3.7
18-08-08 07:00,2.0
18-08-08 06:00,1.0
18-08-08 05:00,1.0
18-08-08 04:00,1.0
18-08-08 03:00,1.0
18-08-08 02:00,1.0
18-08-08 01:00,1.0
18-08-08 00:00,1.0
17-08-08 23:00,1.0
17-08-08 22:00,1.0
17-08-08 21:00,1.0
17-08-08 20:00,1.0
17-08-08 19:00,1.0
17-08-08 18:00,1.0
17-08-08 17:00,3.1
17-08-08 16:00,4.1
17-08-08 15:00,3.4
17-08-08 14:00,1.0
17-08-08 13:00,1.0
17-08-08 12:00,1.0
17-08-08 11:00,1.0
17-08-08 10:00,1.0
17-08-08 09:00,1.2
17-08-08 08:00,1.9
17-08-08 07:00,1.0
17-08-08 06:00,1.0
17-08-08 05:00,1.0
17-08-08 04:00,2.0
17-08-08 03:00,2.8
17-08-08 02:00,3.0
17-08-08 01:00,2.2
17-08-08 00:00,1.0
16-08-08 23:00,1.0
16-08-08 22:00,1.0
16-08-08 21:00,1.0
16-08-08 20:00,1.0
16-08-08 19:00,1.0
16-08-08 18:00,1.0
16-08-08 17:00,1.0
16-08-08 16:00,1.0
16-08-08 15:00,1.0
16-08-08 14:00,1.0
16-08-08 13:00,1.0
16-08-08 12:00,1.0
16-08-08 11:00,1.0
16-08-08 10:00,1.0
16-08-08 09:00,1.0
16-08-08 08:00,1.0
16-08-08 07:00,1.0
16-08-08 06:00,1.0
16-08-08 05:00,1.0
16-08-08 04:00,1.0
16-08-08 03:00,1.0
16-08-08 02:00,1.0
16-08-08 01:00,1.0
16-08-08 00:00,1.0
15-08-08 23:00,1.0
15-08-08 22:00,1.0
15-08-08 21:00,1.0
15-08-08 20:00,1.0
15-08-08 19:00,1.0
15-08-08 18:00,1.0
15-08-08 17:00,1.0
15-08-08 16:00,1.0
15-08-08 15:00,1.0
15-08-08 14:00,1.0
15-08-08 13:00,1.0
15-08-08 12:00,1.3
15-08-08 11:00,1.0
15-08-08 10:00,1.1
15-08-08 09:00,2.1
15-08-08 08:00,1.5
15-08-08 07:00,2.8
15-08-08 06:00,1.1
15-08-08 05:00,1.5
15-08-08 04:00,1.0
15-08-08 03:00,1.0
15-08-08 02:00,1.6
15-08-08 01:00,3.2
15-08-08 00:00,2.3
14-08-08 23:00,1.0
14-08-08 22:00,1.0
14-08-08 21:00,1.0
14-08-08 20:00,1.0
14-08-08 19:00,1.0
14-08-08 18:00,1.0
14-08-08 17:00,1.0
14-08-08 16:00,1.1
14-08-08 15:00,1.0
14-08-08 14:00,1.0
14-08-08 13:00,1.0
14-08-08 12:00,1.0
14-08-08 11:00,1.0
14-08-08 10:00,1.0
14-08-08 09:00,3.1
14-08-08 08:00,2.8
14-08-08 07:00,1.4
14-08-08 06:00,1.1
14-08-08 05:00,1.0
14-08-08 04:00,1.0
14-08-08 03:00,1.0
14-08-08 02:00,1.0
14-08-08 01:00,1.0
14-08-08 00:00,1.0
13-08-08 23:00,1.0
13-08-08 22:00,1.0
13-08-08 21:00,1.0
13-08-08 20:00,3.1
13-08-08 19:00,1.0
13-08-08 18:00,1.0
13-08-08 17:00,1.0
13-08-08 16:00,1.0
13-08-08 15:00,1.0
13-08-08 14:00,1.0
13-08-08 13:00,1.0
13-08-08 12:00,1.0
13-08-08 11:00,1.0
13-08-08 10:00,1.1
13-08-08 09:00,1.8
13-08-08 08:00,1.2
13-08-08 07:00,1.1
13-08-08 06:00,1.2
13-08-08 05:00,1.5
13-08-08 04:00,1.0
13-08-08 03:00,1.8
13-08-08 02:00,1.3
13-08-08 01:00,
13-08-08 00:00,1.1
12-08-08 23:00,1.1
12-08-08 22:00,1.2
12-08-08 21:00,2.5
12-08-08 20:00,1.0
12-08-08 19:00,1.0
12-08-08 18:00,1.0
12-08-08 17:00,1.0
12-08-08 16:00,2.0
12-08-08 15:00,1.5
12-08-08 14:00,2.8
12-08-08 13:00,3.4
12-08-08 12:00,2.8
12-08-08 11:00,2.7
12-08-08 10:00,1.5
12-08-08 09:00,2.4
12-08-08 08:00,1.8
12-08-08 07:00,1.0
12-08-08 06:00,1.0
12-08-08 05:00,1.0
12-08-08 04:00,1.0
12-08-08 03:00,1.0
12-08-08 02:00,1.0
12-08-08 01:00,1.0
12-08-08 00:00,1.0
11-08-08 23:00,1.2
11-08-08 22:00,1.4
11-08-08 21:00,1.6
11-08-08 20:00,1.0
11-08-08 19:00,1.2
11-08-08 18:00,1.1
11-08-08 17:00,1.0
11-08-08 16:00,1.0
11-08-08 15:00,1.0
11-08-08 14:00,1.0
11-08-08 13:00,1.0
11-08-08 12:00,1.0
11-08-08 11:00,1.0
11-08-08 10:00,1.3
11-08-08 09:00,2.1
11-08-08 08:00,2.3
11-08-08 07:00,2.1
11-08-08 06:00,1.2
11-08-08 05:00,2.7
11-08-08 04:00,1.7
11-08-08 03:00,1.5
11-08-08 02:00,1.5
11-08-08 01:00,2.8
11-08-08 00:00,1.7
10-08-08 23:00,1.1
10-08-08 22:00,2.7
10-08-08 21:00,1.8
10-08-08 20:00,1.2
10-08-08 19:00,1.0
10-08-08 18:00,1.0
10-08-08 17:00,1.0
10-08-08 16:00,1.2
10-08-08 15:00,1.2
10-08-08 14:00,1.0
10-08-08 13:00,1.0
10-08-08 12:00,1.0
10-08-08 11:00,1.4
10-08-08 10:00,2.3
10-08-08 09:00,3.7
10-08-08 08:00,2.9
10-08-08 07:00,3.1
10-08-08 06:00,1.9
10-08-08 05:00,1.1
10-08-08 04:00,1.0
10-08-08 03:00,1.4
10-08-08 02:00,1.0
10-08-08 01:00,1.2
10-08-08 00:00,3.4
09-08-08 23:00,13.0
09-08-08 22:00,7.3
09-08-08 21:00,3.4
09-08-08 20:00,1.4
09-08-08 19:00,1.0
09-08-08 18:00,1.0
09-08-08 17:00,1.9
09-08-08 16:00,1.1
09-08-08 15:00,2.2
09-08-08 14:00,2.3
09-08-08 13:00,1.4
09-08-08 12:00,1.1
09-08-08 11:00,1.2
09-08-08 10:00,1.1
09-08-08 09:00,1.3
09-08-08 08:00,1.8
09-08-08 07:00,1.7
09-08-08 06:00,1.2
09-08-08 05:00,1.8
09-08-08 04:00,2.1
09-08-08 03:00,2.1
09-08-08 02:00,2.0
09-08-08 01:00,1.3
09-08-08 00:00,1.0
08-08-08 23:00,1.0
08-08-08 22:00,1.0
08-08-08 21:00,1.0
08-08-08 20:00,1.0
08-08-08 19:00,1.1
08-08-08 18:00,1.0
08-08-08 17:00,1.0
08-08-08 16:00,1.2
08-08-08 15:00,1.1
08-08-08 14:00,1.1
08-08-08 13:00,1.0
08-08-08 12:00,1.0
08-08-08 11:00,1.0
08-08-08 10:00,1.0
08-08-08 09:00,1.0
08-08-08 08:00,1.0
08-08-08 07:00,1.3
08-08-08 06:00,1.1
08-08-08 05:00,1.0
08-08-08 04:00,1.3
08-08-08 03:00,1.7
08-08-08 02:00,1.2
08-08-08 01:00,1.1
08-08-08 00:00,2.0
07-08-08 23:00,4.0
07-08-08 22:00,2.7
07-08-08 21:00,1.0
07-08-08 20:00,1.0
07-08-08 19:00,1.1
07-08-08 18:00,1.0
07-08-08 17:00,1.0
07-08-08 16:00,1.0
07-08-08 15:00,2.1
07-08-08 14:00,2.5
07-08-08 13:00,2.4
07-08-08 12:00,1.9
07-08-08 11:00,2.0
07-08-08 10:00,5.7
07-08-08 09:00,6.1
07-08-08 08:00,3.8
07-08-08 07:00,3.2
07-08-08 06:00,2.9
07-08-08 05:00,2.7
07-08-08 04:00,2.5
07-08-08 03:00,1.2
07-08-08 02:00,1.6
07-08-08 01:00,3.1
07-08-08 00:00,5.0
06-08-08 23:00,5.0
06-08-08 22:00,4.8
06-08-08 21:00,4.7
06-08-08 20:00,7.2
06-08-08 19:00,8.6
06-08-08 18:00,7.9
06-08-08 17:00,3.7
06-08-08 16:00,2.4
06-08-08 15:00,1.1
06-08-08 14:00,1.0
06-08-08 13:00,1.0
06-08-08 12:00,1.0
06-08-08 11:00,1.0
06-08-08 10:00,1.0
06-08-08 09:00,1.0
06-08-08 08:00,1.0
06-08-08 07:00,1.1
06-08-08 06:00,1.0
06-08-08 05:00,1.0
06-08-08 04:00,1.6
06-08-08 03:00,1.0
06-08-08 02:00,1.0
06-08-08 01:00,1.0
06-08-08 00:00,1.0
05-08-08 23:00,1.0
05-08-08 22:00,1.0
05-08-08 21:00,1.0
05-08-08 20:00,1.0
05-08-08 19:00,1.0
05-08-08 18:00,1.0
05-08-08 17:00,1.0
05-08-08 16:00,1.0
05-08-08 15:00,1.0
05-08-08 14:00,1.2
05-08-08 13:00,1.6
05-08-08 12:00,1.2
05-08-08 11:00,1.0
05-08-08 10:00,1.0
05-08-08 09:00,1.0
05-08-08 08:00,1.0
05-08-08 07:00,1.0
05-08-08 06:00,1.0
05-08-08 05:00,1.0
05-08-08 04:00,1.0
05-08-08 03:00,1.0
05-08-08 02:00,1.5
05-08-08 01:00,1.0
05-08-08 00:00,2.1
04-08-08 23:00,1.5
04-08-08 22:00,2.8
04-08-08 21:00,2.5
04-08-08 20:00,1.8
04-08-08 19:00,1.8
04-08-08 18:00,1.5
04-08-08 17:00,2.2
04-08-08 16:00,2.2
04-08-08 15:00,1.4
04-08-08 14:00,1.0
04-08-08 13:00,1.5
04-08-08 12:00,1.9
04-08-08 11:00,1.9
04-08-08 10:00,1.4
04-08-08 09:00,2.2
04-08-08 08:00,3.4
04-08-08 07:00,7.2
04-08-08 06:00,8.7
04-08-08 05:00,15.1
04-08-08 04:00,7.4
04-08-08 03:00,1.0
04-08-08 02:00,1.0
04-08-08 01:00,1.0
04-08-08 00:00,1.0
03-08-08 23:00,1.0
03-08-08 22:00,1.0
03-08-08 21:00,1.0
03-08-08 20:00,1.0
03-08-08 19:00,1.0
03-08-08 18:00,1.0
03-08-08 17:00,1.0
03-08-08 16:00,1.0
03-08-08 15:00,1.2
03-08-08 14:00,1.0
03-08-08 13:00,1.0
03-08-08 12:00,1.0
03-08-08 11:00,1.0
03-08-08 10:00,1.0
03-08-08 09:00,1.0
03-08-08 08:00,1.0
03-08-08 07:00,1.6
03-08-08 06:00,2.4
03-08-08 05:00,1.0
03-08-08 04:00,1.5
03-08-08 03:00,1.6
03-08-08 02:00,2.1
03-08-08 01:00,3.3
03-08-08 00:00,2.6
02-08-08 23:00,1.0
02-08-08 22:00,1.1
02-08-08 21:00,1.1
02-08-08 20:00,1.4
02-08-08 19:00,1.6
02-08-08 18:00,1.1
02-08-08 17:00,1.4
02-08-08 16:00,1.2
02-08-08 15:00,1.0
02-08-08 14:00,1.0
02-08-08 13:00,1.0
02-08-08 12:00,1.6
02-08-08 11:00,1.4
02-08-08 10:00,1.9
02-08-08 09:00,1.5
02-08-08 08:00,1.4
02-08-08 07:00,2.4
02-08-08 06:00,1.7
02-08-08 05:00,2.5
02-08-08 04:00,1.3
02-08-08 03:00,1.5
02-08-08 02:00,1.8
02-08-08 01:00,1.2
02-08-08 00:00,1.0
01-08-08 23:00,1.0
01-08-08 22:00,1.0
01-08-08 21:00,1.0
01-08-08 20:00,1.0
01-08-08 19:00,1.2
01-08-08 18:00,1.1
01-08-08 17:00,1.0
01-08-08 16:00,1.0
01-08-08 15:00,1.9
01-08-08 14:00,4.4
01-08-08 13:00,2.2
01-08-08 12:00,2.2
01-08-08 11:00,2.3
01-08-08 10:00,2.6
01-08-08 09:00,3.0
01-08-08 08:00,1.7
01-08-08 07:00,2.1
01-08-08 06:00,2.3
01-08-08 05:00,1.9
01-08-08 04:00,3.5
01-08-08 03:00,2.8
01-08-08 02:00,2.3
01-08-08 01:00,3.6

